SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Huntly",482,0,0,0,0,516,0,0,0,0,0,223,0,0,0,0,349,0,0,0,0,0,92,125,59,0,0,67,15,3,0,58,51,16,8,0,55,7,3,0,0,1,2,2,7,0,17,5,8,2,998,706,221,171,78,
"Auchterless and Monquhitter",83,0,0,0,0,132,0,0,0,0,0,124,0,0,0,0,326,0,0,0,0,0,65,120,73,0,0,59,16,7,0,7,14,2,0,0,19,9,2,0,0,1,5,9,12,0,9,8,8,5,215,483,159,158,95,
"Turriff",452,0,0,0,0,436,0,0,0,0,0,270,1,0,0,0,350,0,0,0,0,0,89,152,45,0,0,81,34,3,0,56,43,15,5,0,57,10,0,0,0,3,2,5,6,0,29,4,3,0,891,765,234,206,57,
"Portsoy, Fordyce and Cornhill",288,0,0,0,0,273,0,0,0,0,0,192,0,0,0,0,323,0,0,0,0,0,56,99,63,0,0,77,21,3,0,21,22,3,1,0,38,8,0,0,0,4,5,5,3,0,2,8,8,2,558,579,176,139,75,
"Aberchirder and Whitehills",293,0,0,0,0,302,0,0,0,0,0,233,1,0,0,0,375,0,0,0,0,0,87,169,67,0,0,92,25,2,0,28,21,6,1,0,46,7,3,0,0,0,4,4,8,0,14,13,6,3,595,693,225,220,81,
"Banff",373,0,0,0,0,484,0,0,0,0,0,194,0,0,0,0,348,0,0,0,0,0,70,130,52,0,0,73,27,1,0,51,37,10,6,0,77,19,0,0,0,2,3,12,3,0,10,3,4,1,854,684,201,181,63,
"Macduff",285,0,0,0,0,427,0,0,0,0,0,154,0,0,0,0,341,0,0,0,0,0,95,151,52,0,0,85,26,4,0,44,39,13,3,0,46,18,1,0,0,4,1,5,9,0,7,7,4,0,712,596,245,200,68,
"Gardenstown and King Edward",183,0,0,0,0,197,0,0,0,0,0,190,0,0,0,0,321,0,0,0,0,0,77,116,58,0,0,81,17,6,0,22,9,13,1,0,27,10,0,0,0,0,3,1,12,0,14,6,2,4,380,578,187,150,79,
"New Pitsligo",179,0,0,0,0,225,0,0,0,0,0,146,0,0,0,0,275,0,0,0,0,0,62,107,55,0,0,77,20,0,0,31,21,3,4,0,40,3,0,0,0,0,1,9,14,0,9,9,6,1,404,500,169,147,70,
"Deer and Mormond",297,0,0,0,0,344,0,0,0,0,0,227,0,0,0,0,450,0,0,0,0,0,135,212,89,0,0,114,34,3,0,45,21,18,5,0,49,5,1,0,0,1,2,9,13,0,14,16,12,6,641,790,297,290,120,
"Mintlaw",256,0,0,0,0,233,0,0,0,0,0,172,0,0,0,0,235,0,0,0,0,0,92,112,47,0,0,66,18,2,0,31,32,12,0,0,49,6,0,0,0,2,0,1,6,0,10,5,2,2,489,499,201,146,58,
"Auchnagatt",135,0,0,0,0,148,0,0,0,0,0,145,0,0,0,0,295,0,0,0,0,0,95,170,59,0,0,87,22,0,0,11,17,8,3,0,24,9,0,0,0,1,3,9,11,0,8,4,0,0,283,490,215,211,73,
"Cruden",284,0,0,0,0,371,0,0,0,0,0,231,0,0,0,0,456,0,0,0,0,0,143,172,66,0,0,107,31,8,0,62,52,11,1,0,69,8,0,0,0,3,6,7,20,0,15,10,1,0,655,833,326,229,93,
