SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Old Shettleston and Parkhead North",288,0,0,0,0,695,0,0,0,0,0,74,0,0,0,0,297,0,0,0,0,0,152,154,74,0,0,74,30,11,0,138,106,33,14,0,138,22,4,0,0,9,16,18,22,0,54,17,11,0,983,711,383,250,121,
"Carntyne",378,0,0,0,0,447,0,0,0,0,0,115,0,0,0,0,193,0,0,0,0,0,69,57,18,0,0,78,16,3,0,77,39,25,4,0,116,8,6,0,0,6,9,6,9,0,36,17,10,3,829,541,217,119,41,
"Cranhill, Lightburn and Queenslie South",360,0,0,0,0,739,0,0,0,0,0,97,0,0,0,0,269,0,0,0,0,0,119,148,106,0,0,135,50,9,0,120,118,42,28,0,194,54,7,0,0,5,22,25,31,0,62,26,8,3,1103,746,465,280,178,
"Craigend and Ruchazie",346,0,0,0,0,725,0,0,0,0,0,103,0,0,0,0,288,0,0,0,0,0,127,135,75,0,0,77,23,2,0,141,88,45,11,0,174,15,3,0,0,10,14,18,23,0,33,20,6,1,1070,749,344,230,114,
"Riddrie and Hogganfield",343,0,0,0,0,636,0,0,0,0,0,115,0,0,0,0,252,0,0,0,0,0,92,106,91,0,0,92,44,5,0,77,66,34,15,0,172,28,1,0,0,9,15,12,24,0,61,27,4,5,982,684,318,203,140,
"Blackhill and Barmulloch East",260,0,0,0,0,500,0,0,0,0,0,98,0,0,0,0,221,0,0,0,0,0,94,151,71,0,0,99,14,2,0,87,87,38,17,0,142,46,2,0,0,1,17,16,24,0,47,24,7,2,761,596,365,233,115,
"Robroyston and Millerston",37,0,0,0,0,147,0,0,0,0,0,44,0,0,0,0,275,0,0,0,0,0,149,189,95,0,0,93,41,13,0,20,26,9,1,0,27,11,4,0,0,0,4,9,34,0,4,8,5,6,188,367,288,252,150,
"Robroyston South",138,0,0,0,0,310,0,0,0,0,0,96,0,0,0,0,355,0,0,0,0,0,102,95,55,0,0,98,37,6,0,20,17,8,2,0,54,7,4,0,0,0,3,10,15,0,14,14,4,7,449,539,241,158,87,
"Balornock",256,0,0,0,0,399,0,0,0,0,0,92,0,0,0,0,201,0,0,0,0,0,58,83,68,0,0,127,43,6,0,70,67,32,16,0,193,40,5,0,0,2,11,25,24,0,46,23,11,5,651,604,324,195,121,
"Barmulloch",164,0,0,0,0,281,0,0,0,0,0,45,0,0,0,0,113,0,0,0,0,0,37,51,56,0,0,72,21,1,0,53,48,29,12,0,104,17,7,0,0,5,10,9,15,0,18,7,6,1,445,338,191,124,85,
"Petershill",217,0,0,0,0,696,0,0,0,0,0,63,0,0,0,0,247,0,0,0,0,0,72,66,27,0,0,62,19,13,0,73,49,12,5,0,117,20,3,1,0,3,8,15,15,0,64,19,1,1,914,566,228,118,65,
"Springburn",321,0,0,0,0,619,0,0,0,0,0,68,0,0,0,0,189,0,0,0,0,0,58,78,36,0,0,71,30,7,0,81,69,31,15,0,109,14,3,0,0,7,19,6,7,0,48,19,5,0,939,502,250,156,67,
"Springburn East and Cowlairs",255,0,0,0,0,809,0,0,0,0,0,60,0,0,0,0,165,0,0,0,0,0,77,88,66,0,0,72,21,1,0,80,57,30,5,0,103,19,3,1,0,12,14,3,12,0,56,22,6,3,1068,473,264,150,90,
"Cowlairs and Port Dundas",194,0,0,0,0,791,0,0,0,0,0,39,0,0,0,0,226,0,0,0,0,0,66,51,46,0,0,41,9,6,0,68,43,26,15,0,95,30,7,0,0,5,12,3,9,0,83,22,6,0,985,518,214,107,73,
"Roystonhill, Blochairn, and Provanmill",304,0,0,0,0,1178,0,0,0,0,0,58,0,0,0,0,317,0,0,0,0,0,134,141,126,0,0,87,22,7,0,157,88,61,27,0,176,31,3,0,0,13,18,17,24,0,65,24,10,2,1483,786,382,255,186,
"Dennistoun North",146,0,0,0,0,690,0,0,0,0,0,47,0,0,0,0,493,0,0,0,0,0,91,43,22,0,0,35,10,0,0,19,9,5,2,0,41,12,0,0,0,0,5,4,15,0,336,64,11,1,836,935,214,72,37,
"Alexandra Parade",207,0,0,0,0,582,0,0,0,0,0,36,0,0,0,0,251,0,0,0,0,0,35,28,9,0,0,23,2,0,0,24,13,6,3,0,53,6,1,0,0,5,3,8,2,0,111,27,0,0,792,477,112,47,15,
"Carntyne West and Haghill",252,0,0,0,0,946,0,0,0,0,0,59,0,0,0,0,264,0,0,0,0,0,61,70,33,0,0,47,13,1,0,98,60,15,10,0,88,17,5,0,0,3,7,9,5,0,66,20,5,0,1198,578,210,121,50,
"Dennistoun",153,0,0,0,0,754,0,0,0,0,0,32,0,0,0,0,589,0,0,0,0,0,63,52,22,0,0,25,9,0,0,22,22,4,4,0,41,10,3,0,0,4,5,2,7,0,255,92,22,3,906,949,220,92,35,
"Gallowgate North and Bellgrove",255,0,0,0,0,1075,0,0,0,0,0,37,0,0,0,0,296,0,0,0,0,0,55,45,39,0,0,46,9,1,0,59,43,16,12,0,101,3,1,1,0,3,5,6,12,0,280,53,11,0,1333,776,207,90,66,
"City Centre East",397,0,0,0,0,1825,0,0,0,0,0,44,0,0,0,0,590,0,0,0,0,0,50,42,35,0,0,28,6,4,0,47,30,10,3,0,80,5,1,0,0,4,4,4,5,0,396,155,29,2,2222,1161,277,92,49,
"City Centre West",311,0,0,0,0,1091,0,0,0,0,0,22,0,0,0,0,341,0,0,0,0,0,71,58,23,0,0,24,4,6,0,37,19,6,0,0,49,9,0,0,0,0,1,9,14,0,326,119,56,31,1400,776,245,137,71,
"City Centre South",86,0,0,0,0,988,0,0,0,0,0,13,0,0,0,0,294,0,0,0,0,0,77,43,16,0,0,12,3,2,0,23,16,2,3,0,22,4,0,0,0,1,0,4,3,0,259,90,27,6,1080,612,194,76,27,
"Anderston",161,0,0,0,0,926,0,0,0,0,0,36,0,0,0,0,448,0,0,0,0,0,182,105,38,0,0,26,12,0,0,64,35,15,3,0,64,16,3,0,0,1,5,7,8,0,227,74,34,13,1087,837,337,178,62,
"Finnieston and Kelvinhaugh",89,0,0,0,0,557,0,0,0,0,0,23,0,0,0,0,335,0,0,0,0,0,79,55,25,0,0,20,3,0,0,29,21,5,1,0,38,4,2,2,0,2,5,1,6,0,204,124,59,35,646,631,251,126,68,
"Yorkhill",140,0,0,0,0,755,0,0,0,0,0,12,0,0,0,0,345,0,0,0,0,0,60,44,4,0,0,13,6,0,0,17,10,4,2,0,18,6,0,0,0,1,4,2,2,0,240,68,19,9,899,633,165,75,16,
"Woodlands",59,0,0,0,0,464,0,0,0,0,0,26,0,0,0,0,334,0,0,0,0,0,60,55,21,0,0,25,11,4,0,21,12,2,3,0,36,11,3,1,0,2,4,6,13,0,207,110,48,30,522,624,221,125,74,
"Kelvinbridge South",99,0,0,0,0,368,0,0,0,0,0,17,0,0,0,0,263,0,0,0,0,0,46,47,25,0,0,24,10,1,0,22,8,9,5,0,21,6,0,1,0,0,2,6,9,0,240,185,89,21,468,563,275,160,62,
"Woodside",268,0,0,0,0,692,0,0,0,0,0,38,0,0,0,0,240,0,0,0,0,0,45,46,24,0,0,25,6,3,0,36,24,6,3,0,56,16,0,1,0,0,1,6,5,0,156,45,23,7,958,526,156,86,42,
"Firhill",386,0,0,0,0,1244,0,0,0,0,0,54,0,0,0,0,485,0,0,0,0,0,117,129,67,0,0,63,19,0,0,81,51,16,11,0,99,18,3,2,0,1,6,7,14,0,266,70,14,11,1634,988,318,184,103,
"Keppochhill",253,0,0,0,0,810,0,0,0,0,0,54,0,0,0,0,176,0,0,0,0,0,85,99,65,0,0,75,15,5,0,117,40,22,12,0,137,23,4,0,0,6,11,18,11,0,107,45,17,5,1066,597,279,175,98,
"Ruchill",171,0,0,0,0,771,0,0,0,0,0,36,0,0,0,0,430,0,0,0,0,0,76,52,15,0,0,21,4,0,0,36,11,6,2,0,32,4,0,0,0,0,2,6,5,0,227,49,6,10,942,761,163,73,28,
"Ruchill Park",134,0,0,0,0,710,0,0,0,0,0,25,0,0,0,0,226,0,0,0,0,0,68,61,33,0,0,47,10,3,0,86,51,19,2,0,60,12,1,0,0,8,6,5,13,0,100,28,12,7,844,505,211,111,61,
"Possil Park",477,0,0,0,0,957,0,0,0,0,0,127,0,0,0,0,292,0,0,0,0,0,92,145,98,0,0,113,36,5,0,90,109,31,16,0,209,30,4,0,0,6,22,16,21,0,64,35,6,3,1434,788,404,241,142,
"Milton West",291,0,0,0,0,589,0,0,0,0,0,76,0,0,0,0,189,0,0,0,0,0,88,92,79,0,0,82,39,6,0,130,78,36,15,0,136,39,5,0,0,4,17,8,18,0,40,24,17,7,883,577,328,199,123,
"Milton East",216,0,0,0,0,416,0,0,0,0,0,68,0,0,0,0,122,0,0,0,0,0,50,86,62,0,0,67,23,8,0,64,74,28,8,0,95,17,7,1,0,2,8,12,19,0,19,22,12,4,632,379,238,173,98,
"Summerston Central and West",203,0,0,0,0,531,0,0,0,0,0,98,0,0,0,0,237,0,0,0,0,0,100,162,73,0,0,125,37,3,0,84,54,25,7,0,92,17,9,0,0,1,5,11,12,0,19,10,6,6,733,529,312,253,103,
"Summerston North",311,0,0,0,0,459,0,0,0,0,0,113,0,0,0,0,211,0,0,0,0,0,56,83,40,0,0,76,25,2,0,65,51,19,11,0,104,21,2,0,0,2,9,5,11,0,30,18,4,5,770,523,234,140,69,
"Maryhill East",211,0,0,0,0,582,0,0,0,0,0,54,0,0,0,0,156,0,0,0,0,0,72,97,59,0,0,41,18,3,0,73,79,26,8,0,74,19,4,0,0,4,10,12,10,0,59,16,8,7,797,420,237,165,87,
"Maryhill West",138,0,0,0,0,565,0,0,0,0,0,36,1,0,0,0,144,0,0,0,0,0,63,82,46,0,0,59,11,1,0,68,38,9,3,0,50,12,1,0,0,4,7,10,11,0,41,31,7,6,698,347,211,122,69,
"Wyndford",329,0,0,0,0,1072,0,0,0,0,0,27,0,0,0,0,196,0,0,0,0,0,58,90,45,0,0,42,6,1,0,88,78,35,8,0,86,19,6,0,0,3,12,5,7,0,75,19,4,7,1401,475,228,144,68,
"Kelvindale",359,0,0,0,0,608,0,0,0,0,0,243,0,0,0,0,552,0,0,0,0,0,155,212,66,0,0,100,18,9,0,37,23,8,2,0,66,10,0,0,0,0,3,12,16,0,100,37,23,15,964,1002,324,274,108,
"North Kelvin",175,0,0,0,0,585,0,0,0,0,0,82,0,0,0,0,434,0,0,0,0,0,123,109,35,0,0,49,12,2,0,28,23,2,1,0,31,4,1,0,0,2,2,3,14,0,167,51,22,13,756,744,252,148,65,
"Kelvingrove and University",200,0,0,0,0,753,0,0,0,0,0,78,0,0,0,0,485,0,0,0,0,0,117,94,35,0,0,52,14,3,0,25,16,9,0,0,45,8,4,3,0,2,3,6,18,0,362,221,154,71,953,995,415,279,133,
"Hillhead",275,0,0,0,0,1377,0,0,0,0,0,47,0,0,0,0,601,0,0,0,0,0,88,64,31,0,0,29,10,2,0,71,27,7,0,0,77,9,0,0,0,6,2,7,5,0,458,133,13,4,1648,1260,284,102,38,
"Glasgow Harbour and Partick South",201,0,0,0,0,1485,0,0,0,0,0,50,0,0,0,0,615,0,0,0,0,0,78,54,32,0,0,32,10,0,0,39,31,8,0,0,59,9,0,0,0,6,7,3,4,0,210,36,10,6,1685,980,193,87,42,
"Partick",298,0,0,0,0,1051,0,0,0,0,0,52,0,0,0,0,402,0,0,0,0,0,79,62,18,0,0,22,5,1,0,76,26,20,8,0,57,11,0,0,0,2,4,0,5,0,142,69,7,1,1353,732,209,95,39,
"Partickhill and Hyndland",426,0,0,0,0,907,0,0,0,0,0,139,0,0,0,0,745,0,0,0,0,0,153,125,30,0,0,57,18,2,0,37,21,10,0,0,40,8,0,0,0,1,6,6,12,0,177,68,43,7,1334,1140,317,200,53,
"Dowanhill",300,0,0,0,0,687,0,0,0,0,0,132,0,0,0,0,551,0,0,0,0,0,131,108,33,0,0,44,18,2,0,24,10,7,1,0,38,3,0,1,0,1,1,4,7,0,157,108,60,13,987,904,298,198,60,
"Kelvinside and Jordanhill",418,0,0,0,0,477,0,0,0,0,0,236,0,0,0,0,414,0,0,0,0,0,190,303,118,0,0,105,24,5,0,45,29,5,1,0,58,11,1,0,0,1,2,0,17,0,35,16,6,3,895,786,356,340,147,
"Broomhill",310,0,0,0,0,706,0,0,0,0,0,149,0,0,0,0,452,0,0,0,0,0,135,154,37,0,0,50,33,4,0,42,24,8,4,0,47,6,0,0,0,3,5,2,7,0,76,23,2,0,1016,769,244,197,50,
"Victoria Park",359,0,0,0,0,595,0,0,0,0,0,111,0,0,0,0,265,0,0,0,0,0,125,172,50,0,0,82,25,5,0,63,45,3,2,0,77,14,1,0,0,3,4,10,5,0,38,21,5,3,954,560,291,217,69,
"Scotstoun North and East",260,0,0,0,0,440,0,0,0,0,0,114,0,0,0,0,251,0,0,0,0,0,135,214,90,0,0,83,25,2,0,42,35,14,12,0,72,22,1,0,0,6,3,10,8,0,28,17,4,3,700,514,291,265,117,
"Scotstoun South and West",265,0,0,0,0,1109,0,0,0,0,0,59,0,0,0,0,215,0,0,0,0,0,80,110,90,0,0,51,8,5,0,116,60,24,12,0,133,25,2,0,0,12,6,7,15,0,57,7,4,1,1374,594,230,153,123,
"Yoker South",215,0,0,0,0,976,0,0,0,0,0,64,0,0,0,0,317,0,0,0,0,0,112,87,64,0,0,74,18,2,0,107,74,32,7,0,97,34,6,0,0,5,13,16,19,0,64,16,4,0,1188,649,322,163,91,
"Yoker North",161,0,0,0,0,173,0,0,0,0,0,87,0,0,0,0,149,0,0,0,0,0,60,96,41,0,0,82,30,5,0,36,40,9,4,0,66,11,2,1,0,6,1,12,28,0,18,18,4,1,334,360,214,149,80,
"Knightswood West",196,0,0,0,0,309,0,0,0,0,0,47,0,0,0,0,148,0,0,0,0,0,49,82,18,0,0,55,21,2,0,34,33,11,5,0,82,21,1,0,0,4,6,7,12,0,20,11,4,5,505,335,176,126,41,
"Knightswood East",341,0,0,0,0,661,0,0,0,0,0,98,0,0,0,0,270,0,0,0,0,0,130,136,40,0,0,83,23,6,0,79,70,13,6,0,116,23,0,0,0,4,10,12,18,0,38,17,4,2,1003,604,333,191,69,
"Knightswood Park West",323,0,0,0,0,573,0,0,0,0,0,75,0,0,0,0,196,0,0,0,0,0,68,65,27,0,0,49,12,6,0,68,47,9,0,0,80,9,3,0,0,1,3,7,4,0,29,15,3,0,896,451,190,99,37,
"Knightswood Park East",269,0,0,0,0,461,0,0,0,0,0,71,0,0,0,0,227,0,0,0,0,0,83,117,96,0,0,58,24,3,0,33,26,17,9,0,80,10,2,0,0,0,5,5,22,0,35,12,6,2,728,447,194,171,132,
"Anniesland East",314,0,0,0,0,757,0,0,0,0,0,103,0,0,0,0,357,0,0,0,0,0,105,100,34,0,0,65,16,2,0,37,19,5,4,0,55,11,3,0,0,3,2,7,12,0,89,19,9,0,1070,648,222,139,51,
"Anniesland West",492,0,0,0,0,1091,0,0,0,0,0,106,0,0,0,0,565,0,0,0,0,0,163,153,71,0,0,86,33,7,0,74,53,12,6,0,148,28,5,2,0,0,11,8,18,0,133,54,12,1,1583,1031,398,224,106,
"Blairdardie East",389,0,0,0,0,815,0,0,0,0,0,106,0,0,0,0,372,0,0,0,0,0,124,153,75,0,0,111,46,6,0,89,70,30,17,0,148,35,4,0,0,0,11,23,20,0,41,20,6,1,1204,758,368,262,119,
"Blairdardie West",174,0,0,0,0,132,0,0,0,0,0,104,0,0,0,0,218,0,0,0,0,0,78,119,37,0,0,103,25,2,0,21,21,6,5,0,60,16,5,0,0,0,3,12,17,0,16,14,3,1,306,419,235,175,66,
"Drumchapel South",122,0,0,0,0,305,0,0,0,0,0,28,0,0,0,0,89,0,0,0,0,0,46,75,41,0,0,29,11,6,0,66,56,29,13,0,71,15,2,0,0,5,6,4,11,0,17,5,3,4,424,271,155,121,73,
"Drumchapel North",147,0,0,0,0,511,0,0,0,0,0,18,0,0,0,0,129,0,0,0,0,0,75,86,62,0,0,55,29,4,0,110,78,26,21,0,116,19,5,3,0,7,18,14,13,0,18,10,4,0,658,405,251,164,105,
"Drumry East",168,0,0,0,0,464,0,0,0,0,0,40,0,0,0,0,105,0,0,0,0,0,44,67,58,0,0,46,16,4,0,101,110,35,20,0,124,31,2,2,0,4,16,15,25,0,15,10,3,2,632,389,256,143,110,
"Drumry West",164,0,0,0,0,362,0,0,0,0,0,32,0,0,0,0,171,0,0,0,0,0,56,94,70,0,0,73,37,11,0,77,74,40,13,0,97,32,6,0,0,2,11,10,21,0,11,21,4,0,526,392,270,191,113,
"Lochaber West",363,0,0,0,0,431,0,0,0,0,0,272,0,0,0,0,520,0,0,0,0,0,124,156,66,0,0,107,25,3,0,40,27,7,5,0,57,8,2,0,0,1,4,5,15,0,25,23,6,2,794,915,293,198,89,
"Fort William North",343,0,0,0,0,368,0,0,0,0,0,199,0,0,0,0,346,0,0,0,0,0,129,152,67,0,0,88,39,6,0,70,61,16,7,0,84,18,0,1,0,1,6,11,14,0,18,12,8,3,711,718,313,225,98,
"Fort William South",408,0,0,0,0,762,0,0,0,0,0,175,1,0,0,0,423,0,0,0,0,0,144,181,37,0,0,107,29,4,0,126,65,27,4,0,99,20,2,0,0,2,7,13,21,0,46,32,9,10,1170,875,373,261,77,
"Lochaber East and North",399,0,0,0,0,458,0,0,0,0,0,243,0,0,0,0,527,0,0,0,0,0,121,171,57,0,0,93,19,0,0,34,26,9,5,0,68,6,0,0,0,0,8,7,18,0,35,23,13,8,857,907,280,221,83,
"Badenoch and Strathspey South",268,0,0,0,0,313,0,0,0,0,0,234,0,0,0,0,356,0,0,0,0,0,73,104,55,0,0,67,16,0,0,32,25,6,0,0,56,5,1,0,0,0,4,6,9,0,22,17,5,4,581,700,194,139,68,
"Badenoch and Strathspey Central",368,0,0,0,0,483,0,0,0,0,0,233,0,0,0,0,455,0,0,0,0,0,120,156,57,0,0,84,25,3,0,81,33,5,3,0,68,12,1,0,0,2,5,8,9,0,29,14,8,6,857,871,260,203,75,
"Badenoch and Strathspey North",371,0,0,0,0,328,0,0,0,0,0,297,0,0,0,0,422,0,0,0,0,0,99,151,70,0,0,103,19,1,0,46,29,2,1,0,49,5,0,0,0,1,2,13,15,0,21,14,6,6,699,836,254,191,91,
"Nairn Rural",290,0,0,0,0,325,0,0,0,0,0,316,0,0,0,0,537,0,0,0,0,0,142,218,86,0,0,99,26,3,0,37,32,6,2,0,47,5,0,0,0,2,1,11,17,0,17,20,6,6,615,954,299,268,111,
"Nairn East",371,0,0,0,0,462,0,0,0,0,0,160,0,0,0,0,320,0,0,0,0,0,79,78,24,0,0,80,23,3,0,53,34,9,3,0,79,8,2,0,0,1,4,8,4,0,22,15,4,4,833,636,218,125,40,
"Nairn West",404,0,0,0,0,359,0,0,0,0,0,275,0,0,0,0,349,0,0,0,0,0,81,124,54,0,0,113,32,2,0,24,28,15,2,0,64,6,2,0,0,1,2,10,7,0,12,13,8,4,763,728,247,191,69,
"Inverness East Rural",244,0,0,0,0,393,0,0,0,0,0,235,0,0,0,0,591,0,0,0,0,0,154,247,106,0,0,134,39,4,0,45,38,14,2,0,68,13,1,0,0,0,4,20,29,0,24,23,13,7,635,961,368,332,150,
"Inverness Culloden and Balloch",296,0,0,0,0,344,0,0,0,0,0,193,0,0,0,0,314,0,0,0,0,0,85,158,60,0,0,91,22,3,0,38,29,11,0,0,63,7,4,0,0,2,2,14,13,0,28,6,8,4,640,635,220,214,77,
"Inverness Smithton",195,0,0,0,0,402,0,0,0,0,0,114,0,0,0,0,267,0,0,0,0,0,62,107,41,0,0,78,8,1,0,48,35,12,4,0,48,11,0,0,0,0,3,0,3,0,12,5,3,3,597,489,191,132,56,
"Inverness Westhill",304,0,0,0,0,509,0,0,0,0,0,264,0,0,0,0,567,0,0,0,0,0,215,275,90,0,0,145,33,3,0,95,66,9,6,0,80,13,0,0,0,7,2,7,13,0,24,22,7,3,817,1040,461,331,115,
"Inverness Inshes",184,0,0,0,0,621,0,0,0,0,0,163,0,0,0,0,508,0,0,0,0,0,201,332,97,0,0,98,26,0,0,106,71,18,5,0,74,6,5,0,0,3,7,9,17,0,46,9,10,3,805,900,389,397,124,
"Inverness Slackbuie",65,0,0,0,0,380,0,0,0,0,0,57,0,0,0,0,347,0,0,0,0,0,157,225,74,0,0,54,21,1,0,77,37,12,0,0,27,4,0,0,0,1,6,4,12,0,24,9,5,3,445,534,273,268,91,
"Inverness Lochardil and Holm Mains",392,0,0,0,0,506,0,0,0,0,0,333,0,0,0,0,539,0,0,0,0,0,172,265,86,0,0,131,25,2,0,87,62,18,6,0,63,10,0,0,0,0,8,6,11,0,25,16,12,6,898,1047,399,325,112,
"Inverness Drummond",259,0,0,0,0,344,0,0,0,0,0,149,0,0,0,0,269,0,0,0,0,0,98,98,38,0,0,66,20,4,0,54,55,14,4,0,75,7,2,0,0,2,4,7,6,0,13,11,5,2,603,569,241,145,54,
"Inverness Hilton",308,0,0,0,0,538,0,0,0,0,0,112,0,0,0,0,223,0,0,0,0,0,97,126,33,0,0,63,17,2,0,68,45,12,5,0,78,16,1,0,0,2,4,7,10,0,30,10,5,1,846,519,235,168,51,
"Inverness Drakies",158,0,0,0,0,155,0,0,0,0,0,119,0,0,0,0,179,0,0,0,0,0,69,86,25,0,0,71,11,0,0,31,18,2,1,0,49,5,0,0,0,0,0,5,6,0,10,5,4,2,309,389,174,109,33,
"Inverness Central, Raigmore and Longman",237,0,0,0,0,916,0,0,0,0,0,78,0,0,0,0,319,0,0,0,0,0,115,137,69,0,0,38,17,1,0,72,32,17,1,0,72,10,1,0,0,0,3,5,12,0,54,14,8,1,1153,595,210,181,78,
"Inverness Crown and Haugh",431,0,0,0,0,506,0,0,0,0,0,254,0,0,0,0,305,0,0,0,0,0,86,144,37,0,0,79,20,4,0,17,22,2,0,0,65,13,0,0,0,1,0,3,7,0,47,18,10,2,937,684,219,179,49,
"Inverness Ballifeary and Dalneigh",378,0,0,0,0,598,0,0,0,0,0,91,0,0,0,0,278,0,0,0,0,0,81,114,53,0,0,94,28,2,0,88,69,18,8,0,99,19,1,0,0,8,6,8,9,0,54,24,8,2,979,618,293,177,73,
"Inverness Muirtown",345,0,0,0,0,855,0,0,0,0,0,111,0,0,0,0,343,0,0,0,0,0,61,69,25,0,0,51,8,3,0,102,21,4,3,0,85,13,0,0,0,8,0,15,5,0,60,15,6,2,1197,709,162,105,42,
"Inverness Merkinch",203,0,0,0,0,738,0,0,0,0,0,41,0,0,0,0,185,0,0,0,0,0,59,69,43,0,0,41,10,1,0,140,80,22,11,0,92,6,1,0,0,6,12,13,15,0,43,10,1,3,941,511,208,116,71,
"Inverness Scorguie",268,0,0,0,0,428,0,0,0,0,0,150,0,0,0,0,311,0,0,0,0,0,64,66,26,0,0,56,16,0,0,21,20,3,0,0,34,6,0,0,0,7,3,5,4,0,12,19,10,3,697,532,164,96,33,
"Inverness Kinmylies and South West",197,0,0,0,0,423,0,0,0,0,0,146,0,0,0,0,368,0,0,0,0,0,124,166,58,0,0,85,23,4,0,69,50,17,5,0,73,18,0,0,0,4,8,11,7,0,13,13,7,4,620,673,292,218,76,
"Inverness West Rural",244,0,0,0,0,320,0,0,0,0,0,214,0,0,0,0,327,0,0,0,0,0,117,109,35,0,0,77,24,3,0,41,37,5,3,0,47,6,1,0,0,0,4,8,16,0,16,12,5,2,564,645,253,151,61,
"Inverness West Strathglass",191,0,0,0,0,165,0,0,0,0,0,186,0,0,0,0,315,0,0,0,0,0,80,129,51,0,0,74,20,2,0,32,23,11,8,0,37,8,0,0,0,1,1,1,11,0,11,20,6,2,360,583,203,172,77,
"Loch Ness",325,0,0,0,0,387,0,0,0,0,0,251,0,0,0,0,544,0,0,0,0,0,91,135,53,0,0,95,30,7,0,33,41,8,8,0,69,11,4,0,0,0,4,8,19,0,23,25,17,3,708,926,257,199,88,
"Lochalsh",215,0,0,0,0,334,0,0,0,0,0,133,0,0,0,0,293,0,0,0,0,0,60,86,39,0,0,44,15,3,0,20,23,7,0,0,49,8,0,0,0,1,2,1,5,0,11,10,5,3,551,511,147,111,51,
"Skye South",325,0,0,0,0,412,0,0,0,0,0,219,0,0,0,0,361,0,0,0,0,0,66,115,40,0,0,66,11,3,0,36,18,9,2,0,54,9,0,1,0,4,2,10,9,0,21,17,11,3,737,693,177,153,59,
"Skye North East",343,0,0,0,0,464,0,0,0,0,0,150,0,0,0,0,290,0,0,0,0,0,69,111,61,0,0,84,11,1,0,36,21,11,0,0,51,7,1,0,0,2,2,3,12,0,22,12,8,1,811,550,195,147,73,
"Skye North West",287,0,0,0,0,268,0,0,0,0,0,208,0,0,0,0,419,0,0,0,0,0,76,105,48,0,0,79,23,1,0,23,18,3,1,0,27,4,1,0,0,0,0,2,15,0,20,26,8,5,555,693,200,141,73,
"Ross and Cromarty South West",312,0,0,0,0,321,0,0,0,0,0,236,0,0,0,0,331,0,0,0,0,0,50,59,36,0,0,53,20,0,0,15,11,2,1,0,38,4,0,0,0,4,4,7,7,0,17,12,7,7,633,647,134,95,51,
"Ross and Cromarty North West",278,0,0,0,0,320,0,0,0,0,0,188,0,0,0,0,310,0,0,0,0,0,88,95,39,0,0,64,19,3,0,31,22,1,0,0,38,7,1,0,0,2,1,7,6,0,20,10,8,0,599,589,192,131,50,
"Ross and Cromarty Central",232,0,0,0,0,219,0,0,0,0,0,188,0,0,0,0,363,0,0,0,0,0,71,100,65,0,0,93,24,3,0,35,23,7,1,0,56,6,0,0,0,1,8,8,13,0,12,3,6,3,451,656,204,149,88,
"Ross and Cromarty East",199,0,0,0,0,190,0,0,0,0,0,203,1,0,0,0,290,0,0,0,0,0,77,104,40,0,0,75,17,3,0,22,19,7,5,0,37,6,2,0,0,0,3,8,12,0,14,14,13,0,388,566,191,151,59,
"Muir of Ord",223,0,0,0,0,301,0,0,0,0,0,163,0,0,0,0,320,0,0,0,0,0,93,134,57,0,0,85,20,3,0,59,25,14,1,0,70,4,4,0,0,0,1,4,7,0,14,14,4,5,524,623,228,176,75,
"Conon",285,0,0,0,0,280,0,0,0,0,0,189,0,0,0,0,347,0,0,0,0,0,106,148,67,0,0,79,27,3,0,51,48,15,1,0,63,10,0,0,0,3,4,4,8,0,16,8,2,1,561,668,255,201,86,
"Dingwall",405,0,0,0,0,658,0,0,0,0,0,225,0,0,0,0,397,0,0,0,0,0,112,178,70,0,0,128,25,4,0,65,58,15,6,0,88,14,2,0,0,2,8,11,18,0,29,15,10,4,1063,807,329,239,101,
"Black Isle South",189,0,0,0,0,201,0,0,0,0,0,157,0,0,0,0,277,0,0,0,0,0,95,115,35,0,0,75,14,1,0,26,31,12,1,0,43,6,0,0,0,2,3,3,5,0,12,10,5,1,392,516,219,149,45,
