SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013666",88,38,4,37,47,10,15,32,14,11,22,13,13,13,8,163,152,49,
"S01013667",154,82,5,22,51,21,11,9,6,5,8,8,4,2,2,196,152,42,
"S01013668",107,91,3,34,42,25,6,14,9,3,4,6,1,0,0,147,151,40,
"S01013669",64,59,4,27,43,22,10,10,8,0,6,6,1,0,2,102,120,41,
"S01013670",100,84,1,43,73,31,8,20,10,8,4,14,2,2,1,160,181,60,
"S01013671",160,104,5,15,84,48,6,14,23,4,8,14,0,6,6,185,220,92,
"S01013672",49,161,13,33,72,66,11,32,30,3,23,20,1,12,11,95,299,141,
"S01013673",58,77,3,16,49,22,10,23,15,4,2,15,5,2,0,93,150,56,
"S01013674",56,93,3,33,57,25,6,13,19,0,7,6,1,8,5,98,178,62,
"S01013675",61,78,4,14,80,37,5,7,13,0,9,16,2,5,6,83,181,75,
"S01013676",113,148,11,45,71,42,15,30,17,12,13,9,5,4,10,188,271,89,
"S01013677",207,99,5,50,68,19,11,15,15,3,19,13,2,3,4,272,198,58,
"S01013678",60,54,6,25,45,33,5,18,18,2,19,15,2,7,5,95,146,80,
"S01013679",106,54,3,22,58,20,7,31,13,4,14,13,5,7,4,147,164,53,
"S01013680",99,71,3,46,67,28,13,24,9,2,13,9,2,7,5,161,182,56,
"S01013681",173,70,4,31,49,10,10,12,7,6,9,4,4,1,2,223,145,27,
"S01013682",36,39,1,15,37,22,3,6,6,4,10,7,0,3,4,58,93,41,
"S01013683",103,86,3,28,64,34,10,15,5,2,23,9,2,3,8,145,187,61,
"S01013684",60,61,7,37,47,25,13,17,23,2,7,9,5,2,2,113,132,66,
"S01013685",59,44,3,23,74,34,4,16,20,2,7,23,0,4,11,88,149,91,
"S01013686",61,46,1,26,40,22,6,25,16,5,11,10,1,4,4,100,125,55,
"S01013687",72,56,3,29,39,18,6,14,11,4,9,8,0,3,2,112,121,42,
"S01013688",101,67,5,34,62,29,13,27,28,4,13,19,0,1,3,152,170,82,
"S01013689",51,47,6,17,44,19,7,29,23,4,8,11,4,3,6,81,130,65,
"S01013690",35,34,3,21,45,22,6,16,13,2,10,12,0,1,1,66,104,47,
"S01013691",95,48,4,31,64,21,6,25,38,4,14,19,0,2,10,134,153,87,
"S01013692",106,77,8,25,71,31,8,28,19,3,14,24,0,12,6,142,206,87,
"S01013693",84,69,0,24,98,42,7,33,31,0,10,14,1,2,4,117,204,92,
"S01013694",133,77,7,23,72,35,3,25,23,2,21,21,0,6,1,158,199,88,
"S01013695",50,37,0,16,61,26,4,5,22,0,7,9,0,1,6,74,111,67,
"S01013696",99,69,6,41,69,46,11,35,22,8,18,18,1,5,6,159,192,93,
"S01013697",79,46,2,13,60,20,8,21,10,3,14,17,2,6,8,105,147,57,
"S01013698",17,21,0,19,31,16,16,25,18,11,11,17,4,9,5,63,94,55,
"S01013699",36,29,5,22,30,21,12,15,19,4,13,10,2,10,4,75,101,58,
"S01013700",82,74,3,34,72,33,12,25,20,6,16,32,1,1,10,133,192,101,
"S01013701",26,28,0,23,56,18,7,26,20,5,11,13,2,2,9,61,121,62,
"S01013702",50,35,2,25,59,45,10,27,32,13,23,31,2,11,11,98,154,120,
"S01013703",41,35,2,13,49,32,9,23,9,3,4,15,3,7,10,65,120,69,
"S01013704",59,46,4,24,63,44,7,23,29,3,11,28,2,4,8,86,146,106,
"S01013705",49,38,3,21,50,32,4,19,25,3,14,21,4,8,6,80,126,85,
"S01013706",42,52,5,16,49,25,6,21,16,1,12,24,2,2,4,67,136,72,
"S01013707",45,22,3,38,28,21,19,25,25,17,24,21,7,9,7,127,110,77,
"S01013708",44,31,3,16,52,20,6,18,16,3,22,20,1,5,9,70,131,71,
"S01013709",40,26,3,29,34,12,35,24,13,8,11,9,4,5,8,121,100,44,
"S01013710",124,64,4,56,40,21,40,34,14,12,19,12,9,13,10,240,172,61,
"S01013711",49,44,3,35,62,25,13,32,17,10,11,19,1,2,6,109,154,71,
"S01013712",97,52,0,38,56,12,28,31,16,11,22,22,14,18,15,192,179,65,
"S01013713",20,31,4,21,52,32,13,29,18,0,16,16,8,5,5,64,135,71,
"S01013714",72,45,3,19,43,14,5,13,12,2,9,10,0,4,2,101,117,47,
"S01013715",8,39,3,2,39,83,0,10,52,0,9,59,1,4,16,11,99,215,
"S01013716",19,53,5,5,44,52,0,5,21,0,11,22,0,2,4,24,113,106,
"S01013717",4,68,0,6,45,59,1,26,76,2,16,73,1,2,13,16,159,222,
"S01013718",15,51,6,10,72,69,2,8,43,1,9,35,0,0,6,28,142,159,
"S01013719",5,22,2,2,18,49,1,5,22,0,5,33,0,2,9,8,51,115,
"S01013720",19,97,10,18,43,76,3,16,35,1,11,24,1,6,5,40,174,148,
"S01013721",7,59,10,4,30,57,0,3,13,0,3,12,0,1,3,11,95,92,
"S01013722",12,67,10,4,35,67,0,23,43,1,15,66,0,5,9,15,144,192,
"S01013723",15,54,1,4,58,45,9,22,31,2,18,40,0,9,11,30,158,129,
"S01013724",51,187,12,25,70,68,7,22,21,5,18,16,4,7,7,94,304,124,
"S01013725",57,110,8,23,58,21,5,19,9,3,13,9,1,3,3,88,203,50,
"S01013726",35,82,7,5,45,46,0,27,38,2,16,32,0,10,13,43,180,137,
"S01013727",38,133,7,19,75,52,4,33,25,2,20,28,3,3,9,65,266,121,
"S01013728",57,72,4,5,58,35,5,19,28,0,17,15,0,8,4,69,179,84,
"S01013729",84,67,0,10,69,21,5,22,14,2,15,14,1,4,1,102,178,52,
"S01013730",62,42,4,15,37,14,1,11,17,1,7,15,0,2,2,76,101,50,
"S01013731",50,133,5,20,68,66,1,18,27,3,13,22,0,2,8,74,236,134,
"S01013732",39,96,6,16,48,36,6,11,14,2,6,6,0,0,2,62,164,62,
"S01013733",108,98,4,30,80,32,12,29,29,3,10,16,2,2,6,158,219,86,
"S01013734",74,56,5,21,61,48,6,22,34,1,15,28,1,8,3,104,163,120,
