SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household tenure - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Dunfermline Headwell",671,0,0,684,0,0,0,531,0,0,0,342,0,0,27,1357,531,369,
"Dunfermline Central",626,0,0,474,0,0,0,168,0,0,0,483,0,0,17,1100,168,500,
"Dunfermline Brucefield",438,0,0,423,0,0,0,381,0,0,0,230,0,0,7,861,381,236,
"Dunfermline Garvock Hill",727,0,0,464,0,0,0,37,0,0,0,64,0,0,0,1188,37,66,
"Townhill and Kingseat",537,0,0,384,0,0,0,153,0,0,0,113,0,0,22,921,153,128,
"Dunfermline Bellyeoman",642,0,0,477,0,0,0,198,0,0,0,81,0,0,15,1119,198,97,
"Dunfermline Duloch North",194,0,0,630,0,0,0,254,0,0,0,140,0,0,2,824,254,142,
"Dunfermline Halbeath and Lynebank",402,0,0,865,0,0,0,197,0,0,0,76,0,0,4,1263,197,83,
"Dunfermline Touch and Woodmill",312,0,0,399,0,0,0,586,0,0,0,164,0,0,21,711,586,185,
"Dunfermline Abbeyview North",352,0,0,478,0,0,0,795,0,0,0,181,0,0,22,830,795,203,
"Dunfermline Abbeyview South",392,0,0,437,0,0,0,272,0,0,0,139,0,0,16,829,272,155,
"Dunfermline Duloch South",333,0,0,826,0,0,0,61,0,0,0,129,0,0,5,1159,61,135,
"Dunfermline Masterton",292,0,0,1055,0,0,0,91,0,0,0,107,0,0,6,1347,91,113,
"Dunfermline Pitcorthie East",747,0,0,611,0,0,0,20,0,0,0,110,0,0,3,1358,20,113,
"Dunfermline Pitcorthie West",600,0,0,375,0,0,0,51,0,0,0,93,0,0,9,975,51,101,
"Rosyth North",470,0,0,468,0,0,0,197,0,0,0,156,0,0,15,938,197,171,
"Rosyth East",497,0,0,431,0,0,0,333,0,0,0,145,0,0,20,929,333,165,
"Rosyth Central",503,0,0,461,0,0,0,610,0,0,0,174,0,0,26,966,610,201,
"Rosyth South",228,0,0,372,0,0,0,208,0,0,0,117,0,0,6,607,208,127,
"North Queensferry and Inverkeithing West",645,0,0,643,0,0,0,308,0,0,0,300,0,0,16,1292,308,316,
"Inverkeithing East",432,0,0,458,0,0,0,402,0,0,0,181,0,0,7,890,402,186,
"Dalgety Bay West and Hillend",398,0,0,505,0,0,0,11,0,0,0,51,0,0,4,903,11,55,
"Dalgety Bay Central",1091,0,0,662,0,0,0,21,0,0,0,251,0,0,16,1753,21,265,
"Dalgety Bay East",592,0,0,369,0,0,0,56,0,0,0,67,0,0,12,961,56,83,
"Crossgates and South Knowe",554,0,0,580,0,0,0,141,0,0,0,108,0,0,17,1136,141,125,
"Hill of Beath",372,0,0,484,0,0,0,508,0,0,0,92,0,0,21,856,508,113,
"Cowdenbeath South",399,0,0,367,0,0,0,561,0,0,0,130,0,0,25,766,561,155,
"Cowdenbeath North",656,0,0,788,0,0,0,467,0,0,0,181,0,0,38,1444,467,216,
"Kelty West",374,0,0,295,0,0,0,472,0,0,0,56,0,0,20,669,472,75,
"Kelty East and Landward",595,0,0,631,0,0,0,502,0,0,0,154,0,0,26,1226,502,180,
"Lochore and Crosshill",379,0,0,267,0,0,0,454,0,0,0,106,0,0,24,646,454,133,
"Ballingry",280,0,0,265,0,0,0,685,0,0,0,84,0,0,24,543,685,108,
"Cardenden",603,0,0,600,0,0,0,925,0,0,0,137,0,0,14,1203,925,160,
"Lochgelly East",723,0,0,702,0,0,0,550,0,0,0,138,0,0,26,1425,550,164,
"Lochgelly West and Lumphinnans",363,0,0,307,0,0,0,567,0,0,0,150,0,0,30,674,567,180,
"Aberdour and Auchtertool",669,0,0,478,0,0,0,182,0,0,0,170,0,0,32,1147,182,202,
"Burntisland West",574,0,0,547,0,0,0,431,0,0,0,172,0,0,37,1121,431,209,
"Burntisland East",588,0,0,370,0,0,0,170,0,0,0,86,0,0,18,958,170,100,
"Kinghorn",649,0,0,356,0,0,0,199,0,0,0,120,0,0,23,1005,199,143,
"Kirkcaldy Linktown and Seafield",584,0,0,505,0,0,0,777,0,0,0,301,0,0,29,1089,777,330,
"Kirkcaldy Central",697,0,0,458,0,0,0,291,0,0,0,344,0,0,21,1155,291,365,
"Kirkcaldy Bennochy East",601,0,0,442,0,0,0,166,0,0,0,473,0,0,29,1043,166,502,
"Kirkcaldy Bennochy West",488,0,0,387,0,0,0,321,0,0,0,145,0,0,15,875,321,160,
"Kirkcaldy Raith",642,0,0,388,0,0,0,13,0,0,0,92,0,0,5,1030,13,100,
"Kirkcaldy Newliston and Redcraigs",633,0,0,448,0,0,0,253,0,0,0,101,0,0,16,1081,253,119,
"Kirkcaldy Templehall West",332,0,0,358,0,0,0,614,0,0,0,121,0,0,26,690,614,143,
"Kirkcaldy Templehall East",491,0,0,444,0,0,0,1024,0,0,0,163,0,0,27,931,1024,190,
"Kirkcaldy Dunnikier",812,0,0,505,0,0,0,9,0,0,0,55,0,0,14,1321,9,69,
"Kirkcaldy Chapel",647,0,0,939,0,0,0,320,0,0,0,144,0,0,16,1584,320,156,
"Kirkcaldy Hayfield and Smeaton",423,0,0,379,0,0,0,585,0,0,0,236,0,0,30,798,585,263,
"Kirkcaldy Pathhead",603,0,0,385,0,0,0,257,0,0,0,344,0,0,17,987,257,357,
"Kirkcaldy Gallatown and Sinclairtown",444,0,0,448,0,0,0,1242,0,0,0,279,0,0,44,893,1242,323,
"Dysart",522,0,0,432,0,0,0,651,0,0,0,232,0,0,23,954,651,255,
"Wemyss",559,0,0,473,0,0,0,445,0,0,0,191,0,0,30,1028,445,221,
"Thornton and Kinglassie",729,0,0,816,0,0,0,594,0,0,0,189,0,0,32,1549,594,221,
"Leslie and Newcastle",690,0,0,533,0,0,0,484,0,0,0,213,0,0,32,1225,484,245,
"Glenrothes Macedonia and Tanshall",470,0,0,436,0,0,0,714,0,0,0,290,0,0,19,906,714,309,
"Glenrothes South Parks",423,0,0,280,0,0,0,208,0,0,0,141,0,0,13,703,208,154,
"Glenrothes Caskieberran and Rimbleton",673,0,0,605,0,0,0,367,0,0,0,250,0,0,28,1279,367,278,
"Glenrothes Auchmuty",383,0,0,310,0,0,0,503,0,0,0,256,0,0,27,693,503,283,
"Glenrothes Stenton and Finglassie",603,0,0,365,0,0,0,313,0,0,0,84,0,0,14,971,313,98,
"Glenrothes Pitteuchar",791,0,0,743,0,0,0,351,0,0,0,218,0,0,21,1533,351,238,
"Glenrothes Woodside",427,0,0,379,0,0,0,243,0,0,0,92,0,0,15,806,243,107,
"Glenrothes Balgeddie",731,0,0,528,0,0,0,17,0,0,0,46,0,0,15,1262,17,61,
"Glenrothes Collydean",155,0,0,194,0,0,0,542,0,0,0,91,0,0,8,352,542,99,
"Glenrothes Cadham and Pitcoudie",332,0,0,310,0,0,0,371,0,0,0,134,0,0,13,642,371,145,
"Glenrothes Balfarg Pitcairn and Coul",448,0,0,418,0,0,0,309,0,0,0,40,0,0,12,865,309,52,
"Markinch and Star",827,0,0,708,0,0,0,163,0,0,0,171,0,0,26,1531,163,197,
"Windygates and Coaltown",735,0,0,440,0,0,0,169,0,0,0,149,0,0,34,1171,169,183,
"Buckhaven Denbeath and Muiredge",728,0,0,475,0,0,0,917,0,0,0,331,0,0,38,1199,917,372,
"Methil Methilhill",582,0,0,483,0,0,0,752,0,0,0,161,0,0,30,1065,752,194,
"Methil West",263,0,0,188,0,0,0,610,0,0,0,171,0,0,21,454,610,192,
"Methil East",441,0,0,279,0,0,0,598,0,0,0,277,0,0,24,720,598,301,
"Leven East",628,0,0,357,0,0,0,379,0,0,0,352,0,0,38,985,379,390,
"Leven West",527,0,0,601,0,0,0,431,0,0,0,153,0,0,20,1127,431,176,
"Leven North",555,0,0,391,0,0,0,265,0,0,0,71,0,0,16,946,265,87,
"Largo",696,0,0,285,0,0,0,99,0,0,0,91,0,0,11,981,99,102,
"Kennoway and Bonnybank",925,0,0,626,0,0,0,729,0,0,0,157,0,0,39,1545,729,199,
"Kettle and Ladybank",880,0,0,538,0,0,0,233,0,0,0,185,0,0,21,1418,233,209,
"Falkland and Freuchie",511,0,0,340,0,0,0,100,0,0,0,112,0,0,20,851,100,132,
"Auchtermuchty and Gateside",797,0,0,566,0,0,0,293,0,0,0,147,0,0,32,1363,293,178,
"Newburgh",577,0,0,347,0,0,0,242,0,0,0,167,0,0,20,924,242,187,
"Cupar West and Springfield",742,0,0,507,0,0,0,203,0,0,0,155,0,0,21,1251,203,176,
"Cupar Central",375,0,0,359,0,0,0,536,0,0,0,304,0,0,12,734,536,320,
"Cupar East",977,0,0,513,0,0,0,173,0,0,0,152,0,0,25,1490,173,177,
"Dairsie Ceres and Dunino",685,0,0,349,0,0,0,82,0,0,0,160,0,0,21,1031,82,185,
"Elie Colinsburgh and Largoward",550,0,0,236,0,0,0,169,0,0,0,171,0,0,41,786,169,214,
"St Monans and Pittenweem",698,0,0,308,0,0,0,288,0,0,0,178,0,0,28,1005,288,206,
"Anstruther",852,0,0,488,0,0,0,374,0,0,0,235,0,0,30,1337,374,265,
"Crail and Boarhills",646,0,0,225,0,0,0,173,0,0,0,194,0,0,33,868,173,227,
"St Andrews South East",517,0,0,232,0,0,0,422,0,0,0,425,0,0,24,749,422,448,
"St Andrews Central",427,0,0,155,0,0,0,302,0,0,0,994,0,0,37,582,302,1029,
"St Andrews South West",882,0,0,369,0,0,0,98,0,0,0,330,0,0,22,1251,98,349,
"St Andrews North and Strathkinness",651,0,0,254,0,0,0,54,0,0,0,232,0,0,17,905,54,250,
"Leuchars and Guardbridge",310,0,0,324,0,0,0,315,0,0,0,509,0,0,8,634,315,517,
"Balmullo and Gauldry",874,0,0,462,0,0,0,67,0,0,0,224,0,0,35,1336,67,259,
"Tayport",746,0,0,508,0,0,0,362,0,0,0,229,0,0,17,1251,362,246,
"Newport and Wormit",919,0,0,633,0,0,0,174,0,0,0,145,0,0,13,1552,174,158,
"Darnley East",477,0,0,477,0,0,0,1061,0,0,0,146,0,0,30,954,1061,180,
"Darnley North",302,0,0,836,0,0,0,388,0,0,0,92,0,0,12,1138,388,107,
"Darnley West",496,0,0,1022,0,0,0,172,0,0,0,142,0,0,18,1518,172,159,
"Nitshill",164,0,0,522,0,0,0,519,0,0,0,56,0,0,13,689,519,69,
"South Nitshill",238,0,0,325,0,0,0,1102,0,0,0,115,0,0,19,563,1102,134,
"Crookston South",218,0,0,275,0,0,0,1042,0,0,0,77,0,0,19,497,1042,96,
"Crookston North",451,0,0,361,0,0,0,449,0,0,0,77,0,0,25,810,449,100,
"Pollok South and West",951,0,0,1228,0,0,0,82,0,0,0,113,0,0,28,2179,82,137,
"Pollok North and East",509,0,0,700,0,0,0,1072,0,0,0,151,0,0,25,1212,1072,176,
"Cardonald South and East",430,0,0,332,0,0,0,377,0,0,0,194,0,0,26,766,377,216,
"Cardonald North",475,0,0,421,0,0,0,847,0,0,0,130,0,0,47,898,847,177,
"Cardonald West and Central",1008,0,0,744,0,0,0,387,0,0,0,234,0,0,29,1752,387,263,
"Penilee",558,0,0,661,0,0,0,796,0,0,0,163,0,0,32,1218,796,194,
"Hillington",506,0,0,464,0,0,0,292,0,0,0,285,0,0,32,970,292,312,
"Drumoyne and Shieldhall",646,0,0,672,0,0,0,1448,0,0,0,348,0,0,36,1318,1448,386,
"Govan and Linthouse",176,0,0,304,0,0,0,2277,0,0,0,300,0,0,88,478,2277,384,
"Craigton",500,0,0,462,0,0,0,621,0,0,0,247,0,0,31,962,621,278,
"Mosspark",743,0,0,788,0,0,0,523,0,0,0,145,0,0,42,1531,523,189,
"Ibrox",182,0,0,196,0,0,0,1096,0,0,0,209,0,0,48,381,1096,254,
"Ibrox East and Cessnock",277,0,0,312,0,0,0,769,0,0,0,705,0,0,36,589,769,739,
"Kinning Park and Festival Park",414,0,0,508,0,0,0,419,0,0,0,710,0,0,43,918,419,753,
"Kingston West and Dumbreck",473,0,0,426,0,0,0,589,0,0,0,346,0,0,32,899,589,378,
"Pollokshields West",547,0,0,548,0,0,0,265,0,0,0,286,0,0,23,1095,265,312,
"Pollokshields East",406,0,0,784,0,0,0,341,0,0,0,558,0,0,33,1190,341,587,
"Govanhill West",331,0,0,462,0,0,0,1131,0,0,0,772,0,0,44,793,1131,816,
"Govanhill East and Aikenhead",296,0,0,364,0,0,0,1081,0,0,0,372,0,0,25,660,1081,401,
"Battlefield",586,0,0,1119,0,0,0,296,0,0,0,647,0,0,33,1705,296,683,
"Strathbungo",647,0,0,976,0,0,0,301,0,0,0,909,0,0,25,1623,301,930,
"Maxwell Park",1210,0,0,925,0,0,0,101,0,0,0,187,0,0,37,2135,101,224,
"Shawlands West",458,0,0,783,0,0,0,109,0,0,0,797,0,0,20,1244,109,820,
"Shawlands East",410,0,0,689,0,0,0,106,0,0,0,691,0,0,28,1099,106,715,
"Langside",700,0,0,940,0,0,0,155,0,0,0,569,0,0,28,1639,155,597,
"Pollokshaws",390,0,0,675,0,0,0,1182,0,0,0,431,0,0,34,1068,1182,461,
"Carnwadric West",339,0,0,338,0,0,0,1116,0,0,0,142,0,0,31,677,1116,173,
"Carnwadric East",399,0,0,390,0,0,0,366,0,0,0,217,0,0,25,789,366,242,
"Newlands",922,0,0,749,0,0,0,400,0,0,0,133,0,0,27,1675,400,160,
"Merrylee and Millbrae",563,0,0,634,0,0,0,142,0,0,0,171,0,0,14,1197,142,185,
"Muirend and Old Cathcart",1017,0,0,833,0,0,0,146,0,0,0,249,0,0,21,1853,146,270,
"Carmunnock North",971,0,0,860,0,0,0,422,0,0,0,123,0,0,22,1831,422,145,
"Glenwood South",227,0,0,353,0,0,0,1864,0,0,0,90,0,0,22,580,1864,113,
"Glenwood North",158,0,0,296,0,0,0,1371,0,0,0,75,0,0,20,456,1371,95,
"Castlemilk",536,0,0,517,0,0,0,1421,0,0,0,281,0,0,50,1053,1421,333,
"Kingspark South",602,0,0,659,0,0,0,48,0,0,0,300,0,0,35,1261,48,336,
"Kingspark North",702,0,0,657,0,0,0,55,0,0,0,214,0,0,24,1361,55,242,
"Cathcart",753,0,0,1160,0,0,0,480,0,0,0,793,0,0,32,1913,480,825,
"Mount Florida",549,0,0,812,0,0,0,348,0,0,0,505,0,0,34,1361,348,540,
"Toryglen and Oatlands",371,0,0,395,0,0,0,680,0,0,0,162,0,0,27,766,680,189,
"Polmadie and Toryglen",174,0,0,824,0,0,0,662,0,0,0,208,0,0,31,998,662,239,
"Gorbals and Hutchesontown",369,0,0,564,0,0,0,1764,0,0,0,430,0,0,36,933,1764,466,
"Laurieston and Tradeston",309,0,0,528,0,0,0,1047,0,0,0,1028,0,0,42,837,1047,1070,
"Calton and Gallowgate",342,0,0,440,0,0,0,910,0,0,0,766,0,0,43,781,910,809,
"Bridgeton",213,0,0,376,0,0,0,777,0,0,0,590,0,0,37,589,777,627,
"Dalmarnock",214,0,0,465,0,0,0,1224,0,0,0,139,0,0,32,679,1224,171,
"Parkhead West and Barrowfield",128,0,0,250,0,0,0,1358,0,0,0,244,0,0,37,378,1358,281,
"Barrowfield Central",125,0,0,218,0,0,0,1154,0,0,0,163,0,0,26,343,1154,189,
"Parkhead East and Braidfauld North",226,0,0,238,0,0,0,974,0,0,0,286,0,0,29,465,974,315,
"Braidfauld",305,0,0,312,0,0,0,886,0,0,0,206,0,0,48,615,886,254,
"Braidfauld West",99,0,0,377,0,0,0,710,0,0,0,208,0,0,17,476,710,228,
"Shettleston South",706,0,0,586,0,0,0,201,0,0,0,95,0,0,23,1290,201,118,
"Carmyle and Mount Vernon South",437,0,0,356,0,0,0,268,0,0,0,63,0,0,13,793,268,76,
"Mount Vernon North and Sandyhills",838,0,0,537,0,0,0,62,0,0,0,100,0,0,20,1375,62,120,
"Baillieston West",653,0,0,483,0,0,0,367,0,0,0,101,0,0,20,1136,367,116,
"Baillieston East",523,0,0,747,0,0,0,280,0,0,0,168,0,0,29,1270,280,198,
"Baillieston South",192,0,0,999,0,0,0,104,0,0,0,57,0,0,6,1191,104,64,
"Garrowhill West",883,0,0,647,0,0,0,56,0,0,0,59,0,0,8,1529,56,74,
"Garrowhill East and Swinton",763,0,0,784,0,0,0,61,0,0,0,79,0,0,16,1547,61,96,
"Easterhouse East",316,0,0,456,0,0,0,497,0,0,0,207,0,0,35,772,497,245,
"Central Easterhouse",79,0,0,83,0,0,0,1068,0,0,0,41,0,0,26,162,1068,67,
"Garthamlock, Auchinlea and Gartloch",287,0,0,608,0,0,0,698,0,0,0,131,0,0,23,895,698,154,
"North Barlanark and Easterhouse South",72,0,0,91,0,0,0,1255,0,0,0,39,0,0,24,161,1255,63,
"Barlanark",321,0,0,554,0,0,0,1294,0,0,0,163,0,0,47,875,1294,210,
"Greenfield",695,0,0,540,0,0,0,931,0,0,0,235,0,0,45,1235,931,280,
"Shettleston North",441,0,0,406,0,0,0,1256,0,0,0,359,0,0,66,847,1256,425,
"Tollcross",383,0,0,344,0,0,0,899,0,0,0,264,0,0,38,723,899,302,
"Old Shettleston and Parkhead North",281,0,0,593,0,0,0,1324,0,0,0,206,0,0,44,874,1324,250,
"Carntyne",547,0,0,351,0,0,0,646,0,0,0,178,0,0,28,898,646,206,
"Cranhill, Lightburn and Queenslie South",522,0,0,475,0,0,0,1569,0,0,0,161,0,0,44,997,1569,206,
"Craigend and Ruchazie",385,0,0,570,0,0,0,1377,0,0,0,132,0,0,41,957,1377,173,
"Riddrie and Hogganfield",507,0,0,521,0,0,0,1071,0,0,0,192,0,0,36,1028,1071,228,
"Blackhill and Barmulloch East",474,0,0,472,0,0,0,945,0,0,0,143,0,0,32,946,945,177,
"Robroyston and Millerston",314,0,0,859,0,0,0,22,0,0,0,44,0,0,14,1170,22,58,
"Robroyston South",571,0,0,766,0,0,0,15,0,0,0,110,0,0,14,1334,15,124,
"Balornock",500,0,0,429,0,0,0,804,0,0,0,125,0,0,42,929,804,167,
"Barmulloch",234,0,0,245,0,0,0,667,0,0,0,16,0,0,21,479,667,37,
"Petershill",328,0,0,422,0,0,0,801,0,0,0,301,0,0,42,746,801,343,
"Springburn",397,0,0,341,0,0,0,957,0,0,0,187,0,0,32,738,957,219,
"Springburn East and Cowlairs",346,0,0,292,0,0,0,1114,0,0,0,240,0,0,58,636,1114,295,
"Cowlairs and Port Dundas",179,0,0,237,0,0,0,1172,0,0,0,285,0,0,27,413,1172,312,
"Roystonhill, Blochairn, and Provanmill",255,0,0,281,0,0,0,2320,0,0,0,185,0,0,42,541,2320,231,
"Dennistoun North",425,0,0,610,0,0,0,209,0,0,0,809,0,0,39,1038,209,848,
"Alexandra Parade",256,0,0,298,0,0,0,477,0,0,0,393,0,0,17,553,477,410,
"Carntyne West and Haghill",258,0,0,252,0,0,0,1116,0,0,0,483,0,0,44,510,1116,527,
"Dennistoun",384,0,0,719,0,0,0,291,0,0,0,786,0,0,27,1103,291,809,
"Gallowgate North and Bellgrove",212,0,0,288,0,0,0,1192,0,0,0,757,0,0,22,500,1192,776,
"City Centre East",510,0,0,414,0,0,0,1290,0,0,0,1514,0,0,70,924,1290,1587,
"City Centre West",341,0,0,329,0,0,0,813,0,0,0,1061,0,0,86,670,813,1147,
"City Centre South",222,0,0,261,0,0,0,557,0,0,0,912,0,0,42,480,557,952,
"Anderston",300,0,0,431,0,0,0,787,0,0,0,959,0,0,25,731,787,984,
"Finnieston and Kelvinhaugh",270,0,0,399,0,0,0,369,0,0,0,666,0,0,20,669,369,686,
"Yorkhill",226,0,0,348,0,0,0,404,0,0,0,777,0,0,29,578,404,806,
"Woodlands",318,0,0,399,0,0,0,212,0,0,0,600,0,0,39,717,212,639,
"Kelvinbridge South",252,0,0,333,0,0,0,204,0,0,0,719,0,0,20,583,204,739,
"Woodside",195,0,0,238,0,0,0,803,0,0,0,504,0,0,36,427,803,540,
"Firhill",522,0,0,579,0,0,0,1213,0,0,0,842,0,0,67,1101,1213,909,
"Keppochhill",196,0,0,203,0,0,0,1489,0,0,0,277,0,0,51,395,1489,328,
"Ruchill",364,0,0,552,0,0,0,378,0,0,0,649,0,0,28,916,378,677,
"Ruchill Park",188,0,0,285,0,0,0,821,0,0,0,411,0,0,24,473,821,432,
"Possil Park",589,0,0,521,0,0,0,1588,0,0,0,268,0,0,43,1111,1588,311,
"Milton West",416,0,0,441,0,0,0,1016,0,0,0,196,0,0,38,857,1016,240,
"Milton East",304,0,0,256,0,0,0,828,0,0,0,101,0,0,30,560,828,132,
"Summerston Central and West",542,0,0,632,0,0,0,603,0,0,0,122,0,0,29,1176,603,151,
"Summerston North",532,0,0,418,0,0,0,579,0,0,0,172,0,0,29,954,579,201,
"Maryhill East",262,0,0,266,0,0,0,980,0,0,0,148,0,0,48,531,980,196,
"Maryhill West",219,0,0,301,0,0,0,711,0,0,0,197,0,0,21,520,711,218,
"Wyndford",238,0,0,185,0,0,0,1619,0,0,0,231,0,0,44,422,1619,272,
"Kelvindale",1158,0,0,907,0,0,0,83,0,0,0,490,0,0,31,2065,83,521,
"North Kelvin",579,0,0,637,0,0,0,157,0,0,0,563,0,0,33,1216,157,596,
"Kelvingrove and University",635,0,0,592,0,0,0,252,0,0,0,1248,0,0,48,1227,252,1296,
"Hillhead",474,0,0,533,0,0,0,970,0,0,0,1307,0,0,57,1007,970,1362,
"Glasgow Harbour and Partick South",488,0,0,699,0,0,0,516,0,0,0,1252,0,0,40,1183,516,1288,
"Partick",372,0,0,463,0,0,0,763,0,0,0,793,0,0,29,835,763,822,
"Partickhill and Hyndland",990,0,0,912,0,0,0,175,0,0,0,933,0,0,38,1902,175,967,
"Dowanhill",872,0,0,744,0,0,0,74,0,0,0,724,0,0,31,1616,74,755,
"Kelvinside and Jordanhill",1146,0,0,925,0,0,0,148,0,0,0,268,0,0,37,2071,148,309,
"Broomhill",810,0,0,755,0,0,0,293,0,0,0,382,0,0,29,1566,293,415,
"Victoria Park",650,0,0,533,0,0,0,642,0,0,0,239,0,0,23,1183,642,262,
"Scotstoun North and East",568,0,0,558,0,0,0,597,0,0,0,140,0,0,20,1126,597,164,
"Scotstoun South and West",278,0,0,323,0,0,0,1446,0,0,0,392,0,0,31,602,1446,426,
"Yoker South",350,0,0,506,0,0,0,1130,0,0,0,393,0,0,37,856,1130,430,
"Yoker North",422,0,0,367,0,0,0,268,0,0,0,79,0,0,8,786,268,87,
"Knightswood West",322,0,0,319,0,0,0,431,0,0,0,99,0,0,12,641,431,111,
"Knightswood East",564,0,0,576,0,0,0,850,0,0,0,181,0,0,31,1140,850,212,
"Knightswood Park West",419,0,0,393,0,0,0,728,0,0,0,104,0,0,29,808,728,137,
"Knightswood Park East",450,0,0,454,0,0,0,605,0,0,0,127,0,0,37,903,605,164,
"Anniesland East",789,0,0,680,0,0,0,149,0,0,0,493,0,0,18,1470,149,512,
"Anniesland West",922,0,0,1065,0,0,0,619,0,0,0,689,0,0,47,1987,619,736,
"Blairdardie East",724,0,0,737,0,0,0,986,0,0,0,221,0,0,43,1461,986,264,
"Blairdardie West",526,0,0,459,0,0,0,156,0,0,0,51,0,0,7,985,156,61,
"Drumchapel South",157,0,0,190,0,0,0,599,0,0,0,74,0,0,27,347,599,101,
"Drumchapel North",90,0,0,132,0,0,0,1274,0,0,0,63,0,0,20,222,1274,83,
"Drumry East",75,0,0,123,0,0,0,1250,0,0,0,60,0,0,22,198,1250,82,
"Drumry West",169,0,0,354,0,0,0,886,0,0,0,73,0,0,10,526,886,83,
"Lochaber West",1080,0,0,482,0,0,0,363,0,0,0,276,0,0,95,1562,363,368,
"Fort William North",722,0,0,563,0,0,0,635,0,0,0,115,0,0,35,1285,635,148,
"Fort William South",766,0,0,686,0,0,0,991,0,0,0,271,0,0,38,1452,991,309,
"Lochaber East and North",1043,0,0,592,0,0,0,421,0,0,0,197,0,0,99,1635,421,295,
"Badenoch and Strathspey South",798,0,0,390,0,0,0,246,0,0,0,197,0,0,48,1190,246,246,
"Badenoch and Strathspey Central",892,0,0,569,0,0,0,471,0,0,0,293,0,0,43,1461,471,336,
"Badenoch and Strathspey North",977,0,0,507,0,0,0,273,0,0,0,250,0,0,64,1484,273,314,
"Nairn Rural",1005,0,0,689,0,0,0,167,0,0,0,317,0,0,69,1693,167,386,
"Nairn East",714,0,0,402,0,0,0,412,0,0,0,292,0,0,32,1112,412,324,
"Nairn West",976,0,0,486,0,0,0,377,0,0,0,132,0,0,31,1457,377,163,
"Inverness East Rural",929,0,0,843,0,0,0,296,0,0,0,308,0,0,71,1770,296,382,
"Inverness Culloden and Balloch",828,0,0,642,0,0,0,140,0,0,0,165,0,0,11,1469,140,176,
"Inverness Smithton",451,0,0,469,0,0,0,280,0,0,0,243,0,0,20,919,280,263,
"Inverness Westhill",1037,0,0,1136,0,0,0,328,0,0,0,239,0,0,21,2173,328,262,
"Inverness Inshes",696,0,0,1223,0,0,0,269,0,0,0,401,0,0,21,1923,269,422,
"Inverness Slackbuie",333,0,0,849,0,0,0,171,0,0,0,243,0,0,16,1182,171,259,
"Inverness Lochardil and Holm Mains",1217,0,0,1069,0,0,0,211,0,0,0,256,0,0,28,2286,211,284,
"Inverness Drummond",632,0,0,445,0,0,0,373,0,0,0,147,0,0,15,1077,373,162,
"Inverness Hilton",539,0,0,504,0,0,0,479,0,0,0,273,0,0,24,1043,479,297,
"Inverness Drakies",531,0,0,380,0,0,0,9,0,0,0,84,0,0,11,910,9,99,
"Inverness Central, Raigmore and Longman",538,0,0,422,0,0,0,611,0,0,0,617,0,0,33,960,611,650,
"Inverness Crown and Haugh",987,0,0,524,0,0,0,175,0,0,0,354,0,0,28,1511,175,382,
"Inverness Ballifeary and Dalneigh",637,0,0,493,0,0,0,723,0,0,0,248,0,0,40,1133,723,288,
"Inverness Muirtown",567,0,0,486,0,0,0,667,0,0,0,465,0,0,33,1053,667,498,
"Inverness Merkinch",194,0,0,195,0,0,0,1310,0,0,0,120,0,0,24,393,1310,144,
"Inverness Scorguie",743,0,0,471,0,0,0,68,0,0,0,223,0,0,16,1214,68,239,
"Inverness Kinmylies and South West",598,0,0,672,0,0,0,422,0,0,0,174,0,0,17,1266,422,191,
"Inverness West Rural",770,0,0,504,0,0,0,185,0,0,0,190,0,0,34,1270,185,224,
"Inverness West Strathglass",691,0,0,410,0,0,0,129,0,0,0,142,0,0,23,1104,129,169,
"Loch Ness",1050,0,0,582,0,0,0,224,0,0,0,248,0,0,78,1632,224,325,
"Lochalsh",621,0,0,286,0,0,0,304,0,0,0,115,0,0,42,907,304,157,
"Skye South",978,0,0,364,0,0,0,308,0,0,0,134,0,0,38,1342,308,172,
"Skye North East",681,0,0,396,0,0,0,515,0,0,0,141,0,0,34,1077,515,175,
"Skye North West",970,0,0,398,0,0,0,135,0,0,0,109,0,0,51,1368,135,160,
"Ross and Cromarty South West",858,0,0,277,0,0,0,217,0,0,0,140,0,0,68,1135,217,208,
"Ross and Cromarty North West",830,0,0,297,0,0,0,247,0,0,0,139,0,0,50,1127,247,189,
