SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household tenure - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Cairnbulg/Inverallochy and Memsie",769,0,0,436,0,0,0,165,0,0,0,81,0,0,24,1205,165,108,
"Fraserburgh Smiddyhill",887,0,0,597,0,0,0,94,0,0,0,86,0,0,26,1482,94,112,
"Fraserburgh Lochpots",273,0,0,198,0,0,0,495,0,0,0,123,0,0,20,474,495,140,
"Fraserburgh Central-Academy",441,0,0,310,0,0,0,412,0,0,0,165,0,0,17,754,412,182,
"Fraserburgh Harbour and Broadsea",440,0,0,232,0,0,0,851,0,0,0,214,0,0,22,672,851,236,
"South Angus",1165,0,0,795,0,0,0,114,0,0,0,166,0,0,40,1960,114,208,
"Monikie and Wellbank",658,0,0,645,0,0,0,70,0,0,0,112,0,0,23,1303,70,132,
"Barry and Panbride",518,0,0,521,0,0,0,74,0,0,0,85,0,0,23,1039,74,107,
"Monifieth West",724,0,0,392,0,0,0,99,0,0,0,83,0,0,12,1116,99,97,
"Monifieth East",1236,0,0,733,0,0,0,230,0,0,0,182,0,0,31,1969,230,213,
"Carnoustie West",860,0,0,830,0,0,0,514,0,0,0,351,0,0,38,1690,514,389,
"Carnoustie East",1257,0,0,731,0,0,0,207,0,0,0,171,0,0,30,1990,207,197,
"Arbroath Landward",597,0,0,424,0,0,0,76,0,0,0,163,0,0,45,1021,76,208,
"Arbroath Kirkton",980,0,0,699,0,0,0,510,0,0,0,180,0,0,26,1679,510,205,
"Arbroath Keptie",796,0,0,436,0,0,0,261,0,0,0,217,0,0,23,1232,261,240,
"Arbroath Harbour",607,0,0,412,0,0,0,981,0,0,0,592,0,0,37,1019,981,628,
"Arbroath Cliffburn",661,0,0,661,0,0,0,767,0,0,0,166,0,0,11,1322,767,177,
"Arbroath Warddykes",595,0,0,452,0,0,0,884,0,0,0,143,0,0,27,1047,884,170,
"Lunan",594,0,0,334,0,0,0,170,0,0,0,203,0,0,36,927,170,239,
"Montrose South",836,0,0,650,0,0,0,819,0,0,0,527,0,0,41,1486,819,568,
"Montrose North",835,0,0,575,0,0,0,549,0,0,0,213,0,0,32,1410,549,242,
"Hillside",733,0,0,515,0,0,0,183,0,0,0,121,0,0,15,1248,183,136,
"Friockheim",657,0,0,413,0,0,0,102,0,0,0,276,0,0,73,1073,102,349,
"Brechin East",416,0,0,334,0,0,0,705,0,0,0,212,0,0,20,750,705,232,
"Brechin West",825,0,0,515,0,0,0,286,0,0,0,236,0,0,32,1340,286,267,
"Letham and Glamis",1195,0,0,769,0,0,0,200,0,0,0,372,0,0,83,1964,200,458,
"Forfar East",927,0,0,589,0,0,0,291,0,0,0,252,0,0,30,1516,291,282,
"Forfar Central",595,0,0,421,0,0,0,922,0,0,0,310,0,0,23,1016,922,335,
