"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Ibrox",194,38,0,0,0,493,176,10,0,2,24,7,2,0,0,63,79,17,3,0,61,83,24,2,0,17,24,9,3,1,89,52,6,0,0,61,37,12,2,0,17,20,10,2,1,48,36,5,1,0,1070,550,97,15,3,
"Ibrox East and Cessnock",95,33,0,1,0,732,303,11,0,0,10,9,0,0,0,121,174,27,4,0,50,84,31,2,0,11,20,13,0,0,50,30,5,1,0,27,21,7,1,0,13,15,4,0,1,92,69,27,1,2,1199,757,128,10,3,
"Kinning Park and Festival Park",126,45,4,0,0,413,350,14,2,0,15,31,1,0,0,127,201,54,3,0,71,122,36,7,3,3,25,10,5,0,35,35,0,0,0,39,16,6,4,1,7,14,8,3,1,120,97,39,5,1,953,935,172,29,10,
"Kingston West and Dumbreck",178,76,4,2,0,462,228,12,1,5,14,39,16,6,0,64,107,73,9,2,35,111,62,10,4,8,17,18,14,4,24,27,4,0,0,30,24,10,4,1,9,18,13,13,12,50,32,11,0,6,875,675,223,57,33,
"Pollokshields West",67,75,4,1,0,169,187,10,4,0,6,40,28,1,0,51,123,90,11,1,32,151,133,19,12,12,30,39,33,6,32,33,11,3,0,25,25,11,4,0,9,21,31,22,25,23,29,24,6,10,423,716,381,99,53,
"Pollokshields East",77,29,0,0,0,279,296,8,0,0,12,14,1,0,0,95,256,74,4,0,60,208,95,19,4,10,27,34,17,1,51,70,5,2,0,25,34,8,2,0,12,36,30,13,5,79,75,35,10,2,701,1046,293,62,15,
"Govanhill West",143,34,0,0,1,898,300,13,5,4,20,9,0,0,0,169,158,27,3,2,124,216,62,7,3,18,21,15,5,0,79,42,4,0,0,56,41,5,2,0,33,35,20,7,0,96,57,11,3,0,1632,916,157,31,7,
"Govanhill East and Aikenhead",223,38,2,0,1,513,199,18,1,0,27,26,1,0,0,90,128,30,4,0,105,203,82,12,3,12,23,20,3,2,83,38,5,0,0,70,36,10,0,0,11,21,20,8,1,30,36,12,5,0,1160,746,198,31,7,
"Battlefield",211,72,1,2,0,424,487,24,0,1,33,32,5,1,0,150,367,137,8,1,36,154,69,13,4,5,26,22,8,5,31,33,7,0,0,38,32,7,3,0,5,18,12,10,0,67,65,41,8,1,1006,1287,325,55,14,
"Strathbungo",93,72,3,0,0,710,462,22,1,2,14,36,9,1,0,212,334,88,5,0,58,199,73,8,2,10,26,10,4,0,35,35,2,0,0,28,31,8,1,0,10,17,4,2,1,107,82,29,4,3,1276,1292,250,26,7,
"Maxwell Park",124,204,8,3,1,112,281,19,4,0,27,163,68,4,2,37,228,206,11,2,22,189,168,40,3,6,48,75,41,11,15,37,8,2,0,9,29,25,8,0,0,20,41,37,21,13,34,30,11,13,367,1228,651,160,57,
"Shawlands West",142,57,4,0,0,432,413,17,5,0,18,29,2,0,0,171,306,114,3,0,20,93,20,3,1,1,16,8,3,2,20,29,9,0,0,17,16,12,3,0,2,8,2,4,1,74,65,36,3,0,897,1031,219,24,3,
"Shawlands East",145,46,0,0,0,443,373,16,1,0,13,15,1,0,0,126,250,81,5,0,33,90,31,2,1,6,9,10,5,0,16,23,3,0,0,14,12,5,0,0,4,9,4,3,1,47,49,31,1,0,843,878,183,17,3,
"Langside",133,113,1,0,0,353,519,16,5,1,17,54,9,2,0,108,340,159,15,0,34,143,49,5,1,9,15,17,7,0,21,23,4,0,0,14,35,13,0,1,2,10,6,3,4,35,64,32,1,0,727,1320,303,34,9,
"Pollokshaws",336,103,1,3,0,676,460,6,0,1,26,47,2,0,0,96,212,117,2,0,32,106,58,7,0,9,36,23,2,4,53,57,6,2,0,52,49,14,2,0,6,13,8,3,0,32,35,23,1,0,1310,1121,259,21,4,
"Carnwadric West",172,34,0,0,1,505,196,11,1,0,22,34,5,0,0,43,92,40,1,0,58,117,73,19,3,15,42,49,10,5,89,67,4,1,0,57,50,17,0,0,14,16,15,6,4,21,27,10,3,1,1004,681,222,47,16,
"Carnwadric East",128,62,1,0,0,172,166,9,2,0,15,47,13,0,0,30,92,42,2,1,31,83,71,1,1,17,39,17,18,5,42,64,14,1,0,59,51,15,4,0,8,13,7,2,1,21,17,10,3,0,525,634,198,34,6,
"Newlands",201,149,3,0,0,192,195,12,0,0,25,101,80,6,3,29,146,135,19,7,21,171,183,26,8,11,45,72,37,26,50,49,10,2,1,34,45,18,7,1,5,16,14,14,8,16,22,11,3,5,581,941,542,112,59,
"Merrylee and Millbrae",105,97,5,1,0,123,172,4,0,0,27,66,39,4,0,32,131,79,8,1,21,124,137,12,9,5,34,37,18,1,16,44,6,4,1,16,26,13,5,1,4,10,15,6,5,14,15,14,7,2,367,723,351,68,22,
"Muirend and Old Cathcart",191,194,3,0,0,205,284,7,4,0,37,134,45,5,0,45,192,139,10,3,11,162,158,18,9,12,55,59,35,15,16,34,7,0,0,24,44,18,3,2,1,5,9,2,5,20,16,20,4,1,564,1117,468,82,38,
"Carmunnock North",177,156,4,2,3,147,230,18,1,0,35,161,76,0,2,35,158,173,15,5,35,160,229,27,8,9,55,63,53,18,45,67,11,0,0,28,52,29,5,1,6,16,13,14,0,12,19,14,7,2,525,1078,627,126,39,
"Glenwood South",284,65,3,0,0,593,218,12,1,0,33,34,4,0,0,61,114,57,4,0,61,126,77,8,1,30,51,44,14,6,168,112,15,1,0,107,87,22,1,0,25,24,9,6,1,28,15,12,4,2,1401,849,258,39,10,
"Glenwood North",142,26,0,0,0,401,183,7,0,0,18,26,0,0,1,62,82,38,2,0,67,117,73,12,4,27,43,37,20,3,164,114,10,2,0,65,48,15,1,1,16,28,6,2,2,24,24,8,3,0,986,689,193,42,10,
"Castlemilk",383,103,0,0,0,486,308,12,3,0,44,69,3,0,0,67,162,55,3,0,81,170,71,12,0,25,51,42,21,8,163,115,10,3,1,105,85,24,4,1,18,10,11,2,2,41,17,13,4,0,1408,1096,240,46,14,
"Kingspark South",119,72,5,0,2,103,183,11,0,0,25,67,11,0,1,61,146,76,3,2,51,129,96,12,2,19,45,44,22,8,50,74,7,0,0,29,48,27,2,1,7,18,10,7,0,11,26,10,4,3,469,812,291,50,19,
"Kingspark North",116,88,1,1,0,102,148,7,1,0,30,101,28,0,0,45,157,119,6,2,29,148,128,9,1,12,46,45,26,7,32,57,6,2,0,20,27,26,2,0,7,8,14,3,7,10,20,7,2,1,397,803,385,51,17,
"Cathcart",177,121,3,0,0,752,713,21,1,0,23,69,22,0,0,122,303,163,9,1,25,149,105,14,2,7,22,47,10,3,53,58,10,1,0,37,36,20,3,0,5,7,10,1,2,22,37,17,6,0,1230,1518,415,43,12,
"Mount Florida",197,73,3,0,0,454,331,20,2,0,26,49,14,0,1,114,259,96,9,1,22,114,65,9,0,12,33,32,7,7,33,45,4,0,0,29,37,20,4,0,2,8,11,4,0,50,34,19,0,0,937,984,285,34,9,
"Toryglen and Oatlands",211,38,4,0,0,262,161,6,0,0,28,25,4,0,0,47,86,27,0,1,39,122,79,12,1,13,31,23,17,0,68,78,10,1,0,54,46,18,3,1,14,19,15,2,0,29,19,15,3,2,766,625,200,39,5,
"Polmadie and Toryglen",127,27,0,0,0,303,360,10,2,0,7,16,0,0,0,78,206,109,6,0,36,136,85,9,1,10,23,16,7,0,62,42,6,0,1,56,29,3,0,0,6,16,7,0,3,24,34,28,4,0,713,889,266,29,5,
"Gorbals and Hutchesontown",366,70,0,0,0,830,404,9,5,3,51,30,0,0,0,119,194,72,5,0,101,173,54,8,0,22,33,16,11,0,119,83,10,0,0,80,48,13,1,0,13,28,9,2,0,85,72,18,3,0,1787,1135,212,30,3,
"Laurieston and Tradeston",162,47,3,2,0,673,441,18,6,1,12,14,0,0,0,206,270,57,1,3,96,187,42,8,2,9,19,4,2,1,91,63,1,0,0,44,40,9,3,0,7,19,4,2,0,193,141,49,5,1,1491,1238,187,25,10,
"Calton and Gallowgate",174,38,4,1,0,754,351,13,4,0,29,20,2,0,0,187,210,45,3,2,54,79,31,1,0,8,16,13,4,1,61,37,1,0,0,41,20,3,0,0,7,8,1,0,0,166,81,24,2,0,1481,859,139,19,4,
"Bridgeton",155,32,0,0,1,522,273,6,0,1,24,14,0,0,0,115,140,33,1,0,62,110,36,2,1,5,15,12,0,0,91,36,10,0,0,52,34,5,0,0,13,11,4,2,0,84,60,24,0,0,1126,725,129,6,3,
"Dalmarnock",176,62,0,0,0,443,242,15,2,4,15,21,6,0,0,72,129,55,6,2,60,147,76,3,0,17,22,15,1,1,127,87,8,3,0,72,49,10,6,0,17,21,12,7,0,31,20,12,1,0,1030,797,212,28,7,
"Parkhead West and Barrowfield",194,37,0,0,0,647,272,13,0,2,19,11,3,0,0,73,92,24,2,0,65,86,36,2,0,12,17,2,2,0,127,58,6,0,0,60,26,6,2,0,11,11,7,3,2,33,36,7,5,0,1238,653,107,16,5,
"Barrowfield Central",152,18,0,0,0,354,122,5,0,1,21,11,2,0,0,62,79,29,1,0,57,111,45,6,0,22,32,19,9,4,143,87,7,0,0,61,55,19,1,0,24,18,10,2,0,57,35,10,0,0,953,569,141,19,4,
"Parkhead East and Braidfauld North",138,39,1,0,0,485,209,20,0,1,14,15,7,0,0,59,113,38,6,1,49,82,41,1,0,16,21,12,4,1,96,59,8,1,0,57,40,14,0,0,6,13,9,4,0,34,26,7,5,0,954,617,154,23,4,
"Braidfauld",157,50,2,0,0,364,236,11,2,0,21,21,5,0,0,44,98,55,3,5,56,93,65,8,2,7,22,21,8,2,87,83,8,0,0,55,34,17,1,0,9,20,15,1,0,31,23,10,3,0,831,680,206,31,7,
"Braidfauld West",95,27,1,0,0,268,161,18,0,0,11,10,0,0,1,42,87,55,3,0,50,120,76,3,2,9,24,21,1,2,82,67,9,0,2,49,21,12,0,0,11,11,10,6,0,23,18,9,1,0,636,547,210,16,6,
"Shettleston South",164,85,0,0,0,112,186,13,1,0,26,85,18,2,0,22,151,132,8,0,11,75,96,13,4,5,33,71,40,13,21,41,6,2,0,23,28,15,5,0,3,15,15,8,2,7,14,20,6,3,393,719,387,90,22,
"Carmyle and Mount Vernon South",134,69,2,0,0,93,93,13,2,0,16,66,18,0,0,16,82,46,9,2,4,70,63,17,3,8,23,29,17,8,30,50,10,0,0,27,42,17,2,0,2,3,7,3,0,7,20,4,2,0,347,513,208,52,12,
"Mount Vernon North and Sandyhills",101,142,8,1,0,35,164,6,5,0,27,152,56,6,0,21,113,145,10,2,6,61,121,21,4,4,19,61,63,19,8,42,8,0,0,7,23,19,5,3,2,5,9,5,2,6,19,8,7,2,218,740,441,121,32,
"Baillieston West",199,101,2,0,0,130,142,7,2,2,28,106,15,1,0,28,101,86,3,1,19,93,86,13,1,19,43,52,28,7,46,63,6,0,0,53,50,23,4,0,3,11,6,2,1,8,17,10,5,0,532,727,295,57,12,
"Baillieston East",149,87,1,0,0,152,219,12,2,0,22,68,12,4,1,22,118,114,8,1,11,99,159,15,3,14,40,36,44,11,41,85,6,2,0,37,47,22,5,1,1,8,11,12,2,13,23,11,3,2,459,790,384,91,23,
"Baillieston South",13,23,0,0,0,31,115,13,0,2,5,16,6,0,0,18,112,196,17,3,9,127,339,47,11,3,10,32,32,16,7,37,10,2,0,8,11,13,1,0,0,15,18,10,4,4,10,11,4,1,96,471,635,117,37,
"Garrowhill West",128,98,2,0,0,48,130,13,2,0,27,150,44,0,0,18,158,136,13,0,5,85,144,23,6,8,53,75,56,8,18,39,11,3,1,12,36,35,8,0,3,11,9,11,1,6,16,9,1,0,274,773,478,120,16,
"Garrowhill East and Swinton",87,97,6,0,0,61,185,12,0,0,24,95,22,0,0,10,173,168,7,2,9,104,140,35,5,5,41,107,59,19,16,58,9,5,0,12,31,29,4,0,3,5,14,11,2,1,12,13,7,0,230,805,517,126,29,
"Easterhouse East",117,36,0,0,0,274,197,13,4,1,16,27,6,0,0,38,92,83,8,0,41,68,100,14,2,12,41,33,13,4,57,55,10,0,0,42,29,7,1,0,7,14,9,3,2,16,11,7,2,0,619,570,271,44,10,
"Central Easterhouse",164,29,0,0,0,314,115,4,0,0,17,19,3,0,0,35,49,14,0,0,34,41,24,5,1,13,34,18,8,1,94,66,7,0,0,60,44,11,1,1,14,16,4,1,0,22,9,5,0,0,768,419,88,13,3,
"Garthamlock, Auchinlea and Gartloch",110,17,0,0,0,257,138,18,0,2,16,24,5,0,0,38,110,82,6,1,53,139,155,33,2,17,46,40,24,9,72,94,8,0,0,42,45,18,7,0,12,26,9,11,2,33,21,12,1,2,653,660,344,73,17,
"North Barlanark and Easterhouse South",123,28,0,1,1,302,104,1,1,0,19,9,2,0,0,45,64,14,2,0,38,78,44,4,3,16,35,29,4,3,139,83,10,0,1,66,59,16,3,0,19,44,2,2,0,28,19,8,3,0,801,520,129,21,10,
"Barlanark",160,58,1,1,0,411,240,12,0,0,25,30,5,0,0,59,153,84,9,1,77,152,119,18,5,36,46,42,21,6,176,111,11,4,1,71,67,19,0,0,15,30,16,6,0,37,23,14,3,0,1069,911,322,63,14,
"Greenfield",341,111,4,0,0,415,233,12,1,0,41,88,14,0,0,54,171,72,6,0,38,109,94,16,4,21,48,43,31,10,90,93,9,3,0,77,88,28,1,0,12,9,8,3,3,15,19,15,4,3,1101,962,299,64,20,
"Shettleston North",287,105,5,0,0,751,312,28,1,0,25,44,10,2,0,84,113,65,1,0,57,83,52,7,2,16,27,22,19,1,99,77,3,1,0,61,36,16,0,0,15,10,7,2,1,33,30,12,1,0,1430,839,220,36,5,
"Tollcross",219,75,4,0,2,413,202,4,2,0,27,39,10,0,0,63,146,42,5,0,53,92,43,8,3,8,39,23,9,3,90,87,8,1,0,56,40,13,1,0,11,15,4,0,0,25,19,8,3,0,967,761,159,32,7,
"Old Shettleston and Parkhead North",213,74,2,0,0,414,261,15,0,5,24,40,10,0,0,66,137,88,6,0,66,163,131,17,0,25,42,30,11,3,142,128,20,1,0,82,70,13,0,1,17,30,16,3,0,36,30,13,2,0,1084,975,341,39,9,
"Carntyne",293,81,2,0,1,235,208,7,1,2,51,61,4,0,0,44,98,51,4,0,27,76,35,6,1,8,35,33,14,2,74,65,7,0,1,56,53,20,1,0,4,9,10,0,1,24,22,13,2,1,811,717,185,27,8,
"Cranhill, Lightburn and Queenslie South",275,85,0,0,0,481,242,17,0,0,33,58,2,0,0,66,128,73,6,0,88,175,88,15,5,23,70,60,29,8,148,137,19,2,0,127,87,31,4,1,30,33,19,4,0,36,45,15,5,0,1302,1068,324,64,14,
"Craigend and Ruchazie",262,81,1,1,0,449,268,7,1,0,36,63,4,0,0,64,131,83,10,0,44,146,125,12,5,22,30,34,19,2,158,111,16,0,0,87,80,25,2,0,26,26,8,6,0,25,22,12,3,0,1173,957,316,52,8,
"Riddrie and Hogganfield",259,80,4,0,0,377,240,14,0,2,49,56,8,0,0,61,126,63,8,1,53,129,91,10,0,17,50,48,22,2,106,72,10,2,0,92,84,19,4,3,20,17,18,1,2,28,42,15,6,1,1064,905,288,56,11,
"Blackhill and Barmulloch East",192,66,2,0,0,297,188,14,0,1,36,51,7,2,0,46,106,64,5,0,52,136,117,6,5,23,42,38,12,3,102,110,16,1,0,90,67,25,2,0,18,21,16,3,1,40,26,12,5,0,896,814,310,36,11,
"Robroyston and Millerston",15,28,0,0,0,9,121,17,2,0,2,27,14,1,0,6,110,148,10,0,15,114,254,41,9,2,22,53,49,20,7,37,8,2,0,1,17,15,2,4,0,10,18,8,9,3,7,3,7,5,62,489,533,121,45,
"Robroyston South",52,88,1,0,0,60,218,25,3,0,4,70,20,0,0,14,150,177,13,1,6,66,153,25,2,5,28,70,26,12,8,32,6,0,1,10,28,19,3,0,0,6,13,7,1,2,14,15,5,3,165,708,503,81,19,
"Balornock",179,73,0,0,0,248,141,7,3,0,32,55,7,0,1,32,115,52,0,2,34,89,68,14,1,17,81,63,13,5,84,84,15,0,0,104,94,42,2,0,21,19,17,5,0,35,30,15,3,2,786,781,280,41,12,
"Barmulloch",137,26,0,0,0,191,83,7,0,0,25,18,0,0,0,24,58,28,2,1,31,57,47,7,2,19,29,32,14,0,71,55,14,2,0,66,45,14,3,0,9,12,12,3,1,15,12,4,1,1,590,397,159,32,5,
"Petershill",177,39,1,0,0,448,239,7,1,2,28,33,0,0,1,75,125,42,4,1,42,63,46,9,0,19,34,30,11,2,81,51,7,0,0,73,45,22,0,0,12,12,6,8,1,51,28,11,0,0,1006,671,173,35,6,
"Springburn",257,63,1,0,0,403,210,4,1,0,41,27,0,0,0,44,103,37,4,2,47,70,50,6,0,34,36,30,8,0,116,74,7,0,0,65,44,18,1,0,18,15,8,3,0,33,29,10,4,0,1053,669,171,24,2,
"Springburn East and Cowlairs",197,60,1,0,1,546,257,6,1,0,27,27,6,0,0,57,78,31,3,0,73,104,40,13,0,14,38,28,10,3,104,60,10,1,1,65,41,15,1,2,16,19,3,0,0,45,29,16,5,2,1144,701,155,34,11,
"Cowlairs and Port Dundas",162,32,0,0,0,542,240,7,1,1,22,16,1,0,0,83,107,32,2,3,47,78,30,0,1,10,27,17,0,1,87,55,12,1,0,65,51,11,3,2,12,14,4,0,0,50,44,18,2,0,1079,668,134,10,6,
"Roystonhill, Blochairn, and Provanmill",253,53,1,0,1,822,340,15,0,1,34,23,1,0,0,103,155,56,3,0,104,216,74,5,2,44,43,21,8,3,198,122,15,1,0,118,66,24,5,0,25,26,15,6,0,53,32,11,5,0,1740,1078,233,35,7,
"Dennistoun North",103,40,0,0,0,355,323,16,0,0,23,24,0,0,0,126,255,103,6,2,46,79,27,3,1,10,17,10,6,1,20,16,1,0,0,26,18,10,0,0,6,6,4,0,1,166,176,62,8,0,873,956,232,26,5,
"Alexandra Parade",162,48,0,0,0,355,215,12,0,0,15,15,0,2,0,89,120,38,1,0,21,39,7,0,1,11,11,5,1,0,21,23,4,0,0,31,27,2,2,1,4,7,4,1,0,78,44,14,1,0,790,550,90,8,2,
"Carntyne West and Haghill",210,42,0,0,0,654,276,18,0,2,25,31,3,0,0,99,124,38,2,1,52,77,33,2,0,16,24,18,4,0,109,68,6,0,0,70,35,7,0,0,10,12,5,0,0,55,26,10,0,0,1296,711,135,10,2,
"Dennistoun",125,31,2,0,0,409,335,10,2,0,18,11,2,0,0,189,302,88,7,0,38,75,24,0,0,5,16,7,3,0,29,25,0,0,0,23,17,12,2,0,7,5,5,1,0,161,144,46,18,0,1006,969,199,31,0,
"Gallowgate North and Bellgrove",220,32,2,0,1,782,286,8,1,0,23,13,1,0,0,131,129,37,0,0,51,75,13,0,0,11,27,15,3,1,82,44,5,2,0,56,34,15,0,0,11,10,7,0,0,202,110,32,1,0,1572,756,133,5,1,
"City Centre East",319,77,0,0,1,1392,404,23,3,1,31,12,0,0,0,382,180,25,3,1,52,64,13,1,0,17,16,3,2,0,58,30,1,0,0,51,32,3,0,0,11,6,0,0,0,407,137,29,6,5,2721,959,99,19,6,
"City Centre West",271,39,2,0,0,829,249,11,0,1,13,8,0,0,0,199,115,25,1,1,62,80,6,2,2,10,19,5,0,0,36,34,0,0,0,43,13,3,0,0,3,16,5,2,0,354,124,45,7,2,1821,694,101,11,3,
"City Centre South",63,21,2,0,0,728,247,10,0,1,5,7,0,0,0,178,104,9,0,0,56,65,9,1,0,5,10,2,0,0,28,14,1,1,0,10,11,3,0,0,6,1,0,0,0,263,91,19,12,0,1345,571,58,12,1,
"Anderston",123,38,0,0,0,544,365,16,0,0,10,18,4,0,0,165,218,58,4,0,119,172,29,5,0,7,18,10,1,0,65,51,5,0,0,36,40,4,0,0,6,9,4,0,0,205,108,30,4,1,1284,1037,165,15,1,
"Finnieston and Kelvinhaugh",50,38,1,0,0,291,246,23,0,0,3,14,3,0,0,107,169,56,6,1,37,96,24,4,1,5,12,6,0,0,30,25,0,0,0,15,24,5,0,0,6,2,3,0,0,242,117,51,9,3,788,739,169,20,5,
"Yorkhill",96,41,1,0,0,471,276,11,1,0,4,6,0,0,0,123,168,47,7,0,32,58,19,1,0,6,7,4,2,0,24,10,0,0,0,8,8,4,0,0,3,0,1,0,0,202,93,39,2,0,981,671,126,10,0,
"Woodlands",30,27,0,0,0,210,239,12,2,0,8,15,5,1,0,65,170,92,5,0,27,73,31,5,0,9,16,10,6,2,18,17,1,0,1,25,21,5,0,0,6,6,13,0,0,204,124,56,9,2,599,710,225,30,6,
"Kelvinbridge South",65,32,0,0,0,207,154,4,1,0,9,6,2,0,0,69,140,46,3,1,28,70,16,1,1,13,15,6,1,0,18,23,3,0,0,17,10,2,0,0,6,6,5,0,0,314,158,51,12,2,750,616,142,15,5,
"Woodside",235,30,0,0,0,491,194,7,0,2,26,7,1,0,0,113,110,18,3,0,35,55,18,4,0,6,15,6,4,0,37,27,3,0,1,40,31,6,0,0,1,6,2,0,0,121,81,28,1,0,1102,559,90,15,2,
"Firhill",284,96,1,3,0,778,446,20,0,0,27,22,3,3,0,177,236,70,5,0,80,159,66,2,0,15,31,21,7,0,88,62,8,0,0,60,40,17,2,0,12,12,6,0,1,196,112,45,5,3,1724,1213,257,25,4,
"Keppochhill",213,38,2,0,0,629,177,9,0,1,31,23,1,0,0,66,75,29,3,0,84,134,26,5,2,24,39,21,6,2,105,78,5,3,1,93,53,13,4,1,17,20,8,1,0,84,61,26,3,0,1346,700,141,23,8,
"Ruchill",104,64,1,0,2,400,353,17,0,1,15,15,3,0,0,123,225,82,0,0,31,79,36,1,0,3,13,4,4,1,32,21,1,0,0,12,18,6,0,0,2,7,3,0,0,146,103,38,8,1,868,894,190,14,5,
"Ruchill Park",98,36,0,0,0,477,216,13,1,3,11,10,0,0,0,74,112,36,1,0,35,81,35,11,0,10,27,21,5,0,85,66,8,2,0,40,24,6,2,0,8,10,9,1,0,73,47,23,4,0,918,629,152,26,4,
"Possil Park",370,102,4,0,1,622,305,17,3,0,46,76,4,2,0,82,157,44,8,1,59,163,101,10,1,27,65,51,11,4,123,105,18,3,0,118,92,31,2,0,27,19,17,6,0,47,45,18,1,0,1511,1134,306,45,9,
"Milton West",233,52,4,0,4,360,221,9,0,2,37,38,1,0,0,44,111,40,1,0,51,111,83,10,2,22,44,40,18,1,115,127,15,1,0,76,74,21,9,0,18,20,6,2,1,31,32,14,6,1,987,831,231,48,13,
"Milton East",177,38,0,0,0,284,125,7,0,0,28,38,2,0,0,34,65,25,2,0,52,93,46,13,1,17,39,31,7,2,97,73,8,1,0,56,46,18,4,1,19,17,7,2,1,14,19,14,7,0,774,549,158,33,7,
"Summerston Central and West",134,68,0,0,1,299,222,8,1,0,21,63,14,0,0,27,117,80,10,3,40,106,149,26,11,15,46,51,40,13,73,78,13,4,4,36,43,31,7,1,8,11,6,6,1,14,11,8,3,3,669,764,364,98,35,
"Summerston North",234,75,3,0,0,265,188,6,0,0,34,67,11,0,0,39,111,58,2,1,28,78,63,9,4,14,35,39,14,2,78,58,14,0,0,52,43,25,6,0,8,6,10,2,1,20,15,15,4,3,770,676,241,36,13,
"Maryhill East",175,41,0,0,0,396,172,15,2,2,25,26,3,0,0,49,81,25,1,0,52,121,50,5,0,12,27,16,3,2,98,79,7,0,2,41,40,13,3,0,16,8,6,2,1,51,25,8,6,0,912,618,147,21,6,
"Maryhill West",97,39,1,2,0,348,206,11,1,1,8,25,4,0,0,45,73,28,2,0,46,87,49,8,0,10,23,30,10,0,65,50,4,0,0,25,24,9,1,0,10,15,8,0,0,33,33,16,3,0,691,572,159,26,2,
"Wyndford",259,72,0,0,0,790,272,6,0,5,18,12,2,0,0,91,88,14,0,0,76,83,32,2,0,18,12,16,1,1,141,65,3,0,0,64,36,10,1,0,13,7,4,0,0,57,36,12,0,0,1526,681,95,5,6,
"Kelvindale",134,215,9,1,0,186,395,23,1,1,21,150,59,11,2,66,285,172,24,1,29,189,180,24,4,2,47,45,28,6,17,45,8,0,0,19,42,11,6,1,3,5,15,2,5,67,62,39,8,1,544,1446,555,103,21,
"North Kelvin",94,81,0,0,0,270,291,23,0,1,12,51,16,3,0,84,251,92,6,1,27,165,68,6,0,8,29,23,5,2,23,26,4,0,0,9,21,6,0,1,7,8,1,5,0,104,93,47,6,3,635,1016,279,31,8,
"Kelvingrove and University",119,79,4,0,0,419,323,10,1,0,15,53,10,0,0,154,240,89,6,0,47,149,43,12,1,7,38,14,6,3,24,25,2,0,0,28,20,5,2,0,8,10,6,2,1,435,247,101,15,8,1257,1176,284,41,16,
"Hillhead",201,72,1,0,0,851,502,27,1,0,26,21,4,0,0,256,264,78,2,1,47,98,35,2,1,8,18,9,3,0,69,32,3,1,0,50,26,4,2,0,9,8,2,1,0,345,187,61,11,1,1861,1226,226,22,4,
"Glasgow Harbour and Partick South",140,55,3,0,3,836,625,20,0,3,16,26,4,2,1,187,296,124,8,1,46,84,31,2,0,12,9,11,4,0,40,30,4,4,0,37,20,10,2,0,8,9,5,0,0,120,90,49,3,0,1442,1246,263,27,7,
"Partick",226,70,2,0,0,665,373,11,1,0,20,26,8,0,0,137,201,60,3,0,40,89,29,1,4,4,16,5,2,0,71,55,6,1,0,38,23,5,2,0,9,3,0,1,0,103,74,32,8,0,1304,933,160,19,4,
"Partickhill and Hyndland",265,151,12,0,0,355,535,21,1,0,20,90,30,0,0,166,367,194,16,4,34,189,73,8,5,7,34,27,8,1,23,44,3,1,0,10,29,7,1,0,7,6,8,3,2,125,93,60,17,0,1012,1534,434,56,10,
