SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Kingspark South",197,0,0,0,296,0,0,0,0,108,0,0,0,285,0,0,0,290,0,0,0,134,0,0,0,0,131,0,0,0,103,0,0,0,0,43,0,0,0,56,495,814,233,99,
"Kingspark North",206,0,0,0,253,0,0,0,0,159,0,0,0,327,0,0,0,317,0,0,0,136,0,0,0,0,96,0,0,0,78,0,0,0,0,38,0,0,0,43,459,939,174,81,
"Cathcart",301,0,0,0,1487,0,0,0,0,114,0,0,0,598,0,0,0,297,0,0,0,89,0,0,0,0,122,0,0,0,98,0,0,0,0,22,0,0,0,86,1788,1098,220,112,
"Mount Florida",270,0,0,0,805,0,0,0,0,90,0,0,0,483,0,0,0,210,0,0,0,91,0,0,0,0,78,0,0,0,91,0,0,0,0,24,0,0,0,99,1075,874,173,127,
"Toryglen and Oatlands",251,0,0,0,429,0,0,0,0,59,0,0,0,157,0,0,0,253,0,0,0,84,0,0,0,0,158,0,0,0,123,0,0,0,0,50,0,0,0,68,680,554,281,118,
"Polmadie and Toryglen",153,0,0,0,675,0,0,0,0,23,0,0,0,399,0,0,0,271,0,0,0,56,0,0,0,0,111,0,0,0,88,0,0,0,0,33,0,0,0,90,828,749,199,121,
"Gorbals and Hutchesontown",439,0,0,0,1255,0,0,0,0,83,0,0,0,390,0,0,0,333,0,0,0,83,0,0,0,0,212,0,0,0,142,0,0,0,0,51,0,0,0,179,1694,888,354,226,
"Laurieston and Tradeston",215,0,0,0,1141,0,0,0,0,27,0,0,0,537,0,0,0,336,0,0,0,35,0,0,0,0,155,0,0,0,94,0,0,0,0,28,0,0,0,390,1356,931,249,416,
"Calton and Gallowgate",216,0,0,0,1119,0,0,0,0,49,0,0,0,444,0,0,0,165,0,0,0,48,0,0,0,0,100,0,0,0,66,0,0,0,0,16,0,0,0,273,1335,710,166,289,
"Bridgeton",188,0,0,0,802,0,0,0,0,38,0,0,0,296,0,0,0,211,0,0,0,35,0,0,0,0,137,0,0,0,94,0,0,0,0,29,0,0,0,169,990,575,230,198,
"Dalmarnock",239,0,0,0,706,0,0,0,0,40,0,0,0,261,0,0,0,286,0,0,0,52,0,0,0,0,220,0,0,0,135,0,0,0,0,60,0,0,0,62,948,645,357,124,
"Parkhead West and Barrowfield",235,0,0,0,934,0,0,0,0,31,0,0,0,188,0,0,0,189,0,0,0,37,0,0,0,0,191,0,0,0,95,0,0,0,0,34,0,0,0,81,1169,447,286,115,
"Barrowfield Central",166,0,0,0,481,0,0,0,0,37,0,0,0,168,0,0,0,219,0,0,0,83,0,0,0,0,239,0,0,0,134,0,0,0,0,55,0,0,0,102,651,507,371,159,
"Parkhead East and Braidfauld North",177,0,0,0,716,0,0,0,0,37,0,0,0,217,0,0,0,173,0,0,0,51,0,0,0,0,167,0,0,0,112,0,0,0,0,35,0,0,0,73,894,477,279,105,
"Braidfauld",209,0,0,0,614,0,0,0,0,45,0,0,0,203,0,0,0,224,0,0,0,60,0,0,0,0,180,0,0,0,106,0,0,0,0,46,0,0,0,67,823,533,286,113,
"Braidfauld West",119,0,0,0,447,0,0,0,0,22,0,0,0,188,0,0,0,247,0,0,0,58,0,0,0,0,159,0,0,0,83,0,0,0,0,37,0,0,0,53,568,512,243,90,
"Shettleston South",251,0,0,0,311,0,0,0,0,130,0,0,0,317,0,0,0,202,0,0,0,165,0,0,0,0,71,0,0,0,67,0,0,0,0,45,0,0,0,52,563,814,137,97,
"Carmyle and Mount Vernon South",204,0,0,0,203,0,0,0,0,106,0,0,0,157,0,0,0,160,0,0,0,85,0,0,0,0,90,0,0,0,88,0,0,0,0,15,0,0,0,28,407,505,178,47,
"Mount Vernon North and Sandyhills",251,0,0,0,204,0,0,0,0,238,0,0,0,291,0,0,0,213,0,0,0,166,0,0,0,0,61,0,0,0,57,0,0,0,0,23,0,0,0,41,459,912,118,64,
"Baillieston West",302,0,0,0,282,0,0,0,0,147,0,0,0,223,0,0,0,212,0,0,0,147,0,0,0,0,115,0,0,0,132,0,0,0,0,22,0,0,0,39,585,731,244,66,
"Baillieston East",235,0,0,0,385,0,0,0,0,103,0,0,0,263,0,0,0,289,0,0,0,146,0,0,0,0,133,0,0,0,105,0,0,0,0,34,0,0,0,54,620,801,245,86,
"Baillieston South",36,0,0,0,156,0,0,0,0,27,0,0,0,345,0,0,0,537,0,0,0,95,0,0,0,0,55,0,0,0,33,0,0,0,0,46,0,0,0,34,192,998,88,77,
"Garrowhill West",228,0,0,0,190,0,0,0,0,221,0,0,0,326,0,0,0,267,0,0,0,200,0,0,0,0,70,0,0,0,91,0,0,0,0,35,0,0,0,32,414,1013,161,67,
"Garrowhill East and Swinton",191,0,0,0,259,0,0,0,0,141,0,0,0,360,0,0,0,293,0,0,0,227,0,0,0,0,88,0,0,0,77,0,0,0,0,33,0,0,0,33,450,1021,167,68,
"Easterhouse East",153,0,0,0,487,0,0,0,0,48,0,0,0,225,0,0,0,230,0,0,0,101,0,0,0,0,122,0,0,0,80,0,0,0,0,35,0,0,0,36,640,601,199,71,
"Central Easterhouse",193,0,0,0,436,0,0,0,0,39,0,0,0,96,0,0,0,101,0,0,0,72,0,0,0,0,171,0,0,0,117,0,0,0,0,38,0,0,0,36,629,312,285,71,
"Garthamlock, Auchinlea and Gartloch",125,0,0,0,414,0,0,0,0,45,0,0,0,237,0,0,0,382,0,0,0,132,0,0,0,0,174,0,0,0,111,0,0,0,0,57,0,0,0,66,539,792,283,130,
"North Barlanark and Easterhouse South",154,0,0,0,408,0,0,0,0,29,0,0,0,123,0,0,0,167,0,0,0,90,0,0,0,0,234,0,0,0,144,0,0,0,0,67,0,0,0,63,562,411,378,130,
"Barlanark",220,0,0,0,663,0,0,0,0,60,0,0,0,308,0,0,0,371,0,0,0,151,0,0,0,0,304,0,0,0,158,0,0,0,0,68,0,0,0,75,883,890,462,144,
"Greenfield",456,0,0,0,665,0,0,0,0,143,0,0,0,303,0,0,0,261,0,0,0,150,0,0,0,0,192,0,0,0,190,0,0,0,0,35,0,0,0,52,1117,855,382,90,
"Shettleston North",397,0,0,0,1091,0,0,0,0,80,0,0,0,267,0,0,0,203,0,0,0,85,0,0,0,0,180,0,0,0,115,0,0,0,0,35,0,0,0,78,1488,635,295,114,
"Tollcross",302,0,0,0,621,0,0,0,0,76,0,0,0,256,0,0,0,201,0,0,0,81,0,0,0,0,188,0,0,0,113,0,0,0,0,31,0,0,0,57,923,614,301,86,
"Old Shettleston and Parkhead North",288,0,0,0,695,0,0,0,0,74,0,0,0,297,0,0,0,380,0,0,0,111,0,0,0,0,291,0,0,0,167,0,0,0,0,65,0,0,0,81,983,862,457,146,
"Carntyne",378,0,0,0,447,0,0,0,0,115,0,0,0,193,0,0,0,148,0,0,0,95,0,0,0,0,147,0,0,0,130,0,0,0,0,28,0,0,0,64,829,549,277,92,
"Cranhill, Lightburn and Queenslie South",360,0,0,0,739,0,0,0,0,97,0,0,0,269,0,0,0,371,0,0,0,190,0,0,0,0,306,0,0,0,254,0,0,0,0,83,0,0,0,99,1103,927,560,182,
"Craigend and Ruchazie",346,0,0,0,725,0,0,0,0,103,0,0,0,288,0,0,0,337,0,0,0,105,0,0,0,0,283,0,0,0,193,0,0,0,0,66,0,0,0,59,1070,830,478,129,
"Riddrie and Hogganfield",343,0,0,0,636,0,0,0,0,115,0,0,0,252,0,0,0,288,0,0,0,141,0,0,0,0,190,0,0,0,201,0,0,0,0,60,0,0,0,97,982,797,391,157,
"Blackhill and Barmulloch East",260,0,0,0,500,0,0,0,0,98,0,0,0,221,0,0,0,316,0,0,0,118,0,0,0,0,229,0,0,0,187,0,0,0,0,60,0,0,0,80,761,753,416,139,
"Robroyston and Millerston",37,0,0,0,147,0,0,0,0,44,0,0,0,275,0,0,0,433,0,0,0,145,0,0,0,0,56,0,0,0,40,0,0,0,0,45,0,0,0,23,188,897,99,68,
"Robroyston South",138,0,0,0,310,0,0,0,0,96,0,0,0,355,0,0,0,252,0,0,0,141,0,0,0,0,47,0,0,0,68,0,0,0,0,30,0,0,0,38,449,844,116,68,
"Balornock",256,0,0,0,399,0,0,0,0,92,0,0,0,201,0,0,0,209,0,0,0,176,0,0,0,0,183,0,0,0,238,0,0,0,0,62,0,0,0,85,651,681,421,147,
"Barmulloch",164,0,0,0,281,0,0,0,0,45,0,0,0,113,0,0,0,144,0,0,0,94,0,0,0,0,145,0,0,0,128,0,0,0,0,39,0,0,0,36,445,396,270,72,
"Petershill",217,0,0,0,696,0,0,0,0,63,0,0,0,247,0,0,0,165,0,0,0,94,0,0,0,0,139,0,0,0,144,0,0,0,0,39,0,0,0,90,914,568,283,129,
"Springburn",321,0,0,0,619,0,0,0,0,68,0,0,0,189,0,0,0,172,0,0,0,108,0,0,0,0,196,0,0,0,126,0,0,0,0,42,0,0,0,73,939,537,323,116,
"Springburn East and Cowlairs",255,0,0,0,809,0,0,0,0,60,0,0,0,165,0,0,0,231,0,0,0,96,0,0,0,0,172,0,0,0,126,0,0,0,0,38,0,0,0,89,1068,552,298,127,
"Cowlairs and Port Dundas",194,0,0,0,791,0,0,0,0,39,0,0,0,226,0,0,0,160,0,0,0,55,0,0,0,0,154,0,0,0,131,0,0,0,0,29,0,0,0,118,985,480,289,143,
"Roystonhill, Blochairn, and Provanmill",304,0,0,0,1178,0,0,0,0,58,0,0,0,317,0,0,0,401,0,0,0,115,0,0,0,0,336,0,0,0,209,0,0,0,0,72,0,0,0,101,1483,891,545,173,
"Dennistoun North",146,0,0,0,690,0,0,0,0,47,0,0,0,493,0,0,0,155,0,0,0,44,0,0,0,0,33,0,0,0,54,0,0,0,0,16,0,0,0,412,836,737,87,435,
"Alexandra Parade",207,0,0,0,582,0,0,0,0,36,0,0,0,251,0,0,0,72,0,0,0,25,0,0,0,0,46,0,0,0,64,0,0,0,0,16,0,0,0,141,792,381,110,157,
"Carntyne West and Haghill",252,0,0,0,946,0,0,0,0,59,0,0,0,264,0,0,0,164,0,0,0,62,0,0,0,0,183,0,0,0,110,0,0,0,0,26,0,0,0,91,1198,549,291,117,
"Dennistoun",153,0,0,0,754,0,0,0,0,32,0,0,0,589,0,0,0,137,0,0,0,34,0,0,0,0,57,0,0,0,54,0,0,0,0,18,0,0,0,372,906,792,111,390,
"Gallowgate North and Bellgrove",255,0,0,0,1075,0,0,0,0,37,0,0,0,296,0,0,0,139,0,0,0,56,0,0,0,0,131,0,0,0,108,0,0,0,0,27,0,0,0,344,1333,528,239,371,
"City Centre East",397,0,0,0,1825,0,0,0,0,44,0,0,0,590,0,0,0,130,0,0,0,38,0,0,0,0,86,0,0,0,87,0,0,0,0,18,0,0,0,582,2222,802,175,600,
"City Centre West",311,0,0,0,1091,0,0,0,0,22,0,0,0,341,0,0,0,151,0,0,0,34,0,0,0,0,66,0,0,0,58,0,0,0,0,25,0,0,0,532,1400,548,124,557,
"City Centre South",86,0,0,0,988,0,0,0,0,13,0,0,0,294,0,0,0,131,0,0,0,17,0,0,0,0,44,0,0,0,24,0,0,0,0,7,0,0,0,382,1080,455,69,389,
"Anderston",161,0,0,0,926,0,0,0,0,36,0,0,0,448,0,0,0,325,0,0,0,36,0,0,0,0,121,0,0,0,83,0,0,0,0,21,0,0,0,348,1087,842,204,369,
"Finnieston and Kelvinhaugh",89,0,0,0,557,0,0,0,0,23,0,0,0,335,0,0,0,155,0,0,0,23,0,0,0,0,55,0,0,0,41,0,0,0,0,11,0,0,0,422,646,543,99,433,
"Yorkhill",140,0,0,0,755,0,0,0,0,12,0,0,0,345,0,0,0,105,0,0,0,16,0,0,0,0,34,0,0,0,24,0,0,0,0,9,0,0,0,339,899,484,58,347,
"Woodlands",59,0,0,0,464,0,0,0,0,26,0,0,0,334,0,0,0,136,0,0,0,43,0,0,0,0,37,0,0,0,51,0,0,0,0,24,0,0,0,394,522,542,88,419,
"Kelvinbridge South",99,0,0,0,368,0,0,0,0,17,0,0,0,263,0,0,0,114,0,0,0,35,0,0,0,0,44,0,0,0,28,0,0,0,0,17,0,0,0,538,468,433,72,555,
"Woodside",268,0,0,0,692,0,0,0,0,38,0,0,0,240,0,0,0,115,0,0,0,34,0,0,0,0,72,0,0,0,73,0,0,0,0,12,0,0,0,231,958,427,145,246,
"Firhill",386,0,0,0,1244,0,0,0,0,54,0,0,0,485,0,0,0,307,0,0,0,78,0,0,0,0,158,0,0,0,115,0,0,0,0,31,0,0,0,365,1634,924,277,392,
"Keppochhill",253,0,0,0,810,0,0,0,0,54,0,0,0,176,0,0,0,249,0,0,0,97,0,0,0,0,192,0,0,0,164,0,0,0,0,45,0,0,0,174,1066,574,357,220,
"Ruchill",171,0,0,0,771,0,0,0,0,36,0,0,0,430,0,0,0,143,0,0,0,25,0,0,0,0,54,0,0,0,40,0,0,0,0,13,0,0,0,292,942,634,90,305,
"Ruchill Park",134,0,0,0,710,0,0,0,0,25,0,0,0,226,0,0,0,162,0,0,0,61,0,0,0,0,165,0,0,0,74,0,0,0,0,31,0,0,0,147,844,472,235,178,
"Possil Park",477,0,0,0,957,0,0,0,0,127,0,0,0,292,0,0,0,335,0,0,0,157,0,0,0,0,249,0,0,0,243,0,0,0,0,65,0,0,0,107,1434,911,492,170,
"Milton West",291,0,0,0,589,0,0,0,0,76,0,0,0,189,0,0,0,259,0,0,0,127,0,0,0,0,259,0,0,0,177,0,0,0,0,47,0,0,0,86,883,656,439,133,
"Milton East",216,0,0,0,416,0,0,0,0,68,0,0,0,122,0,0,0,201,0,0,0,96,0,0,0,0,176,0,0,0,124,0,0,0,0,49,0,0,0,55,632,487,300,101,
"Summerston Central and West",203,0,0,0,531,0,0,0,0,98,0,0,0,237,0,0,0,336,0,0,0,169,0,0,0,0,170,0,0,0,118,0,0,0,0,30,0,0,0,41,733,838,288,71,
"Summerston North",311,0,0,0,459,0,0,0,0,113,0,0,0,211,0,0,0,182,0,0,0,104,0,0,0,0,148,0,0,0,124,0,0,0,0,30,0,0,0,57,770,610,272,85,
"Maryhill East",211,0,0,0,582,0,0,0,0,54,0,0,0,156,0,0,0,228,0,0,0,60,0,0,0,0,186,0,0,0,97,0,0,0,0,36,0,0,0,90,797,498,283,126,
"Maryhill West",138,0,0,0,565,0,0,0,0,37,0,0,0,144,0,0,0,191,0,0,0,73,0,0,0,0,117,0,0,0,65,0,0,0,0,35,0,0,0,85,698,449,180,120,
"Wyndford",329,0,0,0,1072,0,0,0,0,27,0,0,0,196,0,0,0,197,0,0,0,49,0,0,0,0,209,0,0,0,111,0,0,0,0,26,0,0,0,105,1401,465,320,127,
"Kelvindale",359,0,0,0,608,0,0,0,0,243,0,0,0,552,0,0,0,429,0,0,0,128,0,0,0,0,69,0,0,0,75,0,0,0,0,30,0,0,0,177,964,1352,146,207,
"North Kelvin",175,0,0,0,585,0,0,0,0,82,0,0,0,434,0,0,0,267,0,0,0,63,0,0,0,0,53,0,0,0,32,0,0,0,0,21,0,0,0,253,756,846,92,274,
"Kelvingrove and University",200,0,0,0,753,0,0,0,0,78,0,0,0,485,0,0,0,250,0,0,0,68,0,0,0,0,51,0,0,0,55,0,0,0,0,29,0,0,0,806,953,881,102,839,
"Hillhead",275,0,0,0,1377,0,0,0,0,47,0,0,0,601,0,0,0,183,0,0,0,44,0,0,0,0,105,0,0,0,86,0,0,0,0,20,0,0,0,605,1648,871,191,629,
"Glasgow Harbour and Partick South",201,0,0,0,1485,0,0,0,0,50,0,0,0,615,0,0,0,164,0,0,0,42,0,0,0,0,78,0,0,0,69,0,0,0,0,20,0,0,0,261,1685,871,147,281,
"Partick",298,0,0,0,1051,0,0,0,0,52,0,0,0,402,0,0,0,159,0,0,0,30,0,0,0,0,130,0,0,0,68,0,0,0,0,12,0,0,0,217,1353,641,198,231,
"Partickhill and Hyndland",426,0,0,0,907,0,0,0,0,139,0,0,0,745,0,0,0,305,0,0,0,77,0,0,0,0,72,0,0,0,48,0,0,0,0,25,0,0,0,295,1334,1270,123,320,
"Dowanhill",300,0,0,0,687,0,0,0,0,132,0,0,0,551,0,0,0,270,0,0,0,63,0,0,0,0,44,0,0,0,42,0,0,0,0,16,0,0,0,338,987,1016,86,354,
"Kelvinside and Jordanhill",418,0,0,0,477,0,0,0,0,236,0,0,0,414,0,0,0,610,0,0,0,132,0,0,0,0,84,0,0,0,70,0,0,0,0,26,0,0,0,59,895,1394,158,81,
"Broomhill",310,0,0,0,706,0,0,0,0,149,0,0,0,452,0,0,0,326,0,0,0,86,0,0,0,0,76,0,0,0,53,0,0,0,0,17,0,0,0,101,1016,1017,129,121,
"Victoria Park",359,0,0,0,595,0,0,0,0,111,0,0,0,265,0,0,0,351,0,0,0,112,0,0,0,0,112,0,0,0,92,0,0,0,0,24,0,0,0,67,954,842,204,84,
"Scotstoun North and East",260,0,0,0,440,0,0,0,0,114,0,0,0,251,0,0,0,439,0,0,0,111,0,0,0,0,103,0,0,0,93,0,0,0,0,27,0,0,0,52,700,912,196,78,
"Scotstoun South and West",265,0,0,0,1109,0,0,0,0,59,0,0,0,215,0,0,0,280,0,0,0,64,0,0,0,0,210,0,0,0,157,0,0,0,0,38,0,0,0,73,1374,620,369,111,
"Yoker South",215,0,0,0,976,0,0,0,0,64,0,0,0,317,0,0,0,263,0,0,0,94,0,0,0,0,222,0,0,0,135,0,0,0,0,51,0,0,0,79,1188,738,359,131,
"Yoker North",161,0,0,0,173,0,0,0,0,87,0,0,0,149,0,0,0,197,0,0,0,115,0,0,0,0,89,0,0,0,76,0,0,0,0,49,0,0,0,42,334,551,165,91,
"Knightswood West",196,0,0,0,309,0,0,0,0,47,0,0,0,148,0,0,0,149,0,0,0,79,0,0,0,0,85,0,0,0,104,0,0,0,0,29,0,0,0,39,505,423,187,68,
"Knightswood East",341,0,0,0,661,0,0,0,0,98,0,0,0,270,0,0,0,306,0,0,0,112,0,0,0,0,169,0,0,0,139,0,0,0,0,44,0,0,0,61,1003,786,308,105,
"Knightswood Park West",323,0,0,0,573,0,0,0,0,75,0,0,0,196,0,0,0,160,0,0,0,67,0,0,0,0,124,0,0,0,92,0,0,0,0,17,0,0,0,46,896,498,217,63,
"Knightswood Park East",269,0,0,0,461,0,0,0,0,71,0,0,0,227,0,0,0,296,0,0,0,85,0,0,0,0,85,0,0,0,95,0,0,0,0,32,0,0,0,55,728,679,178,87,
"Anniesland East",314,0,0,0,757,0,0,0,0,103,0,0,0,357,0,0,0,239,0,0,0,84,0,0,0,0,64,0,0,0,72,0,0,0,0,24,0,0,0,117,1070,783,136,141,
"Anniesland West",492,0,0,0,1091,0,0,0,0,106,0,0,0,565,0,0,0,387,0,0,0,125,0,0,0,0,156,0,0,0,184,0,0,0,0,38,0,0,0,197,1583,1184,340,235,
"Blairdardie East",389,0,0,0,815,0,0,0,0,106,0,0,0,372,0,0,0,351,0,0,0,163,0,0,0,0,206,0,0,0,186,0,0,0,0,55,0,0,0,68,1204,992,392,123,
"Blairdardie West",174,0,0,0,132,0,0,0,0,104,0,0,0,218,0,0,0,238,0,0,0,133,0,0,0,0,53,0,0,0,84,0,0,0,0,32,0,0,0,34,306,693,137,66,
"Drumchapel South",122,0,0,0,305,0,0,0,0,28,0,0,0,89,0,0,0,162,0,0,0,46,0,0,0,0,162,0,0,0,89,0,0,0,0,25,0,0,0,21,424,325,249,49,
"Drumchapel North",147,0,0,0,511,0,0,0,0,18,0,0,0,129,0,0,0,221,0,0,0,88,0,0,0,0,235,0,0,0,142,0,0,0,0,48,0,0,0,29,658,464,377,80,
"Drumry East",168,0,0,0,464,0,0,0,0,40,0,0,0,105,0,0,0,169,0,0,0,67,0,0,0,0,266,0,0,0,161,0,0,0,0,60,0,0,0,28,632,381,427,90,
"Drumry West",164,0,0,0,362,0,0,0,0,32,0,0,0,171,0,0,0,223,0,0,0,121,0,0,0,0,204,0,0,0,133,0,0,0,0,44,0,0,0,36,526,547,339,80,
"Lochaber West",363,0,0,0,431,0,0,0,0,272,0,0,0,520,0,0,0,346,0,0,0,135,0,0,0,0,74,0,0,0,67,0,0,0,0,25,0,0,0,56,794,1273,137,81,
"Fort William North",343,0,0,0,368,0,0,0,0,199,0,0,0,346,0,0,0,348,0,0,0,129,0,0,0,0,151,0,0,0,101,0,0,0,0,32,0,0,0,48,711,1022,252,80,
"Fort William South",408,0,0,0,762,0,0,0,0,176,0,0,0,423,0,0,0,362,0,0,0,140,0,0,0,0,222,0,0,0,124,0,0,0,0,43,0,0,0,95,1170,1101,346,136,
"Lochaber East and North",399,0,0,0,458,0,0,0,0,243,0,0,0,527,0,0,0,349,0,0,0,112,0,0,0,0,77,0,0,0,74,0,0,0,0,36,0,0,0,76,857,1231,149,112,
"Badenoch and Strathspey South",268,0,0,0,313,0,0,0,0,234,0,0,0,356,0,0,0,232,0,0,0,83,0,0,0,0,63,0,0,0,63,0,0,0,0,26,0,0,0,48,581,905,126,70,
"Badenoch and Strathspey Central",368,0,0,0,483,0,0,0,0,233,0,0,0,455,0,0,0,329,0,0,0,110,0,0,0,0,122,0,0,0,81,0,0,0,0,24,0,0,0,55,857,1129,203,79,
"Badenoch and Strathspey North",371,0,0,0,328,0,0,0,0,297,0,0,0,422,0,0,0,320,0,0,0,123,0,0,0,0,78,0,0,0,54,0,0,0,0,33,0,0,0,45,699,1162,130,78,
"Nairn Rural",290,0,0,0,325,0,0,0,0,316,0,0,0,537,0,0,0,443,0,0,0,128,0,0,0,0,77,0,0,0,52,0,0,0,0,31,0,0,0,48,615,1424,131,79,
"Nairn East",371,0,0,0,462,0,0,0,0,160,0,0,0,320,0,0,0,180,0,0,0,106,0,0,0,0,100,0,0,0,90,0,0,0,0,19,0,0,0,43,833,768,189,62,
"Nairn West",404,0,0,0,359,0,0,0,0,275,0,0,0,349,0,0,0,263,0,0,0,149,0,0,0,0,66,0,0,0,79,0,0,0,0,20,0,0,0,37,763,1034,144,57,
"Inverness East Rural",244,0,0,0,393,0,0,0,0,235,0,0,0,591,0,0,0,507,0,0,0,177,0,0,0,0,103,0,0,0,80,0,0,0,0,51,0,0,0,67,635,1510,183,118,
"Inverness Culloden and Balloch",296,0,0,0,344,0,0,0,0,193,0,0,0,314,0,0,0,304,0,0,0,116,0,0,0,0,78,0,0,0,72,0,0,0,0,32,0,0,0,45,640,924,149,73,
"Inverness Smithton",195,0,0,0,402,0,0,0,0,114,0,0,0,267,0,0,0,210,0,0,0,81,0,0,0,0,100,0,0,0,59,0,0,0,0,8,0,0,0,23,597,678,159,31,
"Inverness Westhill",304,0,0,0,509,0,0,0,0,264,0,0,0,567,0,0,0,577,0,0,0,182,0,0,0,0,176,0,0,0,93,0,0,0,0,29,0,0,0,56,817,1593,269,85,
"Inverness Inshes",184,0,0,0,621,0,0,0,0,163,0,0,0,508,0,0,0,630,0,0,0,123,0,0,0,0,199,0,0,0,83,0,0,0,0,35,0,0,0,67,805,1424,283,102,
"Inverness Slackbuie",65,0,0,0,380,0,0,0,0,57,0,0,0,347,0,0,0,457,0,0,0,76,0,0,0,0,130,0,0,0,34,0,0,0,0,24,0,0,0,41,445,941,164,65,
"Inverness Lochardil and Holm Mains",392,0,0,0,506,0,0,0,0,333,0,0,0,539,0,0,0,526,0,0,0,158,0,0,0,0,173,0,0,0,73,0,0,0,0,29,0,0,0,59,898,1553,246,84,
"Inverness Drummond",259,0,0,0,344,0,0,0,0,149,0,0,0,269,0,0,0,234,0,0,0,88,0,0,0,0,127,0,0,0,83,0,0,0,0,19,0,0,0,35,603,745,210,54,
"Inverness Hilton",308,0,0,0,538,0,0,0,0,112,0,0,0,223,0,0,0,256,0,0,0,82,0,0,0,0,133,0,0,0,95,0,0,0,0,23,0,0,0,43,846,676,228,69,
"Inverness Drakies",158,0,0,0,155,0,0,0,0,119,0,0,0,179,0,0,0,185,0,0,0,84,0,0,0,0,51,0,0,0,55,0,0,0,0,13,0,0,0,23,309,564,106,35,
"Inverness Central, Raigmore and Longman",237,0,0,0,916,0,0,0,0,78,0,0,0,319,0,0,0,319,0,0,0,56,0,0,0,0,118,0,0,0,83,0,0,0,0,20,0,0,0,76,1153,774,201,93,
"Inverness Crown and Haugh",431,0,0,0,506,0,0,0,0,254,0,0,0,305,0,0,0,265,0,0,0,103,0,0,0,0,41,0,0,0,78,0,0,0,0,12,0,0,0,74,937,926,119,86,
"Inverness Ballifeary and Dalneigh",378,0,0,0,598,0,0,0,0,91,0,0,0,278,0,0,0,250,0,0,0,124,0,0,0,0,187,0,0,0,119,0,0,0,0,31,0,0,0,91,979,741,306,118,
"Inverness Muirtown",345,0,0,0,855,0,0,0,0,111,0,0,0,343,0,0,0,162,0,0,0,62,0,0,0,0,128,0,0,0,99,0,0,0,0,27,0,0,0,81,1197,680,227,111,
"Inverness Merkinch",203,0,0,0,738,0,0,0,0,41,0,0,0,185,0,0,0,174,0,0,0,52,0,0,0,0,255,0,0,0,103,0,0,0,0,42,0,0,0,56,941,453,355,102,
"Inverness Scorguie",268,0,0,0,428,0,0,0,0,150,0,0,0,311,0,0,0,145,0,0,0,72,0,0,0,0,44,0,0,0,40,0,0,0,0,19,0,0,0,40,697,682,84,59,
"Inverness Kinmylies and South West",197,0,0,0,423,0,0,0,0,146,0,0,0,368,0,0,0,348,0,0,0,110,0,0,0,0,133,0,0,0,87,0,0,0,0,27,0,0,0,37,620,972,220,67,
"Inverness West Rural",244,0,0,0,320,0,0,0,0,214,0,0,0,327,0,0,0,260,0,0,0,104,0,0,0,0,85,0,0,0,55,0,0,0,0,28,0,0,0,35,564,909,140,63,
"Inverness West Strathglass",191,0,0,0,165,0,0,0,0,186,0,0,0,315,0,0,0,264,0,0,0,98,0,0,0,0,74,0,0,0,48,0,0,0,0,15,0,0,0,37,360,864,119,52,
"Loch Ness",325,0,0,0,387,0,0,0,0,251,0,0,0,544,0,0,0,276,0,0,0,130,0,0,0,0,89,0,0,0,82,0,0,0,0,31,0,0,0,68,708,1200,171,98,
"Lochalsh",215,0,0,0,334,0,0,0,0,133,0,0,0,293,0,0,0,181,0,0,0,62,0,0,0,0,54,0,0,0,57,0,0,0,0,8,0,0,0,29,551,669,111,36,
"Skye South",325,0,0,0,412,0,0,0,0,219,0,0,0,361,0,0,0,221,0,0,0,80,0,0,0,0,66,0,0,0,65,0,0,0,0,20,0,0,0,52,737,881,131,72,
"Skye North East",343,0,0,0,464,0,0,0,0,150,0,0,0,290,0,0,0,242,0,0,0,93,0,0,0,0,68,0,0,0,59,0,0,0,0,16,0,0,0,46,811,775,127,62,
