SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Kingswells North and Newhills",76,0,0,0,308,0,0,0,0,85,0,0,0,337,0,0,0,378,0,0,0,83,0,0,0,0,93,0,0,0,34,0,0,0,0,10,0,0,0,16,384,878,124,26,
"Bucksburn South",267,0,0,0,858,0,0,0,0,127,0,0,0,457,0,0,0,497,0,0,0,68,0,0,0,0,157,0,0,0,62,0,0,0,0,27,0,0,0,55,1122,1144,219,82,
"Bucksburn North",401,0,0,0,742,0,0,0,0,243,0,0,0,493,0,0,0,481,0,0,0,134,0,0,0,0,204,0,0,0,93,0,0,0,0,26,0,0,0,39,1144,1353,297,65,
"Dyce",405,0,0,0,421,0,0,0,0,327,0,0,0,398,0,0,0,384,0,0,0,133,0,0,0,0,122,0,0,0,86,0,0,0,0,33,0,0,0,45,828,1246,208,78,
"Danestone",180,0,0,0,474,0,0,0,0,220,0,0,0,383,0,0,0,279,0,0,0,103,0,0,0,0,54,0,0,0,41,0,0,0,0,6,0,0,0,19,654,985,95,26,
"Oldmachar West",299,0,0,0,453,0,0,0,0,201,0,0,0,508,0,0,0,489,0,0,0,135,0,0,0,0,41,0,0,0,55,0,0,0,0,25,0,0,0,24,752,1331,96,49,
"Oldmachar East",250,0,0,0,246,0,0,0,0,312,0,0,0,406,0,0,0,398,0,0,0,179,0,0,0,0,70,0,0,0,55,0,0,0,0,19,0,0,0,19,496,1292,123,38,
"Balgownie and Donmouth West",333,0,0,0,381,0,0,0,0,219,0,0,0,287,0,0,0,260,0,0,0,100,0,0,0,0,97,0,0,0,78,0,0,0,0,18,0,0,0,20,714,866,175,42,
"Balgownie and Donmouth East",195,0,0,0,257,0,0,0,0,171,0,0,0,233,0,0,0,181,0,0,0,60,0,0,0,0,43,0,0,0,39,0,0,0,0,13,0,0,0,14,451,645,77,27,
"Denmore",154,0,0,0,292,0,0,0,0,148,0,0,0,376,0,0,0,452,0,0,0,130,0,0,0,0,77,0,0,0,23,0,0,0,0,20,0,0,0,25,446,1110,100,45,
"East Cairngorms",311,0,0,0,312,0,0,0,0,235,0,0,0,355,0,0,0,209,0,0,0,90,0,0,0,0,40,0,0,0,41,0,0,0,0,16,0,0,0,27,622,888,81,43,
"Aboyne and South Deeside",315,0,0,0,302,0,0,0,0,333,0,0,0,474,0,0,0,473,0,0,0,131,0,0,0,0,69,0,0,0,53,0,0,0,0,15,0,0,0,38,620,1413,122,49,
"Mearns and Laurencekirk",196,0,0,0,215,0,0,0,0,156,0,0,0,298,0,0,0,369,0,0,0,79,0,0,0,0,88,0,0,0,32,0,0,0,0,9,0,0,0,14,411,898,120,19,
"Mearns South and Benholm",262,0,0,0,311,0,0,0,0,265,0,0,0,506,0,0,0,473,0,0,0,132,0,0,0,0,101,0,0,0,52,0,0,0,0,40,0,0,0,42,575,1372,153,78,
"Mearns North and Inverbervie",291,0,0,0,434,0,0,0,0,238,0,0,0,551,0,0,0,620,0,0,0,161,0,0,0,0,107,0,0,0,61,0,0,0,0,29,0,0,0,35,725,1571,171,64,
"Fetteresso, Netherley and Catter",149,0,0,0,251,0,0,0,0,171,0,0,0,472,0,0,0,547,0,0,0,132,0,0,0,0,67,0,0,0,37,0,0,0,0,23,0,0,0,34,398,1322,104,57,
"Stonehaven South",362,0,0,0,549,0,0,0,0,238,0,0,0,424,0,0,0,453,0,0,0,162,0,0,0,0,162,0,0,0,102,0,0,0,0,17,0,0,0,27,911,1278,264,48,
"Stonehaven North",466,0,0,0,414,0,0,0,0,309,0,0,0,527,0,0,0,502,0,0,0,164,0,0,0,0,121,0,0,0,72,0,0,0,0,13,0,0,0,35,882,1504,193,48,
"Newtonhill",152,0,0,0,158,0,0,0,0,153,0,0,0,289,0,0,0,338,0,0,0,109,0,0,0,0,61,0,0,0,33,0,0,0,0,11,0,0,0,15,310,885,98,26,
"Portlethen",213,0,0,0,321,0,0,0,0,203,0,0,0,461,0,0,0,329,0,0,0,137,0,0,0,0,59,0,0,0,55,0,0,0,0,10,0,0,0,17,537,1130,114,30,
"Banchory-Devenick and Findon",172,0,0,0,271,0,0,0,0,145,0,0,0,420,0,0,0,776,0,0,0,140,0,0,0,0,118,0,0,0,79,0,0,0,0,36,0,0,0,35,443,1478,197,71,
"Dunecht, Durris and Drumoak",244,0,0,0,215,0,0,0,0,250,0,0,0,536,0,0,0,576,0,0,0,142,0,0,0,0,59,0,0,0,45,0,0,0,0,29,0,0,0,40,459,1504,107,65,
"Banchory East",289,0,0,0,297,0,0,0,0,180,0,0,0,359,0,0,0,485,0,0,0,88,0,0,0,0,111,0,0,0,51,0,0,0,0,15,0,0,0,17,585,1108,162,33,
"Banchory West",265,0,0,0,211,0,0,0,0,239,0,0,0,285,0,0,0,283,0,0,0,85,0,0,0,0,39,0,0,0,36,0,0,0,0,10,0,0,0,21,475,886,75,31,
"Crathes and Torphins",246,0,0,0,193,0,0,0,0,254,0,0,0,328,0,0,0,373,0,0,0,110,0,0,0,0,49,0,0,0,21,0,0,0,0,14,0,0,0,27,439,1067,74,41,
"Cromar and Kildrummy",257,0,0,0,310,0,0,0,0,238,0,0,0,406,0,0,0,350,0,0,0,109,0,0,0,0,49,0,0,0,32,0,0,0,0,20,0,0,0,43,567,1100,81,63,
"Howe of Alford",333,0,0,0,419,0,0,0,0,321,0,0,0,591,0,0,0,660,0,0,0,157,0,0,0,0,130,0,0,0,72,0,0,0,0,25,0,0,0,33,752,1729,202,57,
"Kemnay",238,0,0,0,300,0,0,0,0,180,0,0,0,292,0,0,0,360,0,0,0,104,0,0,0,0,116,0,0,0,71,0,0,0,0,18,0,0,0,17,538,935,191,39,
"Inverurie North",404,0,0,0,543,0,0,0,0,311,0,0,0,498,0,0,0,356,0,0,0,173,0,0,0,0,117,0,0,0,100,0,0,0,0,14,0,0,0,41,950,1338,211,51,
"Inverurie South",491,0,0,0,752,0,0,0,0,291,0,0,0,414,0,0,0,318,0,0,0,122,0,0,0,0,155,0,0,0,108,0,0,0,0,21,0,0,0,39,1243,1145,263,60,
"Inverurie - Harlaw",83,0,0,0,251,0,0,0,0,111,0,0,0,430,0,0,0,764,0,0,0,100,0,0,0,0,133,0,0,0,46,0,0,0,0,17,0,0,0,20,336,1405,178,37,
"Durno and Chapel of Garioch",109,0,0,0,124,0,0,0,0,142,0,0,0,303,0,0,0,270,0,0,0,93,0,0,0,0,38,0,0,0,22,0,0,0,0,11,0,0,0,15,233,812,61,26,
"Kintore",246,0,0,0,334,0,0,0,0,303,0,0,0,480,0,0,0,688,0,0,0,154,0,0,0,0,116,0,0,0,58,0,0,0,0,19,0,0,0,21,578,1627,174,40,
"Blackburn",93,0,0,0,168,0,0,0,0,101,0,0,0,249,0,0,0,445,0,0,0,100,0,0,0,0,52,0,0,0,36,0,0,0,0,12,0,0,0,18,261,895,92,30,
"Westhill North and South",115,0,0,0,221,0,0,0,0,211,0,0,0,394,0,0,0,505,0,0,0,149,0,0,0,0,71,0,0,0,51,0,0,0,0,16,0,0,0,17,339,1258,122,33,
"Westhill Central",327,0,0,0,291,0,0,0,0,281,0,0,0,319,0,0,0,324,0,0,0,113,0,0,0,0,54,0,0,0,41,0,0,0,0,10,0,0,0,23,618,1037,95,33,
"Garlogie and Elrick",158,0,0,0,246,0,0,0,0,143,0,0,0,305,0,0,0,502,0,0,0,118,0,0,0,0,74,0,0,0,48,0,0,0,0,13,0,0,0,15,400,1068,124,28,
"Newmachar and Fintray",211,0,0,0,266,0,0,0,0,208,0,0,0,483,0,0,0,581,0,0,0,147,0,0,0,0,96,0,0,0,53,0,0,0,0,29,0,0,0,25,477,1417,153,55,
"Balmedie and Potterton",217,0,0,0,242,0,0,0,0,213,0,0,0,453,0,0,0,513,0,0,0,145,0,0,0,0,99,0,0,0,48,0,0,0,0,19,0,0,0,23,463,1324,147,42,
"Ellon East",397,0,0,0,506,0,0,0,0,320,0,0,0,525,0,0,0,621,0,0,0,149,0,0,0,0,107,0,0,0,71,0,0,0,0,14,0,0,0,27,903,1615,178,45,
"Ellon West",310,0,0,0,298,0,0,0,0,238,0,0,0,380,0,0,0,323,0,0,0,120,0,0,0,0,79,0,0,0,45,0,0,0,0,16,0,0,0,34,608,1061,124,50,
"Ythanside",150,0,0,0,237,0,0,0,0,245,0,0,0,502,0,0,0,471,0,0,0,153,0,0,0,0,74,0,0,0,50,0,0,0,0,26,0,0,0,37,392,1371,124,59,
"Ythsie",298,0,0,0,316,0,0,0,0,253,0,0,0,573,0,0,0,582,0,0,0,189,0,0,0,0,85,0,0,0,61,0,0,0,0,33,0,0,0,29,614,1597,149,62,
"Barrahill",219,0,0,0,239,0,0,0,0,234,0,0,0,435,0,0,0,507,0,0,0,161,0,0,0,0,123,0,0,0,55,0,0,0,0,25,0,0,0,35,455,1341,177,59,
"Fyvie-Rothie",153,0,0,0,245,0,0,0,0,179,0,0,0,403,0,0,0,389,0,0,0,123,0,0,0,0,69,0,0,0,50,0,0,0,0,11,0,0,0,36,396,1091,120,47,
