SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Barnhill",388,120,146,122,15,494,158,41,82,9,87,134,17,29,4,24,134,9,19,0,10,42,0,5,0,1003,588,214,257,27,
"Balgillo",127,78,2,33,4,218,163,3,29,4,85,185,7,14,0,35,238,3,12,0,12,70,3,5,0,477,734,19,93,9,
"West Pitkerro and Balmossie",168,124,23,33,2,250,214,19,26,1,60,165,14,13,0,26,139,8,10,0,5,46,6,7,1,512,688,72,90,5,
"Whitfield",205,106,508,85,10,203,153,395,62,13,49,126,248,49,8,15,88,191,45,1,1,13,107,26,0,470,487,1446,264,30,
"Fintry",139,67,229,23,8,162,97,128,36,4,42,94,89,30,0,15,68,81,19,0,7,15,39,17,0,364,341,566,121,12,
"Claverhouse and North Ballumbie",135,101,122,23,9,246,263,72,26,3,69,190,55,27,0,33,207,50,25,1,8,81,38,16,1,491,838,338,117,14,
"Linlathen and Midcraigie",132,73,426,36,12,122,116,248,35,5,38,88,138,21,0,18,72,119,17,0,8,38,108,22,0,317,390,1041,131,16,
"Caird Park",137,59,84,11,3,197,129,56,20,4,41,82,40,16,2,11,88,17,12,0,8,42,24,19,1,394,398,216,80,7,
"Kirkton",171,79,148,14,10,248,150,143,30,4,66,112,109,24,0,21,100,80,24,0,11,47,76,15,3,513,488,547,107,16,
"Downfield",375,145,132,48,16,464,252,48,51,5,92,146,41,31,3,33,141,27,19,0,9,51,22,10,0,973,732,273,159,24,
"Fairmuir",259,144,136,97,10,293,182,66,76,4,61,112,29,16,0,21,103,19,9,0,8,42,13,7,1,648,579,263,203,17,
"Law",487,250,941,463,45,235,199,318,296,4,37,78,70,78,1,18,41,36,51,0,16,22,16,27,0,790,588,1378,914,52,
"Balgay",319,130,138,99,6,310,146,41,80,6,59,98,21,43,3,17,114,4,29,0,11,43,4,12,0,719,527,211,270,14,
"Menzieshill",249,140,522,169,16,197,117,157,156,10,39,79,81,74,0,15,58,40,49,2,5,24,16,35,1,506,418,816,482,29,
"Charleston",194,132,431,80,12,165,120,229,83,3,33,72,128,45,2,15,53,77,34,0,4,25,50,23,0,411,402,915,265,20,
"Lochee",319,122,639,147,24,273,146,242,102,8,71,99,118,43,1,33,104,92,34,1,2,34,61,31,2,698,502,1150,354,38,
"Ardler and St Marys",257,133,580,60,23,241,204,329,50,3,59,161,210,28,0,24,142,138,24,1,12,48,65,7,0,589,689,1322,165,28,
"Western Edge",173,137,2,22,3,373,296,7,47,5,83,245,4,20,2,42,252,5,18,1,9,75,1,11,3,680,1003,20,118,13,
"Doon Valley South",146,40,281,45,20,172,85,168,35,10,38,60,88,7,2,21,40,52,9,3,3,13,34,3,0,377,238,623,99,35,
"Doon Valley North",235,96,225,42,20,311,154,164,22,9,74,116,74,25,2,22,105,57,10,0,9,47,15,4,0,648,512,533,109,32,
"Mauchline Rural",258,120,296,104,23,389,207,123,81,12,106,141,71,40,4,52,112,43,28,2,19,39,24,5,1,821,618,560,261,44,
"Drongan",173,75,229,44,10,222,93,128,25,1,43,87,68,20,2,14,63,49,11,2,7,38,27,3,0,459,352,501,105,15,
"Mauchline",286,105,147,51,14,356,153,98,52,9,74,116,31,28,0,37,110,31,18,0,4,27,6,12,0,753,510,309,161,20,
"Cumnock Rural",268,60,233,72,28,444,161,119,56,12,111,120,83,19,6,47,108,55,22,6,21,35,31,6,0,889,480,520,174,54,
"New Cumnock",163,43,263,42,9,212,76,154,32,1,45,54,49,26,1,14,51,40,6,0,4,9,20,5,0,438,233,523,111,12,
"Cumnock South and Craigens",229,104,353,67,14,297,145,179,61,4,76,119,110,43,1,33,128,65,31,0,6,35,38,13,2,644,532,745,217,21,
"Cumnock North",249,107,216,50,19,337,143,75,53,15,88,132,29,24,0,33,91,21,25,2,13,45,9,5,5,716,515,350,154,36,
"Auchinleck",201,70,281,59,13,224,119,175,34,4,64,75,99,19,0,18,76,64,10,2,7,31,39,8,0,511,364,659,128,17,
"Northern and Irvine Valley Rural",299,134,108,52,12,516,347,71,51,4,109,256,44,19,5,63,279,18,17,2,42,96,8,9,0,1029,1112,249,144,25,
"Stewarton East",264,104,113,110,15,356,185,35,56,2,70,191,11,34,2,45,152,10,12,0,16,37,2,14,1,753,669,174,226,20,
"Stewarton West",181,69,91,41,14,190,104,58,38,4,36,79,45,19,0,14,76,28,12,0,3,27,12,3,1,428,355,229,113,19,
"Darvel",236,88,158,77,15,359,161,84,32,0,60,105,26,22,1,16,119,13,15,0,12,44,7,19,4,682,520,288,163,19,
"Newmilns",158,61,207,63,10,240,119,75,24,4,39,60,24,17,2,20,49,24,8,0,11,15,16,10,1,471,304,349,123,19,
"Galston",278,111,255,100,15,362,213,130,54,11,74,153,63,30,1,38,128,38,12,0,15,37,25,4,0,763,642,511,193,24,
"Earlston and Hurlford Rural",305,143,357,105,22,397,204,194,65,8,82,123,90,19,2,39,108,59,8,2,14,36,30,5,3,834,622,727,202,38,
"Shortlees",131,78,400,51,6,156,120,288,52,8,45,68,158,31,1,21,64,120,19,0,11,19,82,15,0,361,353,1045,168,12,
"Bellfield and Kirkstyle",204,166,332,80,10,256,175,181,72,4,44,134,98,31,1,25,100,55,25,0,3,39,33,7,0,531,611,699,215,14,
"Kilmarnock South Central and Caprington",217,108,263,143,12,234,117,81,59,5,30,93,28,13,3,7,58,14,8,0,4,8,5,0,0,493,383,395,223,19,
"Piersland",279,143,112,152,7,266,157,33,79,6,59,107,13,14,0,23,99,7,9,2,5,28,8,2,0,631,537,174,257,15,
"New Farm Loch South",174,67,221,27,9,216,89,109,35,4,52,83,77,12,1,17,73,35,17,2,0,17,20,4,0,459,330,463,86,17,
"Dean and New Farm Loch North",186,89,134,47,6,253,151,111,66,5,66,115,67,53,1,28,92,31,34,1,6,35,14,10,0,537,485,357,207,13,
"Southcraig and Beansburn",293,136,10,36,7,556,308,5,46,1,116,253,8,23,1,66,310,5,15,0,17,88,2,10,0,1044,1095,29,126,11,
"Altonhill North and Onthank",115,86,484,51,17,119,152,246,36,2,44,112,139,32,1,20,106,119,24,0,6,31,45,6,0,304,491,1030,149,23,
"Altonhill South, Longpark and Hillhead",135,166,599,112,14,138,177,254,90,1,34,115,137,35,1,14,83,96,15,0,4,32,62,9,1,322,571,1148,261,20,
"Bonnyton and Town Centre",283,216,337,324,20,200,134,84,98,3,49,73,34,27,0,12,75,10,8,2,2,14,6,4,0,552,513,467,461,25,
"Grange, Howard and Gargieston",385,184,19,130,11,615,264,10,56,11,134,250,10,16,2,70,322,7,9,1,19,80,5,6,2,1222,1100,52,221,29,
"Crosshouse, Gatehead and Kilmaurs Rural",218,141,127,49,12,347,305,74,49,4,72,213,37,23,0,40,220,20,19,1,6,65,8,11,0,683,950,267,150,18,
"Kilmaurs",183,77,134,28,11,241,128,66,27,5,46,63,40,11,1,20,71,19,9,1,7,20,15,1,0,500,362,269,74,20,
"West Clober and Mains Estate",159,44,6,17,4,283,74,5,13,4,64,102,4,4,1,34,173,1,9,0,11,30,1,1,0,554,432,20,44,9,
"East Clober and Mains Estate",228,69,136,36,9,243,108,102,16,6,69,102,75,17,2,24,129,39,22,0,5,51,14,4,0,573,455,366,95,17,
"Barloch",334,61,36,41,7,371,107,13,43,1,73,117,9,11,0,39,148,0,12,0,9,36,3,3,0,824,471,61,107,9,
"Keystone and Dougalston",484,87,141,51,15,428,134,40,32,8,82,129,21,11,4,39,161,5,11,0,8,63,5,6,0,1041,576,214,114,25,
"Kilmardinny East",255,41,21,7,1,349,128,6,15,4,77,164,2,11,0,37,258,6,4,0,15,51,1,1,1,730,642,41,42,6,
"Kilmardinny West",266,54,92,27,6,363,108,15,11,5,90,110,1,9,1,51,220,4,6,2,13,63,0,6,0,783,557,106,59,13,
"North Castlehill and Thorn",270,89,11,17,3,393,127,2,14,11,110,170,2,18,0,53,250,7,8,1,14,75,2,6,0,840,707,24,63,15,
"South Castlehill and Thorn",247,58,33,10,11,398,157,38,11,2,88,154,13,16,4,57,237,4,12,2,17,69,10,7,0,805,676,98,56,17,
"Westerton West",204,61,18,5,4,278,131,15,13,2,68,131,10,10,3,24,139,4,12,2,9,31,0,0,1,583,494,46,40,12,
"Westerton East",246,71,12,18,4,381,147,6,16,0,92,138,4,16,0,38,187,0,7,1,12,43,2,8,0,769,587,20,64,1,
"Kessington West",299,44,4,20,5,401,102,2,16,4,72,100,1,11,2,53,142,1,5,0,11,53,1,5,0,838,440,9,57,10,
"Kessington East",198,34,5,10,4,280,101,4,19,1,64,108,1,8,0,50,155,0,11,0,15,49,4,5,1,607,452,17,49,5,
"Torrance and Balmore",160,45,33,12,6,298,112,32,11,2,77,89,12,21,4,38,131,12,9,3,14,36,2,5,1,585,414,91,57,15,
"Bishopbriggs North and Kenmure",427,87,16,22,16,527,188,10,19,3,130,197,6,12,0,68,289,1,14,0,25,66,3,3,0,1179,830,36,70,20,
"Bishopbriggs West and Cadder",589,124,52,50,12,600,251,17,29,4,131,209,2,30,1,76,252,9,11,3,24,102,1,8,0,1416,938,82,128,20,
"Auchinairn",374,180,290,69,11,272,206,145,95,3,82,183,82,51,1,41,259,33,25,5,21,99,13,7,0,787,923,563,244,20,
"Woodhill East",136,45,5,11,4,219,93,2,15,1,71,113,1,6,0,26,127,0,10,0,12,42,2,7,0,464,419,5,51,4,
"Woodhill West",380,55,8,33,7,425,141,7,27,2,110,171,1,24,0,56,186,3,13,4,18,49,0,7,2,985,603,21,105,13,
"Lenzie North",352,74,79,21,5,496,186,61,18,4,139,173,34,28,1,67,235,16,10,1,10,91,8,6,0,1064,759,198,91,13,
"Lenzie South",243,64,4,24,3,365,135,1,26,2,96,120,2,16,2,46,184,1,5,1,14,35,0,4,0,761,539,7,75,8,
"Kirkintilloch South",219,94,121,73,11,273,140,68,36,1,61,114,33,11,1,35,142,16,11,0,9,40,6,6,0,591,527,240,133,16,
"Kirkintilloch West",367,151,200,180,23,332,162,94,69,5,73,147,42,19,0,31,167,18,15,0,13,45,10,7,2,810,674,364,290,29,
"Hillhead",231,108,389,96,15,174,109,253,47,9,29,84,119,25,0,21,64,101,13,0,5,46,39,6,0,460,411,901,189,23,
"Rosebank and Waterside",253,168,60,45,8,395,259,28,24,4,81,266,26,10,4,63,345,23,4,0,18,118,9,8,1,810,1157,146,93,13,
"Twechar and Harestanes East",211,95,170,20,4,215,145,114,16,3,44,103,37,14,0,18,117,31,4,3,5,29,21,2,0,495,485,370,56,14,
"Harestanes",219,115,190,46,14,196,141,91,31,5,46,96,53,23,2,24,79,28,14,0,4,27,14,8,0,489,464,376,122,20,
"Milton of Campsie",299,110,95,22,7,402,164,32,24,2,97,134,28,18,1,39,141,13,7,3,5,51,3,3,0,841,600,177,76,12,
"Lennoxtown",240,158,200,49,13,320,197,119,34,3,78,149,56,17,5,49,149,41,11,0,10,55,25,5,0,697,709,440,116,21,
"Wallyford",123,78,148,26,11,167,171,159,37,5,40,123,80,22,4,29,123,65,15,0,5,57,39,5,1,368,552,492,102,21,
"Whitecraig",91,89,99,30,4,132,223,87,21,9,40,154,46,21,3,9,125,45,8,1,3,31,31,7,0,277,625,312,89,17,
"Musselburgh South",298,156,227,59,17,352,251,104,74,13,85,161,43,30,0,47,130,26,11,1,10,30,11,10,1,795,731,404,194,29,
"Musselburgh West",226,62,72,31,4,294,107,43,27,1,71,108,8,10,0,34,109,7,12,0,10,20,1,4,0,637,409,133,79,5,
"Musselburgh North",421,316,352,211,28,248,231,115,179,7,40,103,45,52,3,26,77,24,34,4,4,31,20,14,0,736,762,552,489,40,
"Musselburgh East",279,146,269,83,18,287,193,144,94,6,48,124,95,22,0,22,137,82,26,3,7,35,59,10,2,652,638,657,235,28,
"Pinkie Braes",87,50,118,10,6,94,76,125,29,3,31,72,61,22,0,14,55,59,9,0,7,22,30,7,0,231,275,393,77,12,
"Prestonpans West",203,155,346,54,15,247,256,267,43,5,54,168,128,24,3,18,158,95,19,0,10,70,69,10,0,533,811,905,150,23,
"Prestonpans East",189,114,228,32,12,238,157,171,47,8,67,117,96,25,0,24,138,46,23,1,6,57,44,6,1,519,580,590,133,22,
"Cockenzie",363,165,173,55,13,488,244,108,41,5,102,164,55,24,2,56,178,49,12,0,15,45,11,4,0,1019,792,395,136,19,
"Tranent East",194,113,241,32,12,284,127,177,36,8,65,103,93,18,3,22,92,71,12,3,6,43,64,10,0,573,482,642,108,25,
"Tranent North Blindwells Levenhall",81,87,67,32,6,174,213,34,26,0,50,151,17,12,3,31,157,22,18,0,2,41,11,5,2,341,653,151,93,12,
"Tranent South",202,135,311,28,15,314,272,187,43,9,90,249,126,21,1,44,286,77,11,1,17,92,24,6,1,667,1036,725,109,27,
"Ormiston",115,56,182,21,2,171,114,124,15,3,47,76,50,7,3,24,93,31,8,0,4,26,24,3,0,361,365,410,58,8,
"Aberlady",129,36,127,66,5,217,95,69,52,6,27,79,21,19,17,21,99,29,19,4,4,20,6,7,0,395,329,253,167,28,
"Macmerry Longniddry",235,65,131,20,6,430,152,94,25,3,70,96,59,16,2,33,134,73,8,0,5,38,29,9,0,769,489,385,77,10,
"Haddington Rural",93,54,28,32,10,231,160,14,52,5,34,127,24,14,8,37,169,19,21,4,4,34,20,4,2,395,542,105,125,28,
"Humbie Gifford Garvald",258,70,127,83,17,541,246,126,66,14,111,128,45,27,7,91,194,37,23,8,17,57,24,12,2,1018,705,357,212,44,
"Haddington North",241,81,138,22,6,383,145,107,46,5,87,137,44,18,1,34,199,31,24,1,12,47,19,6,0,755,610,341,116,13,
"Haddington South",370,147,320,123,16,355,180,164,83,4,68,90,90,32,1,18,103,68,21,1,5,40,47,4,0,818,560,686,266,22,
"Gullane and Drem",326,73,117,75,15,485,148,69,59,16,65,122,53,31,5,40,165,26,20,6,28,55,10,9,1,948,565,275,194,42,
"North Berwick North",387,65,108,79,14,374,106,27,35,2,56,54,4,10,3,36,71,12,12,1,11,27,0,5,1,864,323,150,141,23,
"North Berwick South",298,98,135,35,4,425,184,108,45,13,92,178,55,35,3,46,266,44,28,0,15,64,31,17,0,869,791,376,160,16,
"East Linton and Rural",324,85,116,109,22,573,240,91,113,16,101,188,36,38,3,59,211,31,40,11,37,65,16,22,1,1094,790,289,319,53,
"Dunbar West",275,114,241,49,18,370,213,180,48,18,83,199,95,29,3,36,284,67,15,3,4,80,43,11,2,768,890,628,156,36,
"Dunbar East",306,82,143,74,20,362,161,72,65,6,61,140,56,27,0,51,151,27,21,1,20,47,16,8,0,800,581,314,198,23,
"Neilston East",161,57,230,23,8,201,91,74,16,0,65,74,51,11,1,17,108,17,16,0,10,67,20,4,0,454,395,396,76,19,
"Neilston West and Uplawmoor",267,76,20,11,6,338,179,9,12,5,85,141,9,15,2,44,185,3,6,0,14,46,5,3,2,748,625,44,47,13,
"Cross Stobbs",261,91,58,31,2,398,171,25,16,6,92,145,6,13,0,37,155,5,5,1,10,36,0,1,1,797,598,94,68,11,
"Dunterlie, East Arthurlie and Dovecothall",430,159,715,147,14,290,191,290,59,4,64,122,153,30,7,51,116,74,22,2,12,53,46,10,0,846,645,1274,268,24,
"West Arthurlie, Gateside and Springhill",277,122,160,36,10,347,207,64,41,3,98,164,34,23,1,40,187,11,10,0,10,86,9,5,0,772,772,281,114,16,
"Auchenback and Barrhead Dams",227,85,202,30,13,160,163,144,37,4,52,152,84,17,2,38,154,47,17,3,17,58,29,12,0,494,612,507,113,23,
"Crookfur East, Fruin and Greenlaw East",309,97,96,89,6,335,95,28,29,6,57,118,21,21,1,55,244,5,10,2,28,102,1,14,0,786,656,151,163,16,
"Crookfur West and Greenlaw West",171,64,9,20,3,232,122,6,31,5,80,167,7,25,3,51,235,7,23,1,31,111,7,10,4,568,702,34,106,15,
"Mearns Village, Westacres and Greenfarm",251,102,226,46,18,329,198,65,35,4,117,193,35,27,1,74,277,15,39,1,31,141,2,14,1,803,911,340,157,25,
"Whitecraigs and Broom North",263,33,0,7,2,413,110,0,10,5,85,111,2,4,1,79,194,0,3,1,31,95,0,4,1,872,543,3,32,16,
"Kirkhill South and Broom South",355,73,1,40,10,393,110,5,19,2,91,139,4,8,1,55,208,0,23,0,21,89,3,8,0,913,618,13,98,14,
"Mearnskirk and Maidenhill",160,56,50,11,12,201,160,29,9,4,69,196,23,5,1,63,305,10,13,1,34,133,8,6,4,527,847,119,44,22,
"Eaglesham and Waterfoot",333,94,122,60,12,447,199,26,43,7,99,180,8,32,3,71,243,1,15,3,18,109,2,8,1,971,829,159,154,29,
"Kirkhill North",268,96,2,37,9,248,113,0,35,4,57,135,2,21,1,34,209,0,25,0,12,63,0,11,0,620,616,6,129,11,
"Busby",319,107,139,34,9,227,125,62,32,0,57,119,28,18,1,43,144,18,23,0,13,63,7,14,1,662,555,260,121,12,
"Clarkston and Sheddens",401,84,4,15,11,497,169,3,15,4,159,217,5,22,1,86,409,0,17,0,28,127,1,2,0,1171,1006,15,72,23,
"Williamwood",162,32,1,3,4,244,115,0,1,1,70,158,0,7,0,40,236,0,4,0,18,63,1,3,0,530,601,0,19,5,
"Stamperland",259,77,10,11,2,328,175,1,21,4,85,142,2,10,1,44,211,1,7,2,9,54,1,3,0,721,655,13,49,7,
"Netherlee",399,47,59,26,7,450,104,9,14,2,127,127,1,6,0,79,285,1,12,1,18,87,0,3,0,1067,650,71,57,11,
"Merrylee and Braidbar",427,60,27,25,14,497,131,2,20,2,107,143,0,13,0,79,229,0,12,0,39,110,0,10,1,1146,670,30,82,20,
"Lower Whitecraigs and Giffnock South",211,18,3,3,4,356,84,1,6,4,90,111,0,1,0,59,175,0,0,0,25,99,0,2,0,741,489,5,12,8,
"Giffnock North and Thornliebank North",446,96,186,84,8,269,97,36,45,3,67,101,5,25,1,36,125,2,10,0,21,64,4,8,0,840,483,231,172,11,
"Thornliebank South and Woodfarm",273,74,144,43,10,253,124,59,26,6,77,117,14,23,1,39,188,16,23,0,30,114,6,14,0,674,615,237,126,12,
"Dunipace",179,92,240,42,24,230,131,123,39,4,46,110,74,16,0,26,83,31,9,2,9,35,37,3,0,490,455,500,110,29,
"Fankerton, Stoneywood and Denny Town",205,137,268,70,15,275,347,120,59,9,70,224,61,19,4,38,210,37,21,1,5,50,28,16,1,596,971,514,181,30,
"Denny - Nethermains",220,106,215,61,11,307,130,148,40,5,69,126,76,28,0,21,100,61,18,0,4,32,30,17,0,619,494,532,166,17,
"Head of Muir and Dennyloanhead",162,74,36,19,9,241,148,28,29,8,66,119,19,13,1,32,116,14,14,3,10,45,5,0,0,511,502,102,77,19,
"Banknock, Haggs and Longcroft",174,96,159,35,19,307,141,129,22,8,55,113,80,12,2,35,111,48,4,2,11,35,33,6,0,586,496,449,79,31,
"Bonnybridge",231,105,300,38,15,337,204,192,39,4,71,177,89,15,2,29,153,49,15,0,11,44,28,0,0,677,687,658,109,21,
"High Bonnybridge and Greenhill",111,90,141,27,9,212,175,101,25,5,64,139,49,16,2,27,179,36,7,0,6,48,9,1,3,420,636,339,78,19,
"Larbert - Inches",104,201,27,69,4,169,316,44,70,8,76,335,26,28,3,65,470,23,12,0,8,110,7,6,3,419,1425,127,184,20,
"Larbert - North Broomage",174,77,101,38,8,207,151,71,38,5,51,95,37,12,2,23,100,21,7,3,7,47,15,4,0,461,473,245,104,18,
"Larbert - South Broomage and Village",233,82,95,54,11,368,170,38,38,5,83,144,13,6,0,51,182,5,14,0,16,48,4,4,0,751,626,153,118,17,
"Stenhousemuir West",116,73,287,52,13,156,111,143,30,3,43,83,124,18,1,15,59,65,10,2,5,19,50,1,0,335,338,669,111,20,
"Stenhousemuir East",249,87,136,29,7,310,156,71,47,10,58,98,50,15,0,21,108,21,10,0,3,32,11,4,0,637,481,292,107,14,
"Stenhousemuir - Antonshill",249,94,50,37,15,403,159,27,25,2,67,111,18,15,1,20,116,6,10,0,5,36,4,4,1,741,516,103,87,21,
"Carron",170,91,61,50,7,261,136,36,32,2,52,88,17,9,1,26,68,4,8,0,10,29,5,3,0,515,413,123,104,10,
"Carronshore",107,87,101,18,11,160,115,78,14,4,43,96,67,16,2,23,78,28,10,2,7,26,18,3,0,340,403,296,61,17,
"Carse and Grangemouth Old Town",125,76,81,26,15,220,112,79,26,9,45,89,26,8,1,21,79,27,6,3,7,28,8,8,0,418,387,220,76,31,
"Falkirk - Bainsford and Langlees",122,80,484,62,10,124,93,251,61,6,37,59,132,18,1,6,47,76,7,0,6,14,37,6,0,297,296,981,154,17,
"Falkirk - Merchiston and New Carron Village",201,175,127,96,12,264,225,84,94,3,69,161,34,25,2,31,185,16,14,0,9,55,18,2,3,574,803,279,231,20,
"Falkirk - Grahamston",251,138,390,299,21,154,134,113,117,3,47,68,34,28,0,8,69,23,14,0,5,22,10,9,0,465,431,571,467,24,
"Falkirk - Westfield",125,49,80,50,13,103,59,88,36,2,36,52,72,15,2,12,43,44,9,2,5,18,32,8,0,286,221,319,118,20,
"Falkirk - Middlefield",142,116,179,70,11,120,158,91,45,5,26,72,32,19,1,9,65,21,8,0,3,23,3,3,0,300,431,330,148,17,
"Falkirk - Town Centre and Callendar Park",257,139,641,228,32,201,109,192,108,13,24,55,7,24,1,24,59,11,13,1,2,13,6,2,0,509,375,856,373,46,
"Falkirk - Bantaskin",287,107,52,71,15,309,148,51,86,5,83,111,32,13,0,27,115,16,7,1,9,28,12,4,0,713,510,166,177,22,
"Falkirk - Camelon East",168,95,438,130,21,131,72,161,74,5,28,44,61,35,2,11,34,20,15,1,2,11,10,8,0,343,259,694,259,29,
"Falkirk - Camelon West",124,68,183,25,14,133,92,156,20,7,30,64,85,18,0,6,60,51,8,0,0,20,28,8,0,293,304,506,79,23,
"Falkirk - Tamfourhill",185,93,281,50,12,200,92,99,21,2,50,64,49,16,0,8,66,24,13,0,1,9,15,2,0,448,327,468,102,16,
"Falkirk - Lochgreen and Lionthorn",178,68,11,29,9,396,159,8,33,5,91,167,6,13,1,58,185,4,9,0,10,44,2,2,0,737,621,31,82,15,
"Hallglen and Glen Village",151,82,216,27,11,181,110,150,38,4,47,76,68,22,5,19,78,44,14,4,13,27,36,4,0,408,372,510,113,22,
"Shieldhill",106,72,71,9,10,206,124,50,13,5,51,66,21,6,2,28,82,31,3,0,5,27,17,0,0,397,371,191,31,16,
"Braes Villages",218,62,253,32,18,319,185,182,19,7,68,113,118,10,3,51,125,85,6,2,14,47,53,8,0,670,533,689,76,32,
"Reddingmuirhead and Overton",128,136,32,10,6,223,313,28,7,5,56,275,15,10,1,38,368,8,12,1,8,89,6,6,0,449,1181,92,45,12,
"Brightons and Wallacestone",233,112,63,36,10,380,170,28,35,5,87,164,22,19,2,46,181,13,9,1,15,37,15,9,0,765,658,141,108,18,
"Maddiston and Rumford",204,112,150,25,5,298,231,125,21,5,68,213,79,23,1,35,247,52,10,0,12,60,44,3,1,618,861,445,84,14,
"Polmont",357,154,42,110,12,498,208,30,76,6,84,113,12,25,1,37,128,4,3,1,3,21,5,3,0,977,625,93,212,20,
"Redding",182,83,117,10,10,249,117,102,22,2,58,84,44,17,1,23,104,29,5,0,8,21,22,2,0,520,408,310,56,13,
"Laurieston and Westquarter",181,111,263,29,18,227,132,115,19,5,39,108,66,15,0,15,69,40,6,1,4,24,25,6,0,468,444,506,75,24,
"Grangemouth - Newlands",293,165,437,48,23,307,199,225,61,2,68,140,103,27,0,26,95,54,22,1,7,24,18,3,0,698,627,834,161,25,
"Grangemouth - Town Centre",326,185,270,127,16,298,172,92,68,7,58,85,34,20,0,18,84,18,11,1,7,31,7,5,0,706,558,425,231,24,
"Grangemouth - Kersiebank",296,124,321,62,15,278,128,201,46,14,63,101,104,29,2,29,97,57,14,0,4,30,26,3,2,673,480,712,156,28,
"Grangemouth - Bowhouse",251,77,441,53,14,228,118,155,32,6,42,96,86,15,0,16,79,69,7,1,5,23,27,3,0,540,393,774,110,21,
"Bo'ness - Kinneil",242,101,151,49,21,418,183,102,26,9,94,149,63,23,1,34,149,38,13,0,9,30,10,11,0,801,612,364,122,29,
"Bo'ness - Newtown",187,90,173,22,11,278,120,89,17,10,65,124,67,12,2,29,118,41,6,4,7,39,19,6,0,566,491,382,65,25,
"Bo'ness - town centre",186,111,273,129,13,181,114,130,72,5,34,83,58,3,0,6,62,30,9,1,4,24,27,1,0,416,394,518,218,20,
"Blackness, Bo'ness - Carriden and Grahamsdyke",270,169,263,75,16,366,225,141,61,4,68,155,65,22,0,40,160,37,19,2,7,42,16,5,1,754,751,522,182,23,
"Kincardine",243,106,109,71,9,329,142,81,47,4,60,88,37,15,3,24,74,40,3,0,3,20,6,1,0,659,430,273,139,17,
"Comrie and Oakley",135,63,178,36,4,208,117,98,21,12,40,80,78,19,2,15,75,49,19,1,6,33,33,6,0,408,360,435,95,16,
"Blairhall Saline and Carnock",259,79,90,34,15,416,200,90,27,4,91,131,52,18,1,25,144,39,12,6,14,49,16,2,1,801,603,287,93,25,
"Valleyfield Culross and Torryburn",212,100,225,58,13,292,146,149,49,8,54,127,67,12,0,21,105,47,11,1,10,36,14,6,0,585,514,502,136,22,
"Cairneyhill and Crombie",205,83,42,50,7,292,122,33,25,5,78,110,26,16,0,36,96,16,9,3,6,30,6,7,3,617,444,123,104,19,
"Crossford Charlestown and Limekilns",362,94,18,56,13,553,166,25,57,8,75,113,7,17,1,38,145,7,20,0,8,48,3,10,0,1036,568,60,157,24,
"Dunfermline Milesmark and Wellwood",218,139,64,46,8,382,262,45,31,4,80,192,18,15,0,29,157,18,15,0,8,44,13,10,0,717,789,157,119,12,
"Dunfermline Baldridgeburn",238,201,467,222,13,141,158,151,115,1,36,68,52,50,2,16,54,28,23,1,2,25,4,4,0,434,506,705,412,17,
"Dunfermline Headwell",284,214,299,176,18,282,203,113,93,9,70,116,54,39,0,32,116,38,18,0,5,33,23,15,0,671,684,531,342,27,
"Dunfermline Central",301,194,105,274,12,239,142,46,147,2,58,54,7,36,3,25,61,2,16,0,7,23,0,10,0,626,474,168,483,17,
"Dunfermline Brucefield",160,119,164,117,10,198,118,85,51,1,41,80,69,30,3,23,80,38,16,0,16,28,28,14,1,438,423,381,230,7,
"Dunfermline Garvock Hill",227,63,17,23,1,367,137,5,22,0,81,108,2,10,0,37,128,4,5,0,15,31,0,0,0,727,464,37,64,0,
"Townhill and Kingseat",183,82,75,41,14,275,137,42,39,3,54,81,19,11,3,22,70,17,15,2,5,15,3,5,0,537,384,153,113,22,
"Dunfermline Bellyeoman",223,99,98,30,10,330,163,49,34,5,61,89,22,12,0,24,91,22,4,0,4,35,7,4,2,642,477,198,81,15,
"Dunfermline Duloch North",60,98,69,50,0,76,146,75,49,0,31,131,55,24,1,18,186,33,11,0,9,72,22,5,1,194,630,254,140,2,
