SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Danestone",284,254,7,99,10,431,175,3,62,4,65,116,2,19,0,36,123,0,17,0,10,30,2,8,0,826,694,16,204,19,
"Oldmachar West",339,251,85,61,16,431,271,30,60,0,84,201,3,24,0,34,214,2,35,1,10,70,0,7,0,898,1007,115,188,20,
"Oldmachar East",306,125,28,33,4,553,207,16,23,5,122,158,5,21,0,39,205,5,10,0,8,58,8,11,0,1029,756,68,97,10,
"Balgownie and Donmouth West",273,161,211,48,18,347,157,95,34,3,71,103,36,20,0,14,108,23,17,0,6,34,8,3,0,713,560,373,125,22,
"Balgownie and Donmouth East",248,99,30,53,17,291,112,14,33,7,43,73,12,14,2,25,70,10,11,2,1,26,4,1,0,611,384,65,113,28,
"Denmore",154,168,73,43,8,292,255,19,27,5,68,213,4,17,3,35,214,9,10,0,7,58,6,10,0,556,908,112,108,16,
"East Cairngorms",260,60,146,113,43,374,104,39,120,31,50,43,32,37,11,32,42,13,30,18,9,21,4,9,7,723,268,227,309,111,
"Aboyne and South Deeside",283,89,141,83,21,571,173,42,84,17,100,123,23,35,14,51,191,28,18,7,15,71,10,12,2,1020,647,241,232,61,
"Mearns and Laurencekirk",162,94,109,36,11,252,175,62,29,3,42,127,28,28,1,21,153,23,14,0,8,46,18,5,0,483,595,243,116,15,
"Mearns South and Benholm",239,103,134,80,22,477,222,83,73,17,78,143,32,30,2,46,171,19,47,9,23,82,14,15,7,866,722,286,247,60,
"Mearns North and Inverbervie",330,128,168,71,28,446,276,96,64,14,93,209,53,32,3,59,251,30,24,5,18,97,14,13,7,949,965,360,196,57,
"Fetteresso, Netherley and Catter",215,96,18,59,10,375,244,20,64,15,78,195,21,40,10,75,222,8,26,6,14,51,0,16,1,758,808,68,206,42,
"Stonehaven South",370,131,296,94,18,447,194,125,63,4,93,168,74,41,5,61,160,45,16,5,8,50,18,10,0,976,703,559,224,32,
"Stonehaven North",411,135,229,96,15,560,231,71,80,11,105,185,36,33,1,64,244,15,25,0,10,65,2,13,1,1150,856,349,248,28,
"Newtonhill",164,79,51,10,6,280,180,28,12,3,58,143,20,10,0,35,170,13,11,1,7,36,2,4,0,544,608,114,50,10,
"Portlethen",301,156,21,48,11,465,239,5,37,1,75,145,5,15,1,31,175,3,8,1,17,36,4,5,0,889,757,42,113,14,
"Banchory-Devenick and Findon",171,120,107,32,9,312,271,77,41,1,84,277,39,28,5,43,345,13,37,0,11,130,14,15,0,621,1147,250,153,18,
"Dunecht, Durris and Drumoak",206,61,71,101,20,444,247,25,123,22,117,156,19,39,7,53,203,15,43,3,30,97,3,23,2,849,764,136,329,57,
"Banchory East",263,98,168,50,10,352,173,71,37,8,64,150,37,17,2,41,229,24,17,2,3,59,10,10,0,723,704,316,128,22,
"Banchory West",254,70,80,55,10,388,107,32,41,8,84,79,16,20,3,35,103,4,16,1,10,47,3,6,0,771,405,135,135,28,
"Crathes and Torphins",240,43,46,95,18,377,116,27,104,16,68,122,17,37,1,33,151,12,34,2,8,37,5,13,2,723,469,103,280,42,
"Cromar and Kildrummy",270,65,99,105,26,418,158,39,73,22,69,97,12,34,4,45,135,13,35,4,18,34,13,21,0,820,489,176,270,59,
"Howe of Alford",313,164,171,88,16,583,291,88,71,17,108,206,32,43,2,60,303,27,28,2,28,82,7,9,1,1092,1045,328,238,40,
"Kemnay",216,92,206,20,3,294,138,132,20,3,69,132,72,6,3,24,140,39,2,2,4,48,27,0,1,605,554,477,51,12,
"Inverurie North",372,221,222,120,14,572,224,119,63,7,97,161,35,23,2,46,145,32,14,5,3,42,12,5,0,1090,793,420,226,25,
"Inverurie South",370,213,470,172,21,411,171,201,120,12,61,110,70,37,2,37,101,24,23,3,5,52,13,9,2,879,647,779,363,40,
"Inverurie - Harlaw",120,115,71,23,11,216,331,68,33,2,62,265,46,17,0,43,373,32,19,2,10,85,13,6,1,445,1165,230,98,14,
"Durno and Chapel of Garioch",128,36,25,34,10,309,129,5,31,6,61,97,5,8,0,52,123,2,7,0,6,43,0,3,2,559,428,44,83,18,
"Kintore",271,107,134,54,17,518,242,58,51,8,104,219,28,24,4,89,327,9,16,4,9,91,5,27,2,991,988,237,170,35,
"Blackburn",99,66,50,41,5,198,131,24,37,4,60,144,23,26,4,59,180,6,27,1,11,55,8,21,0,427,576,112,152,12,
"Westhill North and South",155,76,44,50,11,406,177,40,56,6,89,135,18,29,2,61,264,15,24,2,14,63,4,8,0,724,716,121,167,22,
"Westhill Central",361,132,53,56,13,467,150,17,39,6,78,121,8,20,0,32,158,6,16,0,5,36,1,7,0,945,597,88,138,19,
"Garlogie and Elrick",181,117,58,40,12,287,169,33,36,4,71,167,14,23,0,60,257,9,13,3,17,52,4,14,0,612,756,113,123,19,
"Newmachar and Fintray",226,126,75,37,12,414,265,53,39,5,97,232,28,18,0,57,272,19,24,1,8,65,16,8,1,802,963,191,128,18,
"Balmedie and Potterton",245,96,79,33,6,410,249,46,51,4,87,194,30,20,2,43,236,11,12,0,19,82,6,11,0,802,857,172,128,13,
"Ellon East",415,221,130,121,11,560,284,49,61,7,92,241,19,42,3,45,283,11,28,1,8,73,2,12,0,1124,1107,215,271,27,
"Ellon West",263,105,192,41,6,430,177,69,33,3,83,130,23,24,1,23,132,9,22,0,10,45,9,5,0,811,590,305,125,12,
"Ythanside",211,90,29,44,11,472,239,34,63,21,91,176,23,27,2,69,202,6,23,0,26,65,7,8,2,868,773,98,165,38,
"Ythsie",283,99,133,81,18,509,272,63,80,15,101,195,21,33,3,58,286,19,31,4,15,70,6,18,6,966,923,245,243,45,
"Barrahill",196,96,106,43,14,444,201,68,33,13,86,174,59,32,2,55,259,23,23,6,13,67,7,15,3,797,789,259,142,38,
"Fyvie-Rothie",164,82,81,62,7,365,198,40,47,8,94,120,15,36,4,44,142,21,21,4,14,65,1,20,3,681,607,158,182,26,
"Insch, Oyne and Ythanwells",231,94,129,50,17,396,188,53,61,15,64,122,27,32,1,34,172,21,24,2,15,53,10,11,5,740,629,239,174,36,
"Clashindarroch",254,80,60,61,19,512,206,51,77,11,99,119,19,32,5,54,147,19,35,6,18,55,8,23,1,937,611,159,232,42,
"Huntly",331,105,416,114,31,370,124,155,57,4,47,80,65,28,1,31,85,33,19,0,9,36,24,9,0,784,431,693,227,36,
"Auchterless and Monquhitter",106,51,9,36,10,287,123,9,58,9,57,70,2,26,5,34,102,1,20,4,24,56,5,15,1,500,404,27,146,29,
"Turriff",387,154,229,96,23,426,140,117,65,19,68,94,52,25,2,34,124,36,15,0,3,31,12,10,1,912,542,443,211,44,
"Portsoy, Fordyce and Cornhill",281,63,155,42,20,356,114,69,34,6,64,59,39,12,1,33,66,25,11,1,13,39,11,11,0,744,342,297,110,28,
"Aberchirder and Whitehills",289,71,142,73,21,417,135,75,49,17,84,91,39,12,1,50,124,18,26,2,17,41,18,4,0,855,463,293,163,42,
"Banff",309,107,331,89,18,337,132,158,47,10,64,68,63,14,0,40,95,42,4,0,7,34,23,1,0,757,436,613,152,32,
"Macduff",268,105,278,46,6,297,140,130,24,5,60,97,72,14,2,25,125,30,13,1,5,39,16,8,0,663,508,532,105,12,
"Gardenstown and King Edward",198,63,50,62,11,343,150,38,39,10,64,88,6,25,2,44,77,14,13,3,23,51,3,6,0,672,426,110,141,28,
"New Pitsligo",233,58,70,36,7,311,90,59,33,11,57,70,24,16,5,38,77,15,15,0,15,36,13,5,1,654,331,181,104,24,
"Deer and Mormond",279,124,144,80,11,443,232,61,51,8,96,148,21,25,8,74,171,22,19,4,32,65,12,10,1,920,737,260,186,29,
"Mintlaw",209,97,151,23,9,296,120,68,18,3,52,97,39,11,2,18,99,25,8,0,6,30,17,8,0,578,443,297,63,14,
"Auchnagatt",145,62,44,24,5,298,135,24,26,7,74,111,11,21,4,48,142,6,13,1,11,48,3,9,1,576,496,86,96,18,
"Cruden",295,135,170,44,14,454,214,104,55,6,82,162,42,36,3,36,151,26,16,0,13,50,16,18,4,879,712,358,156,27,
"Peterhead Links",307,109,124,43,14,408,150,104,28,2,73,119,55,22,4,45,118,45,19,2,8,33,26,8,0,844,529,350,117,20,
"Peterhead Bay",163,93,233,61,10,177,84,103,24,1,28,64,34,20,0,10,57,19,9,0,5,20,11,9,1,383,316,400,124,15,
"Peterhead Harbour",427,156,782,241,23,301,149,280,131,13,57,110,173,59,2,27,103,72,40,3,14,37,38,24,0,823,555,1347,495,40,
"Peterhead Ugieside",311,122,136,47,15,401,151,77,41,10,82,116,40,14,0,38,127,38,8,1,12,45,13,5,2,845,561,304,115,28,
"Longside and Rattray South",149,124,38,28,11,294,224,28,18,2,64,187,22,17,1,30,284,19,18,3,11,87,16,6,1,552,907,123,87,16,
"Longside and Rattray North",176,85,106,44,9,337,154,61,27,11,63,84,29,9,4,58,134,19,11,2,13,56,10,15,3,647,511,238,106,29,
"Rosehearty, Sandhaven and Tyrie",159,77,127,30,8,266,117,77,22,9,60,92,31,17,0,28,114,36,15,0,13,55,16,7,4,524,452,285,85,19,
"Cairnbulg/Inverallochy and Memsie",264,80,87,25,14,360,105,44,29,8,83,98,25,9,3,40,102,11,11,1,19,54,0,8,0,769,436,165,81,24,
"Fraserburgh Smiddyhill",273,89,38,35,10,441,143,30,25,10,98,127,16,16,1,52,185,5,6,0,17,57,6,6,2,887,597,94,86,26,
"Fraserburgh Lochpots",111,43,205,37,16,135,59,152,42,3,21,55,78,20,1,5,37,39,17,6,1,4,21,5,0,273,198,495,123,20,
"Fraserburgh Central-Academy",187,76,259,74,16,191,74,93,61,1,42,75,37,18,0,14,54,15,6,0,7,33,7,4,0,441,310,412,165,17,
"Fraserburgh Harbour and Broadsea",249,62,443,113,18,139,69,171,53,4,37,44,116,14,1,10,39,80,27,0,8,18,35,6,0,440,232,851,214,22,
"South Angus",382,93,73,59,25,587,236,22,56,6,128,186,12,25,3,50,209,3,20,4,21,68,9,6,2,1165,795,114,166,40,
"Monikie and Wellbank",174,68,24,32,6,338,165,26,22,11,76,161,6,18,5,42,183,12,17,1,24,69,1,16,0,658,645,70,112,23,
"Barry and Panbride",152,38,17,25,4,277,127,29,21,13,48,135,14,19,3,30,177,10,9,3,11,44,1,11,0,518,521,74,85,23,
"Monifieth West",272,64,36,26,6,360,111,36,26,4,61,86,10,19,3,20,100,9,4,0,14,29,8,4,0,724,392,99,83,12,
"Monifieth East",506,130,151,90,15,595,201,49,51,11,98,171,14,18,2,23,185,13,13,3,17,44,1,6,0,1236,733,230,182,31,
"Carnoustie West",346,195,280,106,22,405,258,118,129,12,79,174,67,52,7,20,158,37,45,0,10,45,11,16,0,860,830,514,351,38,
"Carnoustie East",415,112,118,70,11,669,207,51,46,13,122,161,19,24,5,42,200,12,21,0,11,51,6,6,0,1257,731,207,171,30,
"Arbroath Landward",188,55,26,65,19,331,163,21,56,13,50,93,13,14,6,19,84,12,19,5,9,34,4,10,2,597,424,76,163,45,
"Arbroath Kirkton",357,122,251,60,11,472,183,124,50,11,96,170,65,32,2,44,177,44,29,1,9,50,23,8,4,980,699,510,180,26,
"Arbroath Keptie",318,100,159,112,14,391,128,64,72,5,56,102,21,23,4,26,91,19,6,2,5,18,1,4,1,796,436,261,217,23,
"Arbroath Harbour",309,149,708,332,28,235,112,181,170,6,39,65,49,48,1,19,73,27,26,2,5,15,23,15,0,607,412,981,592,37,
"Arbroath Cliffburn",242,153,271,38,6,324,191,221,58,2,61,129,137,37,1,31,151,95,25,0,3,37,43,4,0,661,661,767,166,11,
"Arbroath Warddykes",236,91,408,50,18,279,125,233,43,0,51,106,108,19,3,25,94,81,25,2,4,34,51,6,0,595,452,884,143,27,
"Lunan",229,69,86,95,14,285,120,40,61,8,42,48,24,32,7,26,76,13,13,3,12,21,8,6,4,594,334,170,203,36,
"Montrose South",435,243,499,319,21,328,176,175,128,15,48,114,86,50,3,22,78,39,19,2,3,39,19,12,0,836,650,819,527,41,
"Montrose North",328,119,306,91,17,407,165,105,58,13,68,102,69,36,1,30,150,36,14,2,3,39,33,11,0,835,575,549,213,32,
"Hillside",236,78,71,27,8,376,145,47,47,6,79,116,36,26,3,34,136,18,15,0,11,46,11,6,0,733,515,183,121,15,
"Friockheim",195,60,50,89,27,365,147,26,118,23,64,74,14,30,12,25,94,6,16,8,10,34,5,21,2,657,413,102,276,73,
