SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 10 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over","One person household: Aged under 66","One family household: All aged 66 and over","One family household: Couple family: No children","One family household: Couple family: With dependent children","One family household: Couple family: All children non-dependent","One family household: Lone parent: With dependent children","One family household: Lone parent: All children non-dependent","Other household types: With dependent children","Other household types: Other (including all full-time students and all aged 66 and over)","Total",
"Data Zone (2022)",
"S01013687",46,88,10,39,35,10,29,18,1,1,275,
"S01013688",82,89,26,50,65,17,39,27,1,7,404,
"S01013689",34,70,9,39,54,22,17,21,2,5,273,
"S01013690",30,45,16,33,32,13,36,9,1,7,220,
"S01013691",73,72,30,52,63,32,30,12,2,6,374,
"S01013692",71,123,27,51,61,16,49,22,3,7,435,
"S01013693",102,48,57,70,47,32,22,14,6,9,413,
"S01013694",112,108,40,61,64,25,17,14,0,7,445,
"S01013695",35,54,34,41,33,14,15,16,3,3,248,
"S01013696",64,110,22,76,62,24,43,29,4,10,448,
"S01013697",67,60,37,40,49,19,14,9,5,13,309,
"S01013698",16,24,11,23,50,13,41,13,8,8,212,
"S01013699",33,37,17,30,48,18,16,18,0,10,234,
"S01013700",93,69,36,71,70,22,30,21,5,9,426,
"S01013701",19,35,28,35,48,26,16,28,3,8,246,
"S01013702",49,38,16,73,91,25,41,24,6,8,374,
"S01013703",33,42,16,46,49,12,27,22,6,6,258,
"S01013704",47,59,19,69,62,23,18,26,9,7,338,
"S01013705",44,46,16,56,53,24,20,19,6,11,293,
"S01013706",50,46,15,48,53,13,20,15,5,5,275,
"S01013707",16,54,6,34,62,24,65,35,8,8,314,
"S01013708",35,48,16,48,53,22,19,13,8,9,267,
"S01013709",13,55,10,22,41,13,51,20,19,15,262,
"S01013710",62,126,14,47,73,25,78,19,16,7,469,
"S01013711",40,56,23,64,72,13,39,14,3,9,331,
"S01013712",35,114,9,41,79,30,71,27,15,11,436,
"S01013713",21,31,18,46,50,18,39,23,14,4,266,
"S01013714",38,83,26,31,30,19,10,17,3,11,261,
"S01013715",23,29,24,84,106,34,11,8,5,6,323,
"S01013716",51,26,55,45,36,23,4,1,1,2,243,
"S01013717",15,58,18,75,170,23,19,13,5,5,397,
"S01013718",30,42,41,91,72,29,16,6,3,4,327,
"S01013719",10,19,16,47,58,11,4,7,0,5,174,
"S01013720",6,120,4,94,81,8,40,10,0,5,365,
"S01013721",16,57,28,55,22,11,3,4,3,1,199,
"S01013722",33,53,25,74,115,36,6,6,4,3,355,
"S01013723",11,59,11,63,105,17,37,5,0,6,316,
"S01013724",12,241,5,118,89,3,32,5,6,11,522,
"S01013725",25,150,13,60,45,4,30,4,3,6,341,
"S01013726",13,112,3,72,127,0,17,6,4,9,360,
"S01013727",21,157,19,95,95,6,27,14,8,20,452,
"S01013728",48,85,27,47,58,20,20,15,5,2,329,
"S01013729",91,65,36,44,44,17,14,14,3,3,336,
"S01013730",60,48,21,21,37,11,16,8,1,5,227,
"S01013731",54,137,24,105,76,9,18,10,6,6,440,
"S01013732",46,95,24,46,27,5,15,19,0,7,291,
"S01013733",88,122,30,55,53,29,55,21,7,6,463,
"S01013734",71,64,30,65,75,27,31,18,3,3,387,
"S01013735",52,27,53,44,42,26,7,7,0,4,258,
"S01013736",17,34,6,45,87,8,15,0,6,1,224,
"S01013737",53,173,34,52,49,17,32,14,1,3,425,
"S01013738",21,90,45,77,74,15,27,5,3,8,366,
"S01013739",70,72,47,81,63,23,27,16,6,5,411,
"S01013740",46,42,44,44,40,17,17,21,5,8,284,
"S01013741",24,45,22,32,31,12,9,8,4,4,195,
"S01013742",78,60,39,48,47,18,17,10,6,9,330,
"S01013743",92,76,68,64,69,20,23,16,6,9,446,
"S01013744",68,59,84,65,62,24,9,12,3,7,396,
"S01013745",17,65,23,63,78,20,14,9,5,6,300,
"S01013746",9,94,6,57,75,20,14,0,2,6,280,
"S01013747",35,92,34,78,64,18,7,6,3,3,342,
"S01013748",30,84,49,72,39,19,5,8,2,1,308,
"S01013749",34,55,37,47,39,13,10,10,1,2,247,
"S01013750",25,84,25,56,33,10,6,6,1,6,251,
"S01013751",47,65,71,73,32,22,9,12,0,2,333,
"S01013752",13,66,16,69,130,7,4,5,2,4,317,
"S01013753",132,41,80,78,64,9,5,9,2,3,428,
"S01013754",15,76,15,88,101,21,7,7,5,6,342,
"S01013755",36,104,12,89,60,23,5,11,3,3,347,
"S01013756",22,100,15,60,40,18,7,7,6,3,277,
"S01013757",26,35,25,69,48,19,0,7,4,2,237,
"S01013758",52,35,38,54,45,36,11,9,3,2,285,
"S01013759",18,3,40,55,56,30,3,4,0,0,213,
"S01013760",70,44,54,74,81,30,22,12,2,4,393,
"S01013761",34,33,59,53,51,15,13,8,3,4,269,
"S01013762",20,8,15,33,41,22,0,2,1,2,150,
"S01013763",51,79,51,73,44,23,8,6,4,5,344,
"S01013764",34,59,40,75,85,32,18,12,6,1,365,
"S01013765",23,20,46,43,40,28,5,10,1,3,221,
"S01013766",68,143,25,75,84,25,27,12,5,4,466,
"S01013767",94,64,29,40,26,6,20,17,1,2,296,
"S01013768",43,17,73,49,43,18,6,9,4,2,261,
"S01013769",55,45,47,51,41,21,11,12,0,2,287,
"S01013770",42,63,15,40,37,16,17,16,5,7,258,
"S01013771",31,50,30,29,29,12,16,17,3,3,226,
"S01013772",61,23,43,53,49,19,9,12,4,3,272,
"S01013773",41,105,47,72,67,19,13,18,4,5,392,
"S01013774",55,47,45,46,25,8,13,8,3,3,255,
"S01013775",36,81,36,62,40,14,5,3,0,4,283,
"S01013776",21,28,26,58,45,29,4,3,1,0,217,
"S01013777",23,69,48,70,61,36,15,3,3,4,330,
"S01013778",51,35,49,62,47,19,8,4,4,3,280,
"S01013779",42,57,7,58,100,19,11,1,3,4,310,
"S01013780",14,51,9,67,86,17,16,7,4,9,284,
"S01013781",3,56,1,68,113,10,19,2,4,4,280,
"S01013782",55,55,45,64,31,18,6,10,2,2,291,
"S01013783",121,91,73,72,38,23,13,16,4,2,456,
"S01013784",45,51,33,73,44,18,8,6,1,7,289,
"S01013785",36,55,43,84,49,20,8,5,7,8,312,
"S01013786",53,60,35,65,47,11,5,4,0,8,289,
"S01013787",61,52,39,50,42,9,12,7,0,8,283,
"S01013788",49,61,57,57,72,14,9,2,4,5,337,
"S01013789",28,19,45,51,99,14,15,10,1,2,283,
"S01013790",22,38,39,89,50,22,4,4,2,8,278,
"S01013791",26,23,36,76,60,23,5,8,0,3,260,
"S01013792",95,80,59,61,67,18,20,12,3,4,421,
"S01013793",34,26,55,88,83,29,4,13,3,5,342,
"S01013794",31,33,44,49,62,7,10,0,3,8,252,
"S01013795",9,34,13,49,88,12,28,2,0,1,238,
"S01013796",79,53,37,61,47,17,10,9,1,1,315,
"S01013797",28,24,28,55,71,11,10,5,0,1,233,
"S01013798",49,71,30,80,105,28,25,19,4,3,413,
"S01013799",46,57,37,68,78,17,7,9,5,5,330,
"S01013800",16,15,26,51,34,10,5,3,7,3,169,
"S01013801",50,58,61,123,109,29,15,12,8,9,472,
"S01013802",23,41,27,63,65,11,16,11,6,8,271,
"S01013803",50,52,41,61,54,15,29,6,3,8,318,
"S01013804",27,16,21,54,64,24,10,2,3,2,218,
"S01013805",50,79,47,86,69,30,22,11,4,8,399,
"S01013806",27,45,28,95,102,21,7,8,3,7,344,
"S01013807",31,21,22,40,56,20,17,10,2,4,225,
