SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Arbroath Keptie",481,8,20,305,42,21,203,63,30,193,148,157,46,1,15,3,0,1,1,0,0,1232,261,240,
"Arbroath Harbour",110,26,22,131,88,30,364,92,47,343,756,434,47,12,59,24,4,37,0,0,0,1019,981,628,
"Arbroath Cliffburn",328,39,13,483,242,69,393,209,53,116,275,40,8,2,3,0,0,2,0,0,0,1322,767,177,
"Arbroath Warddykes",131,23,13,323,154,41,508,192,47,73,508,67,8,7,5,2,0,1,1,0,0,1047,884,170,
"Lunan",422,2,86,299,36,65,142,72,32,49,59,39,17,0,15,1,0,2,1,0,0,927,170,239,
"Montrose South",209,12,13,291,75,33,312,58,67,500,661,381,139,6,55,35,0,21,0,1,0,1486,819,568,
"Montrose North",501,22,33,295,101,40,488,149,74,94,275,81,23,2,9,7,0,8,0,0,0,1410,549,242,
"Hillside",795,15,65,235,85,44,164,37,19,11,36,4,3,0,5,1,1,0,37,6,2,1248,183,136,
"Friockheim",711,2,210,246,47,96,95,33,22,7,19,8,10,0,11,3,0,0,3,0,2,1073,102,349,
"Brechin East",149,15,18,263,129,42,192,103,39,108,452,109,36,6,15,1,0,8,1,0,1,750,705,232,
"Brechin West",549,8,41,412,59,56,186,64,26,111,151,112,66,5,26,13,1,7,0,0,0,1340,286,267,
"Letham and Glamis",1400,13,286,374,75,119,169,52,42,13,57,4,4,3,5,1,0,1,3,0,0,1964,200,458,
"Forfar East",827,15,40,398,98,43,176,42,27,96,135,150,11,1,23,8,0,1,0,0,0,1516,291,282,
"Forfar Central",212,28,20,250,140,57,281,164,73,208,576,150,34,12,10,29,2,23,2,0,0,1016,922,335,
"Forfar West",393,26,21,453,94,51,519,207,84,92,299,40,11,5,1,6,1,1,0,0,0,1472,632,194,
"Kirriemuir Landward",523,7,191,178,83,53,99,27,29,12,18,18,4,0,0,1,0,2,7,0,0,821,135,293,
"Kirriemuir",976,13,59,535,108,83,273,97,52,94,387,166,19,6,13,14,0,14,0,0,0,1911,611,387,
"Angus Glens",778,14,302,201,45,87,68,30,17,17,7,6,7,1,3,1,0,3,2,0,0,1074,98,418,
"Mull, Iona, Coll and Tiree",1011,15,165,205,125,72,71,31,14,45,90,41,15,5,9,10,4,9,18,0,3,1375,270,319,
"Oban South",513,28,28,437,174,54,143,51,18,425,577,224,10,5,23,5,1,4,1,0,0,1532,842,354,
"Oban North",313,3,21,171,29,26,125,43,17,212,163,161,21,1,21,16,0,16,0,0,0,861,239,262,
"Benderloch Trail",652,4,92,136,76,42,29,28,12,5,30,6,3,2,4,1,0,1,9,0,1,836,139,156,
"Glen Lonan",629,14,93,228,164,51,81,92,16,17,86,18,8,0,8,3,0,1,13,0,4,979,356,191,
"Loch Awe",568,7,103,175,40,56,101,29,29,6,0,6,4,0,3,3,0,2,8,0,6,862,80,206,
"Mid Argyll",629,12,102,267,101,39,102,45,40,35,42,9,12,8,9,7,1,2,17,0,6,1064,206,214,
"Greater Lochgilphead",410,10,16,337,174,37,197,199,25,141,217,62,30,0,15,15,3,6,0,0,1,1130,605,159,
"Knapdale",543,14,105,183,57,33,48,11,14,83,100,47,40,8,14,5,0,2,5,0,1,909,192,215,
"Whisky Isles",467,27,117,288,182,86,226,154,35,24,98,7,8,1,9,6,0,2,9,0,3,1028,463,261,
"Kintyre Trail",713,6,96,251,122,37,117,47,33,7,6,6,2,3,2,6,0,2,0,0,0,1101,180,179,
"Campbeltown",358,18,19,366,160,26,223,122,27,287,482,160,46,14,8,10,0,4,0,0,0,1286,792,245,
"Bute",348,4,87,197,24,64,39,14,10,275,57,76,127,6,16,2,0,1,3,0,0,990,104,254,
"Rothesay Town",87,13,14,192,105,22,142,95,37,407,556,163,79,10,22,13,3,10,2,0,0,922,779,270,
"Cowal South",1315,15,141,343,137,83,106,53,24,108,54,43,156,1,38,8,0,4,10,0,3,2045,257,336,
"Hunter's Quay",749,11,42,353,151,41,178,85,21,253,268,147,133,10,41,1,0,2,19,0,0,1689,524,296,
"Dunoon",562,12,53,293,94,49,101,134,34,227,247,161,177,10,64,12,0,9,1,0,4,1372,499,379,
"Garelochhead",701,17,39,225,62,25,338,149,37,85,80,32,75,1,17,6,1,6,28,0,1,1456,310,157,
"Helensburgh West and Rhu",940,3,47,213,41,56,170,24,23,246,74,77,96,0,18,0,0,0,0,0,0,1661,140,219,
"Helensburgh North",864,4,22,158,16,20,103,111,114,83,33,28,99,4,14,0,0,0,2,0,0,1311,169,198,
"Helensburgh Centre",261,4,10,89,19,8,33,4,7,606,203,402,144,2,36,12,0,9,0,0,0,1150,230,472,
"Helensburgh East",318,9,25,484,71,109,167,40,13,213,304,75,49,3,6,1,0,0,0,0,0,1234,427,229,
"Lomond Shore",749,8,64,315,60,23,141,34,14,144,62,39,46,1,10,6,0,1,2,0,1,1403,165,152,
"Balerno",1203,7,51,390,30,43,209,29,22,278,56,81,8,0,8,6,0,1,1,0,0,2093,123,204,
"Currie West",373,8,10,621,50,36,313,42,27,138,66,51,3,0,3,2,0,0,0,0,0,1449,169,124,
"Currie East",511,3,11,551,8,26,110,8,4,88,87,26,7,0,4,0,0,3,0,0,0,1268,105,72,
"Baberton and Juniper Green",419,5,8,721,10,23,179,8,20,225,46,56,23,0,4,1,0,1,0,0,0,1575,69,112,
"Bonaly and The Pentlands",946,1,28,309,6,19,234,2,13,195,28,52,31,2,13,2,0,2,0,0,0,1717,39,124,
"Colinton and Kingsknowe",612,2,46,382,6,124,51,10,20,141,134,62,7,16,12,0,0,0,0,0,0,1193,167,265,
"Clovenstone and Wester Hailes South",15,13,5,55,47,14,66,53,15,184,789,176,1,7,4,0,2,1,0,1,0,318,912,215,
"The Calders",14,18,10,103,91,12,85,101,16,449,892,286,7,8,8,0,1,3,0,0,0,661,1111,332,
"Murrayburn and Wester Hailes North",7,15,6,32,42,5,50,69,4,268,1141,158,2,4,3,0,4,0,1,2,0,359,1275,175,
"Parkhead and Sighthill",17,1,6,69,5,40,90,9,33,816,30,228,4,4,15,0,0,0,0,0,0,991,50,318,
"Broomhouse and Bankhead",49,13,17,146,90,48,253,90,40,328,408,141,4,0,10,0,0,0,0,0,0,780,601,259,
"Stenhouse and Saughton Mains",19,16,11,82,85,57,73,72,27,1104,733,786,8,9,17,1,8,10,0,3,1,1283,922,904,
"Longstone",80,4,3,329,72,49,365,62,36,404,235,199,4,1,6,1,0,2,0,0,0,1183,375,296,
"Slateford and Chesser",49,3,5,130,13,20,214,16,17,1109,404,732,18,2,12,3,2,4,0,0,0,1521,441,792,
"Gorgie West",12,3,7,43,23,7,24,13,21,1056,564,1347,4,5,14,3,2,15,2,0,2,1137,611,1405,
"Gorgie East",6,0,3,7,1,4,28,5,17,675,304,1121,5,1,8,0,0,0,0,0,0,721,311,1155,
"Shandon",32,2,2,48,3,4,286,1,40,1291,50,786,70,1,16,3,0,4,0,0,1,1730,58,853,
"Craiglockhart",769,0,19,342,1,9,298,6,10,414,4,128,47,0,7,1,0,1,0,0,0,1871,14,172,
"Morningside West and Craighouse",73,0,3,131,3,8,396,2,13,893,46,586,21,4,8,1,0,2,0,0,0,1515,54,618,
"Greenbank and The Braids",631,0,7,168,2,5,355,1,15,474,7,92,39,0,5,0,0,2,0,0,0,1667,11,128,
"Colinton Mains and Firrhill",8,12,6,96,62,50,101,105,26,823,330,305,6,4,15,0,0,1,0,0,0,1042,505,399,
"Oxgangs",24,6,3,137,24,14,234,46,13,343,341,168,0,3,0,1,0,1,1,0,0,741,420,199,
"Comiston and Swanston",1195,1,35,507,6,103,89,9,60,124,6,68,5,0,1,0,0,1,0,0,0,1920,21,271,
"Fairmilehead",1108,0,14,488,0,20,252,0,13,109,31,27,7,0,1,0,1,1,0,0,0,1963,36,78,
"Gilmerton South and the Murrays",651,7,21,407,32,40,278,48,30,88,158,75,4,3,2,0,1,0,0,0,0,1427,248,165,
"Burdiehouse South and Broomhills",478,12,26,242,45,23,271,40,22,102,88,43,4,0,0,0,0,0,0,0,0,1097,179,116,
"Mortonhall and Anwickhill",339,1,15,257,0,30,261,15,29,183,21,47,10,0,8,0,0,0,0,0,0,1055,42,129,
"Gracemount, Southhouse and Burdiehouse",135,55,23,303,268,62,353,134,58,309,625,198,6,5,6,0,1,2,0,0,2,1106,1087,344,
"Hyvots and Gilmerton",64,19,4,337,161,41,293,113,43,217,360,79,9,10,8,2,4,4,0,0,0,923,667,183,
"Fernieside and Moredun South",97,12,14,351,122,90,453,130,63,101,179,61,7,4,8,3,0,8,0,0,0,1012,445,247,
"Moredun and Craigour",113,22,13,241,66,32,191,47,28,99,492,79,2,2,4,1,2,0,2,0,0,646,630,159,
"Liberton East",457,4,24,270,3,15,189,1,19,219,12,78,9,0,1,0,0,0,0,0,0,1144,18,136,
"Liberton West",413,3,16,455,11,19,177,6,29,177,89,73,25,0,2,3,0,3,0,0,0,1250,110,144,
"The Inch",43,20,15,240,104,72,561,145,80,464,266,267,20,4,10,4,1,0,1,0,1,1332,546,449,
"Blackford, West Mains and Mayfield Road",279,2,23,424,10,34,473,17,27,806,71,389,208,2,27,5,0,0,0,0,0,2188,105,501,
"Prestonfield",199,5,18,206,11,21,153,15,16,377,270,387,17,8,13,0,0,3,0,1,0,948,314,457,
