SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Lennoxtown",530,8,19,403,108,27,333,130,25,130,192,60,7,0,3,2,3,2,1,0,0,1406,440,137,
"Wallyford",182,20,16,306,122,37,346,197,39,81,144,28,1,6,2,4,0,1,0,0,0,920,492,123,
"Whitecraig",263,10,16,259,83,25,266,89,27,111,134,31,0,0,2,1,0,2,0,0,0,900,312,103,
"Musselburgh South",224,8,13,561,107,45,406,61,41,312,226,108,20,2,8,3,0,0,0,0,2,1526,404,223,
"Musselburgh West",309,0,5,366,21,13,204,19,17,162,96,45,4,1,3,2,0,0,0,0,0,1046,133,84,
"Musselburgh North",57,11,10,132,51,17,280,30,23,960,452,461,52,5,9,17,2,8,0,0,0,1498,552,528,
"Musselburgh East",146,20,15,321,146,29,406,137,32,379,348,178,31,1,5,4,0,6,0,0,0,1286,657,263,
"Pinkie Braes",59,4,7,153,91,16,172,68,16,115,229,47,5,0,0,4,1,0,0,0,0,506,393,86,
"Prestonpans West",282,30,9,376,249,36,468,291,50,202,329,78,8,4,2,6,2,0,0,0,0,1343,905,173,
"Prestonpans East",211,18,13,502,235,50,260,219,38,118,115,57,5,2,0,3,0,0,0,0,0,1099,590,155,
"Cockenzie",496,17,13,457,63,27,650,126,50,192,184,57,14,0,4,5,2,1,2,0,0,1813,395,155,
"Tranent East",171,41,17,403,194,44,399,132,27,73,276,40,4,7,1,5,0,3,0,0,0,1055,642,133,
"Tranent North Blindwells Levenhall",517,5,27,167,17,18,207,26,11,85,101,36,9,1,5,5,0,4,0,0,1,990,151,105,
"Tranent South",733,34,21,369,189,27,436,256,47,156,244,40,6,2,0,3,0,1,0,0,0,1704,725,136,
"Ormiston",242,16,7,324,202,19,133,103,26,8,89,8,20,0,0,3,0,0,0,0,0,726,410,63,
"Aberlady",359,8,58,213,130,64,130,70,45,15,48,15,10,0,6,1,0,4,0,0,1,724,253,193,
"Macmerry Longniddry",632,14,27,385,177,28,224,150,23,10,39,6,7,1,3,0,0,0,0,1,0,1257,385,87,
"Haddington Rural",597,2,63,158,32,49,98,38,21,50,34,19,1,0,1,0,0,0,30,0,0,937,105,153,
"Humbie Gifford Garvald",925,18,117,504,251,82,251,47,44,21,41,6,14,0,6,3,0,1,3,0,0,1721,357,256,
"Haddington North",513,7,17,540,153,47,245,93,39,52,82,23,9,0,4,0,0,0,0,0,0,1365,341,125,
"Haddington South",211,29,26,411,170,45,442,197,57,232,275,125,60,9,20,22,1,9,0,2,0,1378,686,285,
"Gullane and Drem",754,4,52,391,176,83,214,42,36,109,52,60,37,0,7,3,2,3,4,0,0,1513,275,237,
"North Berwick North",510,5,16,143,11,16,83,13,22,285,114,85,155,6,17,7,0,5,0,0,0,1187,150,164,
"North Berwick South",929,16,37,257,130,50,250,92,37,170,137,53,56,2,4,0,0,0,0,0,0,1662,376,180,
"East Linton and Rural",1070,7,138,400,134,115,331,101,92,32,44,15,46,3,9,2,0,1,3,0,0,1884,289,372,
"Dunbar West",702,13,30,516,214,46,250,125,43,155,270,66,31,5,8,4,0,1,0,1,0,1655,628,195,
"Dunbar East",660,8,31,325,103,41,115,54,15,229,143,112,42,9,17,6,2,6,1,0,0,1381,314,222,
"Neilston East",334,6,8,299,91,18,124,53,15,86,246,49,4,0,0,2,0,1,0,0,0,848,396,89,
"Neilston West and Uplawmoor",522,0,9,501,20,13,274,16,21,55,7,17,3,0,2,0,0,1,20,0,2,1375,44,60,
"Cross Stobbs",517,0,10,600,8,12,129,6,7,143,79,43,7,1,0,0,0,0,0,0,0,1396,94,76,
"Dunterlie, East Arthurlie and Dovecothall",288,15,18,499,160,38,223,143,24,452,944,205,22,6,3,7,4,4,0,4,2,1491,1274,294,
"West Arthurlie, Gateside and Springhill",650,3,12,551,25,19,131,42,18,209,208,76,7,0,3,0,0,0,1,0,0,1544,281,130,
"Auchenback and Barrhead Dams",139,12,5,543,153,35,338,136,34,81,208,60,4,0,2,0,0,0,0,0,0,1106,507,136,
"Crookfur East, Fruin and Greenlaw East",778,0,22,212,13,26,51,22,24,400,113,108,4,1,0,0,0,2,0,0,0,1443,151,179,
"Crookfur West and Greenlaw West",623,2,24,422,4,27,102,16,15,117,10,57,1,0,0,0,0,2,0,0,0,1268,34,121,
"Mearns Village, Westacres and Greenfarm",869,6,29,477,47,57,232,81,45,133,197,50,3,8,0,0,0,0,0,0,0,1713,340,182,
"Whitecraigs and Broom North",1016,0,14,176,0,5,16,2,2,202,0,23,2,0,2,1,0,0,0,0,0,1413,3,44,
"Kirkhill South and Broom South",959,0,19,182,4,7,42,4,3,339,5,78,5,0,1,7,0,1,0,0,0,1531,13,112,
"Mearnskirk and Maidenhill",991,1,16,153,35,6,55,11,13,173,70,33,4,2,0,0,0,1,1,0,0,1375,119,66,
"Eaglesham and Waterfoot",625,2,28,594,35,37,411,41,49,143,83,63,21,2,1,5,0,0,0,0,0,1799,159,186,
"Kirkhill North",652,0,10,331,1,41,141,2,41,114,4,44,0,0,0,0,0,1,0,0,0,1240,6,142,
"Busby",211,5,7,346,35,17,288,90,26,359,117,81,15,4,2,2,0,0,0,0,0,1222,260,133,
"Clarkston and Sheddens",635,0,11,955,4,20,374,2,21,196,5,41,5,0,2,4,0,0,0,0,0,2177,15,92,
"Williamwood",292,0,4,678,0,9,122,0,3,37,0,7,2,0,0,2,0,0,0,0,0,1131,0,23,
"Stamperland",300,0,1,374,1,17,664,0,37,37,12,3,0,0,0,1,0,0,0,0,0,1376,13,56,
"Netherlee",346,3,2,319,6,9,664,18,12,375,46,42,12,0,4,0,0,0,0,0,0,1717,71,68,
"Merrylee and Braidbar",339,2,5,932,2,38,225,3,13,313,24,45,1,0,0,4,0,0,0,0,0,1816,30,102,
"Lower Whitecraigs and Giffnock South",557,0,6,380,0,1,104,2,0,187,3,7,0,0,3,0,0,0,0,0,0,1230,5,22,
"Giffnock North and Thornliebank North",133,3,3,653,6,44,224,1,12,304,201,114,7,23,7,2,1,0,0,1,0,1323,231,183,
"Thornliebank South and Woodfarm",191,2,8,710,12,28,157,34,8,222,188,93,12,4,2,0,0,0,0,0,0,1293,237,140,
"Dunipace",310,9,14,321,91,31,221,142,28,91,257,61,4,1,6,2,0,0,0,0,0,945,500,140,
"Fankerton, Stoneywood and Denny Town",753,6,26,306,71,33,352,119,50,117,308,83,10,10,8,6,0,5,31,0,11,1567,514,211,
"Denny - Nethermains",169,14,5,275,90,42,588,226,62,78,196,72,1,0,1,1,2,0,0,0,0,1113,532,183,
"Head of Muir and Dennyloanhead",442,2,22,387,38,28,130,51,19,55,11,29,2,0,1,1,0,0,0,0,0,1013,102,96,
"Banknock, Haggs and Longcroft",306,19,21,399,149,22,278,214,30,98,66,36,1,2,4,0,0,0,0,0,0,1082,449,110,
"Bonnybridge",440,6,12,497,166,41,345,285,36,73,198,42,4,0,0,5,1,1,0,0,0,1364,658,130,
"High Bonnybridge and Greenhill",553,8,26,332,99,24,92,82,8,78,150,39,0,0,3,1,0,0,0,0,1,1056,339,97,
"Larbert - Inches",1235,2,23,164,19,21,242,49,29,209,50,132,0,0,0,0,0,0,1,0,0,1848,127,205,
"Larbert - North Broomage",343,1,11,350,55,20,184,79,25,57,110,64,1,0,1,0,0,1,0,0,0,934,245,122,
"Larbert - South Broomage and Village",763,0,25,427,19,22,64,12,6,102,113,75,12,1,4,3,5,2,1,0,0,1377,153,135,
"Stenhousemuir West",54,9,7,338,237,17,202,186,31,67,228,64,3,7,6,6,0,8,0,0,0,673,669,131,
"Stenhousemuir East",350,10,14,387,43,18,311,124,41,70,112,44,5,3,1,0,0,3,2,0,0,1122,292,121,
"Stenhousemuir - Antonshill",404,2,19,598,26,27,190,60,21,69,15,41,3,0,0,0,0,0,0,0,0,1260,103,108,
"Carron",411,6,7,348,22,24,72,29,14,95,67,68,3,0,4,0,0,0,0,0,0,928,123,114,
"Carronshore",136,1,6,328,110,21,206,92,18,63,86,32,0,2,0,3,0,0,0,0,0,739,296,77,
"Carse and Grangemouth Old Town",418,12,29,197,66,30,135,72,31,54,73,13,0,0,3,0,0,1,0,0,0,805,220,107,
"Falkirk - Bainsford and Langlees",82,11,5,191,125,17,119,144,24,193,697,119,1,4,3,1,0,3,6,0,0,593,981,171,
"Falkirk - Merchiston and New Carron Village",609,3,27,417,34,22,79,17,15,270,223,186,1,0,2,1,0,0,0,0,0,1377,279,251,
"Falkirk - Grahamston",71,12,3,317,41,30,185,29,48,294,481,372,14,7,24,11,0,10,0,0,0,896,571,491,
"Falkirk - Westfield",14,4,2,243,82,18,106,57,9,134,175,105,1,0,0,1,0,0,1,1,0,503,319,134,
"Falkirk - Middlefield",149,0,3,143,41,16,226,41,15,210,241,128,2,3,4,0,0,0,0,0,0,731,330,166,
"Falkirk - Town Centre and Callendar Park",157,1,5,238,10,18,78,10,8,369,828,365,23,2,12,20,0,13,0,0,0,884,856,419,
"Falkirk - Bantaskin",356,7,13,392,33,22,246,66,32,185,58,126,40,0,4,4,0,2,0,0,0,1225,166,199,
"Falkirk - Camelon East",64,3,4,206,45,18,67,59,17,254,574,242,7,9,4,4,1,4,0,0,0,603,694,288,
"Falkirk - Camelon West",22,8,4,203,119,23,298,164,30,76,216,45,0,0,0,0,0,0,0,0,0,597,506,102,
"Falkirk - Tamfourhill",175,5,8,181,48,13,336,116,32,80,296,59,3,0,2,0,1,0,0,0,0,772,468,114,
"Falkirk - Lochgreen and Lionthorn",896,3,43,380,10,16,42,6,14,35,11,26,3,0,1,2,0,2,0,0,0,1358,31,100,
"Hallglen and Glen Village",24,7,5,154,82,19,532,201,53,70,220,54,0,0,0,0,0,0,0,0,0,779,510,131,
"Shieldhill",377,3,15,259,93,18,99,57,5,32,39,7,1,1,2,1,0,0,0,0,0,769,191,44,
"Braes Villages",587,14,33,347,233,31,183,241,15,62,202,27,9,1,1,2,0,3,16,0,1,1203,689,105,
"Reddingmuirhead and Overton",1035,0,13,388,18,17,194,36,18,8,34,9,1,1,1,0,0,0,5,0,0,1630,92,57,
"Brightons and Wallacestone",732,2,23,467,35,32,142,37,26,70,65,42,11,1,1,1,0,2,0,0,0,1421,141,126,
"Maddiston and Rumford",827,2,21,379,138,37,229,164,21,41,139,15,3,0,0,0,0,0,0,0,0,1476,445,98,
"Polmont",667,6,23,594,14,31,129,24,22,203,48,147,11,0,8,0,1,1,0,0,0,1602,93,232,
"Redding",208,9,5,444,82,14,218,138,30,55,81,20,1,0,4,2,4,0,0,0,0,928,310,69,
"Laurieston and Westquarter",157,10,3,407,134,22,183,90,24,160,267,43,6,3,4,2,2,3,0,0,0,912,506,102,
"Grangemouth - Newlands",96,3,5,334,67,20,519,181,39,367,582,112,4,3,1,0,1,1,0,0,0,1321,834,186,
"Grangemouth - Town Centre",119,5,3,283,25,16,244,44,24,605,343,201,10,4,4,2,4,6,1,0,0,1264,425,255,
"Grangemouth - Kersiebank",166,7,11,397,27,27,309,140,39,271,524,113,13,0,2,0,11,0,0,1,0,1153,712,188,
"Grangemouth - Bowhouse",145,10,12,228,62,9,454,123,51,104,575,55,2,2,1,0,3,2,0,0,0,931,774,131,
"Bo'ness - Kinneil",381,19,12,570,134,57,411,128,41,51,80,29,2,0,9,2,1,1,0,0,0,1413,364,151,
"Bo'ness - Newtown",425,8,9,275,85,28,262,135,26,98,153,23,2,0,2,2,0,0,0,0,0,1057,382,88,
"Bo'ness - town centre",168,9,9,212,87,14,179,79,29,219,330,175,14,4,9,18,9,5,0,0,0,806,518,238,
"Blackness, Bo'ness - Carriden and Grahamsdyke",564,20,15,438,80,41,327,139,53,155,281,89,19,1,3,1,0,1,1,0,0,1505,522,202,
"Kincardine",338,8,17,333,125,37,298,71,46,91,68,44,24,0,8,6,0,4,0,0,0,1091,273,155,
"Comrie and Oakley",218,17,11,328,154,41,174,148,36,55,115,29,0,0,0,1,1,0,0,0,0,772,435,118,
"Blairhall Saline and Carnock",824,7,43,270,115,20,182,91,20,120,74,34,0,0,1,3,0,0,2,0,0,1404,287,118,
"Valleyfield Culross and Torryburn",394,25,24,306,192,48,271,116,32,85,167,48,43,4,9,2,0,1,3,1,0,1099,502,158,
"Cairneyhill and Crombie",511,10,19,323,60,31,152,36,24,65,19,42,6,0,0,2,0,1,1,0,0,1061,123,119,
"Crossford Charlestown and Limekilns",910,1,53,430,9,39,209,28,26,37,17,49,16,0,6,2,0,4,0,0,0,1604,60,181,
"Dunfermline Milesmark and Wellwood",791,9,11,310,37,40,255,56,30,136,58,36,17,0,9,0,0,6,0,0,0,1504,157,131,
"Dunfermline Baldridgeburn",128,15,11,151,46,22,225,79,36,381,556,322,52,8,30,5,0,10,0,0,0,940,705,431,
"Dunfermline Headwell",285,3,5,382,75,32,134,34,18,502,411,288,48,8,23,1,0,0,1,0,0,1357,531,369,
"Dunfermline Central",338,2,15,140,6,19,115,15,22,418,143,374,73,2,46,24,4,27,0,0,0,1100,168,500,
"Dunfermline Brucefield",185,17,8,251,90,31,210,102,33,191,173,143,22,0,23,0,1,1,0,0,0,861,381,236,
"Dunfermline Garvock Hill",631,1,10,442,5,22,41,8,7,68,24,21,8,3,6,0,0,1,1,0,0,1188,37,66,
"Townhill and Kingseat",499,7,31,164,30,19,151,39,25,101,77,54,6,0,1,0,0,0,0,0,0,921,153,128,
"Dunfermline Bellyeoman",609,8,21,369,77,37,123,54,26,17,58,10,0,0,2,1,0,0,0,0,0,1119,198,97,
"Dunfermline Duloch North",571,10,22,61,63,11,89,59,16,112,123,95,0,1,1,0,0,1,0,0,0,824,254,142,
"Dunfermline Halbeath and Lynebank",859,4,19,239,57,20,85,32,9,79,104,32,4,0,0,2,0,0,0,0,0,1263,197,83,
"Dunfermline Touch and Woodmill",57,22,5,206,142,31,293,115,61,150,307,82,5,1,2,0,2,0,0,0,0,711,586,185,
"Dunfermline Abbeyview North",40,23,9,333,234,69,398,213,73,54,314,46,1,0,3,0,7,2,0,1,0,830,795,203,
"Dunfermline Abbeyview South",35,10,9,200,84,35,572,141,94,18,31,12,3,2,1,1,0,0,0,0,0,829,272,155,
"Dunfermline Duloch South",928,4,29,76,21,11,49,30,14,102,6,80,2,0,4,0,0,0,0,0,0,1159,61,135,
"Dunfermline Masterton",952,3,22,149,13,10,177,25,25,66,48,51,0,2,0,1,0,0,1,0,0,1347,91,113,
"Dunfermline Pitcorthie East",872,3,25,413,4,41,37,3,12,32,10,30,2,0,0,0,0,0,0,0,0,1358,20,113,
"Dunfermline Pitcorthie West",356,3,18,438,19,31,115,24,22,53,5,29,12,0,0,4,0,0,0,0,0,975,51,101,
"Rosyth North",95,0,11,188,48,26,525,76,51,128,70,84,0,2,1,1,0,5,0,0,0,938,197,171,
"Rosyth East",113,7,8,317,78,30,417,164,76,72,77,47,6,0,1,3,0,4,0,0,0,929,333,165,
"Rosyth Central",85,27,10,171,103,29,612,270,83,90,207,76,7,1,0,1,0,0,0,2,2,966,610,201,
"Rosyth South",293,2,18,143,35,34,88,168,29,77,2,46,0,0,0,0,0,0,0,0,0,607,208,127,
"North Queensferry and Inverkeithing West",373,8,18,231,44,51,474,137,64,193,116,173,9,4,6,8,1,6,0,0,0,1292,308,316,
"Inverkeithing East",198,12,11,249,56,20,293,148,37,128,184,107,15,3,7,8,2,4,0,0,0,890,402,186,
"Dalgety Bay West and Hillend",603,0,18,252,2,23,36,3,9,12,4,4,0,0,1,0,0,0,0,0,0,903,11,55,
"Dalgety Bay Central",976,2,32,407,10,65,143,2,43,224,6,123,3,0,5,0,0,0,0,0,0,1753,21,265,
"Dalgety Bay East",471,0,18,293,17,28,189,36,30,6,4,3,0,0,0,0,0,0,0,0,0,961,56,83,
"Crossgates and South Knowe",570,4,29,291,57,22,118,29,15,103,50,47,4,0,5,1,0,6,40,0,1,1136,141,125,
"Hill of Beath",78,11,1,421,216,53,316,118,32,42,161,23,1,4,2,0,0,1,0,0,0,856,508,113,
"Cowdenbeath South",82,27,22,324,156,45,242,80,37,101,290,48,13,5,4,4,1,3,0,0,0,766,561,155,
"Cowdenbeath North",482,32,24,496,148,41,372,116,29,79,161,109,6,4,11,7,5,4,0,0,0,1444,467,216,
"Kelty West",115,13,9,200,82,23,283,128,24,71,244,22,5,0,0,0,0,0,0,0,0,669,472,75,
"Kelty East and Landward",628,25,30,263,85,25,144,59,15,182,330,102,6,2,3,1,0,1,4,0,2,1226,502,180,
"Lochore and Crosshill",111,25,19,378,143,43,129,102,28,21,181,40,4,3,2,1,0,1,1,0,0,646,454,133,
"Ballingry",71,48,15,191,182,33,269,394,52,7,64,9,4,0,1,2,1,0,0,0,0,543,685,108,
"Cardenden",315,32,26,408,267,52,356,351,37,112,267,39,6,11,4,4,0,4,0,0,0,1203,925,160,
"Lochgelly East",459,20,10,635,174,56,230,107,30,89,245,66,6,4,0,8,4,3,0,0,1,1425,550,164,
"Lochgelly West and Lumphinnans",96,8,7,294,152,44,121,75,24,144,328,101,5,0,2,7,0,2,0,0,0,674,567,180,
"Aberdour and Auchtertool",547,8,48,232,38,40,208,63,30,128,76,63,26,1,19,6,0,0,2,0,0,1147,182,202,
"Burntisland West",450,2,10,257,42,21,147,57,22,223,316,144,29,12,6,14,1,6,1,0,0,1121,431,209,
"Burntisland East",259,3,8,341,12,26,201,60,16,128,93,40,30,1,9,2,1,0,0,0,0,958,170,100,
"Kinghorn",369,2,15,266,22,24,126,13,10,218,159,90,25,0,3,1,2,1,0,0,0,1005,199,143,
"Kirkcaldy Linktown and Seafield",533,12,27,205,43,37,93,28,20,238,682,229,18,14,10,1,0,4,0,0,1,1089,777,330,
"Kirkcaldy Central",119,7,8,264,11,11,163,35,20,491,231,284,92,4,21,22,3,24,0,0,0,1155,291,365,
"Kirkcaldy Bennochy East",118,5,6,264,14,27,89,8,23,551,138,422,15,1,17,2,0,3,0,0,4,1043,166,502,
"Kirkcaldy Bennochy West",258,7,12,373,71,39,115,60,16,125,185,91,1,2,2,0,0,0,2,0,0,875,321,160,
"Kirkcaldy Raith",651,2,21,302,5,32,45,2,11,30,3,31,1,1,3,0,0,1,2,0,0,1030,13,100,
"Kirkcaldy Newliston and Redcraigs",298,7,16,323,56,34,423,116,46,33,82,24,3,0,0,1,0,0,0,0,0,1081,253,119,
"Kirkcaldy Templehall West",34,13,4,172,136,39,453,284,76,31,174,21,0,2,0,0,5,0,0,0,0,690,614,143,
"Kirkcaldy Templehall East",139,23,10,282,204,52,440,258,69,68,531,58,5,5,0,0,0,0,0,0,0,931,1024,190,
"Kirkcaldy Dunnikier",571,1,20,720,5,37,27,1,7,2,4,4,1,0,2,0,0,0,1,0,0,1321,9,69,
"Kirkcaldy Chapel",817,15,34,208,63,18,496,144,63,61,98,42,4,1,1,0,0,0,0,0,0,1584,320,156,
"Kirkcaldy Hayfield and Smeaton",129,13,14,282,187,51,145,88,18,191,296,172,5,4,8,1,0,0,48,0,0,798,585,263,
"Kirkcaldy Pathhead",178,1,3,302,9,11,113,9,30,347,233,286,31,4,13,17,0,15,0,0,0,987,257,357,
"Kirkcaldy Gallatown and Sinclairtown",94,28,14,156,202,43,326,216,55,310,791,198,2,8,8,7,0,5,2,0,0,893,1242,323,
"Dysart",189,8,14,230,71,32,231,73,33,282,490,164,19,6,11,3,0,1,0,0,0,954,651,255,
"Wemyss",339,15,40,300,79,50,259,133,50,109,216,62,15,1,9,2,0,6,3,0,1,1028,445,221,
"Thornton and Kinglassie",525,27,36,538,170,53,317,107,43,156,291,82,4,0,6,6,0,1,4,3,1,1549,594,221,
"Leslie and Newcastle",396,20,30,365,110,67,339,129,64,93,216,72,22,7,12,9,0,5,1,0,0,1225,484,245,
"Glenrothes Macedonia and Tanshall",55,32,9,148,155,58,657,397,175,46,117,60,1,8,3,3,0,0,0,0,0,906,714,309,
"Glenrothes South Parks",29,5,8,219,43,37,403,97,83,48,54,27,3,9,0,1,0,0,0,0,0,703,208,154,
"Glenrothes Caskieberran and Rimbleton",125,22,10,151,75,44,962,244,186,37,29,37,3,0,0,1,0,1,0,0,0,1279,367,278,
"Glenrothes Auchmuty",24,20,6,184,110,51,412,166,89,71,201,127,2,4,4,0,2,3,0,0,0,693,503,283,
"Glenrothes Stenton and Finglassie",504,59,17,160,88,17,249,84,39,50,76,20,0,4,4,4,0,2,0,0,0,971,313,98,
"Glenrothes Pitteuchar",386,14,16,239,50,42,847,219,151,52,63,30,4,1,2,0,2,1,5,0,0,1533,351,238,
"Glenrothes Woodside",33,4,2,249,74,30,492,114,44,30,51,32,1,0,0,2,0,1,0,0,0,806,243,107,
"Glenrothes Balgeddie",905,0,20,305,4,15,16,7,4,32,3,20,2,0,0,0,0,0,0,0,0,1262,17,61,
"Glenrothes Collydean",25,25,6,66,160,24,252,260,63,7,94,5,1,3,1,0,1,0,0,0,0,352,542,99,
"Glenrothes Cadham and Pitcoudie",169,15,8,69,71,25,373,198,67,28,78,41,3,9,6,0,0,0,0,0,0,642,371,145,
"Glenrothes Balfarg Pitcairn and Coul",481,14,20,234,102,11,141,125,17,9,69,4,0,0,0,0,0,0,0,0,0,865,309,52,
"Markinch and Star",841,5,41,358,29,41,164,31,21,147,97,82,20,4,12,5,0,2,0,0,0,1531,163,197,
"Windygates and Coaltown",604,11,33,270,58,43,177,33,30,108,72,72,10,0,5,1,0,0,0,0,0,1171,169,183,
"Buckhaven Denbeath and Muiredge",113,33,29,471,222,76,305,203,61,293,453,192,17,7,12,2,0,2,2,0,0,1199,917,372,
"Methil Methilhill",81,76,16,535,302,96,373,177,46,68,195,36,8,0,4,2,0,1,0,0,0,1065,752,194,
"Methil West",57,17,2,118,99,25,120,61,27,136,436,127,7,0,6,8,0,4,3,1,0,454,610,192,
"Methil East",71,17,11,242,155,41,196,66,42,197,359,190,10,2,13,7,0,6,0,0,0,720,598,301,
"Leven East",178,0,20,350,53,38,130,41,34,272,274,241,40,4,32,18,4,25,0,0,0,985,379,390,
"Leven West",384,14,12,402,116,27,187,121,34,153,179,90,3,1,7,0,0,3,0,0,0,1127,431,176,
"Leven North",446,6,11,312,104,26,123,68,18,55,92,20,12,0,1,2,0,4,0,0,0,946,265,87,
"Largo",431,3,24,276,48,21,140,30,18,80,13,31,48,2,9,4,0,1,0,0,0,981,99,102,
"Kennoway and Bonnybank",615,28,43,591,291,54,285,219,48,47,187,42,4,2,4,0,6,4,3,0,0,1545,729,199,
"Kettle and Ladybank",673,12,45,405,75,82,200,36,36,66,113,36,13,0,2,11,0,3,45,0,4,1418,233,209,
"Falkland and Freuchie",366,4,34,259,46,49,156,22,20,62,29,22,9,0,6,0,0,4,0,0,0,851,100,132,
"Auchtermuchty and Gateside",614,19,57,423,114,57,220,88,20,70,76,36,26,1,9,11,0,1,1,0,0,1363,293,178,
"Newburgh",366,17,27,227,54,57,209,65,29,77,104,50,34,2,19,10,0,5,2,0,0,924,242,187,
"Cupar West and Springfield",651,22,49,374,64,51,158,85,28,53,28,33,10,0,11,1,0,0,3,4,0,1251,203,176,
"Cupar Central",140,39,17,245,107,55,179,70,45,117,306,140,33,15,41,20,1,22,0,0,0,734,536,320,
"Cupar East",753,7,33,496,81,61,122,36,20,96,47,51,18,2,12,4,2,4,1,0,0,1490,173,177,
"Dairsie Ceres and Dunino",632,6,78,225,43,62,158,27,32,6,7,4,3,0,9,3,0,0,0,0,0,1031,82,185,
"Elie Colinsburgh and Largoward",390,3,107,210,58,61,130,56,30,27,50,13,28,2,7,1,0,0,1,0,0,786,169,214,
"St Monans and Pittenweem",290,13,38,360,81,50,247,58,37,85,133,45,24,3,31,1,0,4,0,0,0,1005,288,206,
"Anstruther",441,14,39,392,127,58,325,86,38,128,143,76,42,2,39,8,0,11,0,0,0,1337,374,265,
"Crail and Boarhills",386,2,53,208,43,75,200,64,54,32,62,27,38,2,14,5,0,3,0,0,0,868,173,227,
"St Andrews South East",158,13,23,292,127,165,239,130,133,56,146,84,4,3,45,0,0,0,0,0,0,749,422,448,
"St Andrews Central",74,5,27,76,27,112,113,11,136,262,257,503,48,1,183,10,0,70,0,0,0,582,302,1029,
"St Andrews South West",734,4,61,344,26,119,100,21,40,63,41,96,12,2,30,1,0,3,0,0,0,1251,98,349,
"St Andrews North and Strathkinness",513,3,37,191,16,52,68,11,43,68,23,65,33,1,51,3,0,4,33,0,0,905,54,250,
"Leuchars and Guardbridge",197,17,59,189,142,252,140,87,118,80,65,76,8,2,6,1,0,5,16,0,0,634,315,517,
"Balmullo and Gauldry",934,4,122,282,29,94,103,19,30,7,12,1,5,0,7,0,0,1,4,0,1,1336,67,259,
"Tayport",409,12,16,425,81,53,181,62,30,185,200,126,36,7,16,9,0,5,0,0,0,1251,362,246,
"Newport and Wormit",514,3,25,476,57,31,207,29,22,160,82,55,188,3,24,7,0,1,0,0,0,1552,174,158,
"Darnley East",255,14,11,301,72,29,101,84,18,292,888,116,3,3,5,0,0,0,3,0,0,954,1061,180,
"Darnley North",352,9,15,578,73,63,173,90,11,33,213,17,2,1,1,0,3,0,0,0,0,1138,388,107,
"Darnley West",679,1,37,572,6,50,164,5,21,99,158,48,6,2,0,0,0,0,0,0,0,1518,172,159,
"Nitshill",136,21,7,203,207,22,150,78,9,194,211,31,2,1,1,1,0,0,0,0,0,689,519,69,
"South Nitshill",41,35,7,273,313,24,103,251,21,144,496,83,0,3,3,0,1,0,0,0,0,563,1102,134,
"Crookston South",22,21,2,156,340,14,127,183,14,190,493,55,5,4,6,0,1,0,0,0,0,497,1042,96,
"Crookston North",10,10,5,193,60,16,318,101,29,287,269,55,0,1,0,0,5,0,1,0,0,810,449,100,
"Pollok South and West",1063,6,34,761,33,33,192,15,12,155,27,52,10,2,6,2,0,0,0,0,0,2179,82,137,
"Pollok North and East",33,20,5,400,286,30,390,176,26,377,570,107,10,13,3,1,3,0,1,0,0,1212,1072,176,
"Cardonald South and East",14,2,6,45,10,17,39,16,11,654,349,178,8,4,5,0,0,0,0,0,0,766,377,216,
"Cardonald North",67,2,2,191,45,25,232,54,11,402,741,135,6,6,3,0,2,0,0,0,0,898,847,177,
"Cardonald West and Central",113,2,8,550,30,31,386,19,16,684,334,202,14,2,5,0,0,2,0,0,0,1752,387,263,
"Penilee",93,11,8,155,61,15,527,217,54,442,507,115,4,2,2,0,0,0,0,2,0,1218,796,194,
"Hillington",16,0,4,97,7,28,59,16,19,793,263,255,2,3,3,0,1,0,0,0,1,970,292,312,
"Drumoyne and Shieldhall",52,21,4,333,119,45,398,126,41,519,1162,288,8,15,5,0,4,1,10,0,2,1318,1448,386,
"Govan and Linthouse",20,24,11,85,51,23,137,159,36,230,2019,302,3,13,7,0,5,1,2,5,2,478,2277,384,
