SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,"Two people",,,,"Three people",,,,"Four people",,,,"Five or more people",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Data Zone (2022)",
"S01013558",350,0,0,0,0,105,12,28,0,18,7,4,0,13,4,4,0,2,0,0,
"S01013559",255,0,0,0,0,74,9,5,0,26,7,5,0,17,3,0,0,8,0,1,
"S01013560",125,0,0,0,0,127,16,11,0,43,6,2,0,39,1,4,0,9,1,3,
"S01013561",278,0,0,0,0,106,15,55,0,13,3,12,0,15,4,3,0,9,0,5,
"S01013562",214,0,0,0,0,70,12,60,0,17,6,19,0,3,2,1,0,2,0,0,
"S01013563",240,0,0,0,0,86,8,26,0,17,1,3,0,11,0,2,0,2,0,0,
"S01013564",307,0,0,0,0,72,28,26,0,23,6,10,0,5,4,5,0,14,0,0,
"S01013565",388,0,0,0,0,72,4,26,0,16,1,15,0,5,1,3,0,0,1,0,
"S01013566",240,0,0,0,0,76,16,23,0,13,3,5,0,3,0,4,0,2,0,2,
"S01013567",254,0,0,0,0,64,11,34,0,14,7,6,0,10,1,0,0,6,0,0,
"S01013568",191,0,0,0,0,59,18,48,0,7,4,14,0,10,1,7,0,0,0,4,
"S01013569",226,0,0,0,0,84,11,34,0,14,4,9,0,3,0,2,0,10,0,3,
"S01013570",188,0,0,0,0,73,21,32,0,26,1,8,0,9,0,3,0,11,0,2,
"S01013571",167,0,0,0,0,97,15,21,0,16,5,1,0,24,3,0,0,5,0,0,
"S01013572",196,0,0,0,0,89,6,22,0,21,4,5,0,17,1,1,0,4,0,1,
"S01013573",249,0,0,0,0,51,6,19,0,13,1,2,0,11,0,0,0,1,0,0,
"S01013574",315,0,0,0,0,113,17,31,0,24,5,1,0,19,0,2,0,6,1,0,
"S01013575",201,0,0,0,0,108,5,13,0,25,9,1,0,28,0,0,0,8,0,0,
"S01013576",284,0,0,0,0,58,3,14,0,7,4,0,0,6,0,3,0,0,0,0,
"S01013577",115,0,0,0,0,136,11,2,0,46,4,4,0,43,5,0,0,12,0,1,
"S01013578",321,0,0,0,0,112,15,30,0,23,4,4,0,10,0,1,0,0,0,0,
"S01013579",310,0,0,0,0,118,24,17,0,41,4,4,0,37,0,1,0,3,0,1,
"S01013580",283,0,0,0,0,108,13,16,0,29,2,3,0,26,0,5,0,12,0,6,
"S01013581",167,0,0,0,0,129,15,6,0,35,7,5,0,32,2,1,0,8,0,0,
"S01013582",137,0,0,0,0,75,15,8,0,26,4,2,0,27,3,3,0,8,1,4,
"S01013583",126,0,0,0,0,101,24,3,0,43,8,4,0,30,0,2,0,5,0,2,
"S01013584",146,0,0,0,0,50,24,4,0,27,9,8,0,16,3,3,0,4,2,0,
"S01013585",151,0,0,0,0,112,25,9,0,37,7,3,0,25,3,6,0,6,2,3,
"S01013586",117,0,0,0,0,79,28,4,0,47,12,4,0,37,11,6,0,15,0,3,
"S01013587",77,0,0,0,0,127,16,5,0,58,4,2,0,43,3,4,0,8,0,6,
"S01013588",95,0,0,0,0,76,17,3,0,62,11,4,0,59,0,1,0,16,0,1,
"S01013589",88,0,0,0,0,112,15,0,0,51,8,3,0,44,3,2,0,0,0,1,
"S01013590",175,0,0,0,0,101,42,1,0,52,14,8,0,24,0,4,0,9,0,2,
"S01013591",97,0,0,0,0,54,31,6,0,25,14,0,0,16,0,2,0,0,1,0,
"S01013592",173,0,0,0,0,101,32,5,0,50,12,3,0,36,4,0,0,12,0,3,
"S01013593",125,0,0,0,0,115,17,4,0,45,11,2,0,34,0,2,0,5,0,3,
"S01013594",92,0,0,0,0,76,8,2,0,25,5,0,0,21,0,0,0,8,0,1,
"S01013595",80,0,0,0,0,73,8,3,0,38,7,0,0,39,0,0,0,12,1,1,
"S01013596",30,0,0,0,0,80,9,1,0,47,6,1,0,69,2,4,0,14,1,4,
"S01013597",122,0,0,0,0,116,7,3,0,29,8,0,0,29,0,1,0,4,0,2,
"S01013598",102,0,0,0,0,94,15,2,0,28,7,5,0,30,0,3,0,6,0,1,
"S01013599",81,0,0,0,0,93,5,2,0,23,3,0,0,14,0,0,0,0,0,0,
"S01013600",141,0,0,0,0,111,20,4,0,51,7,5,0,46,1,4,0,9,0,3,
"S01013601",126,0,0,0,0,131,19,3,0,45,2,3,0,32,2,1,0,6,0,0,
"S01013602",93,0,0,0,0,76,7,1,0,27,1,0,0,20,1,1,0,4,0,1,
"S01013603",123,0,0,0,0,92,16,1,0,35,5,2,0,21,0,0,0,5,0,4,
"S01013604",148,0,0,0,0,62,69,3,0,58,16,2,0,34,4,4,0,6,1,5,
"S01013605",116,0,0,0,0,97,25,7,0,38,10,4,0,27,9,4,0,14,1,4,
"S01013606",313,0,0,0,0,128,24,7,0,28,3,1,0,26,1,2,0,12,3,0,
"S01013607",108,0,0,0,0,74,24,4,0,20,10,0,0,19,1,2,0,0,0,2,
"S01013608",153,0,0,0,0,52,30,3,0,21,4,5,0,10,2,3,0,2,1,1,
"S01013609",293,0,0,0,0,87,23,8,0,24,9,2,0,3,0,1,0,2,0,2,
"S01013610",370,0,0,0,0,72,21,18,0,20,2,2,0,9,4,5,0,5,0,0,
"S01013611",119,0,0,0,0,55,49,11,0,31,21,3,0,28,7,2,0,14,2,4,
"S01013612",238,0,0,0,0,92,33,7,0,35,16,4,0,17,12,2,0,14,2,2,
"S01013613",203,0,0,0,0,48,39,10,0,33,11,6,0,18,0,0,0,4,1,0,
"S01013614",119,0,0,0,0,36,28,5,0,10,16,7,0,25,2,5,0,18,4,2,
"S01013615",102,0,0,0,0,38,25,8,0,12,17,5,0,10,4,2,0,17,4,4,
"S01013616",122,0,0,0,0,68,24,5,0,29,9,1,0,22,4,1,0,10,1,2,
"S01013617",184,0,0,0,0,56,27,7,0,26,21,0,0,24,15,1,0,21,4,1,
"S01013618",168,0,0,0,0,66,14,16,0,11,5,6,0,7,3,5,0,2,0,0,
"S01013619",366,0,0,0,0,81,18,44,0,19,1,14,0,7,2,1,0,3,3,3,
"S01013620",401,0,0,0,0,88,36,23,0,22,8,16,0,12,1,7,0,2,0,0,
"S01013621",204,0,0,0,0,97,17,57,0,30,5,17,0,11,1,14,0,19,0,4,
"S01013622",339,0,0,0,0,116,16,50,0,33,3,12,0,22,3,2,0,6,0,2,
"S01013623",277,0,0,0,0,81,11,78,0,18,4,15,0,4,0,1,0,4,0,0,
"S01013624",217,0,0,0,0,64,2,48,0,11,1,25,0,10,0,2,0,1,0,0,
"S01013625",299,0,0,0,0,147,20,103,0,21,0,18,0,14,3,3,0,10,0,1,
"S01013626",217,0,0,0,0,44,27,25,0,14,9,7,0,20,0,0,0,2,0,1,
"S01013627",186,0,0,0,0,60,2,26,0,18,1,10,0,6,0,2,0,0,0,7,
"S01013628",174,0,0,0,0,46,29,19,0,17,12,13,0,14,0,0,0,9,0,1,
"S01013629",406,0,0,0,0,98,6,71,0,21,3,15,0,14,2,5,0,5,0,5,
"S01013630",351,0,0,0,0,78,14,54,0,36,4,12,0,19,1,4,0,6,0,0,
"S01013631",224,0,0,0,0,58,11,38,0,22,0,11,0,10,0,5,0,6,2,6,
"S01013632",228,0,0,0,0,52,7,17,0,11,4,12,0,1,2,4,0,5,0,1,
"S01013633",151,0,0,0,0,65,13,57,0,17,5,6,0,9,2,6,0,1,0,0,
"S01013634",153,0,0,0,0,65,6,32,0,17,3,10,0,12,0,4,0,8,0,3,
"S01013635",265,0,0,0,0,74,38,34,0,26,9,4,0,10,0,1,0,4,1,1,
"S01013636",251,0,0,0,0,142,10,26,0,41,2,5,0,37,1,1,0,11,0,0,
"S01013637",256,0,0,0,0,96,21,35,0,23,10,5,0,32,3,4,0,7,0,1,
"S01013638",137,0,0,0,0,45,13,24,0,9,3,11,0,3,0,4,0,2,0,4,
"S01013639",149,0,0,0,0,52,19,28,0,27,14,16,0,14,4,5,0,12,0,4,
"S01013640",207,0,0,0,0,62,15,33,0,25,6,19,0,16,1,4,0,6,0,0,
"S01013641",158,0,0,0,0,64,9,19,0,14,3,31,0,9,1,11,0,5,0,2,
"S01013642",101,0,0,0,0,26,16,14,0,9,5,17,0,9,2,4,0,21,0,2,
"S01013643",107,0,0,0,0,56,11,12,0,10,0,19,0,9,0,11,0,6,0,5,
"S01013644",110,0,0,0,0,28,20,14,0,20,12,24,0,14,4,3,0,14,3,9,
"S01013645",106,0,0,0,0,41,3,26,0,6,1,22,0,5,0,11,0,14,0,5,
"S01013646",102,0,0,0,0,59,4,21,0,9,3,8,0,10,0,7,0,6,0,1,
"S01013647",205,0,0,0,0,58,9,35,0,9,3,22,0,6,0,9,0,3,0,6,
"S01013648",344,0,0,0,0,118,28,35,0,37,11,9,0,13,4,0,0,2,0,0,
"S01013649",285,0,0,0,0,56,29,20,0,15,5,8,0,12,0,3,0,3,0,2,
"S01013650",198,0,0,0,0,85,13,58,0,12,3,19,0,8,0,5,0,4,0,4,
"S01013651",377,0,0,0,0,105,30,19,0,22,7,14,0,11,1,3,0,0,0,6,
"S01013652",247,0,0,0,0,72,12,34,0,6,0,8,0,4,0,1,0,1,0,1,
"S01013653",96,0,0,0,0,51,13,10,0,9,8,9,0,10,0,1,0,1,0,1,
"S01013654",171,0,0,0,0,47,27,17,0,22,7,10,0,18,2,0,0,6,2,6,
"S01013655",261,0,0,0,0,85,30,31,0,26,8,7,0,22,3,4,0,5,0,1,
"S01013656",201,0,0,0,0,46,20,6,0,12,6,5,0,8,0,0,0,2,0,0,
"S01013657",119,0,0,0,0,41,42,10,0,31,25,5,0,24,15,5,0,17,1,2,
"S01013658",165,0,0,0,0,45,31,11,0,27,15,6,0,17,0,3,0,4,0,2,
"S01013659",264,0,0,0,0,94,54,21,0,27,14,20,0,20,7,4,0,13,0,4,
"S01013660",149,0,0,0,0,54,52,16,0,37,17,10,0,26,2,2,0,11,0,4,
"S01013661",141,0,0,0,0,56,29,10,0,35,17,6,0,25,5,7,0,10,5,0,
"S01013662",125,0,0,0,0,111,18,5,0,27,5,0,0,13,1,2,0,2,0,0,
"S01013663",207,0,0,0,0,47,52,7,0,42,17,6,0,42,1,10,0,8,0,1,
