SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Data Zone (2022)",
"S01013657",8,105,6,13,73,11,5,54,2,7,39,2,3,16,1,
"S01013658",24,131,6,17,49,19,8,35,6,4,13,4,4,0,4,
"S01013659",45,177,39,46,87,36,8,37,19,8,20,2,2,11,5,
"S01013660",38,97,19,30,77,9,16,44,4,13,13,4,7,7,3,
"S01013661",47,76,19,37,41,16,20,29,9,9,24,4,5,10,2,
"S01013662",94,17,18,102,11,15,27,3,3,10,5,0,2,0,0,
"S01013663",23,178,6,29,75,4,12,45,8,13,37,3,3,7,0,
"S01013664",107,129,50,73,28,13,12,17,2,6,7,1,4,2,2,
"S01013665",23,120,6,25,49,14,7,39,6,13,41,1,5,26,3,
"S01013666",29,67,30,37,50,7,15,38,5,12,23,8,6,23,5,
"S01013667",43,157,38,29,38,27,3,16,7,6,10,4,0,4,4,
"S01013668",69,102,26,32,43,18,14,13,5,4,6,5,0,0,1,
"S01013669",64,44,19,52,23,15,9,13,6,8,2,3,3,0,2,
"S01013670",108,58,22,75,42,30,9,16,14,11,8,10,2,2,0,
"S01013671",128,126,19,101,31,13,29,4,4,22,1,4,5,5,4,
"S01013672",148,5,66,110,6,61,43,1,25,18,4,22,14,0,10,
"S01013673",91,18,29,49,13,25,19,8,18,5,2,13,4,4,1,
"S01013674",87,23,42,74,12,36,22,0,19,10,1,6,8,1,4,
"S01013675",99,20,24,102,10,19,20,2,8,11,0,9,6,1,6,
"S01013676",146,69,59,86,32,40,27,18,17,11,6,13,10,0,7,
