SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01013583",52,40,0,133,46,0,57,11,0,8,3,0,3,0,0,
"S01013584",37,96,0,57,62,0,23,11,0,5,4,0,1,0,0,
"S01013585",37,55,0,118,64,1,76,17,0,14,2,0,4,1,0,
"S01013586",43,46,0,110,76,0,36,32,0,9,4,0,4,1,0,
"S01013587",33,1,0,146,5,0,128,2,0,25,2,1,13,1,0,
"S01013588",5,13,0,101,77,0,112,20,0,8,4,0,1,1,0,
"S01013589",15,4,0,114,51,0,119,14,0,7,0,0,1,0,0,
"S01013590",81,51,0,174,36,0,70,11,0,13,0,0,1,2,0,
"S01013591",56,45,0,69,44,0,16,5,0,7,1,0,0,0,0,
"S01013592",71,65,2,135,68,0,67,17,0,7,0,0,3,0,0,
"S01013593",74,3,0,154,16,0,80,3,0,23,1,0,6,0,0,
"S01013594",12,10,0,92,42,0,55,8,0,18,0,0,0,0,0,
"S01013595",15,0,0,127,4,0,87,0,0,21,0,0,6,0,0,
"S01013596",10,1,0,92,0,0,127,0,0,33,0,0,6,0,0,
"S01013597",24,9,0,121,59,0,84,7,0,11,3,0,4,0,0,
"S01013598",45,4,0,126,11,0,76,2,0,17,0,0,5,0,0,
"S01013599",21,8,0,107,12,0,57,5,0,10,1,0,4,1,0,
"S01013600",57,11,0,161,25,0,109,6,0,24,0,0,3,1,0,
"S01013601",52,7,0,195,11,0,83,4,0,11,0,0,4,0,0,
"S01013602",35,1,0,97,29,0,64,4,0,4,0,0,2,0,0,
"S01013603",18,16,0,117,49,0,66,17,0,16,0,0,2,2,0,
"S01013604",11,122,0,41,162,0,18,42,0,1,7,0,0,0,0,
"S01013605",51,73,0,94,54,0,58,15,0,6,1,0,1,1,0,
"S01013606",20,212,0,55,185,0,30,41,0,0,3,0,1,0,0,
"S01013607",19,69,0,60,68,0,27,18,0,8,2,0,0,0,0,
"S01013608",11,128,0,29,96,0,4,12,0,0,0,0,0,0,0,
"S01013609",9,251,0,14,156,0,5,17,0,2,2,0,1,0,0,
"S01013610",9,325,2,12,162,0,3,16,0,0,1,0,0,0,0,
"S01013611",25,140,0,44,87,0,22,23,0,4,4,0,2,0,0,
"S01013612",57,156,0,62,142,0,24,30,0,4,0,0,1,0,0,
"S01013613",6,200,0,13,121,0,3,28,0,3,1,0,1,0,0,
"S01013614",50,74,0,63,46,0,30,5,0,8,4,0,0,2,0,
