SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01016678",103,30,0,150,20,0,53,7,0,17,2,0,0,1,0,
"S01016679",77,30,0,105,29,0,49,3,0,4,0,0,1,0,0,
"S01016680",56,29,0,153,11,0,66,2,0,18,0,0,5,0,0,
"S01016681",90,29,0,183,28,0,54,6,0,10,0,0,8,0,0,
"S01016682",48,23,0,131,8,0,81,0,0,18,0,0,3,0,0,
"S01016683",61,11,0,107,8,0,45,2,0,4,0,0,0,0,0,
"S01016684",74,5,0,166,7,0,122,2,0,34,0,0,8,0,0,
"S01016685",88,23,0,167,15,0,93,2,0,17,1,0,7,0,0,
"S01016686",67,5,0,148,2,0,76,0,0,19,0,0,2,0,0,
"S01016687",64,2,0,145,2,0,58,2,0,20,0,0,4,0,0,
"S01016688",59,3,0,108,6,0,42,1,0,14,1,0,1,0,0,
"S01016689",59,65,0,85,32,0,37,7,0,6,3,0,3,0,0,
"S01016690",82,79,0,147,45,0,59,7,0,10,0,0,1,0,0,
"S01016691",68,48,0,114,20,0,48,9,0,8,0,0,4,0,0,
"S01016692",92,56,0,150,38,0,61,6,0,27,0,0,7,0,0,
"S01016693",48,4,0,92,3,0,54,4,0,10,0,0,3,0,0,
"S01016694",22,4,0,84,6,0,64,1,0,18,1,0,10,1,0,
"S01016695",20,0,0,88,1,0,81,0,0,30,0,0,12,0,0,
"S01016696",44,10,0,127,7,0,85,0,0,25,0,0,4,0,0,
"S01016697",45,57,0,105,50,0,105,11,0,41,0,0,8,0,0,
"S01016698",12,14,1,113,32,0,127,7,4,54,1,0,14,0,0,
"S01016699",45,13,0,107,3,0,51,0,0,19,0,0,4,0,0,
"S01016700",53,0,0,101,3,0,61,0,0,13,0,0,2,0,0,
"S01016701",92,21,0,148,8,0,75,3,0,17,0,0,6,0,0,
"S01016702",21,6,0,86,7,0,62,1,0,21,0,0,6,0,0,
"S01016703",90,3,0,187,4,0,76,0,0,29,0,0,5,0,0,
"S01016704",74,24,0,129,4,0,53,2,0,11,0,0,6,0,0,
"S01016705",67,40,0,151,23,0,68,9,0,17,2,0,2,0,0,
"S01016706",83,18,0,188,11,0,96,3,0,20,0,0,10,0,0,
"S01016707",64,2,0,132,2,0,117,0,0,26,1,0,6,0,0,
"S01016708",9,0,0,106,1,0,102,0,0,34,0,0,16,0,0,
"S01016709",20,8,0,117,26,0,87,5,0,20,0,0,10,1,0,
"S01016710",25,0,0,109,1,0,91,1,0,22,0,0,4,0,0,
"S01016711",11,2,0,71,3,0,131,0,0,27,0,0,17,0,0,
"S01016712",14,0,0,110,5,0,101,4,0,32,0,0,6,0,0,
"S01016713",77,17,0,154,11,0,71,1,0,13,0,0,1,0,0,
"S01016714",105,12,0,157,4,0,65,2,0,11,1,0,3,0,0,
"S01016715",55,34,0,102,25,0,53,4,0,15,0,0,4,0,0,
"S01016716",9,0,0,50,3,0,72,0,0,14,0,0,9,0,0,
"S01016717",74,2,0,157,8,0,80,3,0,8,0,0,7,0,0,
"S01016718",77,64,0,110,21,0,31,4,0,2,1,0,5,0,0,
"S01016719",64,24,0,143,27,0,68,2,0,12,0,0,5,0,0,
"S01016720",15,3,0,86,2,0,131,0,0,32,0,0,16,0,0,
"S01016721",20,10,0,59,2,0,62,0,0,11,2,0,5,0,0,
"S01016722",59,9,0,161,4,0,100,4,0,23,0,0,11,0,0,
"S01016723",60,34,0,155,9,0,102,2,0,27,0,0,11,0,0,
"S01016724",5,0,0,59,3,0,116,1,0,20,0,0,10,0,0,
"S01016725",25,4,0,86,4,0,160,1,0,26,0,0,11,0,0,
"S01016726",15,40,0,62,63,0,59,13,0,16,4,0,7,0,0,
"S01016727",39,18,0,100,39,0,100,8,0,28,0,0,9,0,0,
"S01016728",51,48,0,132,96,0,119,21,0,24,0,0,6,0,0,
"S01016729",8,0,0,89,4,0,99,0,0,40,0,0,12,0,0,
"S01016730",33,22,0,91,39,0,67,9,0,14,0,0,11,1,0,
"S01016731",19,1,0,54,5,0,86,0,0,14,0,0,11,0,0,
"S01016732",19,7,0,95,17,0,55,8,0,24,3,0,13,0,0,
"S01016733",60,34,0,165,55,0,122,11,0,32,5,0,20,1,0,
"S01016734",24,9,0,85,34,0,104,4,0,37,2,0,8,0,0,
"S01016735",50,51,0,86,70,0,45,29,1,10,3,0,3,0,0,
"S01016736",60,41,0,81,45,0,58,12,0,11,0,0,4,0,0,
"S01016737",69,85,0,80,79,0,44,15,0,16,2,0,4,2,0,
"S01016738",62,71,0,106,49,0,60,12,0,19,0,0,5,0,0,
"S01016739",32,162,0,51,83,1,42,16,0,10,6,0,4,1,0,
"S01016740",35,44,0,63,41,0,38,9,0,7,1,0,4,0,0,
"S01016741",96,22,0,169,13,0,66,8,0,17,1,0,2,0,0,
"S01016742",87,8,0,171,9,0,79,0,0,17,0,0,8,0,0,
"S01016743",54,15,0,79,25,0,40,1,0,11,1,0,6,0,0,
"S01016744",65,16,0,99,49,0,72,14,0,15,7,0,4,1,0,
"S01016745",107,12,0,106,10,0,25,2,0,7,0,0,0,0,0,
"S01016746",73,31,0,192,27,0,82,8,0,21,2,0,7,0,0,
"S01016747",65,32,0,130,33,0,55,6,0,17,0,0,6,0,0,
"S01016748",44,129,0,84,76,0,19,12,0,5,3,0,3,1,0,
"S01016749",38,98,0,39,76,0,21,22,0,1,2,0,4,0,0,
"S01016750",13,84,1,49,95,3,23,40,0,5,8,0,2,1,0,
"S01016751",48,27,0,91,33,0,28,13,0,7,1,0,3,0,0,
"S01016752",73,76,0,138,62,0,72,13,0,20,4,0,1,1,0,
"S01016753",34,128,0,38,107,0,12,23,0,4,0,0,4,0,0,
"S01016754",39,86,0,81,77,0,60,15,0,11,2,0,0,0,0,
"S01016755",23,40,0,39,38,0,18,20,0,7,3,0,3,4,0,
"S01016756",27,32,0,89,37,0,35,8,0,10,0,0,5,0,0,
"S01016757",27,20,0,111,39,0,99,9,0,21,3,0,9,1,0,
"S01016758",30,110,0,83,79,0,36,16,0,10,3,0,1,0,0,
"S01016759",65,157,0,114,117,0,33,31,0,7,4,0,3,0,0,
"S01016760",39,135,0,76,143,0,56,34,0,14,1,0,8,2,0,
"S01016761",9,2,0,97,6,0,102,0,0,13,0,0,4,1,0,
"S01016762",7,5,0,73,20,0,88,9,0,20,0,0,5,0,0,
"S01016763",57,17,0,151,26,0,88,3,0,20,0,0,6,3,0,
"S01016764",39,28,0,92,55,0,43,21,0,8,1,0,3,0,0,
"S01016765",43,8,0,117,19,0,54,9,0,11,1,0,2,1,0,
"S01016766",32,83,0,59,77,0,33,34,0,8,3,0,2,0,0,
"S01016767",77,15,0,165,24,0,95,7,0,10,0,0,8,0,0,
"S01016768",54,45,0,148,65,0,91,17,0,27,1,0,5,2,0,
"S01016769",36,4,0,172,6,0,166,1,0,49,0,0,8,0,0,
"S01016770",28,6,0,75,24,0,46,1,0,12,2,0,8,0,0,
"S01016771",31,14,0,145,49,0,107,21,0,29,2,0,13,0,0,
"S01016772",15,0,0,88,7,0,81,5,0,23,0,0,8,0,0,
"S01016773",26,9,0,126,32,0,89,12,0,30,4,0,7,1,0,
"S01016774",90,0,0,149,3,0,90,0,0,19,1,0,5,0,0,
"S01016775",67,55,0,126,49,0,60,4,0,11,2,0,4,0,0,
"S01016776",40,40,0,119,23,0,93,3,0,40,0,0,12,0,0,
"S01016777",54,8,0,139,7,0,55,0,0,17,0,0,7,0,0,
"S01016778",35,43,0,88,29,0,35,7,0,15,1,0,5,0,0,
"S01016779",70,6,0,181,4,0,142,0,0,34,0,0,10,0,0,
"S01016780",19,4,0,118,4,2,140,4,0,53,0,0,25,0,0,
"S01016781",16,9,0,106,4,0,99,5,1,32,1,0,11,0,1,
"S01016782",15,8,0,94,18,0,102,2,0,38,1,0,11,0,0,
"S01016783",20,5,3,130,9,28,126,9,9,44,0,1,14,0,0,
"S01016784",28,20,0,120,24,0,86,13,0,24,1,0,9,0,0,
"S01016785",22,35,0,89,50,2,83,17,0,20,3,0,10,1,0,
"S01016786",9,2,1,75,5,1,94,2,1,27,0,0,18,0,0,
"S01016787",8,6,0,67,30,0,92,21,0,21,3,0,2,0,0,
"S01016788",31,2,0,82,2,0,95,1,0,17,0,0,6,0,0,
"S01016789",41,8,0,138,24,0,86,9,0,25,5,0,2,0,0,
"S01016790",18,3,0,97,14,0,79,5,0,29,0,0,9,0,0,
"S01016791",57,11,0,127,20,0,104,2,0,31,0,0,8,0,0,
"S01016792",29,12,0,106,46,0,98,21,0,23,1,0,11,0,0,
"S01016793",25,11,0,114,15,0,140,8,1,48,1,0,18,0,0,
"S01016794",29,6,0,126,13,0,135,1,0,49,3,0,18,0,0,
"S01016795",33,7,0,115,26,0,131,10,0,35,4,0,10,0,0,
"S01016796",20,3,0,87,7,0,95,0,0,26,0,0,9,1,0,
"S01016797",37,5,0,92,20,0,72,6,0,24,1,2,9,0,0,
"S01016798",50,56,0,135,85,0,100,20,0,15,4,0,14,3,0,
"S01016799",38,24,0,107,49,0,85,17,0,23,2,0,8,1,0,
"S01016800",33,3,0,109,7,0,108,1,0,20,2,0,6,0,0,
"S01016801",24,10,0,110,22,0,86,4,0,12,1,0,6,0,0,
"S01016802",49,30,0,108,16,0,71,10,0,17,0,0,5,0,0,
"S01016803",10,4,0,107,9,5,89,1,0,32,1,0,8,0,1,
"S01016804",15,1,0,88,1,0,84,0,0,29,0,0,8,0,0,
"S01016805",34,5,0,102,6,0,89,0,1,19,0,0,6,0,0,
"S01016806",78,83,0,147,95,0,64,16,0,12,1,0,1,1,0,
"S01016807",43,6,0,121,7,0,72,3,0,30,0,0,8,0,0,
"S01016808",53,109,0,78,111,0,26,23,0,3,8,0,2,1,0,
"S01016809",28,102,0,57,97,0,54,22,0,16,3,0,3,1,0,
"S01016810",64,26,0,114,30,0,55,7,0,21,2,0,5,0,0,
"S01016811",23,63,0,122,56,0,77,12,0,8,1,0,7,1,0,
"S01016812",55,0,0,216,8,0,113,3,0,35,0,0,9,0,0,
"S01016813",21,2,0,98,2,0,100,0,0,24,0,0,9,0,0,
"S01016814",61,4,0,216,14,0,120,5,0,20,0,0,6,0,1,
"S01016815",20,1,0,124,7,0,70,6,0,28,0,0,5,0,0,
"S01016816",20,1,0,125,5,0,109,3,0,25,0,0,6,0,0,
"S01016817",41,0,0,167,0,0,172,0,0,51,0,0,14,0,0,
"S01016818",12,0,0,99,4,0,128,0,0,33,0,0,6,0,0,
"S01016819",10,0,0,73,1,0,86,0,0,23,0,0,14,2,0,
"S01016820",19,7,0,111,23,1,109,7,0,17,0,0,10,4,0,
"S01016821",30,20,0,150,42,0,91,7,0,31,7,0,5,1,0,
"S01016822",11,4,0,108,4,0,104,2,0,25,1,0,15,0,0,
"S01016823",33,16,0,116,28,0,59,20,0,17,2,0,2,1,0,
"S01016824",50,9,0,154,43,0,110,11,0,27,2,0,10,2,0,
"S01016825",50,50,0,115,51,0,61,22,0,12,5,0,8,1,0,
"S01016826",40,17,0,170,32,0,107,11,0,21,1,0,15,0,0,
"S01016827",20,13,0,77,29,0,50,11,0,12,1,0,5,0,0,
"S01016828",41,33,0,160,62,0,110,18,0,41,0,0,14,0,0,
"S01016829",55,31,0,161,60,0,87,14,0,24,4,0,6,0,0,
"S01016830",31,6,0,105,17,0,83,4,0,25,0,0,5,0,0,
"S01016831",19,63,0,65,53,0,38,12,0,11,4,0,3,0,0,
"S01016832",24,13,0,131,8,0,95,2,0,16,2,0,12,0,0,
"S01016833",61,26,0,169,49,0,90,13,0,15,4,0,10,0,0,
"S01016834",59,20,0,208,48,0,103,13,0,18,0,0,4,0,0,
"S01016835",37,5,0,161,6,0,117,2,0,23,0,0,9,0,0,
"S01016836",53,8,0,163,5,0,65,1,0,9,0,0,4,0,0,
"S01016837",46,69,0,68,59,0,26,14,0,6,3,0,1,0,0,
"S01016838",72,43,0,124,48,0,42,6,0,5,0,0,0,1,0,
"S01016839",95,22,0,131,10,0,38,7,0,8,0,0,2,0,0,
"S01016840",139,23,0,150,16,0,33,4,0,6,1,0,0,0,0,
"S01016841",19,100,0,9,47,0,3,4,0,4,3,0,0,0,0,
"S01016842",55,175,0,58,188,0,32,31,0,11,1,0,0,0,0,
"S01016843",34,122,0,38,60,0,10,7,0,4,1,0,0,2,0,
"S01016844",50,212,0,49,115,0,12,19,0,2,3,0,2,0,0,
"S01016845",35,42,0,50,25,0,19,11,0,6,0,0,0,0,0,
"S01016846",30,94,0,28,50,0,11,9,0,8,4,0,2,1,0,
"S01016847",24,4,0,92,13,0,99,3,0,18,2,0,7,0,0,
"S01016848",42,3,0,154,3,0,104,1,0,13,0,0,8,0,0,
"S01016849",43,0,0,131,0,0,84,1,0,9,0,0,4,0,0,
"S01016850",34,21,0,95,27,0,36,2,0,8,0,0,0,0,0,
"S01016851",40,6,0,121,2,0,65,0,0,15,0,0,1,0,0,
"S01016852",45,97,0,80,50,0,40,13,0,11,0,0,3,0,0,
"S01016853",14,1,2,54,4,24,67,1,3,15,0,1,6,0,4,
"S01016854",19,7,0,143,9,0,158,1,0,34,0,0,10,1,0,
"S01016855",26,5,0,115,17,0,110,4,0,22,1,0,7,0,0,
"S01016856",28,94,0,51,71,0,35,21,0,9,6,0,1,0,0,
"S01016857",52,12,3,162,23,9,72,5,2,16,0,0,6,0,0,
"S01016858",16,3,0,160,4,0,115,2,0,17,0,0,7,0,0,
"S01016859",47,14,1,89,17,1,59,6,0,3,0,0,6,1,0,
"S01016860",13,11,0,89,12,0,33,3,0,5,1,0,2,0,0,
"S01016861",25,37,0,125,67,0,84,26,0,7,2,0,4,1,0,
"S01016862",10,2,0,65,1,0,99,2,0,23,0,0,13,0,0,
"S01016863",28,4,0,170,9,0,155,4,0,48,0,0,14,0,0,
"S01016864",17,0,0,130,3,0,117,0,0,26,0,0,10,0,0,
"S01016865",40,1,0,199,3,3,152,0,1,47,0,0,13,0,0,
"S01016866",10,1,0,100,3,0,94,3,0,34,0,0,6,0,0,
"S01016867",34,41,0,96,95,0,41,35,0,4,6,0,4,4,0,
"S01016868",39,13,0,142,28,0,108,9,0,22,0,0,7,0,0,
"S01016869",50,20,0,167,40,0,109,23,0,23,1,0,6,3,0,
"S01016870",29,37,0,87,55,0,78,22,0,13,3,0,4,0,0,
"S01016871",39,58,0,99,61,0,56,27,0,14,3,0,2,2,0,
"S01016872",13,12,0,87,34,0,79,15,0,18,1,0,10,0,0,
"S01016873",19,46,0,66,77,0,51,21,0,14,3,0,3,0,0,
"S01016874",35,38,0,100,99,0,98,34,0,21,3,0,4,0,0,
"S01016875",14,12,0,83,53,0,57,15,0,8,2,0,7,0,0,
"S01016876",33,6,0,116,13,0,93,3,0,23,0,0,11,0,0,
"S01016877",20,0,0,124,15,0,116,12,0,26,5,0,11,0,0,
"S01016878",12,27,0,76,61,1,57,13,0,12,0,0,5,0,0,
"S01016879",12,252,0,12,142,0,8,31,0,1,1,0,0,1,0,
"S01016880",38,160,0,66,125,0,26,19,0,12,2,0,3,0,0,
"S01016881",40,23,2,112,48,0,71,5,0,20,1,0,9,1,0,
"S01016882",26,207,0,26,126,0,21,20,0,3,1,0,0,2,0,
"S01016883",16,13,1,66,15,0,93,8,0,33,0,0,5,0,0,
"S01016884",26,72,0,76,38,0,56,5,0,11,0,0,3,0,0,
"S01016885",50,49,0,115,18,0,114,1,0,22,0,0,3,0,0,
"S01016886",23,7,0,94,13,0,59,1,0,14,2,0,6,0,0,
"S01016887",49,24,0,55,11,0,33,4,0,0,4,0,0,0,0,
"S01016888",11,5,0,99,6,0,113,4,0,21,1,0,3,0,0,
"S01016889",10,5,0,104,4,0,148,1,0,32,1,0,8,0,0,
"S01016890",19,100,0,85,71,0,102,9,0,22,0,0,4,0,0,
"S01016891",21,8,0,105,41,0,107,10,0,15,3,0,8,0,0,
"S01016892",26,6,0,104,6,0,81,2,0,24,0,0,9,0,0,
"S01016893",25,5,0,105,3,0,101,2,0,32,0,0,8,0,0,
"S01016894",29,16,0,101,16,0,66,4,0,11,0,0,6,0,0,
"S01016895",10,0,0,34,5,0,98,0,0,25,2,0,7,0,0,
"S01016896",2,2,0,32,2,0,82,0,0,25,0,0,6,0,0,
"S01016897",54,87,0,46,63,0,7,21,0,5,3,0,0,0,0,
"S01016898",23,22,0,98,27,0,69,12,0,5,1,0,0,1,0,
"S01016899",10,7,0,94,41,0,79,12,0,3,0,0,0,0,0,
"S01016900",72,17,0,79,19,0,39,2,0,8,0,0,0,0,0,
"S01016901",54,53,0,56,38,0,23,11,0,6,1,0,0,0,0,
"S01016902",61,94,0,45,67,0,10,21,0,6,3,0,0,1,0,
"S01016903",28,73,0,18,74,0,7,11,0,0,0,0,1,0,0,
"S01016904",144,52,0,121,34,0,31,15,0,2,1,0,4,3,0,
"S01016905",43,135,0,36,60,0,12,9,0,2,1,0,0,1,0,
"S01016906",62,15,0,118,15,0,72,2,0,15,1,0,0,1,0,
"S01016907",98,27,0,91,13,0,43,3,0,8,0,0,0,0,0,
"S01016908",113,44,0,154,34,0,47,14,0,10,1,0,4,0,0,
"S01016909",101,54,0,116,47,0,51,6,0,6,0,0,0,2,0,
"S01016910",53,180,0,39,100,0,26,26,0,6,3,0,0,1,0,
"S01016911",54,129,0,78,85,0,17,25,0,4,1,0,0,3,0,
"S01016912",58,68,0,87,96,1,43,23,0,9,0,0,4,0,0,
"S01016913",58,77,0,94,76,0,33,21,0,12,2,0,3,0,0,
"S01016914",40,36,0,86,33,0,38,8,0,10,2,0,0,0,0,
"S01016915",64,97,0,68,61,0,26,18,0,6,1,0,1,0,0,
"S01016916",16,11,0,86,23,0,122,10,0,43,0,0,15,2,0,
"S01016917",53,24,0,162,47,0,111,12,0,19,1,0,4,0,0,
"S01016918",5,1,0,62,2,0,124,3,0,13,0,0,8,0,0,
"S01016919",18,6,0,113,2,0,72,0,0,11,1,0,3,0,0,
"S01016920",12,1,0,108,3,0,121,2,0,29,1,0,9,0,0,
"S01016921",48,15,0,128,5,0,85,2,0,25,0,0,7,0,0,
"S01016922",24,23,0,117,34,0,92,5,0,29,0,0,6,0,0,
"S01016923",20,1,0,102,2,0,102,3,0,25,0,0,5,0,0,
"S01016924",85,118,0,68,60,0,32,14,0,2,1,0,0,1,0,
"S01016925",88,89,0,101,70,0,53,18,0,12,3,0,1,0,0,
"S01016926",72,57,0,111,46,1,42,20,0,10,0,0,2,0,0,
"S01016927",46,117,0,101,58,0,51,9,0,16,3,0,2,0,0,
"S01016928",56,137,0,90,129,0,46,40,0,13,5,0,1,1,0,
"S01016929",87,47,0,104,28,0,64,11,0,10,1,0,5,0,0,
"S01016930",17,185,0,17,142,0,11,31,0,0,10,0,0,2,0,
"S01016931",4,128,0,15,150,0,6,41,0,5,7,0,0,1,0,
"S01016932",17,105,0,34,77,0,9,23,0,1,3,0,0,0,0,
"S01016933",12,129,0,12,118,0,3,29,0,2,6,0,0,1,0,
"S01016934",27,176,0,46,65,0,18,7,0,1,0,0,2,0,0,
"S01016935",76,152,0,65,113,0,51,25,0,6,4,0,0,0,0,
"S01016936",53,101,0,47,100,0,19,33,0,6,5,0,0,1,0,
"S01016937",12,249,0,12,135,0,2,27,0,2,9,0,0,1,0,
"S01016938",35,41,0,71,41,0,54,11,0,18,1,0,3,1,0,
"S01016939",13,118,0,16,125,0,6,35,0,2,10,0,0,0,0,
"S01016940",26,86,0,57,91,0,13,26,0,3,2,0,1,1,0,
"S01016941",40,94,0,87,52,0,51,7,0,11,2,0,1,1,0,
"S01016942",81,55,0,181,31,0,89,7,0,11,0,0,5,0,0,
"S01016943",25,54,0,55,47,0,35,18,0,4,4,0,2,0,0,
"S01016944",41,119,0,81,105,0,45,24,0,10,9,0,4,0,0,
"S01016945",23,46,0,79,61,0,42,12,0,18,3,0,0,2,0,
"S01016946",36,14,0,71,11,0,49,5,0,4,0,0,1,0,0,
"S01016947",41,64,2,74,69,0,30,16,0,4,0,0,0,0,0,
"S01016948",42,85,0,92,52,0,59,19,0,11,0,0,3,0,0,
"S01016949",65,120,0,100,70,0,44,16,0,12,0,0,6,4,0,
"S01016950",37,52,0,39,50,0,16,24,0,3,8,0,0,1,0,
"S01016951",74,76,0,86,59,0,40,21,0,9,2,0,2,2,0,
"S01016952",32,148,0,28,62,0,28,17,0,0,0,0,1,2,0,
"S01016953",24,211,0,21,214,1,6,34,0,3,6,0,0,1,0,
"S01016954",29,94,0,29,103,0,14,43,0,3,3,0,1,0,0,
"S01016955",10,62,0,6,119,0,4,30,0,0,4,0,0,0,0,
"S01016956",19,158,0,53,177,0,30,56,0,4,6,0,1,1,0,
"S01016957",51,52,0,83,81,2,30,20,2,7,2,0,2,0,0,
"S01016958",30,123,0,98,61,0,50,13,0,9,6,0,2,0,0,
"S01016959",23,115,0,26,79,0,10,11,0,2,0,0,0,0,0,
"S01016960",57,33,0,100,45,2,61,15,0,13,2,0,3,0,0,
"S01016961",68,136,0,54,71,1,18,10,0,5,2,0,0,0,0,
"S01016962",34,246,0,43,128,0,17,20,0,0,5,0,1,0,0,
"S01016963",6,333,0,6,163,0,2,17,0,0,2,0,0,0,0,
"S01016964",96,114,0,86,83,2,34,20,0,10,3,0,1,0,0,
"S01016965",10,291,0,6,93,0,2,16,0,0,4,0,0,0,0,
"S01016966",15,174,0,30,82,1,12,9,0,5,1,0,0,0,0,
"S01016967",59,215,0,62,85,0,20,10,0,5,0,0,0,0,0,
"S01016968",11,326,1,8,126,5,8,10,0,0,0,0,0,4,0,
"S01016969",3,303,0,10,101,0,2,12,0,0,0,0,0,0,0,
"S01016970",100,222,1,97,138,0,29,6,0,10,1,0,0,0,0,
"S01016971",16,196,0,21,134,0,4,24,1,4,0,0,0,0,0,
"S01016972",108,68,0,123,71,1,40,17,0,5,0,0,1,0,0,
"S01016973",12,225,0,14,162,0,5,26,0,0,5,0,0,0,0,
"S01016974",32,202,0,52,138,0,19,25,0,2,3,0,2,1,0,
"S01016975",33,193,0,67,150,0,28,21,0,5,0,0,2,1,0,
"S01016976",45,27,0,76,26,0,48,8,0,9,0,0,2,0,0,
"S01016977",49,85,0,84,117,0,33,16,0,9,4,0,0,1,0,
"S01016978",59,71,0,100,33,0,61,11,0,8,0,0,1,0,0,
"S01016979",31,15,0,114,27,0,44,7,0,4,3,0,2,0,0,
"S01016980",22,77,0,47,91,0,32,18,0,9,3,0,3,0,0,
"S01016981",60,37,0,118,42,0,87,10,0,5,4,0,7,0,0,
"S01016982",46,50,0,107,56,0,48,12,0,15,4,0,1,0,0,
"S01016983",17,146,0,14,80,0,6,15,0,1,2,0,0,0,0,
"S01016984",34,187,0,31,94,0,6,7,0,2,4,0,0,0,0,
"S01016985",30,346,0,33,137,1,6,13,0,2,1,0,0,1,0,
"S01016986",32,275,0,20,143,0,15,21,0,3,4,0,1,2,0,
"S01016987",16,398,0,22,184,0,4,29,0,0,2,0,0,0,0,
"S01016988",14,309,0,6,160,1,5,18,0,0,2,0,0,0,0,
"S01016989",20,225,0,18,172,1,5,30,0,1,1,0,0,0,0,
"S01016990",11,203,0,15,178,0,11,26,0,1,4,0,1,2,0,
"S01016991",54,166,0,87,120,0,21,17,0,4,1,0,0,2,0,
"S01016992",18,144,0,11,116,0,6,20,0,3,3,0,0,0,0,
"S01016993",10,108,0,31,157,0,7,27,0,2,3,0,0,0,0,
"S01016994",16,122,0,20,113,1,10,12,0,2,2,0,0,0,0,
"S01016995",6,184,0,14,154,0,4,30,0,0,4,0,0,3,0,
"S01016996",2,125,0,3,108,0,3,18,0,0,4,0,0,4,0,
"S01016997",26,243,0,40,160,0,16,28,0,3,2,0,3,3,0,
"S01016998",4,216,0,3,144,0,4,32,0,1,3,0,1,2,0,
"S01016999",21,167,0,46,117,0,45,22,0,17,4,0,9,0,0,
"S01017000",35,163,0,99,69,0,58,21,0,17,6,0,11,2,0,
"S01017001",4,145,1,7,143,0,3,33,0,0,5,0,0,1,0,
"S01017002",7,74,0,18,94,0,11,25,0,5,5,0,4,1,0,
"S01017003",11,22,0,20,75,0,43,32,0,11,2,0,10,0,0,
"S01017004",2,88,0,6,116,0,4,42,0,0,12,0,2,4,0,
"S01017005",10,19,0,31,93,0,71,56,0,28,8,0,13,0,0,
"S01017006",10,25,0,56,62,0,42,18,0,17,7,0,16,0,0,
"S01017007",22,69,0,48,87,0,11,28,2,0,11,0,0,1,0,
"S01017008",3,135,0,10,157,0,5,25,0,0,8,0,0,0,0,
"S01017009",1,108,0,0,193,0,0,33,0,0,4,0,0,0,0,
"S01017010",1,80,0,3,129,0,3,46,0,1,6,0,0,0,0,
"S01017011",4,127,0,5,182,0,0,51,0,2,6,0,0,1,0,
"S01017012",2,57,0,4,120,0,6,38,0,1,9,0,1,4,0,
"S01017013",9,86,0,6,102,0,2,44,0,0,17,0,0,5,0,
"S01017014",6,254,1,7,139,0,1,14,0,0,4,0,0,1,0,
"S01017015",4,175,1,1,88,2,3,26,0,1,6,0,0,2,0,
"S01017016",5,176,2,7,124,0,9,30,0,3,8,0,1,0,1,
"S01017017",0,175,0,4,89,0,2,8,0,0,0,0,0,0,0,
"S01017018",0,225,0,1,166,0,1,28,0,0,1,0,0,1,0,
"S01017019",1,326,0,6,122,0,2,13,0,0,2,0,0,0,1,
"S01017020",3,273,1,4,153,0,1,17,0,0,9,0,0,1,0,
"S01017021",11,325,0,3,141,0,4,31,0,1,3,0,0,0,0,
"S01017022",23,193,0,43,87,0,11,19,0,3,1,0,0,2,0,
"S01017023",5,123,0,13,69,0,6,16,0,1,3,0,1,0,0,
"S01017024",26,98,0,43,46,0,13,9,0,2,0,0,0,0,0,
"S01017025",30,204,0,55,146,0,27,31,0,6,6,0,2,0,0,
"S01017026",15,105,0,12,91,0,13,26,0,3,1,0,0,2,0,
"S01017027",1,171,1,6,220,0,1,57,0,0,1,0,0,1,0,
"S01017028",1,126,0,2,239,0,1,40,0,0,2,0,0,0,0,
"S01017029",2,172,0,20,220,0,14,52,0,1,1,0,0,0,0,
"S01017030",16,229,0,45,143,0,17,37,0,7,6,0,1,1,0,
"S01017031",23,94,0,44,150,0,19,44,1,21,7,1,6,0,0,
"S01017032",3,163,0,7,189,0,7,35,0,1,7,0,0,1,0,
"S01017033",2,186,1,8,147,0,3,31,0,2,0,0,0,0,0,
"S01017034",4,126,0,1,108,0,1,16,0,0,3,0,0,0,0,
"S01017035",3,354,0,5,171,1,0,14,0,0,3,0,0,0,0,
"S01017036",12,177,0,57,219,0,26,36,0,3,3,0,2,2,0,
"S01017037",10,218,0,7,237,1,1,46,0,0,2,0,1,2,0,
"S01017038",5,109,0,0,96,0,1,18,0,0,2,0,0,0,0,
"S01017039",18,55,0,112,126,0,40,23,0,6,1,0,0,0,0,
"S01017040",4,48,0,27,139,0,40,62,0,17,10,0,6,0,0,
"S01017041",20,36,0,54,112,0,67,42,0,34,0,0,12,0,0,
"S01017042",17,31,0,93,135,0,76,33,0,27,6,0,11,1,0,
"S01017043",5,45,0,20,195,0,23,68,0,9,11,0,2,2,0,
