SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"Corstorphine",105,132,81,498,23,6,0,375,433,205,346,37,4,1,13,24,7,47,4,0,0,15,18,8,42,5,2,0,508,607,305,930,69,13,1,
"Carrick Knowe",17,33,42,244,2,1,0,88,83,86,366,11,0,0,2,11,13,94,4,0,0,5,20,4,29,2,0,0,115,148,146,731,19,1,0,
"Corstorphine South",11,137,112,421,2,1,0,59,355,190,485,12,0,0,6,34,28,113,0,1,0,4,22,10,86,2,0,0,83,545,341,1105,15,4,0,
"South Gyle and Edinburgh Park",40,204,187,450,13,2,0,147,430,367,264,5,2,0,14,40,48,52,1,0,0,5,22,19,43,1,1,0,208,695,622,809,20,1,0,
"Ratho, Ingliston and Gogar",44,95,83,53,5,0,1,232,207,138,40,7,0,0,14,32,34,16,1,0,0,8,20,9,5,0,0,0,299,354,264,113,13,0,1,
"Kirkliston",76,181,61,124,3,0,0,518,369,146,63,7,1,0,38,59,45,28,4,0,0,25,25,11,9,1,0,0,657,631,265,226,14,2,0,
"Dalmeny and Newbridge",52,66,82,153,1,0,0,574,173,216,131,5,0,0,21,24,56,64,2,0,0,24,3,15,12,0,0,0,678,264,362,363,8,0,0,
"Queensferry East",68,77,231,208,19,10,0,304,217,480,144,24,3,0,17,30,89,57,2,0,0,10,8,23,19,0,0,0,398,335,823,425,43,10,0,
"Queensferry West",54,98,108,174,4,0,0,311,364,216,100,4,0,0,14,42,40,41,2,0,0,5,12,15,8,4,0,0,388,516,375,324,15,0,0,
"Tullibody South",73,151,153,272,6,5,0,338,346,146,72,6,2,0,27,107,68,60,2,0,1,26,16,17,9,4,0,0,462,619,384,415,14,5,1,
"Tullibody North and Glenochil",64,170,114,96,0,2,4,419,310,255,104,0,0,0,42,100,85,64,2,0,2,21,30,19,11,0,0,0,547,613,477,275,2,2,6,
"Menstrie",70,80,107,111,2,3,0,348,158,140,59,1,0,0,26,31,31,23,0,0,0,11,16,9,6,0,0,0,455,282,287,199,5,3,0,
"Alva",140,220,179,432,29,12,0,425,355,196,137,16,4,1,33,82,51,77,4,1,0,19,23,10,12,2,4,0,619,679,435,660,50,21,1,
"Fishcross, Devon Village and Coalsnaughton",59,113,92,84,3,2,0,215,167,129,48,4,0,1,21,47,41,36,0,0,0,12,15,11,4,0,0,0,307,342,273,177,9,2,1,
"Tillicoultry",137,208,196,415,31,4,0,386,285,207,156,16,4,0,19,49,63,87,1,4,0,15,18,8,18,4,1,0,557,559,474,671,56,13,0,
"Dollar and Muckhart",173,125,46,61,17,6,0,619,246,66,29,14,7,0,46,26,13,7,4,0,0,20,5,2,0,2,0,0,854,405,127,97,35,12,0,
"Clackmannan, Kennet and Forestmill",126,235,163,162,10,15,0,631,363,218,95,4,2,0,46,82,60,33,0,0,0,33,24,13,6,0,0,0,833,701,454,295,9,17,0,
"Sauchie",83,266,144,358,7,1,1,302,407,206,137,4,0,0,30,111,83,109,2,1,0,22,33,27,11,0,0,0,437,814,457,614,19,3,1,
"Alloa South and East",60,180,295,609,27,53,0,72,217,279,160,16,13,0,22,117,138,87,1,4,0,8,37,28,29,4,2,0,166,547,742,884,48,72,0,
"Alloa North",121,229,223,458,10,4,0,454,486,301,137,4,2,0,41,72,97,78,0,0,0,16,18,16,13,4,0,0,634,807,637,690,17,8,0,
"Alloa West",81,136,85,324,37,3,0,316,292,92,122,25,0,0,16,33,21,41,2,0,0,16,11,3,10,2,0,0,431,472,206,497,68,3,0,
"Stranraer West",92,124,72,281,9,0,0,109,185,102,78,2,3,0,18,67,43,69,0,0,0,4,18,16,6,1,0,0,223,394,235,433,12,3,0,
"Rhins North",257,115,58,36,10,2,0,602,163,57,14,5,4,4,29,24,12,1,0,0,0,33,9,4,0,0,0,0,924,311,128,52,15,6,4,
"Stranraer East",75,88,196,216,32,31,0,102,100,235,34,9,14,0,11,29,51,19,1,7,0,7,7,21,9,1,3,0,195,228,502,274,43,52,0,
"Stranraer South",102,241,135,93,4,2,0,187,378,126,16,3,2,0,34,121,47,25,0,0,0,7,16,13,1,0,0,0,333,760,316,132,5,3,0,
"Rhins South",191,298,133,40,5,4,1,475,317,115,5,4,0,2,40,62,24,6,1,4,0,30,18,4,0,0,0,0,736,699,276,55,10,4,6,
"Machars North",174,118,53,36,18,1,1,388,138,52,8,3,0,4,18,25,9,2,2,0,0,15,8,2,1,0,1,0,596,290,116,47,22,2,4,
"Machars South",380,254,216,98,16,12,1,680,330,225,21,4,12,1,35,76,43,9,0,0,0,31,20,13,0,0,0,0,1126,674,498,129,20,21,0,
"Newton Stewart",307,293,199,186,19,8,1,576,453,219,23,13,12,2,39,101,66,18,3,4,0,20,15,12,1,1,3,0,942,859,496,231,36,26,3,
"Gatehouse",225,171,105,23,6,5,0,516,221,155,20,4,1,1,35,66,21,4,0,2,0,30,13,11,1,0,0,0,799,471,296,47,10,9,1,
"Kirkcudbright",343,236,235,160,27,17,0,676,299,158,42,14,9,3,43,61,30,23,2,2,0,52,19,15,8,3,0,0,1114,621,438,233,45,32,3,
"Castle Douglas",210,242,150,246,19,20,1,478,354,189,81,7,10,0,33,79,38,59,7,1,0,23,20,4,9,3,2,0,747,696,377,395,34,31,1,
"Dalbeattie",184,254,261,167,15,8,0,346,307,272,41,4,5,0,49,74,61,20,1,1,0,14,17,10,6,1,0,0,593,650,605,234,22,11,0,
"Dalbeattie Rural",230,86,19,4,1,2,5,541,88,19,5,3,0,6,39,13,6,1,0,0,0,30,7,1,0,0,0,0,837,196,45,12,5,2,17,
"Glenkens",251,183,104,9,6,6,0,581,224,133,10,9,6,3,40,59,23,5,0,1,0,50,21,8,1,1,0,0,925,487,267,21,16,17,3,
"Upper Nithsdale",122,354,204,139,7,15,0,250,439,266,40,4,8,0,36,143,90,34,1,1,0,15,27,18,4,0,2,0,422,956,579,217,13,28,0,
"Thornhill",216,274,180,38,4,9,0,485,290,194,5,3,5,0,29,89,39,2,1,1,0,23,13,10,2,1,0,0,753,663,424,47,9,15,0,
"Mid Nithsdale",145,115,41,5,6,1,0,510,210,69,4,4,1,1,35,33,6,2,0,1,0,38,17,5,0,1,0,0,728,379,118,11,10,3,1,
"Shawhead",215,97,42,8,2,0,8,595,153,69,2,0,0,17,46,20,8,0,0,2,1,35,7,1,0,0,0,0,889,277,117,11,2,2,26,
"Lochside and Lincluden",44,266,394,494,6,2,0,79,340,451,121,0,3,0,36,181,181,128,0,0,1,9,51,35,20,0,2,0,168,838,1064,765,6,5,1,
"Summerville",187,304,177,493,21,4,0,496,411,229,157,10,1,0,69,126,68,130,2,0,0,25,26,21,25,3,2,0,778,870,495,809,36,9,0,
"Troqueer",109,178,90,330,17,1,0,256,304,91,100,14,0,0,26,59,23,38,3,0,0,26,21,7,17,0,0,0,418,560,208,485,34,1,0,
"New Abbey",188,181,83,31,3,2,1,478,225,93,14,4,1,1,34,55,18,11,0,1,0,36,22,6,1,0,1,0,734,483,202,54,7,6,2,
"Kingholm",147,98,73,136,6,1,1,438,169,107,29,6,0,0,28,41,25,4,1,0,0,27,12,7,3,2,0,0,641,324,212,172,13,1,1,
"Calside",153,128,80,42,4,0,0,470,230,45,12,2,2,0,22,46,20,6,1,0,0,18,9,2,0,1,0,0,663,413,146,61,6,2,0,
"Georgetown",131,223,13,58,8,0,0,298,420,9,14,0,0,0,26,72,2,3,0,0,0,13,16,1,0,0,0,0,466,734,35,76,8,0,0,
"Dumfries Central",33,93,115,903,64,40,0,66,119,123,214,20,16,0,10,52,65,108,6,7,0,5,14,17,26,7,4,0,114,280,320,1251,97,67,0,
"Nunholm",130,132,86,341,47,4,0,279,252,95,90,22,0,0,34,35,17,46,0,0,0,16,11,6,9,2,0,0,459,427,204,486,73,6,0,
"Locharbriggs",55,190,165,54,4,1,0,102,321,250,9,0,0,0,7,61,74,2,0,0,0,7,16,17,3,2,0,0,173,584,506,65,7,1,0,
"Heathhall",143,168,55,5,1,0,0,344,311,92,3,1,0,0,28,49,19,0,0,0,0,13,11,4,0,0,0,0,524,541,170,6,2,0,0,
"Collin",213,141,53,61,3,0,7,817,250,87,17,3,1,6,40,38,18,4,1,0,0,38,8,6,3,0,2,1,1114,437,160,85,7,2,13,
"Lochmaben",181,112,132,46,10,2,1,459,159,200,13,4,0,2,35,46,42,4,1,2,0,34,15,10,1,0,0,0,708,335,378,61,15,5,0,
"Lockerbie",222,231,224,238,16,5,1,522,236,322,75,8,13,3,47,81,107,21,0,0,0,32,12,13,6,2,0,0,823,565,669,340,26,15,4,
"Moffat",226,197,148,112,36,9,4,509,242,140,42,25,11,1,23,67,50,7,3,2,0,27,10,10,3,0,1,0,785,516,348,164,64,23,5,
"Langholm and Eskdale",152,122,231,133,24,9,0,397,188,286,35,20,12,0,34,34,47,21,0,2,0,24,9,7,3,1,0,0,607,356,574,192,45,20,0,
"Annandale East",230,178,77,59,10,4,14,603,226,111,13,7,3,18,42,39,35,1,0,0,1,44,21,3,0,1,0,0,922,464,226,74,18,4,30,
"Annandale West",178,100,53,9,4,0,0,415,167,76,0,0,2,0,34,18,9,1,0,0,0,19,12,7,0,0,0,0,646,299,143,12,6,2,0,
"Annan West",85,198,260,208,13,5,0,146,221,280,44,5,3,0,12,54,57,32,0,2,0,9,5,13,4,0,0,0,256,483,611,291,18,8,0,
"Annan East",179,272,228,148,4,0,0,464,445,304,24,0,1,0,34,158,119,14,1,0,0,16,25,17,3,0,0,0,691,903,671,190,7,1,0,
"Eastriggs",127,114,134,27,4,0,0,407,218,178,9,4,1,0,24,43,46,0,0,0,0,18,6,6,1,0,0,0,579,377,364,38,8,1,0,
"Gretna",221,200,182,39,2,4,19,402,326,187,9,0,4,16,33,110,72,11,3,2,1,19,22,12,4,0,0,1,675,659,450,63,5,10,44,
"Westend",198,171,47,408,116,1,0,473,331,136,213,115,0,0,26,39,24,32,8,0,0,37,35,29,157,22,0,0,734,576,237,807,256,1,0,
"Perth Road",14,44,33,1068,63,6,0,38,57,58,367,26,6,0,8,21,15,67,6,3,0,20,56,74,583,52,16,0,81,178,180,2085,147,28,0,
"Logie and Blackness",36,63,50,1438,67,0,0,94,155,75,515,47,0,1,16,27,8,115,5,0,2,12,45,23,284,18,1,0,157,286,158,2351,137,1,2,
"City Centre",10,26,15,789,52,22,0,25,73,24,348,33,13,0,4,12,7,91,8,1,0,10,25,9,492,25,72,0,47,136,55,1721,118,108,0,
"Docks and Wellgate",10,32,84,1159,38,32,1,29,65,123,571,23,14,0,4,22,33,123,2,0,0,7,24,36,355,14,17,0,46,142,280,2208,76,68,1,
"Hilltown",7,48,62,814,26,3,0,16,113,91,262,6,4,0,10,50,23,78,0,2,0,2,18,6,86,4,1,0,36,233,185,1242,35,10,0,
"Clepington",16,32,60,1537,4,4,0,80,74,51,628,2,2,0,7,25,15,218,0,0,0,8,8,10,112,1,0,0,115,139,139,2495,7,5,0,
"Stobswell",9,39,45,1679,23,9,0,33,74,107,692,6,5,0,5,26,16,196,3,1,0,6,23,18,222,5,3,0,51,159,186,2786,37,15,0,
"Baxter Park",80,150,22,129,35,0,0,220,337,78,101,33,1,0,11,33,3,22,5,0,0,21,41,5,12,0,0,0,333,561,111,264,73,1,0,
"Craigie and Craigiebank",85,161,132,571,13,0,0,184,237,148,284,19,0,0,17,43,34,83,0,0,0,19,21,8,17,3,0,0,308,463,322,955,35,0,0,
"Douglas West",10,193,153,555,2,1,0,29,255,216,216,0,0,0,8,84,54,136,0,0,0,4,29,19,44,0,0,0,47,564,443,951,2,1,0,
"West Ferry",154,139,8,147,46,1,0,369,284,16,62,35,1,0,27,30,2,8,4,0,0,24,17,2,4,1,0,0,572,470,28,222,80,2,0,
"Douglas East",18,190,174,110,5,0,0,16,178,206,82,0,0,0,3,85,58,75,0,0,0,1,22,11,10,0,0,0,38,471,450,280,4,0,0,
"Broughty Ferry West",148,146,88,609,80,17,0,375,359,113,275,97,9,0,42,40,14,52,8,3,0,10,14,4,15,6,2,0,574,552,217,952,191,27,0,
"Broughty Ferry East",126,235,24,185,7,1,0,346,505,45,58,6,0,0,34,49,6,22,3,0,0,17,13,6,10,0,0,0,523,802,75,272,12,1,0,
"Barnhill",177,166,87,334,31,0,0,464,381,131,119,23,0,1,27,40,33,27,10,0,0,20,14,6,5,1,0,0,688,600,257,481,65,0,1,
"Balgillo",93,76,23,52,0,0,0,728,149,38,29,0,0,0,55,33,8,9,0,0,0,22,4,0,3,0,0,0,900,261,70,93,0,0,0,
"West Pitkerro and Balmossie",63,173,41,68,5,0,0,336,464,59,34,0,0,0,27,46,9,4,0,0,0,17,21,2,1,1,0,0,440,704,111,106,3,0,0,
"Whitfield",25,291,234,361,3,0,0,58,559,287,193,3,0,0,15,245,94,205,1,0,0,18,56,28,26,4,1,0,113,1148,642,785,14,1,0,
"Fintry",5,145,94,210,8,0,0,14,242,199,159,2,0,0,7,93,51,116,0,0,0,6,22,16,18,1,0,0,32,501,363,500,12,0,0,
"Claverhouse and North Ballumbie",67,130,94,97,2,0,0,344,449,228,86,12,1,1,47,81,55,30,0,0,0,25,29,12,7,0,1,0,483,687,389,222,10,2,1,
"Linlathen and Midcraigie",27,285,113,234,14,9,0,41,452,127,78,3,1,0,16,253,47,94,2,0,0,10,72,8,11,0,0,0,94,1062,291,417,25,10,0,
"Caird Park",35,153,70,34,2,0,0,80,373,121,20,2,0,0,7,66,36,14,0,0,0,13,47,17,1,0,0,0,138,639,244,70,4,0,0,
"Kirkton",50,226,93,47,6,1,0,156,473,208,19,4,0,0,27,171,66,16,4,0,0,12,70,20,8,0,0,0,245,940,386,88,14,1,0,
"Downfield",77,342,140,146,11,3,0,190,619,245,67,18,0,1,21,131,40,39,3,0,0,15,37,10,11,1,0,0,303,1129,436,256,33,3,1,
"Fairmuir",59,167,77,311,28,6,0,161,385,115,139,22,0,0,19,56,24,49,2,0,0,13,38,6,23,3,0,0,251,647,219,527,56,9,0,
"Law",51,95,113,1905,22,4,0,70,148,110,716,13,1,0,10,29,26,261,4,2,0,8,24,10,103,1,2,0,139,299,256,2985,40,9,0,
"Balgay",64,198,46,375,12,0,0,180,431,45,175,5,0,0,21,44,9,70,4,0,1,4,25,0,32,0,0,0,271,698,102,652,18,0,1,
"Menzieshill",26,127,131,797,13,1,0,63,151,196,350,6,0,0,12,50,70,172,0,0,0,7,9,15,56,0,0,0,108,338,405,1377,21,1,0,
"Charleston",7,217,166,454,4,1,0,21,289,193,210,6,2,0,4,117,61,190,0,0,0,4,22,22,36,0,0,0,35,645,443,881,7,2,0,
"Lochee",57,242,110,814,17,10,2,88,375,230,308,15,6,0,13,104,75,134,3,4,1,3,35,28,57,3,4,0,161,756,450,1313,36,23,6,
"Ardler and St Marys",65,404,219,361,4,0,0,151,615,259,118,2,0,0,25,232,95,112,4,0,0,15,72,34,14,0,0,0,260,1323,605,602,7,0,0,
"Western Edge",114,128,21,65,9,0,0,820,385,51,56,7,2,0,55,46,4,4,0,0,0,35,16,6,9,2,0,0,1025,575,78,134,16,2,0,
"Doon Valley South",45,114,148,210,7,5,0,113,193,175,94,4,4,0,11,58,65,60,1,2,0,13,25,5,16,1,0,0,182,385,395,383,13,13,0,
"Doon Valley North",112,220,192,91,0,0,0,271,374,233,30,2,2,0,26,101,99,15,1,1,0,19,29,14,0,1,0,0,428,726,539,137,5,2,0,
"Mauchline Rural",144,174,177,292,14,3,0,516,291,249,119,8,4,1,43,61,71,54,0,0,0,37,13,13,13,2,1,0,740,539,510,478,25,8,3,
"Drongan",63,164,239,64,0,1,0,147,278,199,31,0,1,0,18,77,94,10,0,0,0,15,12,14,0,0,0,0,243,534,545,107,0,2,0,
"Mauchline",176,152,115,144,10,2,0,392,233,211,81,7,1,0,24,46,53,44,0,1,0,13,24,12,8,0,0,0,609,455,388,280,17,4,0,
"Cumnock Rural",167,225,192,70,6,0,1,553,362,173,37,7,2,4,39,110,53,11,0,1,0,52,34,6,7,0,1,0,811,731,428,124,8,4,3,
"New Cumnock",56,205,122,136,2,0,0,145,273,99,70,1,1,0,13,76,23,42,1,1,0,10,20,13,11,0,0,0,224,573,257,259,1,2,0,
"Cumnock South and Craigens",56,190,211,306,4,0,0,163,373,347,117,1,3,0,22,81,130,87,0,0,0,7,28,23,11,0,0,0,248,669,711,521,5,3,0,
"Cumnock North",150,171,110,187,9,3,0,430,295,138,59,4,2,4,32,35,41,39,1,0,0,24,21,8,1,0,1,0,638,522,297,288,18,9,4,
"Auchinleck",51,204,176,163,13,3,0,159,277,248,76,1,0,0,27,76,92,33,3,2,0,10,25,23,6,2,0,0,248,582,539,285,22,4,0,
"Northern and Irvine Valley Rural",273,134,119,58,19,1,1,1116,310,217,35,26,1,0,62,44,41,8,0,0,0,67,14,7,4,1,0,0,1518,502,384,106,45,2,2,
"Stewarton East",131,107,121,224,18,8,0,491,221,209,86,8,8,0,29,39,47,33,3,1,0,24,6,16,5,0,0,0,675,370,396,348,31,19,0,
"Stewarton West",64,101,121,109,0,0,0,205,156,143,45,0,0,0,18,49,52,39,0,0,0,12,10,7,6,0,0,0,299,316,327,200,2,0,0,
"Darvel",99,140,120,206,8,1,0,285,345,200,74,9,6,0,18,56,39,23,1,0,0,13,8,8,6,1,0,0,423,549,368,309,19,9,0,
"Newmilns",50,111,101,217,22,1,0,160,185,178,65,13,4,0,15,49,36,22,3,1,0,8,11,12,5,1,0,0,236,356,323,309,39,6,0,
"Galston",82,177,140,330,10,13,0,296,416,224,152,4,4,0,20,70,65,68,3,0,0,8,26,16,10,1,0,0,406,685,447,556,21,17,0,
"Earlston and Hurlford Rural",94,253,271,293,12,11,1,285,377,363,95,12,0,0,30,82,112,29,0,0,0,26,46,18,10,0,1,0,436,758,764,427,22,12,2,
"Shortlees",64,262,98,233,9,0,0,38,490,128,106,3,0,0,13,230,71,115,0,0,0,8,38,20,17,1,0,0,123,1021,314,471,13,0,0,
"Bellfield and Kirkstyle",16,278,209,284,0,0,0,21,430,360,101,0,0,0,4,129,109,60,1,0,0,4,25,16,12,0,0,0,50,866,694,459,1,0,0,
"Kilmarnock South Central and Caprington",30,195,74,435,4,2,0,86,290,85,143,3,5,0,4,52,28,43,0,2,0,1,8,5,15,0,1,0,121,546,192,636,9,7,0,
"Piersland",36,186,47,408,18,0,0,136,378,83,149,25,1,0,6,44,3,53,1,0,0,4,23,2,10,3,0,0,177,631,138,622,47,1,0,
"New Farm Loch South",35,69,243,151,1,0,0,87,162,331,43,0,1,0,8,30,120,36,0,0,0,5,8,25,4,0,0,0,134,270,719,231,1,1,0,
"Dean and New Farm Loch North",58,101,238,61,5,2,0,144,198,409,39,2,0,0,27,66,176,14,0,0,0,7,21,38,0,0,0,0,234,382,861,114,7,2,0,
"Southcraig and Beansburn",219,187,20,40,2,2,0,1110,447,38,24,4,0,0,79,49,4,8,0,0,0,51,8,2,4,0,0,0,1462,694,69,81,5,2,0,
"Altonhill North and Onthank",33,263,263,186,13,1,1,126,350,278,66,2,0,0,28,142,125,36,0,0,0,13,39,26,11,0,0,0,201,792,693,295,14,1,1,
"Altonhill South, Longpark and Hillhead",71,226,173,543,12,1,0,154,401,149,161,2,0,0,32,154,74,60,2,0,0,6,53,26,23,0,0,0,263,834,418,787,19,1,0,
"Bonnyton and Town Centre",25,169,64,901,13,10,1,95,193,72,277,10,5,0,7,50,24,72,1,0,0,4,4,4,12,1,0,0,135,416,164,1259,24,14,1,
"Grange, Howard and Gargieston",165,218,21,308,19,1,0,862,596,69,117,26,3,1,55,64,19,28,3,0,0,27,21,4,5,0,0,0,1108,897,111,459,53,2,3,
"Crosshouse, Gatehead and Kilmaurs Rural",96,189,104,148,5,3,4,587,431,165,105,2,2,0,27,71,33,43,0,1,3,27,16,4,2,0,0,0,739,707,302,298,10,6,4,
"Kilmaurs",82,150,111,83,5,1,0,219,248,127,44,3,0,0,18,47,36,12,0,0,0,14,15,8,0,0,0,0,331,459,282,140,8,1,0,
"West Clober and Mains Estate",76,67,42,49,1,0,0,460,156,86,17,0,0,1,29,24,17,4,0,0,0,9,10,3,2,0,0,0,577,257,145,72,1,0,1,
"East Clober and Mains Estate",32,145,130,163,6,1,1,109,339,231,79,4,0,0,16,87,91,30,1,0,0,0,23,18,5,0,0,0,159,594,467,277,11,1,1,
"Barloch",73,109,43,252,7,1,0,338,353,61,115,8,2,0,13,28,12,36,2,0,0,12,4,4,5,0,0,0,436,494,116,405,17,4,0,
"Keystone and Dougalston",149,170,49,391,12,7,0,549,303,63,116,5,1,0,21,43,14,33,0,0,0,18,10,3,10,1,0,0,737,529,125,546,18,8,0,
"Kilmardinny East",104,121,11,92,1,0,0,492,422,28,83,1,0,0,22,40,3,15,0,0,0,18,5,2,3,0,0,0,636,591,45,188,2,0,0,
"Kilmardinny West",123,46,31,225,14,5,0,655,171,37,73,19,6,0,38,22,12,15,4,1,0,18,3,2,1,0,0,0,830,242,81,319,34,16,0,
"North Castlehill and Thorn",101,110,93,86,1,0,0,576,357,128,51,1,0,0,31,39,36,12,0,0,0,26,3,2,1,0,0,0,734,506,257,150,4,0,0,
"South Castlehill and Thorn",119,113,36,81,8,3,0,521,407,65,76,15,0,0,34,55,28,41,3,0,0,19,14,6,8,1,0,0,693,591,135,206,24,4,0,
"Westerton West",48,117,117,10,0,2,0,135,382,197,19,0,1,0,8,60,26,19,0,0,0,6,16,10,6,0,0,0,200,573,350,51,0,3,0,
"Westerton East",104,57,33,146,6,2,0,516,227,99,106,8,0,0,33,28,19,15,0,0,0,20,14,3,7,0,1,0,673,326,150,274,15,3,0,
"Kessington West",130,52,9,177,7,1,0,532,202,30,105,2,0,0,29,26,1,7,1,0,0,31,5,1,8,0,0,0,722,283,41,298,12,2,0,
"Kessington East",119,88,6,41,4,2,0,461,259,25,12,1,0,0,38,27,2,4,1,0,0,34,8,0,3,2,0,0,650,382,35,60,4,2,0,
"Torrance and Balmore",122,50,28,57,0,0,1,505,173,51,34,3,1,0,41,26,24,18,0,0,0,21,5,2,6,0,0,0,689,250,102,115,3,0,1,
"Bishopbriggs North and Kenmure",111,342,39,75,4,0,0,442,842,35,47,2,0,0,35,86,8,10,0,0,0,18,33,1,2,0,0,0,610,1299,80,134,8,0,0,
"Bishopbriggs West and Cadder",138,261,113,311,4,2,1,526,683,161,93,4,4,0,35,99,47,24,0,0,0,34,37,9,0,0,0,0,738,1080,329,423,8,5,1,
"Auchinairn",65,212,195,432,9,2,10,373,307,241,197,1,0,5,41,103,75,169,2,0,0,20,32,21,16,0,0,0,502,652,531,818,15,2,15,
"Woodhill East",44,109,25,16,0,2,0,186,420,30,11,0,0,0,24,39,6,2,0,0,0,10,21,0,1,0,0,0,268,590,58,29,0,2,0,
"Woodhill West",125,215,24,119,3,1,0,389,572,49,34,2,0,0,37,76,14,10,0,0,0,21,30,2,3,1,0,0,575,893,89,162,6,1,0,
"Lenzie North",154,191,84,92,10,1,0,581,487,125,54,47,0,0,39,107,44,26,0,0,0,36,29,7,4,3,0,0,810,813,260,180,62,2,0,
"Lenzie South",100,145,20,65,9,0,0,479,377,44,39,19,0,0,20,39,8,4,0,0,0,13,11,0,2,0,0,0,611,568,72,107,28,0,0,
"Kirkintilloch South",58,152,36,269,1,1,1,248,371,70,89,4,0,0,21,66,15,57,0,0,0,11,20,5,5,2,0,0,342,605,127,420,7,1,1,
"Kirkintilloch West",73,135,75,616,18,9,0,400,291,82,191,12,9,2,33,40,31,94,3,4,0,18,7,4,19,1,2,0,524,478,193,916,31,23,2,
"Hillhead",23,185,166,459,6,0,0,76,275,202,144,2,0,0,11,115,81,166,0,1,0,11,30,10,21,0,0,0,121,604,455,790,8,2,0,
"Rosebank and Waterside",85,186,71,186,3,0,0,747,479,116,84,1,0,0,58,65,27,41,1,0,0,32,21,5,8,0,0,0,926,752,219,316,5,0,0,
"Twechar and Harestanes East",50,169,185,95,0,0,0,144,313,197,55,3,1,0,9,56,67,33,0,0,0,16,10,12,6,0,0,0,215,548,464,189,4,1,0,
"Harestanes",24,61,298,198,0,0,1,57,111,401,54,2,0,0,9,37,115,45,1,0,0,8,9,28,7,0,0,0,101,218,843,305,2,0,1,
"Milton of Campsie",158,168,74,131,2,0,1,511,306,98,59,4,4,0,37,43,38,33,1,0,0,9,19,9,3,0,1,1,716,535,219,224,5,2,0,
"Lennoxtown",99,164,170,223,7,2,0,410,289,230,95,3,0,0,30,59,72,49,0,0,0,18,24,22,16,0,1,1,557,539,492,383,13,6,1,
"Wallyford",22,120,146,93,4,1,0,165,271,318,98,1,4,0,17,55,92,49,3,0,0,16,21,28,11,1,0,0,218,465,584,255,9,5,0,
"Whitecraig",40,75,74,121,2,0,0,223,237,236,104,0,2,0,18,43,49,43,0,1,0,9,12,19,8,0,0,0,289,367,378,276,2,3,0,
"Musselburgh South",27,188,167,359,7,0,2,201,441,280,197,18,2,0,9,61,52,66,1,0,0,8,26,9,22,2,0,0,245,716,508,642,33,3,2,
"Musselburgh West",51,100,86,154,4,0,0,240,263,129,108,3,2,0,14,26,18,23,0,0,0,8,10,7,13,0,0,0,314,401,244,298,8,2,0,
"Musselburgh North",23,72,105,1093,22,7,0,47,91,186,558,32,17,0,4,23,30,136,2,3,0,6,14,13,85,10,1,0,79,200,333,1873,66,24,0,
"Musselburgh East",58,128,146,456,7,3,0,107,283,335,310,22,6,0,8,65,63,92,2,0,0,8,27,27,46,3,1,0,181,496,571,906,37,10,0,
"Pinkie Braes",6,47,63,152,1,1,0,51,156,156,147,2,2,0,4,39,22,74,0,0,0,9,18,15,15,1,0,0,70,260,256,391,5,3,0,
"Prestonpans West",49,169,233,311,7,4,0,234,370,424,186,6,4,0,22,86,120,95,0,0,0,16,32,29,16,2,1,0,321,657,809,610,15,9,0,
"Prestonpans East",40,227,158,150,2,1,0,179,437,269,81,5,2,0,16,86,77,42,1,0,0,9,37,17,14,1,0,0,242,787,517,287,10,3,0,
"Cockenzie",115,140,253,242,7,7,1,360,340,474,120,8,4,0,27,49,76,52,2,0,0,24,16,23,15,1,0,1,526,547,828,433,15,7,2,
