SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Number of cars or vans and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Intermediate Zone (2022)",
"Dunfermline Duloch North",107,0,0,0,542,0,0,0,497,0,0,63,0,0,13,107,542,570,
"Dunfermline Halbeath and Lynebank",165,0,0,0,630,0,0,0,619,0,0,106,0,0,24,165,630,749,
"Dunfermline Touch and Woodmill",528,0,0,0,651,0,0,0,234,0,0,51,0,0,16,528,651,303,
"Dunfermline Abbeyview North",615,0,0,0,790,0,0,0,334,0,0,60,0,0,27,615,790,421,
"Dunfermline Abbeyview South",302,0,0,0,574,0,0,0,301,0,0,61,0,0,18,302,574,380,
"Dunfermline Duloch South",89,0,0,0,485,0,0,0,615,0,0,129,0,0,34,89,485,778,
"Dunfermline Masterton",63,0,0,0,629,0,0,0,743,0,0,88,0,0,24,63,629,857,
"Dunfermline Pitcorthie East",131,0,0,0,645,0,0,0,557,0,0,120,0,0,38,131,645,715,
"Dunfermline Pitcorthie West",177,0,0,0,550,0,0,0,311,0,0,69,0,0,26,177,550,402,
"Rosyth North",279,0,0,0,649,0,0,0,307,0,0,52,0,0,20,279,649,379,
"Rosyth East",350,0,0,0,670,0,0,0,327,0,0,51,0,0,24,350,670,402,
"Rosyth Central",549,0,0,0,859,0,0,0,292,0,0,57,0,0,22,549,859,371,
"Rosyth South",137,0,0,0,424,0,0,0,306,0,0,54,0,0,21,137,424,381,
"North Queensferry and Inverkeithing West",441,0,0,0,909,0,0,0,441,0,0,93,0,0,24,441,909,559,
"Inverkeithing East",391,0,0,0,685,0,0,0,330,0,0,57,0,0,17,391,685,402,
"Dalgety Bay West and Hillend",67,0,0,0,426,0,0,0,373,0,0,76,0,0,27,67,426,476,
"Dalgety Bay Central",237,0,0,0,1023,0,0,0,610,0,0,129,0,0,42,237,1023,781,
"Dalgety Bay East",141,0,0,0,479,0,0,0,365,0,0,84,0,0,27,141,479,476,
"Crossgates and South Knowe",181,0,0,0,605,0,0,0,479,0,0,97,0,0,39,181,605,616,
"Hill of Beath",373,0,0,0,654,0,0,0,344,0,0,88,0,0,18,373,654,450,
"Cowdenbeath South",458,0,0,0,651,0,0,0,274,0,0,77,0,0,24,458,651,374,
"Cowdenbeath North",444,0,0,0,910,0,0,0,592,0,0,155,0,0,26,444,910,773,
"Kelty West",319,0,0,0,516,0,0,0,289,0,0,66,0,0,25,319,516,380,
"Kelty East and Landward",407,0,0,0,840,0,0,0,510,0,0,111,0,0,35,407,840,657,
"Lochore and Crosshill",377,0,0,0,538,0,0,0,237,0,0,63,0,0,19,377,538,318,
"Ballingry",426,0,0,0,589,0,0,0,249,0,0,54,0,0,22,426,589,328,
"Cardenden",537,0,0,0,992,0,0,0,597,0,0,118,0,0,42,537,992,757,
"Lochgelly East",500,0,0,0,913,0,0,0,551,0,0,120,0,0,52,500,913,726,
"Lochgelly West and Lumphinnans",441,0,0,0,633,0,0,0,272,0,0,61,0,0,14,441,633,345,
"Aberdour and Auchtertool",225,0,0,0,700,0,0,0,498,0,0,71,0,0,30,225,700,602,
"Burntisland West",499,0,0,0,718,0,0,0,432,0,0,94,0,0,19,499,718,541,
"Burntisland East",230,0,0,0,622,0,0,0,303,0,0,60,0,0,13,230,622,376,
"Kinghorn",291,0,0,0,656,0,0,0,312,0,0,66,0,0,25,291,656,403,
"Kirkcaldy Linktown and Seafield",699,0,0,0,873,0,0,0,485,0,0,100,0,0,37,699,873,624,
"Kirkcaldy Central",540,0,0,0,859,0,0,0,328,0,0,59,0,0,25,540,859,412,
"Kirkcaldy Bennochy East",535,0,0,0,852,0,0,0,280,0,0,31,0,0,15,535,852,323,
"Kirkcaldy Bennochy West",318,0,0,0,630,0,0,0,312,0,0,71,0,0,27,318,630,411,
"Kirkcaldy Raith",102,0,0,0,498,0,0,0,409,0,0,90,0,0,40,102,498,543,
"Kirkcaldy Newliston and Redcraigs",274,0,0,0,681,0,0,0,403,0,0,74,0,0,25,274,681,502,
"Kirkcaldy Templehall West",475,0,0,0,660,0,0,0,221,0,0,69,0,0,18,475,660,312,
"Kirkcaldy Templehall East",733,0,0,0,936,0,0,0,381,0,0,72,0,0,29,733,936,479,
"Kirkcaldy Dunnikier",123,0,0,0,654,0,0,0,481,0,0,119,0,0,30,123,654,630,
"Kirkcaldy Chapel",336,0,0,0,783,0,0,0,743,0,0,154,0,0,48,336,783,945,
"Kirkcaldy Hayfield and Smeaton",514,0,0,0,742,0,0,0,305,0,0,62,0,0,25,514,742,393,
"Kirkcaldy Pathhead",441,0,0,0,769,0,0,0,313,0,0,50,0,0,35,441,769,397,
"Kirkcaldy Gallatown and Sinclairtown",990,0,0,0,1021,0,0,0,377,0,0,59,0,0,12,990,1021,450,
"Dysart",570,0,0,0,819,0,0,0,363,0,0,71,0,0,35,570,819,468,
"Wemyss",338,0,0,0,740,0,0,0,494,0,0,96,0,0,32,338,740,619,
"Thornton and Kinglassie",406,0,0,0,985,0,0,0,757,0,0,176,0,0,42,406,985,975,
"Leslie and Newcastle",484,0,0,0,823,0,0,0,471,0,0,118,0,0,58,484,823,647,
"Glenrothes Macedonia and Tanshall",604,0,0,0,922,0,0,0,322,0,0,60,0,0,21,604,922,403,
"Glenrothes South Parks",275,0,0,0,518,0,0,0,210,0,0,46,0,0,16,275,518,272,
"Glenrothes Caskieberran and Rimbleton",463,0,0,0,886,0,0,0,438,0,0,111,0,0,24,463,886,574,
"Glenrothes Auchmuty",549,0,0,0,630,0,0,0,233,0,0,53,0,0,17,549,630,303,
"Glenrothes Stenton and Finglassie",257,0,0,0,560,0,0,0,403,0,0,122,0,0,37,257,560,561,
"Glenrothes Pitteuchar",466,0,0,0,936,0,0,0,515,0,0,157,0,0,45,466,936,717,
"Glenrothes Woodside",274,0,0,0,507,0,0,0,292,0,0,66,0,0,17,274,507,375,
"Glenrothes Balgeddie",87,0,0,0,548,0,0,0,522,0,0,128,0,0,53,87,548,703,
"Glenrothes Collydean",296,0,0,0,453,0,0,0,196,0,0,40,0,0,7,296,453,243,
"Glenrothes Cadham and Pitcoudie",311,0,0,0,519,0,0,0,262,0,0,44,0,0,21,311,519,327,
"Glenrothes Balfarg Pitcairn and Coul",206,0,0,0,485,0,0,0,400,0,0,95,0,0,40,206,485,535,
"Markinch and Star",252,0,0,0,736,0,0,0,696,0,0,156,0,0,52,252,736,907,
"Windygates and Coaltown",222,0,0,0,637,0,0,0,469,0,0,131,0,0,67,222,637,667,
"Buckhaven Denbeath and Muiredge",880,0,0,0,1022,0,0,0,457,0,0,102,0,0,28,880,1022,584,
"Methil Methilhill",567,0,0,0,925,0,0,0,386,0,0,100,0,0,33,567,925,519,
"Methil West",488,0,0,0,543,0,0,0,173,0,0,34,0,0,16,488,543,223,
"Methil East",553,0,0,0,706,0,0,0,276,0,0,64,0,0,19,553,706,362,
"Leven East",582,0,0,0,762,0,0,0,318,0,0,64,0,0,26,582,762,411,
"Leven West",330,0,0,0,797,0,0,0,489,0,0,87,0,0,25,330,797,604,
"Leven North",230,0,0,0,580,0,0,0,377,0,0,87,0,0,27,230,580,491,
"Largo",130,0,0,0,550,0,0,0,361,0,0,103,0,0,38,130,550,502,
"Kennoway and Bonnybank",534,0,0,0,1043,0,0,0,638,0,0,194,0,0,67,534,1043,899,
"Kettle and Ladybank",193,0,0,0,755,0,0,0,648,0,0,194,0,0,71,193,755,913,
"Falkland and Freuchie",115,0,0,0,454,0,0,0,395,0,0,96,0,0,24,115,454,514,
"Auchtermuchty and Gateside",215,0,0,0,723,0,0,0,651,0,0,195,0,0,56,215,723,902,
"Newburgh",233,0,0,0,582,0,0,0,394,0,0,99,0,0,45,233,582,538,
"Cupar West and Springfield",218,0,0,0,690,0,0,0,550,0,0,132,0,0,39,218,690,717,
"Cupar Central",506,0,0,0,713,0,0,0,280,0,0,70,0,0,21,506,713,371,
"Cupar East",319,0,0,0,875,0,0,0,491,0,0,117,0,0,38,319,875,642,
"Dairsie Ceres and Dunino",103,0,0,0,533,0,0,0,491,0,0,137,0,0,34,103,533,661,
"Elie Colinsburgh and Largoward",104,0,0,0,513,0,0,0,404,0,0,103,0,0,45,104,513,550,
"St Monans and Pittenweem",265,0,0,0,709,0,0,0,401,0,0,83,0,0,41,265,709,527,
"Anstruther",346,0,0,0,928,0,0,0,521,0,0,137,0,0,44,346,928,699,
"Crail and Boarhills",208,0,0,0,642,0,0,0,336,0,0,62,0,0,23,208,642,420,
"St Andrews South East",570,0,0,0,762,0,0,0,232,0,0,41,0,0,7,570,762,284,
"St Andrews Central",970,0,0,0,721,0,0,0,168,0,0,46,0,0,8,970,721,224,
"St Andrews South West",358,0,0,0,772,0,0,0,451,0,0,87,0,0,25,358,772,564,
"St Andrews North and Strathkinness",195,0,0,0,490,0,0,0,405,0,0,85,0,0,30,195,490,524,
"Leuchars and Guardbridge",234,0,0,0,757,0,0,0,401,0,0,50,0,0,26,234,757,478,
"Balmullo and Gauldry",115,0,0,0,686,0,0,0,626,0,0,179,0,0,56,115,686,861,
"Tayport",360,0,0,0,865,0,0,0,510,0,0,89,0,0,35,360,865,634,
"Newport and Wormit",250,0,0,0,867,0,0,0,595,0,0,124,0,0,49,250,867,763,
"Darnley East",827,0,0,0,880,0,0,0,375,0,0,86,0,0,28,827,880,488,
"Darnley North",336,0,0,0,627,0,0,0,537,0,0,112,0,0,25,336,627,670,
"Darnley West",264,0,0,0,711,0,0,0,665,0,0,157,0,0,55,264,711,876,
"Nitshill",397,0,0,0,564,0,0,0,282,0,0,29,0,0,2,397,564,313,
"South Nitshill",830,0,0,0,689,0,0,0,230,0,0,40,0,0,8,830,689,278,
"Crookston South",732,0,0,0,652,0,0,0,214,0,0,29,0,0,10,732,652,251,
"Crookston North",498,0,0,0,601,0,0,0,210,0,0,42,0,0,8,498,601,260,
"Pollok South and West",278,0,0,0,991,0,0,0,874,0,0,192,0,0,58,278,991,1127,
"Pollok North and East",994,0,0,0,974,0,0,0,402,0,0,74,0,0,9,994,974,489,
"Cardonald South and East",598,0,0,0,562,0,0,0,156,0,0,31,0,0,3,598,562,189,
"Cardonald North",921,0,0,0,691,0,0,0,253,0,0,51,0,0,9,921,691,311,
"Cardonald West and Central",821,0,0,0,1074,0,0,0,407,0,0,85,0,0,13,821,1074,511,
"Penilee",891,0,0,0,866,0,0,0,381,0,0,54,0,0,20,891,866,455,
"Hillington",603,0,0,0,720,0,0,0,218,0,0,32,0,0,5,603,720,255,
"Drumoyne and Shieldhall",1517,0,0,0,1210,0,0,0,347,0,0,67,0,0,9,1517,1210,425,
"Govan and Linthouse",1942,0,0,0,999,0,0,0,167,0,0,29,0,0,4,1942,999,198,
"Craigton",871,0,0,0,778,0,0,0,181,0,0,21,0,0,8,871,778,209,
"Mosspark",674,0,0,0,1045,0,0,0,434,0,0,73,0,0,17,674,1045,525,
"Ibrox",1070,0,0,0,550,0,0,0,97,0,0,15,0,0,3,1070,550,111,
"Ibrox East and Cessnock",1199,0,0,0,757,0,0,0,128,0,0,10,0,0,3,1199,757,141,
"Kinning Park and Festival Park",953,0,0,0,935,0,0,0,172,0,0,29,0,0,10,953,935,205,
"Kingston West and Dumbreck",875,0,0,0,675,0,0,0,223,0,0,57,0,0,33,875,675,313,
"Pollokshields West",423,0,0,0,716,0,0,0,381,0,0,99,0,0,53,423,716,530,
"Pollokshields East",701,0,0,0,1046,0,0,0,293,0,0,62,0,0,15,701,1046,372,
"Govanhill West",1632,0,0,0,916,0,0,0,157,0,0,31,0,0,7,1632,916,195,
"Govanhill East and Aikenhead",1160,0,0,0,746,0,0,0,198,0,0,31,0,0,7,1160,746,236,
"Battlefield",1006,0,0,0,1287,0,0,0,325,0,0,55,0,0,14,1006,1287,393,
"Strathbungo",1276,0,0,0,1292,0,0,0,250,0,0,26,0,0,7,1276,1292,283,
"Maxwell Park",367,0,0,0,1228,0,0,0,651,0,0,160,0,0,57,367,1228,864,
"Shawlands West",897,0,0,0,1031,0,0,0,219,0,0,24,0,0,3,897,1031,247,
"Shawlands East",843,0,0,0,878,0,0,0,183,0,0,17,0,0,3,843,878,203,
"Langside",727,0,0,0,1320,0,0,0,303,0,0,34,0,0,9,727,1320,346,
"Pollokshaws",1310,0,0,0,1121,0,0,0,259,0,0,21,0,0,4,1310,1121,279,
"Carnwadric West",1004,0,0,0,681,0,0,0,222,0,0,47,0,0,16,1004,681,285,
"Carnwadric East",525,0,0,0,634,0,0,0,198,0,0,34,0,0,6,525,634,238,
"Newlands",581,0,0,0,941,0,0,0,542,0,0,112,0,0,59,581,941,717,
"Merrylee and Millbrae",367,0,0,0,723,0,0,0,351,0,0,68,0,0,22,367,723,434,
"Muirend and Old Cathcart",564,0,0,0,1117,0,0,0,468,0,0,82,0,0,38,564,1117,588,
"Carmunnock North",525,0,0,0,1078,0,0,0,627,0,0,126,0,0,39,525,1078,792,
"Glenwood South",1401,0,0,0,849,0,0,0,258,0,0,39,0,0,10,1401,849,307,
"Glenwood North",986,0,0,0,689,0,0,0,193,0,0,42,0,0,10,986,689,245,
"Castlemilk",1408,0,0,0,1096,0,0,0,240,0,0,46,0,0,14,1408,1096,303,
"Kingspark South",469,0,0,0,812,0,0,0,291,0,0,50,0,0,19,469,812,360,
"Kingspark North",397,0,0,0,803,0,0,0,385,0,0,51,0,0,17,397,803,453,
"Cathcart",1230,0,0,0,1518,0,0,0,415,0,0,43,0,0,12,1230,1518,470,
"Mount Florida",937,0,0,0,984,0,0,0,285,0,0,34,0,0,9,937,984,328,
"Toryglen and Oatlands",766,0,0,0,625,0,0,0,200,0,0,39,0,0,5,766,625,244,
"Polmadie and Toryglen",713,0,0,0,889,0,0,0,266,0,0,29,0,0,5,713,889,300,
"Gorbals and Hutchesontown",1787,0,0,0,1135,0,0,0,212,0,0,30,0,0,3,1787,1135,242,
"Laurieston and Tradeston",1491,0,0,0,1238,0,0,0,187,0,0,25,0,0,10,1491,1238,223,
"Calton and Gallowgate",1481,0,0,0,859,0,0,0,139,0,0,19,0,0,4,1481,859,160,
"Bridgeton",1126,0,0,0,725,0,0,0,129,0,0,6,0,0,3,1126,725,138,
"Dalmarnock",1030,0,0,0,797,0,0,0,212,0,0,28,0,0,7,1030,797,247,
"Parkhead West and Barrowfield",1238,0,0,0,653,0,0,0,107,0,0,16,0,0,5,1238,653,126,
"Barrowfield Central",953,0,0,0,569,0,0,0,141,0,0,19,0,0,4,953,569,164,
"Parkhead East and Braidfauld North",954,0,0,0,617,0,0,0,154,0,0,23,0,0,4,954,617,183,
"Braidfauld",831,0,0,0,680,0,0,0,206,0,0,31,0,0,7,831,680,246,
"Braidfauld West",636,0,0,0,547,0,0,0,210,0,0,16,0,0,6,636,547,231,
"Shettleston South",393,0,0,0,719,0,0,0,387,0,0,90,0,0,22,393,719,498,
"Carmyle and Mount Vernon South",347,0,0,0,513,0,0,0,208,0,0,52,0,0,12,347,513,273,
"Mount Vernon North and Sandyhills",218,0,0,0,740,0,0,0,441,0,0,121,0,0,32,218,740,594,
"Baillieston West",532,0,0,0,727,0,0,0,295,0,0,57,0,0,12,532,727,368,
"Baillieston East",459,0,0,0,790,0,0,0,384,0,0,91,0,0,23,459,790,498,
"Baillieston South",96,0,0,0,471,0,0,0,635,0,0,117,0,0,37,96,471,789,
"Garrowhill West",274,0,0,0,773,0,0,0,478,0,0,120,0,0,16,274,773,614,
"Garrowhill East and Swinton",230,0,0,0,805,0,0,0,517,0,0,126,0,0,29,230,805,672,
"Easterhouse East",619,0,0,0,570,0,0,0,271,0,0,44,0,0,10,619,570,325,
"Central Easterhouse",768,0,0,0,419,0,0,0,88,0,0,13,0,0,3,768,419,110,
"Garthamlock, Auchinlea and Gartloch",653,0,0,0,660,0,0,0,344,0,0,73,0,0,17,653,660,434,
"North Barlanark and Easterhouse South",801,0,0,0,520,0,0,0,129,0,0,21,0,0,10,801,520,160,
"Barlanark",1069,0,0,0,911,0,0,0,322,0,0,63,0,0,14,1069,911,399,
"Greenfield",1101,0,0,0,962,0,0,0,299,0,0,64,0,0,20,1101,962,383,
"Shettleston North",1430,0,0,0,839,0,0,0,220,0,0,36,0,0,5,1430,839,262,
"Tollcross",967,0,0,0,761,0,0,0,159,0,0,32,0,0,7,967,761,196,
"Old Shettleston and Parkhead North",1084,0,0,0,975,0,0,0,341,0,0,39,0,0,9,1084,975,389,
"Carntyne",811,0,0,0,717,0,0,0,185,0,0,27,0,0,8,811,717,220,
"Cranhill, Lightburn and Queenslie South",1302,0,0,0,1068,0,0,0,324,0,0,64,0,0,14,1302,1068,402,
"Craigend and Ruchazie",1173,0,0,0,957,0,0,0,316,0,0,52,0,0,8,1173,957,377,
"Riddrie and Hogganfield",1064,0,0,0,905,0,0,0,288,0,0,56,0,0,11,1064,905,355,
"Blackhill and Barmulloch East",896,0,0,0,814,0,0,0,310,0,0,36,0,0,11,896,814,353,
"Robroyston and Millerston",62,0,0,0,489,0,0,0,533,0,0,121,0,0,45,62,489,699,
"Robroyston South",165,0,0,0,708,0,0,0,503,0,0,81,0,0,19,165,708,603,
"Balornock",786,0,0,0,781,0,0,0,280,0,0,41,0,0,12,786,781,333,
"Barmulloch",590,0,0,0,397,0,0,0,159,0,0,32,0,0,5,590,397,199,
"Petershill",1006,0,0,0,671,0,0,0,173,0,0,35,0,0,6,1006,671,216,
"Springburn",1053,0,0,0,669,0,0,0,171,0,0,24,0,0,2,1053,669,192,
"Springburn East and Cowlairs",1144,0,0,0,701,0,0,0,155,0,0,34,0,0,11,1144,701,200,
"Cowlairs and Port Dundas",1079,0,0,0,668,0,0,0,134,0,0,10,0,0,6,1079,668,150,
"Roystonhill, Blochairn, and Provanmill",1740,0,0,0,1078,0,0,0,233,0,0,35,0,0,7,1740,1078,275,
"Dennistoun North",873,0,0,0,956,0,0,0,232,0,0,26,0,0,5,873,956,263,
"Alexandra Parade",790,0,0,0,550,0,0,0,90,0,0,8,0,0,2,790,550,100,
"Carntyne West and Haghill",1296,0,0,0,711,0,0,0,135,0,0,10,0,0,2,1296,711,145,
"Dennistoun",1006,0,0,0,969,0,0,0,199,0,0,31,0,0,0,1006,969,227,
"Gallowgate North and Bellgrove",1572,0,0,0,756,0,0,0,133,0,0,5,0,0,1,1572,756,143,
"City Centre East",2721,0,0,0,959,0,0,0,99,0,0,19,0,0,6,2721,959,123,
"City Centre West",1821,0,0,0,694,0,0,0,101,0,0,11,0,0,3,1821,694,118,
"City Centre South",1345,0,0,0,571,0,0,0,58,0,0,12,0,0,1,1345,571,71,
"Anderston",1284,0,0,0,1037,0,0,0,165,0,0,15,0,0,1,1284,1037,181,
"Finnieston and Kelvinhaugh",788,0,0,0,739,0,0,0,169,0,0,20,0,0,5,788,739,194,
"Yorkhill",981,0,0,0,671,0,0,0,126,0,0,10,0,0,0,981,671,136,
"Woodlands",599,0,0,0,710,0,0,0,225,0,0,30,0,0,6,599,710,259,
"Kelvinbridge South",750,0,0,0,616,0,0,0,142,0,0,15,0,0,5,750,616,161,
"Woodside",1102,0,0,0,559,0,0,0,90,0,0,15,0,0,2,1102,559,107,
"Firhill",1724,0,0,0,1213,0,0,0,257,0,0,25,0,0,4,1724,1213,286,
"Keppochhill",1346,0,0,0,700,0,0,0,141,0,0,23,0,0,8,1346,700,170,
"Ruchill",868,0,0,0,894,0,0,0,190,0,0,14,0,0,5,868,894,209,
"Ruchill Park",918,0,0,0,629,0,0,0,152,0,0,26,0,0,4,918,629,182,
"Possil Park",1511,0,0,0,1134,0,0,0,306,0,0,45,0,0,9,1511,1134,360,
"Milton West",987,0,0,0,831,0,0,0,231,0,0,48,0,0,13,987,831,292,
"Milton East",774,0,0,0,549,0,0,0,158,0,0,33,0,0,7,774,549,200,
"Summerston Central and West",669,0,0,0,764,0,0,0,364,0,0,98,0,0,35,669,764,497,
"Summerston North",770,0,0,0,676,0,0,0,241,0,0,36,0,0,13,770,676,290,
"Maryhill East",912,0,0,0,618,0,0,0,147,0,0,21,0,0,6,912,618,174,
"Maryhill West",691,0,0,0,572,0,0,0,159,0,0,26,0,0,2,691,572,188,
"Wyndford",1526,0,0,0,681,0,0,0,95,0,0,5,0,0,6,1526,681,106,
"Kelvindale",544,0,0,0,1446,0,0,0,555,0,0,103,0,0,21,544,1446,679,
"North Kelvin",635,0,0,0,1016,0,0,0,279,0,0,31,0,0,8,635,1016,318,
"Kelvingrove and University",1257,0,0,0,1176,0,0,0,284,0,0,41,0,0,16,1257,1176,338,
"Hillhead",1861,0,0,0,1226,0,0,0,226,0,0,22,0,0,4,1861,1226,252,
"Glasgow Harbour and Partick South",1442,0,0,0,1246,0,0,0,263,0,0,27,0,0,7,1442,1246,299,
"Partick",1304,0,0,0,933,0,0,0,160,0,0,19,0,0,4,1304,933,183,
"Partickhill and Hyndland",1012,0,0,0,1534,0,0,0,434,0,0,56,0,0,10,1012,1534,500,
"Dowanhill",755,0,0,0,1206,0,0,0,403,0,0,63,0,0,17,755,1206,485,
"Kelvinside and Jordanhill",460,0,0,0,1281,0,0,0,652,0,0,100,0,0,31,460,1281,783,
"Broomhill",677,0,0,0,1174,0,0,0,372,0,0,42,0,0,11,677,1174,425,
"Victoria Park",777,0,0,0,885,0,0,0,356,0,0,55,0,0,18,777,885,429,
"Scotstoun North and East",607,0,0,0,843,0,0,0,377,0,0,47,0,0,13,607,843,435,
"Scotstoun South and West",1396,0,0,0,890,0,0,0,167,0,0,13,0,0,7,1396,890,188,
"Yoker South",1124,0,0,0,997,0,0,0,236,0,0,46,0,0,12,1124,997,295,
"Yoker North",336,0,0,0,493,0,0,0,243,0,0,54,0,0,15,336,493,308,
"Knightswood West",455,0,0,0,493,0,0,0,173,0,0,47,0,0,15,455,493,232,
"Knightswood East",920,0,0,0,921,0,0,0,294,0,0,47,0,0,20,920,921,361,
"Knightswood Park West",783,0,0,0,645,0,0,0,199,0,0,31,0,0,15,783,645,245,
"Knightswood Park East",608,0,0,0,725,0,0,0,276,0,0,49,0,0,14,608,725,339,
"Anniesland East",724,0,0,0,1037,0,0,0,308,0,0,52,0,0,11,724,1037,371,
"Anniesland West",1128,0,0,0,1675,0,0,0,454,0,0,65,0,0,20,1128,1675,535,
"Blairdardie East",1084,0,0,0,1179,0,0,0,372,0,0,64,0,0,12,1084,1179,448,
"Blairdardie West",241,0,0,0,539,0,0,0,350,0,0,47,0,0,25,241,539,420,
"Drumchapel South",526,0,0,0,381,0,0,0,114,0,0,18,0,0,8,526,381,140,
"Drumchapel North",879,0,0,0,531,0,0,0,140,0,0,29,0,0,0,879,531,172,
"Drumry East",808,0,0,0,555,0,0,0,141,0,0,21,0,0,5,808,555,164,
"Drumry West",638,0,0,0,549,0,0,0,236,0,0,57,0,0,12,638,549,305,
"Lochaber West",287,0,0,0,1027,0,0,0,723,0,0,193,0,0,57,287,1027,975,
"Fort William North",446,0,0,0,954,0,0,0,494,0,0,134,0,0,37,446,954,668,
"Fort William South",775,0,0,0,1254,0,0,0,563,0,0,118,0,0,45,775,1254,720,
"Lochaber East and North",289,0,0,0,1053,0,0,0,739,0,0,195,0,0,74,289,1053,1007,
"Badenoch and Strathspey South",208,0,0,0,783,0,0,0,512,0,0,135,0,0,44,208,783,691,
"Badenoch and Strathspey Central",346,0,0,0,1044,0,0,0,688,0,0,142,0,0,48,346,1044,877,
"Badenoch and Strathspey North",225,0,0,0,922,0,0,0,655,0,0,189,0,0,80,225,922,924,
"Nairn Rural",135,0,0,0,973,0,0,0,828,0,0,225,0,0,86,135,973,1139,
"Nairn East",540,0,0,0,857,0,0,0,352,0,0,83,0,0,25,540,857,455,
"Nairn West",400,0,0,0,945,0,0,0,494,0,0,116,0,0,39,400,945,653,
"Inverness East Rural",185,0,0,0,959,0,0,0,923,0,0,280,0,0,105,185,959,1304,
"Inverness Culloden and Balloch",264,0,0,0,862,0,0,0,533,0,0,98,0,0,28,264,862,657,
"Inverness Smithton",314,0,0,0,744,0,0,0,303,0,0,79,0,0,26,314,744,408,
"Inverness Westhill",299,0,0,0,1316,0,0,0,922,0,0,171,0,0,52,299,1316,1146,
"Inverness Inshes",241,0,0,0,1247,0,0,0,925,0,0,150,0,0,55,241,1247,1130,
"Inverness Slackbuie",142,0,0,0,717,0,0,0,617,0,0,111,0,0,30,142,717,757,
"Inverness Lochardil and Holm Mains",334,0,0,0,1375,0,0,0,847,0,0,181,0,0,44,334,1375,1072,
"Inverness Drummond",410,0,0,0,723,0,0,0,380,0,0,74,0,0,25,410,723,479,
"Inverness Hilton",548,0,0,0,886,0,0,0,316,0,0,52,0,0,18,548,886,386,
"Inverness Drakies",109,0,0,0,529,0,0,0,306,0,0,53,0,0,21,109,529,380,
"Inverness Central, Raigmore and Longman",888,0,0,0,980,0,0,0,305,0,0,35,0,0,14,888,980,353,
"Inverness Crown and Haugh",544,0,0,0,994,0,0,0,430,0,0,61,0,0,39,544,994,531,
"Inverness Ballifeary and Dalneigh",814,0,0,0,914,0,0,0,337,0,0,66,0,0,11,814,914,416,
"Inverness Muirtown",898,0,0,0,971,0,0,0,285,0,0,42,0,0,22,898,971,349,
"Inverness Merkinch",1015,0,0,0,638,0,0,0,163,0,0,26,0,0,2,1015,638,191,
"Inverness Scorguie",277,0,0,0,790,0,0,0,362,0,0,75,0,0,17,277,790,454,
"Inverness Kinmylies and South West",367,0,0,0,908,0,0,0,484,0,0,103,0,0,17,367,908,604,
"Inverness West Rural",223,0,0,0,725,0,0,0,539,0,0,125,0,0,64,223,725,727,
"Inverness West Strathglass",84,0,0,0,566,0,0,0,505,0,0,170,0,0,70,84,566,745,
"Loch Ness",225,0,0,0,957,0,0,0,721,0,0,195,0,0,84,225,957,1000,
"Lochalsh",167,0,0,0,680,0,0,0,399,0,0,86,0,0,34,167,680,521,
"Skye South",229,0,0,0,854,0,0,0,559,0,0,128,0,0,52,229,854,739,
"Skye North East",407,0,0,0,797,0,0,0,437,0,0,100,0,0,30,407,797,567,
"Skye North West",134,0,0,0,770,0,0,0,542,0,0,163,0,0,54,134,770,759,
"Ross and Cromarty South West",167,0,0,0,774,0,0,0,468,0,0,106,0,0,45,167,774,619,
"Ross and Cromarty North West",222,0,0,0,741,0,0,0,456,0,0,103,0,0,35,222,741,600,
"Ross and Cromarty Central",125,0,0,0,644,0,0,0,520,0,0,176,0,0,77,125,644,777,
"Ross and Cromarty East",103,0,0,0,536,0,0,0,510,0,0,155,0,0,51,103,536,716,
"Muir of Ord",191,0,0,0,709,0,0,0,543,0,0,136,0,0,47,191,709,726,
"Conon",216,0,0,0,760,0,0,0,569,0,0,150,0,0,68,216,760,787,
"Dingwall",585,0,0,0,1189,0,0,0,562,0,0,144,0,0,60,585,1189,763,
"Black Isle South",124,0,0,0,566,0,0,0,468,0,0,118,0,0,45,124,566,631,
