SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Number of cars or vans and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Intermediate Zone (2022)",
"Howe of Alford",223,0,0,0,1023,0,0,0,1068,0,0,297,0,0,132,223,1023,1494,
"Kemnay",234,0,0,0,766,0,0,0,532,0,0,122,0,0,42,234,766,699,
"Inverurie North",434,0,0,0,1215,0,0,0,719,0,0,147,0,0,39,434,1215,905,
"Inverurie South",745,0,0,0,1255,0,0,0,554,0,0,118,0,0,39,745,1255,711,
"Inverurie - Harlaw",90,0,0,0,706,0,0,0,968,0,0,141,0,0,52,90,706,1157,
"Durno and Chapel of Garioch",42,0,0,0,333,0,0,0,488,0,0,183,0,0,86,42,333,757,
"Kintore",172,0,0,0,873,0,0,0,1034,0,0,240,0,0,102,172,873,1376,
"Blackburn",84,0,0,0,409,0,0,0,584,0,0,149,0,0,52,84,409,785,
"Westhill North and South",79,0,0,0,594,0,0,0,814,0,0,189,0,0,74,79,594,1077,
"Westhill Central",184,0,0,0,840,0,0,0,606,0,0,117,0,0,33,184,840,759,
"Garlogie and Elrick",110,0,0,0,655,0,0,0,682,0,0,131,0,0,46,110,655,859,
"Newmachar and Fintray",143,0,0,0,707,0,0,0,936,0,0,238,0,0,81,143,707,1256,
"Balmedie and Potterton",112,0,0,0,751,0,0,0,824,0,0,192,0,0,93,112,751,1109,
"Ellon East",313,0,0,0,1219,0,0,0,949,0,0,215,0,0,48,313,1219,1210,
"Ellon West",287,0,0,0,790,0,0,0,601,0,0,135,0,0,30,287,790,766,
"Ythanside",73,0,0,0,671,0,0,0,820,0,0,266,0,0,113,73,671,1199,
"Ythsie",182,0,0,0,863,0,0,0,994,0,0,268,0,0,114,182,863,1377,
"Barrahill",164,0,0,0,684,0,0,0,859,0,0,225,0,0,97,164,684,1181,
"Fyvie-Rothie",101,0,0,0,552,0,0,0,671,0,0,224,0,0,109,101,552,1005,
"Insch, Oyne and Ythanwells",178,0,0,0,726,0,0,0,658,0,0,178,0,0,78,178,726,914,
"Clashindarroch",114,0,0,0,683,0,0,0,783,0,0,253,0,0,148,114,683,1184,
"Huntly",629,0,0,0,1008,0,0,0,409,0,0,91,0,0,31,629,1008,530,
"Auchterless and Monquhitter",32,0,0,0,329,0,0,0,479,0,0,182,0,0,88,32,329,749,
"Turriff",476,0,0,0,993,0,0,0,499,0,0,127,0,0,55,476,993,681,
"Portsoy, Fordyce and Cornhill",234,0,0,0,658,0,0,0,459,0,0,118,0,0,53,234,658,632,
"Aberchirder and Whitehills",205,0,0,0,815,0,0,0,559,0,0,166,0,0,69,205,815,794,
"Banff",517,0,0,0,920,0,0,0,419,0,0,111,0,0,25,517,920,555,
"Macduff",401,0,0,0,817,0,0,0,432,0,0,122,0,0,49,401,817,603,
"Gardenstown and King Edward",90,0,0,0,534,0,0,0,514,0,0,155,0,0,83,90,534,749,
"New Pitsligo",130,0,0,0,515,0,0,0,442,0,0,142,0,0,64,130,515,648,
"Deer and Mormond",208,0,0,0,822,0,0,0,769,0,0,221,0,0,115,208,822,1103,
"Mintlaw",250,0,0,0,575,0,0,0,449,0,0,77,0,0,41,250,575,569,
"Auchnagatt",75,0,0,0,383,0,0,0,550,0,0,171,0,0,93,75,383,814,
"Cruden",263,0,0,0,926,0,0,0,691,0,0,185,0,0,70,263,926,947,
"Peterhead Links",341,0,0,0,917,0,0,0,477,0,0,96,0,0,28,341,917,601,
"Peterhead Bay",386,0,0,0,553,0,0,0,234,0,0,55,0,0,10,386,553,297,
"Peterhead Harbour",1404,0,0,0,1341,0,0,0,425,0,0,79,0,0,18,1404,1341,518,
"Peterhead Ugieside",274,0,0,0,897,0,0,0,523,0,0,133,0,0,25,274,897,681,
"Longside and Rattray South",89,0,0,0,608,0,0,0,752,0,0,187,0,0,51,89,608,990,
"Longside and Rattray North",124,0,0,0,595,0,0,0,527,0,0,192,0,0,94,124,595,808,
"Rosehearty, Sandhaven and Tyrie",196,0,0,0,552,0,0,0,456,0,0,126,0,0,40,196,552,619,
"Cairnbulg/Inverallochy and Memsie",167,0,0,0,575,0,0,0,515,0,0,153,0,0,65,167,575,733,
"Fraserburgh Smiddyhill",194,0,0,0,755,0,0,0,540,0,0,158,0,0,45,194,755,739,
"Fraserburgh Lochpots",320,0,0,0,551,0,0,0,192,0,0,35,0,0,8,320,551,237,
"Fraserburgh Central-Academy",430,0,0,0,624,0,0,0,229,0,0,47,0,0,15,430,624,291,
"Fraserburgh Harbour and Broadsea",740,0,0,0,766,0,0,0,205,0,0,41,0,0,13,740,766,257,
"South Angus",181,0,0,0,870,0,0,0,870,0,0,266,0,0,100,181,870,1233,
"Monikie and Wellbank",75,0,0,0,469,0,0,0,680,0,0,190,0,0,95,75,469,961,
"Barry and Panbride",65,0,0,0,511,0,0,0,497,0,0,110,0,0,34,65,511,641,
"Monifieth West",177,0,0,0,650,0,0,0,372,0,0,80,0,0,31,177,650,483,
"Monifieth East",458,0,0,0,1166,0,0,0,603,0,0,131,0,0,54,458,1166,788,
"Carnoustie West",550,0,0,0,1220,0,0,0,622,0,0,149,0,0,52,550,1220,823,
"Carnoustie East",327,0,0,0,1122,0,0,0,717,0,0,165,0,0,63,327,1122,945,
"Arbroath Landward",101,0,0,0,564,0,0,0,451,0,0,142,0,0,51,101,564,640,
"Arbroath Kirkton",487,0,0,0,1081,0,0,0,604,0,0,169,0,0,53,487,1081,826,
"Arbroath Keptie",385,0,0,0,844,0,0,0,391,0,0,88,0,0,27,385,844,506,
"Arbroath Harbour",1166,0,0,0,1132,0,0,0,278,0,0,36,0,0,13,1166,1132,331,
"Arbroath Cliffburn",555,0,0,0,1087,0,0,0,498,0,0,96,0,0,30,555,1087,623,
"Arbroath Warddykes",695,0,0,0,935,0,0,0,378,0,0,63,0,0,30,695,935,471,
"Lunan",192,0,0,0,589,0,0,0,439,0,0,82,0,0,37,192,589,556,
"Montrose South",1107,0,0,0,1291,0,0,0,401,0,0,48,0,0,23,1107,1291,466,
"Montrose North",556,0,0,0,1024,0,0,0,474,0,0,104,0,0,40,556,1024,622,
"Hillside",129,0,0,0,718,0,0,0,502,0,0,170,0,0,44,129,718,716,
"Friockheim",111,0,0,0,547,0,0,0,605,0,0,177,0,0,86,111,547,866,
"Brechin East",513,0,0,0,734,0,0,0,336,0,0,77,0,0,24,513,734,440,
"Brechin West",373,0,0,0,900,0,0,0,490,0,0,105,0,0,28,373,900,621,
"Letham and Glamis",203,0,0,0,1005,0,0,0,1001,0,0,305,0,0,108,203,1005,1414,
"Forfar East",329,0,0,0,1020,0,0,0,567,0,0,122,0,0,56,329,1020,745,
"Forfar Central",770,0,0,0,1038,0,0,0,366,0,0,70,0,0,29,770,1038,469,
"Forfar West",544,0,0,0,1152,0,0,0,473,0,0,100,0,0,29,544,1152,602,
"Kirriemuir Landward",82,0,0,0,526,0,0,0,463,0,0,130,0,0,46,82,526,641,
"Kirriemuir",619,0,0,0,1272,0,0,0,770,0,0,175,0,0,73,619,1272,1018,
"Angus Glens",107,0,0,0,625,0,0,0,546,0,0,216,0,0,92,107,625,854,
"Mull, Iona, Coll and Tiree",228,0,0,0,929,0,0,0,616,0,0,132,0,0,62,228,929,807,
"Oban South",771,0,0,0,1246,0,0,0,558,0,0,114,0,0,37,771,1246,709,
"Oban North",393,0,0,0,641,0,0,0,281,0,0,38,0,0,12,393,641,331,
"Benderloch Trail",100,0,0,0,455,0,0,0,419,0,0,105,0,0,51,100,455,576,
"Glen Lonan",171,0,0,0,672,0,0,0,503,0,0,133,0,0,47,171,672,683,
"Loch Awe",100,0,0,0,537,0,0,0,379,0,0,89,0,0,43,100,537,511,
"Mid Argyll",150,0,0,0,674,0,0,0,499,0,0,119,0,0,42,150,674,663,
"Greater Lochgilphead",420,0,0,0,929,0,0,0,422,0,0,107,0,0,22,420,929,549,
"Knapdale",203,0,0,0,574,0,0,0,414,0,0,84,0,0,42,203,574,540,
"Whisky Isles",288,0,0,0,785,0,0,0,496,0,0,128,0,0,52,288,785,679,
"Kintyre Trail",173,0,0,0,623,0,0,0,520,0,0,105,0,0,38,173,623,667,
"Campbeltown",800,0,0,0,1033,0,0,0,368,0,0,95,0,0,34,800,1033,493,
"Bute",260,0,0,0,677,0,0,0,316,0,0,64,0,0,31,260,677,411,
"Rothesay Town",909,0,0,0,795,0,0,0,207,0,0,41,0,0,15,909,795,263,
"Cowal South",290,0,0,0,1367,0,0,0,758,0,0,150,0,0,76,290,1367,984,
"Hunter's Quay",589,0,0,0,1250,0,0,0,520,0,0,117,0,0,33,589,1250,666,
"Dunoon",709,0,0,0,1005,0,0,0,426,0,0,82,0,0,24,709,1005,536,
"Garelochhead",289,0,0,0,863,0,0,0,572,0,0,156,0,0,44,289,863,772,
"Helensburgh West and Rhu",233,0,0,0,918,0,0,0,669,0,0,150,0,0,52,233,918,871,
"Helensburgh North",184,0,0,0,711,0,0,0,596,0,0,138,0,0,45,184,711,782,
"Helensburgh Centre",635,0,0,0,869,0,0,0,260,0,0,67,0,0,21,635,869,348,
"Helensburgh East",433,0,0,0,853,0,0,0,462,0,0,116,0,0,26,433,853,604,
"Lomond Shore",179,0,0,0,710,0,0,0,624,0,0,148,0,0,60,179,710,832,
"Balerno",315,0,0,0,997,0,0,0,846,0,0,194,0,0,67,315,997,1106,
"Currie West",255,0,0,0,854,0,0,0,519,0,0,94,0,0,28,255,854,639,
"Currie East",215,0,0,0,675,0,0,0,451,0,0,75,0,0,31,215,675,557,
"Baberton and Juniper Green",284,0,0,0,890,0,0,0,471,0,0,83,0,0,28,284,890,582,
"Bonaly and The Pentlands",164,0,0,0,858,0,0,0,688,0,0,129,0,0,40,164,858,857,
"Colinton and Kingsknowe",267,0,0,0,739,0,0,0,513,0,0,85,0,0,20,267,739,618,
"Clovenstone and Wester Hailes South",702,0,0,0,552,0,0,0,162,0,0,27,0,0,6,702,552,195,
"The Calders",1161,0,0,0,746,0,0,0,158,0,0,30,0,0,9,1161,746,197,
"Murrayburn and Wester Hailes North",1138,0,0,0,543,0,0,0,106,0,0,22,0,0,1,1138,543,128,
"Parkhead and Sighthill",488,0,0,0,663,0,0,0,176,0,0,26,0,0,10,488,663,211,
"Broomhouse and Bankhead",684,0,0,0,660,0,0,0,252,0,0,40,0,0,4,684,660,296,
"Stenhouse and Saughton Mains",1662,0,0,0,1181,0,0,0,219,0,0,33,0,0,12,1662,1181,262,
"Longstone",601,0,0,0,872,0,0,0,314,0,0,46,0,0,21,601,872,381,
"Slateford and Chesser",1226,0,0,0,1241,0,0,0,253,0,0,30,0,0,6,1226,1241,292,
"Gorgie West",1873,0,0,0,1098,0,0,0,158,0,0,18,0,0,3,1873,1098,182,
"Gorgie East",1425,0,0,0,681,0,0,0,66,0,0,9,0,0,2,1425,681,81,
"Shandon",1043,0,0,0,1324,0,0,0,251,0,0,20,0,0,6,1043,1324,275,
"Craiglockhart",314,0,0,0,1044,0,0,0,581,0,0,96,0,0,22,314,1044,700,
"Morningside West and Craighouse",783,0,0,0,1027,0,0,0,336,0,0,35,0,0,6,783,1027,377,
"Greenbank and The Braids",211,0,0,0,913,0,0,0,571,0,0,88,0,0,23,211,913,682,
"Colinton Mains and Firrhill",783,0,0,0,908,0,0,0,219,0,0,28,0,0,15,783,908,262,
"Oxgangs",612,0,0,0,569,0,0,0,146,0,0,29,0,0,7,612,569,179,
"Comiston and Swanston",275,0,0,0,1064,0,0,0,724,0,0,120,0,0,26,275,1064,870,
"Fairmilehead",144,0,0,0,970,0,0,0,816,0,0,115,0,0,28,144,970,955,
"Gilmerton South and the Murrays",346,0,0,0,871,0,0,0,517,0,0,81,0,0,25,346,871,623,
"Burdiehouse South and Broomhills",201,0,0,0,744,0,0,0,383,0,0,53,0,0,10,201,744,446,
"Mortonhall and Anwickhill",234,0,0,0,675,0,0,0,251,0,0,49,0,0,11,234,675,311,
"Gracemount, Southhouse and Burdiehouse",1028,0,0,0,1096,0,0,0,322,0,0,81,0,0,13,1028,1096,413,
"Hyvots and Gilmerton",692,0,0,0,770,0,0,0,251,0,0,45,0,0,15,692,770,311,
"Fernieside and Moredun South",587,0,0,0,808,0,0,0,245,0,0,48,0,0,16,587,808,309,
"Moredun and Craigour",680,0,0,0,566,0,0,0,158,0,0,29,0,0,7,680,566,194,
"Liberton East",210,0,0,0,704,0,0,0,323,0,0,45,0,0,16,210,704,384,
"Liberton West",277,0,0,0,793,0,0,0,380,0,0,50,0,0,4,277,793,434,
"The Inch",998,0,0,0,1031,0,0,0,238,0,0,45,0,0,15,998,1031,298,
"Blackford, West Mains and Mayfield Road",754,0,0,0,1442,0,0,0,488,0,0,86,0,0,24,754,1442,601,
"Prestonfield",786,0,0,0,716,0,0,0,180,0,0,25,0,0,8,786,716,213,
"Newington and Dalkeith Road",864,0,0,0,723,0,0,0,213,0,0,26,0,0,13,864,723,252,
"The Grange",755,0,0,0,1260,0,0,0,441,0,0,68,0,0,12,755,1260,528,
"Marchmont East and Sciennes",1024,0,0,0,800,0,0,0,163,0,0,26,0,0,4,1024,800,193,
"Marchmont West",716,0,0,0,864,0,0,0,226,0,0,19,0,0,8,716,864,254,
"Morningside East",720,0,0,0,1215,0,0,0,413,0,0,60,0,0,16,720,1215,489,
"Merchiston and Greenhill",632,0,0,0,1115,0,0,0,363,0,0,61,0,0,18,632,1115,442,
"Bruntsfield",1186,0,0,0,1207,0,0,0,228,0,0,21,0,0,11,1186,1207,259,
"Polwarth",1403,0,0,0,976,0,0,0,164,0,0,11,0,0,3,1403,976,174,
"Dalry",1228,0,0,0,550,0,0,0,75,0,0,8,0,0,0,1228,550,83,
"Fountainbridge",1513,0,0,0,646,0,0,0,70,0,0,6,0,0,0,1513,646,76,
"Tollcross",1995,0,0,0,873,0,0,0,133,0,0,25,0,0,9,1995,873,167,
"Southside",913,0,0,0,414,0,0,0,66,0,0,12,0,0,2,913,414,80,
"Meadows",1333,0,0,0,520,0,0,0,74,0,0,12,0,0,0,1333,520,86,
"Old Town, Princes Street and Leith Street",1769,0,0,0,549,0,0,0,87,0,0,10,0,0,3,1769,549,97,
"Canongate, St. Leonards and Dumbiedykes",2089,0,0,0,733,0,0,0,101,0,0,3,0,0,10,2089,733,114,
"Abbeyhill",925,0,0,0,524,0,0,0,78,0,0,6,0,0,2,925,524,86,
"Meadowbank and Abbeyhill North",1580,0,0,0,1182,0,0,0,193,0,0,17,0,0,6,1580,1182,215,
"Willowbrae and Duddingston Village",787,0,0,0,1263,0,0,0,382,0,0,59,0,0,13,787,1263,454,
"Greendykes",413,0,0,0,823,0,0,0,288,0,0,31,0,0,6,413,823,325,
"Craigmillar",872,0,0,0,757,0,0,0,191,0,0,19,0,0,3,872,757,215,
"Niddrie",1052,0,0,0,765,0,0,0,195,0,0,56,0,0,10,1052,765,258,
"Bingham, Magdalene and The Christians",828,0,0,0,654,0,0,0,162,0,0,31,0,0,17,828,654,212,
"Jewel, Brunstane and Newcraighall",385,0,0,0,1119,0,0,0,505,0,0,75,0,0,23,385,1119,603,
"Joppa",505,0,0,0,1165,0,0,0,482,0,0,79,0,0,23,505,1165,584,
"Portobello",908,0,0,0,1174,0,0,0,237,0,0,36,0,0,12,908,1174,282,
"Duddingston and Durhams",258,0,0,0,790,0,0,0,431,0,0,87,0,0,35,258,790,551,
"Mountcastle",320,0,0,0,594,0,0,0,195,0,0,56,0,0,10,320,594,260,
"Northfield and Piershill",718,0,0,0,807,0,0,0,165,0,0,27,0,0,4,718,807,196,
"Craigentinny",253,0,0,0,597,0,0,0,300,0,0,57,0,0,24,253,597,381,
"Restalrig (Loganlea) and Craigentinny West",966,0,0,0,712,0,0,0,152,0,0,19,0,0,3,966,712,179,
"Restalrig and Lochend",1091,0,0,0,801,0,0,0,167,0,0,21,0,0,6,1091,801,194,
"Leith (Hermitage and Prospect Bank)",636,0,0,0,1093,0,0,0,313,0,0,41,0,0,11,636,1093,366,
"Western Harbour and Leith Docks",948,0,0,0,1466,0,0,0,317,0,0,32,0,0,8,948,1466,358,
"North Leith and Newhaven",1439,0,0,0,1147,0,0,0,193,0,0,14,0,0,6,1439,1147,213,
"The Shore and Constitution Street",1307,0,0,0,1340,0,0,0,237,0,0,20,0,0,7,1307,1340,264,
"Great Junction Street",1286,0,0,0,777,0,0,0,103,0,0,8,0,0,0,1286,777,110,
"South Leith",1685,0,0,0,1033,0,0,0,157,0,0,16,0,0,9,1685,1033,178,
"Easter Road and Hawkhill Avenue",1181,0,0,0,729,0,0,0,127,0,0,10,0,0,2,1181,729,139,
"Leith (Albert Street)",1116,0,0,0,544,0,0,0,72,0,0,8,0,0,2,1116,544,81,
"Hillside and Calton Hill",1552,0,0,0,1151,0,0,0,190,0,0,35,0,0,8,1552,1151,235,
"Pilrig",1391,0,0,0,963,0,0,0,144,0,0,19,0,0,7,1391,963,170,
"Bonnington",943,0,0,0,964,0,0,0,178,0,0,17,0,0,8,943,964,203,
"Trinity East and The Dudleys",339,0,0,0,924,0,0,0,279,0,0,41,0,0,12,339,924,331,
"Trinity West and Wardie",551,0,0,0,1111,0,0,0,425,0,0,49,0,0,12,551,1111,491,
"Inverleith, Goldenacre and Warriston",444,0,0,0,865,0,0,0,258,0,0,44,0,0,12,444,865,314,
"Broughton North and Powderhall",1205,0,0,0,1064,0,0,0,191,0,0,10,0,0,3,1205,1064,205,
"Broughton South",1005,0,0,0,1086,0,0,0,204,0,0,17,0,0,4,1005,1086,223,
"New Town East and Gayfield",655,0,0,0,670,0,0,0,131,0,0,17,0,0,10,655,670,156,
"New Town West",683,0,0,0,805,0,0,0,189,0,0,32,0,0,22,683,805,243,
"Canonmills and New Town North",727,0,0,0,843,0,0,0,165,0,0,19,0,0,5,727,843,189,
"Stockbridge",1347,0,0,0,1527,0,0,0,290,0,0,35,0,0,12,1347,1527,341,
"Comely Bank",557,0,0,0,894,0,0,0,208,0,0,19,0,0,6,557,894,237,
"Wester Coates",599,0,0,0,964,0,0,0,267,0,0,34,0,0,10,599,964,315,
