SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation - 3 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation - 3 groups, collapsed","Whole house or bungalow",,,,,"Flat, maisonette or apartment",,,,,"Caravan or other mobile or temporary structure",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Data Zone (2022)",
"S01013606",28,42,17,12,8,285,114,17,17,8,0,0,0,0,0,
"S01013607",25,55,18,11,2,82,48,12,9,3,0,0,0,0,0,
"S01013608",11,17,6,9,2,140,64,24,5,2,0,0,0,0,0,
"S01013609",10,12,9,0,0,283,105,22,4,4,0,0,0,0,0,
"S01013610",12,6,4,3,0,358,106,19,19,5,2,0,0,0,0,
"S01013611",26,41,18,17,6,94,74,42,23,15,0,0,0,0,0,
"S01013612",56,48,23,14,7,185,84,32,17,10,0,0,0,0,0,
"S01013613",8,10,7,2,0,198,89,43,13,4,0,0,0,0,0,
"S01013614",45,41,23,28,16,74,28,14,7,8,0,0,0,0,0,
"S01013615",26,21,13,10,17,76,47,19,8,8,0,1,0,0,0,
"S01013616",36,31,19,11,3,88,66,20,16,10,0,0,0,0,0,
"S01013617",35,9,8,8,0,149,78,40,31,25,0,0,0,0,0,
"S01013618",34,29,7,3,0,134,62,12,12,2,0,0,0,0,0,
"S01013619",9,6,5,5,4,360,137,30,5,2,0,0,0,0,0,
"S01013620",28,18,4,1,0,370,129,42,18,2,0,0,0,0,0,
"S01013621",2,10,4,4,2,202,166,49,24,21,0,0,0,0,0,
"S01013622",15,6,8,8,0,324,174,40,22,8,0,0,0,0,0,
"S01013623",8,6,5,1,2,269,162,32,4,2,0,0,0,0,0,
"S01013624",5,8,3,1,0,213,106,29,8,1,0,0,0,0,0,
"S01013625",6,4,3,1,0,295,266,36,19,8,0,0,0,0,0,
"S01013626",3,3,2,1,0,214,93,25,16,3,0,0,0,0,0,
"S01013627",1,1,1,1,0,187,87,31,7,6,0,0,0,0,0,
"S01013628",8,7,4,0,2,163,83,39,13,8,0,0,0,0,0,
"S01013629",7,4,3,0,4,403,175,36,18,6,0,0,0,0,0,
"S01013630",12,3,5,1,1,339,148,50,23,6,0,0,0,0,0,
"S01013631",19,17,7,6,7,205,90,27,8,3,0,0,0,0,0,
"S01013632",5,7,4,2,0,223,73,25,4,6,0,0,0,0,0,
"S01013633",6,11,0,0,0,145,124,24,13,1,0,0,0,0,0,
"S01013634",29,29,13,13,10,124,74,16,3,1,0,0,0,0,0,
"S01013635",22,15,6,1,2,243,131,32,10,4,0,0,1,0,0,
"S01013636",35,49,24,29,4,216,129,22,10,7,0,0,0,0,0,
"S01013637",13,19,4,7,3,240,137,34,32,5,0,0,0,0,0,
"S01013638",2,6,5,4,3,135,76,18,3,5,0,0,0,0,0,
"S01013639",4,2,4,3,3,145,97,53,20,13,0,0,0,0,0,
"S01013640",7,8,0,4,1,201,108,50,13,5,0,0,0,0,0,
"S01013641",33,29,21,11,2,126,63,27,10,7,0,0,0,0,0,
"S01013642",3,0,2,2,0,97,56,27,12,22,0,0,0,0,2,
"S01013643",42,45,12,13,5,65,30,17,4,2,0,0,0,0,0,
"S01013644",13,12,10,0,5,97,47,49,18,19,0,0,0,0,0,
"S01013645",24,30,6,11,8,82,40,20,6,9,0,0,0,0,0,
"S01013646",11,22,6,11,2,87,61,14,8,5,0,1,0,0,0,
"S01013647",23,17,13,10,3,182,85,22,5,7,0,0,0,0,0,
"S01013648",9,14,3,0,0,335,168,55,18,2,0,0,0,0,0,
"S01013649",1,7,2,1,2,284,94,23,14,4,0,0,0,0,0,
"S01013650",0,1,0,3,3,197,154,33,8,5,0,0,0,0,0,
"S01013651",42,28,8,10,3,338,126,33,5,2,0,0,0,0,0,
"S01013652",0,6,0,1,1,250,112,14,4,1,0,0,0,0,0,
"S01013653",21,22,7,4,1,75,58,19,6,1,0,0,0,0,0,
"S01013654",32,8,6,4,8,139,83,33,19,6,0,0,0,0,0,
"S01013655",21,28,3,5,0,237,121,44,24,7,0,0,0,0,0,
"S01013656",5,2,5,0,0,196,66,20,8,2,0,0,0,0,0,
"S01013657",5,12,2,4,8,114,85,55,42,12,0,0,0,0,0,
"S01013658",41,19,10,5,4,116,63,38,16,0,0,0,0,0,0,
"S01013659",35,39,18,9,5,229,127,45,25,13,0,0,0,0,0,
"S01013660",31,27,19,15,9,121,91,45,16,8,0,0,0,0,0,
"S01013661",51,46,28,19,11,90,48,30,21,7,0,0,0,0,0,
"S01013662",85,106,31,10,2,40,25,3,6,0,0,0,0,0,0,
"S01013663",15,20,6,13,3,192,85,59,40,7,0,0,0,0,0,
"S01013664",33,47,12,10,5,253,68,19,8,4,0,0,0,0,0,
"S01013665",16,14,5,5,5,132,74,46,50,27,0,0,0,0,0,
"S01013666",13,24,7,6,7,118,70,54,40,24,0,0,0,0,0,
"S01013667",33,16,6,5,3,205,78,20,16,5,0,0,0,0,0,
