SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Total",
"Data Zone (2022)",
"S01013821",177,72,15,41,4,310,
"S01013822",86,87,167,38,7,382,
"S01013823",175,175,61,26,5,442,
"S01013824",177,100,61,15,3,358,
"S01013825",136,91,140,38,3,408,
"S01013826",180,93,108,61,11,457,
"S01013827",48,86,2,6,2,141,
"S01013828",141,88,59,21,3,311,
"S01013829",136,69,1,9,4,219,
"S01013830",232,111,51,39,3,436,
"S01013831",118,57,4,10,2,191,
"S01013832",71,152,16,21,2,269,
"S01013833",173,93,133,83,5,485,
"S01013834",72,96,19,43,7,234,
"S01013835",107,79,30,9,3,229,
"S01013836",98,104,35,9,1,251,
"S01013837",173,143,64,15,5,397,
"S01013838",86,180,32,13,4,310,
"S01013839",139,101,4,8,2,249,
"S01013840",149,184,16,15,1,366,
"S01013841",183,107,6,8,1,305,
"S01013842",160,128,4,23,1,316,
"S01013843",157,126,2,36,4,325,
"S01013844",178,172,1,15,8,371,
"S01013845",107,100,24,16,1,242,
"S01013846",102,120,7,15,0,245,
"S01013847",84,133,5,27,1,251,
"S01013848",97,90,6,34,4,231,
"S01013849",25,117,27,10,0,179,
"S01013850",24,162,6,21,0,209,
"S01013851",30,138,28,14,0,215,
"S01013852",19,132,4,10,1,166,
"S01013853",110,179,53,22,5,370,
"S01013854",111,103,113,8,3,337,
"S01013855",123,90,8,7,4,230,
"S01013856",137,153,5,70,7,372,
"S01013857",184,150,75,22,3,434,
"S01013858",148,127,9,36,7,330,
"S01013859",114,88,11,61,21,295,
"S01013860",145,151,32,114,14,453,
"S01013861",124,92,4,26,5,251,
"S01013862",248,124,4,32,6,414,
"S01013863",69,54,93,17,4,234,
"S01013864",77,166,3,11,1,258,
"S01013865",145,103,64,28,5,345,
"S01013866",121,102,56,24,3,306,
"S01013867",62,155,95,20,2,332,
"S01013868",238,128,25,81,8,480,
"S01013869",145,60,1,8,4,218,
"S01013870",185,75,16,27,4,308,
"S01013871",202,142,93,19,9,465,
"S01013872",126,88,13,31,0,256,
"S01013873",127,106,45,20,5,303,
"S01013874",86,84,11,45,6,232,
"S01013875",260,104,8,92,14,478,
"S01013876",124,91,30,92,15,356,
"S01013877",121,71,81,53,11,335,
"S01013878",203,131,39,41,5,421,
"S01013879",241,144,4,56,15,458,
"S01013880",138,79,44,57,13,330,
"S01013881",123,63,7,63,15,268,
"S01013882",110,133,12,22,6,286,
"S01013883",122,82,0,26,5,237,
"S01013884",130,70,125,20,4,345,
"S01013885",124,92,13,17,3,249,
"S01013886",76,162,50,25,3,320,
"S01013887",169,164,37,52,11,435,
"S01013888",118,128,64,35,2,351,
"S01013889",102,78,6,21,4,211,
"S01013890",136,133,19,19,0,310,
"S01013891",121,69,143,7,4,347,
"S01013892",159,98,78,14,4,352,
"S01013893",136,233,58,13,3,443,
"S01013894",90,100,129,12,1,336,
"S01013895",99,54,69,4,2,228,
"S01013896",196,113,121,36,4,470,
"S01013897",73,112,67,55,1,306,
"S01013898",176,96,63,40,6,383,
"S01013899",142,110,19,23,4,298,
"S01013900",182,94,45,33,3,357,
"S01013901",117,104,7,7,2,240,
"S01013902",127,85,3,11,2,221,
"S01013903",77,83,97,22,2,277,
"S01013904",89,64,125,24,0,297,
"S01013905",108,89,155,40,4,396,
"S01013906",169,129,54,53,7,406,
"S01013907",139,68,72,35,3,317,
"S01013908",100,90,216,27,5,437,
"S01013909",123,111,64,103,12,417,
"S01013910",150,97,96,82,10,435,
"S01013911",94,96,7,21,2,220,
"S01013912",147,193,2,15,5,361,
"S01013913",77,250,71,18,4,419,
"S01013914",59,109,56,7,0,231,
"S01013915",34,180,37,8,1,261,
"S01013916",20,158,22,13,0,213,
"S01013917",15,190,35,8,2,254,
"S01013918",149,67,8,22,7,246,
"S01013919",121,79,4,20,1,225,
"S01013920",148,145,19,23,8,341,
"S01013921",141,137,16,18,5,313,
"S01013922",115,151,53,20,5,348,
"S01013923",72,207,25,20,0,324,
"S01013924",81,78,19,10,0,188,
"S01013925",111,57,17,8,3,200,
"S01013926",89,171,1,10,1,274,
"S01013927",145,74,5,24,3,251,
"S01013928",190,151,107,32,10,488,
"S01013929",181,101,10,44,10,346,
"S01013930",107,51,23,6,5,200,
"S01013931",103,128,18,8,0,261,
"S01013932",35,97,23,26,0,181,
"S01013933",27,127,10,24,0,188,
"S01013934",98,130,36,24,2,290,
"S01013935",57,44,0,58,5,159,
"S01013936",177,102,0,10,0,289,
"S01013937",222,115,2,18,3,361,
"S01013938",94,65,7,81,14,258,
"S01013939",68,171,23,12,1,274,
"S01013940",124,84,2,6,4,220,
"S01013941",39,179,90,38,0,350,
"S01013942",179,98,4,19,6,307,
"S01013943",145,93,15,19,1,273,
"S01013944",171,127,6,36,3,341,
"S01013945",88,74,55,17,3,232,
"S01013946",133,95,1,8,1,238,
"S01013947",229,106,8,38,6,392,
"S01013948",111,99,16,14,4,241,
"S01013949",182,152,18,20,5,375,
"S01013950",68,126,4,12,0,210,
"S01013951",77,148,28,26,4,283,
"S01013952",61,166,45,37,5,314,
"S01013953",113,69,2,16,1,201,
"S01013954",139,128,3,28,6,307,
"S01013955",84,224,45,27,1,380,
"S01013956",209,148,17,17,4,389,
"S01013957",197,173,6,18,0,394,
"S01013958",62,208,41,27,4,342,
"S01013959",113,87,76,11,3,290,
"S01013960",104,68,3,30,0,206,
"S01013961",119,157,3,20,1,300,
"S01013962",233,115,25,8,4,385,
"S01013963",52,77,23,14,0,162,
"S01013964",57,104,81,16,3,261,
"S01013965",118,214,40,21,1,394,
"S01013966",119,120,3,17,5,262,
"S01013967",218,83,8,32,4,345,
"S01013968",104,175,16,37,2,334,
"S01013969",113,66,129,46,5,363,
"S01013970",93,175,41,15,1,326,
"S01013971",77,228,0,17,0,324,
"S01013972",229,136,8,41,6,420,
"S01013973",140,108,7,24,2,285,
"S01013974",144,134,5,58,6,346,
"S01013975",122,60,17,17,2,216,
"S01013976",63,94,78,9,1,245,
"S01013977",120,116,8,16,2,262,
"S01013978",70,63,35,15,4,189,
"S01013979",201,124,46,31,0,402,
"S01013980",150,84,18,14,0,269,
"S01013981",80,48,103,23,3,264,
"S01013982",141,137,20,27,4,326,
"S01013983",135,148,35,18,0,336,
"S01013984",167,141,22,19,4,353,
"S01013985",217,170,11,28,10,436,
"S01013986",94,66,3,14,8,185,
"S01013987",114,112,10,59,13,307,
"S01013988",158,152,53,55,14,440,
"S01013989",191,160,72,33,5,460,
"S01013990",143,139,1,58,4,346,
"S01013991",136,120,35,31,10,329,
"S01013992",118,151,58,14,0,342,
