SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Total",
"Data Zone (2022)",
"S01017052",155,194,17,190,6,564,
"S01017053",110,191,59,208,11,579,
"S01017054",68,164,4,207,3,444,
"S01017055",73,141,27,90,6,336,
"S01017056",77,93,68,63,1,303,
"S01017057",236,212,5,71,8,535,
"S01017058",112,116,1,37,2,268,
"S01017059",93,190,30,136,5,452,
"S01017060",110,168,4,127,6,417,
"S01017061",75,152,48,135,7,418,
"S01017062",44,107,255,115,12,533,
"S01017063",119,191,48,93,2,455,
"S01017064",81,165,326,63,6,641,
"S01017065",38,63,184,64,3,354,
"S01017066",30,55,196,47,3,329,
"S01017067",77,93,172,49,10,400,
"S01017068",10,6,264,12,8,301,
"S01017069",74,42,273,29,8,428,
"S01017070",99,165,18,35,3,315,
"S01017071",90,78,278,33,5,484,
"S01017072",66,48,283,32,8,437,
"S01017073",82,146,164,88,13,497,
"S01017074",124,100,72,54,3,344,
"S01017075",86,98,64,54,2,297,
"S01017076",107,51,66,26,6,256,
"S01017077",64,78,254,24,7,425,
"S01017078",124,119,88,44,9,384,
"S01017079",149,97,6,4,0,256,
"S01017080",133,107,7,7,3,254,
"S01017081",167,114,9,16,0,306,
"S01017082",182,123,21,26,5,357,
"S01017083",106,112,14,12,4,251,
"S01017084",81,112,53,53,3,299,
"S01017085",87,81,49,28,2,247,
"S01017086",94,124,37,60,4,323,
"S01017087",146,129,2,13,4,291,
"S01017088",155,186,4,20,2,364,
"S01017089",160,107,3,14,3,287,
"S01017090",213,108,6,14,4,345,
"S01017091",124,108,36,25,1,295,
"S01017092",190,190,78,138,7,601,
"S01017093",160,115,12,16,3,311,
"S01017094",169,204,12,38,3,422,
"S01017095",160,152,24,15,0,351,
"S01017096",145,108,4,8,2,267,
"S01017097",206,144,13,29,0,392,
"S01017098",110,95,4,16,3,228,
"S01017099",150,108,9,16,4,285,
"S01017100",122,89,33,18,6,268,
"S01017101",12,24,212,9,3,260,
"S01017102",65,140,120,14,8,344,
"S01017103",61,93,148,11,2,313,
"S01017104",5,14,255,12,3,289,
"S01017105",23,36,350,18,7,435,
"S01017106",30,28,151,25,3,239,
"S01017107",31,19,394,10,5,463,
"S01017108",44,65,347,17,0,474,
"S01017109",30,99,218,1,1,348,
"S01017110",31,37,283,13,3,367,
"S01017111",20,32,257,10,6,325,
"S01017112",42,122,237,15,5,423,
"S01017113",8,8,251,3,0,270,
"S01017114",53,91,130,22,5,301,
"S01017115",5,7,213,12,0,241,
"S01017116",43,35,327,25,9,439,
"S01017117",15,15,180,14,3,228,
"S01017118",58,68,340,22,7,495,
"S01017119",36,20,214,23,4,297,
"S01017120",127,115,67,61,7,374,
"S01017121",105,122,36,49,5,315,
"S01017122",102,107,13,66,14,302,
"S01017123",50,38,243,23,3,357,
"S01017124",132,115,3,77,5,329,
"S01017125",103,150,9,47,7,316,
"S01017126",82,102,5,44,1,236,
"S01017127",75,92,24,60,11,258,
"S01017128",86,118,3,54,9,269,
"S01017129",126,82,5,17,3,233,
"S01017130",132,108,6,21,1,268,
"S01017131",83,95,3,49,4,234,
"S01017132",88,123,31,64,3,309,
"S01017133",135,114,9,57,8,325,
"S01017134",137,109,3,15,5,273,
"S01017135",127,108,2,5,2,245,
"S01017136",61,122,90,146,6,425,
"S01017137",55,165,11,23,0,251,
"S01017138",77,108,68,104,0,362,
"S01017139",72,126,99,117,5,419,
"S01017140",171,175,5,65,2,417,
"S01017141",83,150,90,124,6,449,
"S01017142",48,112,94,173,8,433,
"S01017143",182,202,33,41,5,466,
"S01017144",71,127,180,118,6,505,
"S01017145",168,144,8,30,5,356,
"S01017146",88,168,50,180,6,485,
"S01017147",139,198,86,81,9,519,
"S01017148",81,171,24,97,2,378,
"S01017149",114,90,111,32,0,349,
"S01017150",47,47,157,31,9,291,
"S01017151",49,37,223,32,5,342,
"S01017152",60,130,64,50,8,312,
"S01017153",101,91,125,21,2,341,
"S01017154",34,52,371,17,7,481,
"S01017155",25,139,27,3,5,202,
"S01017156",34,90,225,57,8,417,
"S01017157",48,216,27,82,9,382,
"S01017158",34,327,11,46,3,421,
"S01017159",41,16,263,18,7,345,
"S01017160",33,58,280,74,6,455,
"S01017161",25,23,218,40,6,308,
"S01017162",45,104,311,40,2,504,
"S01017163",64,124,191,90,5,474,
"S01017164",25,55,238,48,4,370,
"S01017165",62,58,191,30,2,343,
"S01017166",74,122,80,90,2,368,
"S01017167",63,121,16,204,11,416,
"S01017168",23,50,221,70,7,373,
"S01017169",28,40,264,120,8,461,
"S01017170",65,72,235,50,3,422,
"S01017171",45,79,219,67,3,411,
"S01017172",59,127,55,202,6,451,
"S01017173",26,34,37,319,1,423,
"S01017174",48,40,264,33,8,393,
"S01017175",89,80,271,117,9,574,
"S01017176",51,112,84,209,3,459,
"S01017177",69,74,98,109,5,355,
"S01017178",85,138,193,297,14,723,
"S01017179",37,143,142,178,6,502,
"S01017180",67,108,216,192,9,596,
"S01017181",83,104,225,198,12,623,
"S01017182",26,21,194,18,3,271,
"S01017183",37,46,233,31,0,355,
"S01017184",53,127,89,27,0,294,
"S01017185",35,37,344,18,19,453,
"S01017186",34,34,275,20,8,369,
"S01017187",28,79,205,14,2,330,
"S01017188",27,139,79,26,1,272,
"S01017189",22,16,359,58,5,460,
"S01017190",39,33,386,24,11,495,
"S01017191",26,28,376,47,9,486,
"S01017192",41,173,238,112,12,576,
"S01017193",14,48,219,6,0,285,
"S01017194",31,47,167,66,9,313,
"S01017195",17,19,277,15,1,330,
"S01017196",59,101,283,73,7,524,
"S01017197",4,3,209,4,11,233,
"S01017198",16,9,232,21,4,282,
"S01017199",36,34,146,56,6,277,
"S01017200",29,55,183,25,4,296,
"S01017201",71,91,113,135,7,414,
"S01017202",73,52,300,47,8,480,
"S01017203",64,87,44,39,11,241,
"S01017204",73,73,219,45,5,412,
"S01017205",34,34,345,67,15,495,
"S01017206",60,54,89,23,10,235,
"S01017207",76,61,193,32,6,372,
"S01017208",51,51,211,25,0,343,
"S01017209",6,29,232,22,10,303,
"S01017210",19,169,80,64,6,338,
"S01017211",20,134,181,94,2,430,
"S01017212",142,151,23,20,7,340,
"S01017213",128,89,4,8,3,232,
"S01017214",118,113,84,28,4,351,
"S01017215",140,117,66,27,5,353,
"S01017216",178,121,24,11,1,340,
"S01017217",168,94,13,19,2,300,
"S01017218",105,96,67,16,6,291,
"S01017219",95,86,68,15,0,265,
"S01017220",65,79,120,13,3,281,
"S01017221",122,84,12,7,0,225,
"S01017222",194,116,27,15,4,356,
"S01017223",188,92,3,8,2,292,
"S01017224",176,91,6,14,3,287,
"S01017225",161,153,10,54,11,389,
"S01017226",85,91,89,26,4,295,
"S01017227",130,122,118,32,4,407,
"S01017228",165,109,8,9,5,295,
"S01017229",113,93,149,26,4,387,
"S01017230",160,68,4,7,2,241,
"S01017231",28,288,10,10,0,336,
"S01017232",77,74,71,65,10,300,
"S01017233",152,156,30,27,12,375,
"S01017234",122,98,136,27,5,388,
"S01017235",139,131,33,41,5,349,
"S01017236",20,295,1,3,0,322,
"S01017237",22,222,8,9,1,260,
"S01017238",44,145,6,9,3,210,
"S01017239",32,141,1,18,0,194,
"S01017240",77,193,86,18,3,377,
"S01017241",135,90,36,12,3,276,
"S01017242",157,90,2,10,3,265,
"S01017243",135,125,3,12,1,278,
"S01017244",157,111,7,21,3,296,
"S01017245",149,115,3,1,1,273,
"S01017246",153,111,4,8,1,276,
"S01017247",179,138,18,13,4,352,
"S01017248",177,95,16,12,7,308,
"S01017249",117,121,8,14,0,258,
"S01017250",165,237,9,17,1,429,
"S01017251",125,192,10,24,3,357,
"S01017252",57,47,53,59,6,220,
"S01017253",69,72,152,87,24,400,
"S01017254",137,124,138,34,8,441,
"S01017255",14,12,154,8,0,185,
"S01017256",39,203,7,19,0,268,
"S01017257",47,32,321,19,19,438,
"S01017258",16,22,306,14,5,363,
"S01017259",16,29,441,8,0,496,
"S01017260",41,21,212,24,3,304,
"S01017261",26,17,301,13,8,365,
"S01017262",71,66,5,16,0,155,
"S01017263",78,208,14,19,3,323,
"S01017264",23,147,35,35,3,240,
"S01017265",47,149,133,26,3,353,
"S01017266",14,16,260,9,6,304,
"S01017267",6,23,170,4,2,208,
"S01017268",14,23,205,5,8,255,
"S01017269",13,11,206,4,2,236,
"S01017270",11,9,226,8,3,254,
"S01017271",12,7,191,9,1,224,
"S01017272",24,31,244,27,9,335,
"S01017273",78,95,52,51,3,282,
"S01017274",21,55,90,8,5,180,
"S01017275",79,120,102,13,3,318,
"S01017276",57,51,162,7,3,285,
"S01017277",4,10,200,6,7,225,
"S01017278",23,18,290,40,8,378,
"S01017279",30,176,154,13,2,378,
"S01017280",192,102,7,16,2,320,
"S01017281",88,74,250,37,10,461,
"S01017282",59,61,211,35,7,373,
"S01017283",139,104,233,81,12,571,
"S01017284",89,81,149,19,11,350,
"S01017285",127,118,79,47,3,374,
"S01017286",107,119,175,89,11,501,
"S01017287",93,46,434,22,18,610,
"S01017288",130,86,221,56,12,506,
"S01017289",86,125,43,146,13,413,
"S01017290",25,33,384,46,16,498,
"S01017291",64,53,215,28,9,375,
"S01017292",114,93,137,29,7,380,
"S01017293",60,64,177,98,5,408,
"S01017294",92,88,130,67,10,391,
"S01017295",49,39,237,41,4,370,
"S01017296",28,36,363,53,8,488,
"S01017297",26,86,126,19,5,261,
"S01017298",36,162,210,45,5,454,
"S01017299",25,227,144,37,4,437,
"S01017300",83,37,260,43,15,442,
"S01017301",86,49,225,9,4,370,
"S01017302",140,99,76,55,5,378,
"S01017303",121,98,203,48,6,484,
"S01017304",141,75,195,37,9,456,
"S01017305",147,79,166,35,5,428,
"S01017306",65,41,125,16,2,252,
"S01017307",46,20,186,14,4,270,
"S01017308",122,108,133,51,7,421,
"S01017309",120,59,137,20,7,343,
"S01017310",5,7,241,4,12,269,
"S01017311",37,80,142,9,0,268,
"S01017312",17,20,281,13,3,331,
"S01017313",42,58,196,23,8,327,
"S01017314",68,82,129,11,1,291,
"S01017315",56,15,247,8,5,333,
"S01017316",81,220,150,19,6,476,
"S01017317",98,56,234,27,12,424,
"S01017318",36,63,103,28,1,224,
"S01017319",45,73,168,23,8,319,
"S01017320",37,46,139,16,3,238,
"S01017321",32,97,340,13,7,489,
"S01017322",99,102,216,67,10,494,
"S01017323",115,99,74,19,6,313,
"S01017324",82,76,60,18,6,242,
"S01017325",52,78,80,28,6,244,
"S01017326",121,96,113,37,2,363,
"S01017327",24,50,211,14,1,302,
"S01017328",19,23,314,9,3,369,
"S01017329",55,58,238,24,9,381,
"S01017330",33,132,48,33,0,246,
"S01017331",55,50,176,13,4,297,
"S01017332",145,103,17,25,8,298,
"S01017333",59,40,109,12,3,226,
"S01017334",67,42,146,20,9,287,
"S01017335",58,52,212,18,0,337,
"S01017336",21,182,6,2,4,214,
"S01017337",23,130,5,4,1,161,
"S01017338",111,210,5,11,3,340,
"S01017339",70,183,3,8,6,273,
"S01017340",89,151,4,12,1,264,
"S01017341",110,109,4,12,5,241,
"S01017342",122,133,1,29,1,286,
"S01017343",136,181,7,30,4,356,
"S01017344",97,166,4,21,1,291,
"S01017345",106,177,3,15,2,303,
"S01017346",96,87,71,6,0,264,
"S01017347",90,95,65,21,2,270,
"S01017348",77,33,151,8,6,275,
"S01017349",57,49,136,16,5,265,
"S01017350",110,61,113,22,8,314,
"S01017351",73,104,266,50,15,512,
"S01017352",43,36,173,4,1,258,
"S01017353",85,90,106,8,7,295,
"S01017354",94,111,37,1,3,246,
"S01017355",11,8,348,4,9,384,
"S01017356",81,139,27,31,3,283,
"S01017357",63,45,310,31,10,458,
"S01017358",49,52,143,38,5,286,
"S01017359",78,114,183,153,14,542,
"S01017360",57,68,138,49,10,322,
"S01017361",141,134,99,32,3,409,
"S01017362",69,54,301,27,15,462,
"S01017363",71,54,377,69,15,587,
"S01017364",116,96,183,59,2,453,
"S01017365",190,140,28,31,6,393,
"S01017366",33,24,414,28,9,508,
"S01017367",19,21,236,33,11,324,
"S01017368",20,25,164,45,13,267,
"S01017369",85,79,272,100,17,553,
"S01017370",36,101,25,103,5,270,
"S01017371",24,38,280,30,3,375,
"S01017372",48,38,285,81,4,456,
"S01017373",52,43,163,49,8,315,
"S01017374",16,10,421,22,7,481,
"S01017375",60,108,349,39,11,562,
"S01017376",54,82,98,15,7,252,
"S01017377",21,25,269,17,2,336,
"S01017378",15,8,387,21,8,440,
"S01017379",26,10,348,20,9,417,
"S01017380",9,5,375,11,4,401,
"S01017381",41,29,204,46,6,323,
"S01017382",31,10,295,19,4,361,
"S01017383",120,155,87,205,6,570,
"S01017384",49,117,7,213,14,399,
"S01017385",99,113,20,135,10,380,
"S01017386",78,116,38,111,5,345,
"S01017387",80,109,60,147,5,401,
"S01017388",68,61,192,96,2,419,
"S01017389",68,97,125,100,6,400,
"S01017390",117,139,163,193,9,621,
"S01017391",25,56,193,115,8,394,
"S01017392",39,47,270,213,14,583,
"S01017393",43,37,198,64,5,344,
"S01017394",16,24,304,71,8,423,
"S01017395",138,92,150,20,9,409,
"S01017396",95,191,13,150,3,455,
"S01017397",72,135,37,153,4,401,
"S01017398",79,140,6,157,4,389,
"S01017399",38,99,9,165,0,316,
"S01017400",62,104,30,91,2,289,
"S01017401",34,50,195,66,10,359,
"S01017402",48,98,287,91,7,528,
"S01017403",18,31,307,63,4,425,
"S01017404",25,44,438,75,3,581,
"S01017405",12,26,126,116,2,287,
"S01017406",25,31,11,171,3,237,
"S01017407",85,62,24,235,6,410,
"S01017408",50,19,297,72,12,453,
"S01017409",29,12,144,55,7,253,
"S01017410",104,85,80,235,10,509,
"S01017411",64,24,230,175,12,507,
"S01017412",68,31,306,149,6,561,
"S01017413",48,69,43,266,8,433,
"S01017414",67,84,160,270,10,585,
"S01017415",85,93,28,292,11,505,
"S01017416",56,64,33,125,8,286,
"S01017417",24,21,14,218,10,287,
"S01017418",78,76,78,181,15,431,
"S01017419",36,46,60,140,10,290,
"S01017420",54,51,157,155,18,432,
"S01017421",53,13,411,50,15,544,
"S01017422",43,59,57,195,11,362,
"S01017423",20,21,310,91,8,444,
"S01017424",6,6,183,17,8,220,
"S01017425",40,73,34,282,8,438,
"S01017426",79,80,16,192,13,380,
"S01017427",70,78,18,328,8,502,
"S01017428",112,172,40,253,8,587,
"S01017429",11,33,201,29,2,275,
"S01017430",22,18,254,66,4,364,
"S01017431",34,39,144,91,3,311,
"S01017432",61,95,83,242,4,485,
"S01017433",60,74,65,278,3,476,
"S01017434",62,121,156,181,3,525,
"S01017435",57,87,131,156,8,439,
"S01017436",53,65,32,167,0,319,
"S01017437",98,126,44,162,4,438,
"S01017438",63,82,235,204,10,597,
"S01017439",53,90,42,180,6,372,
"S01017440",57,89,82,194,7,428,
"S01017441",56,88,45,199,6,392,
"S01017442",134,158,17,148,10,467,
"S01017443",77,97,81,154,11,415,
"S01017444",79,94,22,230,7,433,
"S01017445",30,51,92,68,6,250,
"S01017446",82,79,103,241,9,514,
"S01017447",75,119,10,185,6,395,
"S01017448",39,68,74,168,3,353,
"S01017449",55,67,17,125,2,266,
"S01017450",65,60,177,141,8,451,
"S01017451",51,70,233,137,10,505,
"S01017452",24,40,189,62,9,324,
"S01017453",53,64,204,164,9,494,
"S01017454",26,46,37,111,6,226,
"S01017455",36,31,298,44,7,421,
"S01017456",7,19,208,34,2,265,
"S01017457",35,53,255,73,5,421,
"S01017458",106,88,260,128,7,588,
"S01017459",72,85,71,149,11,388,
"S01017460",98,139,22,123,10,394,
"S01017461",138,119,62,182,19,516,
"S01017462",43,47,137,33,9,269,
"S01017463",32,34,186,56,16,324,
"S01017464",50,32,173,58,12,321,
"S01017465",6,4,388,27,1,430,
"S01017466",21,5,254,19,8,307,
"S01017467",18,55,176,46,5,300,
"S01017468",20,24,175,38,2,263,
"S01017469",101,150,98,217,10,574,
"S01017470",69,112,67,147,8,407,
"S01017471",50,127,199,133,8,513,
"S01017472",144,162,21,151,0,477,
"S01017473",71,107,124,80,6,387,
"S01017474",20,34,277,54,7,391,
"S01017475",35,61,271,122,4,493,
"S01017476",62,83,145,155,6,455,
"S01017477",4,9,288,10,6,318,
"S01017478",96,38,220,26,5,389,
"S01017479",147,73,237,34,6,500,
"S01017480",29,53,193,15,2,294,
"S01017481",22,38,174,45,4,283,
"S01017482",39,117,166,41,1,364,
"S01017483",163,134,182,47,10,533,
"S01017484",89,55,126,52,10,332,
"S01017485",43,31,169,20,4,269,
"S01017486",107,88,243,50,10,498,
"S01017487",60,66,164,16,9,313,
"S01017488",106,106,261,50,10,533,
"S01017489",100,148,179,64,6,497,
"S01017490",77,78,178,37,6,371,
"S01017491",27,11,262,8,12,320,
"S01017492",67,65,183,22,5,346,
"S01017493",42,39,144,18,2,245,
"S01017494",91,66,58,19,5,241,
"S01017495",55,43,225,25,10,359,
"S01017496",87,106,51,19,1,264,
"S01017497",134,103,9,31,4,280,
"S01017498",151,180,4,17,1,353,
"S01017499",43,26,304,14,11,398,
"S01017500",72,176,10,16,3,277,
"S01017501",184,150,56,38,5,431,
"S01017502",107,87,235,54,6,489,
"S01017503",127,107,123,47,8,416,
"S01017504",110,80,167,33,10,397,
"S01017505",96,56,286,37,8,479,
"S01017506",81,128,126,50,2,387,
"S01017507",66,57,123,31,7,285,
"S01017508",15,24,449,30,31,553,
"S01017509",70,65,181,47,3,365,
"S01017510",59,67,245,46,8,425,
"S01017511",57,141,118,74,6,395,
"S01017512",33,25,170,30,5,265,
"S01017513",83,45,328,62,9,526,
"S01017514",47,22,389,42,10,510,
"S01017515",40,61,217,37,4,359,
"S01017516",12,19,368,22,6,428,
"S01017517",55,38,317,65,15,490,
"S01017518",129,154,34,88,6,411,
"S01017519",189,161,5,15,2,368,
"S01017520",230,130,3,75,6,444,
"S01017521",187,193,13,123,4,516,
"S01017522",157,89,6,44,4,301,
"S01017523",88,76,12,58,0,236,
"S01017524",181,107,11,87,7,393,
"S01017525",86,95,89,104,4,379,
"S01017526",113,125,7,87,5,337,
"S01017527",163,153,9,147,12,481,
"S01017528",97,127,14,96,4,338,
"S01017529",120,138,36,129,8,431,
"S01017530",147,128,16,150,4,446,
"S01017531",53,60,4,131,5,255,
"S01017532",61,62,27,206,3,359,
"S01017533",61,62,43,211,8,384,
"S01017534",59,57,11,161,8,297,
"S01017535",107,94,73,221,9,497,
"S01017536",151,129,86,162,11,537,
"S01017537",50,46,18,204,11,333,
"S01017538",90,103,88,187,5,466,
"S01017539",32,27,198,119,5,382,
"S01017540",68,71,9,89,4,239,
"S01017541",48,34,41,128,6,257,
"S01017542",61,81,153,200,10,514,
"S01017543",46,73,261,136,10,530,
"S01017544",51,47,62,116,2,274,
"S01017545",32,51,135,126,4,344,
"S01017546",82,85,246,155,6,570,
"S01017547",51,88,27,147,6,321,
"S01017548",70,109,5,190,6,378,
"S01017549",106,166,126,363,9,770,
"S01017550",74,140,105,199,6,520,
"S01017551",101,111,8,202,3,425,
"S01017552",124,162,72,284,10,651,
"S01017553",62,42,355,75,8,546,
"S01017554",91,156,127,242,9,631,
"S01017555",92,100,212,192,3,596,
"S01017556",124,93,40,118,1,376,
"S01017557",188,175,9,199,3,576,
"S01017558",173,198,3,260,7,641,
"S01017559",207,169,27,101,7,513,
"S01017560",116,94,66,139,5,424,
"S01017561",178,183,28,116,11,514,
"S01017562",243,170,8,105,3,533,
"S01017563",201,165,36,93,6,501,
"S01017564",172,162,9,143,5,495,
"S01017565",148,137,16,163,5,468,
"S01017566",104,106,6,220,13,449,
"S01017567",86,89,68,34,5,284,
"S01017568",98,86,4,3,4,195,
"S01017569",139,148,3,25,2,321,
"S01017570",206,161,6,10,7,392,
"S01017571",148,123,1,113,4,390,
"S01017572",288,132,5,43,4,470,
"S01017573",175,183,57,44,7,473,
"S01017574",133,126,264,93,8,621,
"S01017575",152,117,6,40,2,317,
"S01017576",116,108,3,50,7,281,
"S01017577",175,228,18,128,7,556,
"S01017578",234,183,9,74,4,501,
"S01017579",174,92,8,15,8,302,
"S01017580",157,142,20,22,0,343,
"S01017581",204,164,79,26,7,478,
"S01017582",43,63,383,72,3,561,
"S01017583",74,72,154,97,3,404,
"S01017584",75,64,259,30,8,436,
"S01017585",132,108,48,24,3,313,
"S01017586",172,196,22,21,5,414,
"S01017587",60,75,267,62,8,472,
"S01017588",128,113,2,8,0,252,
"S01017589",54,57,351,75,4,541,
"S01017590",77,80,182,103,5,447,
"S01017591",55,65,247,78,6,452,
"S01017592",7,14,198,10,3,231,
"S01017593",31,36,211,56,5,332,
"S01017594",54,71,258,74,11,468,
"S01017595",58,70,106,27,5,266,
"S01017596",46,72,229,14,0,361,
"S01017597",54,88,253,82,13,486,
"S01017598",82,68,178,31,7,366,
"S01017599",63,154,171,158,3,551,
"S01017600",47,54,193,81,6,381,
"S01017601",95,76,52,18,1,242,
"S01017602",92,74,60,21,1,248,
"S01017603",88,103,108,26,4,328,
"S01017604",146,114,49,14,2,327,
"S01017605",87,101,279,33,3,503,
"S01017606",115,116,57,25,4,317,
"S01017607",120,102,95,41,5,363,
"S01017608",80,86,97,25,0,288,
"S01017609",125,118,110,38,8,399,
"S01017610",84,79,253,23,6,445,
"S01017611",128,118,95,45,5,392,
"S01017612",41,38,201,8,9,297,
"S01017613",109,137,93,37,2,381,
"S01017614",41,47,381,36,10,512,
"S01017615",84,108,81,21,5,297,
"S01017616",84,72,47,7,1,211,
"S01017617",122,93,174,26,5,416,
"S01017618",87,77,45,18,5,237,
"S01017619",140,112,26,56,11,343,
"S01017620",88,90,151,22,0,351,
"S01017621",7,21,315,6,17,367,
"S01017622",138,130,71,26,4,368,
"S01017623",77,102,40,18,5,242,
"S01017624",161,195,14,68,4,442,
"S01017625",158,156,11,127,3,452,
"S01017626",189,100,16,84,7,393,
"S01017627",201,141,4,83,4,431,
"S01017628",80,93,105,131,3,412,
"S01017629",122,116,75,41,6,357,
"S01017630",87,102,100,39,6,331,
"S01017631",45,91,105,91,8,342,
"S01017632",151,114,61,136,5,465,
"S01017633",59,100,74,128,6,370,
"S01017634",137,198,42,113,2,492,
"S01017635",112,129,34,40,2,321,
"S01017636",78,82,67,70,4,301,
"S01017637",131,130,62,32,10,368,
"S01017638",85,99,261,53,10,508,
"S01017639",138,145,181,44,13,524,
"S01017640",106,94,62,15,4,281,
"S01017641",44,56,141,19,5,265,
"S01017642",113,114,93,25,4,345,
"S01017643",158,175,159,53,3,548,
"S01017644",80,53,89,16,3,239,
"S01017645",147,142,70,19,6,388,
"S01017646",220,133,8,14,3,386,
"S01017647",159,175,85,20,2,431,
"S01017648",47,38,195,29,10,321,
"S01017649",84,132,201,27,10,454,
"S01017650",26,16,203,16,7,272,
"S01017651",31,21,318,17,6,394,
"S01017652",10,22,207,12,3,253,
"S01017653",2,3,277,7,1,290,
"S01017654",35,58,115,14,4,225,
"S01017655",14,27,356,13,6,416,
"S01017656",18,27,373,15,12,450,
"S01017657",11,38,171,7,0,231,
"S01017658",31,45,335,14,2,430,
"S01017659",8,13,375,20,6,421,
"S01017660",34,61,265,13,3,372,
"S01017661",62,155,241,31,4,493,
"S01017662",41,110,151,14,1,321,
"S01017663",29,30,226,14,2,302,
"S01017664",162,43,39,53,9,303,
"S01017665",140,42,32,30,12,258,
"S01017666",223,99,66,42,20,451,
"S01017667",116,81,82,52,14,338,
"S01017668",240,91,96,47,26,503,
"S01017669",202,126,46,50,11,438,
"S01017670",183,108,144,31,5,471,
"S01017671",81,84,181,14,7,364,
"S01017672",90,74,100,17,5,280,
"S01017673",158,113,22,21,5,318,
"S01017674",96,87,74,15,8,280,
"S01017675",118,97,112,17,8,352,
"S01017676",110,86,88,35,4,323,
"S01017677",122,88,118,42,3,375,
"S01017678",82,99,45,44,4,276,
"S01017679",81,82,126,14,6,314,
"S01017680",149,138,81,38,6,407,
"S01017681",114,92,160,36,4,409,
"S01017682",49,61,158,38,4,313,
"S01017683",57,40,217,20,4,337,
"S01017684",130,74,13,19,6,240,
"S01017685",147,74,37,19,11,288,
"S01017686",134,102,75,43,10,364,
"S01017687",163,104,174,46,8,497,
"S01017688",145,73,41,25,41,325,
"S01017689",174,101,50,13,7,344,
"S01017690",150,64,30,28,18,291,
"S01017691",265,126,66,60,9,530,
"S01017692",98,39,19,27,19,198,
"S01017693",127,71,44,27,8,277,
"S01017694",155,99,89,35,2,379,
"S01017695",152,50,28,48,16,301,
"S01017696",104,97,139,33,2,376,
"S01017697",134,88,71,46,5,341,
"S01017698",114,107,111,60,4,395,
"S01017699",185,109,75,74,14,457,
"S01017700",139,62,20,42,4,267,
"S01017701",217,109,56,40,13,432,
"S01017702",215,80,52,30,17,393,
"S01017703",116,68,12,34,4,234,
"S01017704",138,111,79,35,6,372,
"S01017705",170,93,49,54,3,369,
"S01017706",163,72,64,49,7,355,
"S01017707",176,83,17,45,27,344,
"S01017708",194,68,5,57,10,334,
"S01017709",126,172,40,22,0,362,
"S01017710",171,137,31,32,7,378,
"S01017711",90,76,39,20,10,235,
"S01017712",162,96,26,47,3,332,
"S01017713",142,78,19,68,19,326,
"S01017714",119,62,7,73,16,276,
"S01017715",166,66,24,88,9,353,
"S01017716",147,108,61,108,5,425,
"S01017717",95,78,188,26,9,393,
"S01017718",109,58,70,25,6,272,
"S01017719",197,88,73,45,6,409,
"S01017720",196,69,65,33,0,368,
"S01017721",168,77,9,20,4,278,
"S01017722",185,80,10,18,2,296,
"S01017723",181,87,9,26,8,315,
"S01017724",62,60,68,10,1,206,
"S01017725",61,34,135,13,3,251,
"S01017726",119,71,75,12,9,287,
"S01017727",87,61,9,49,20,228,
"S01017728",124,76,13,38,18,269,
"S01017729",189,124,13,41,5,374,
"S01017730",132,180,9,51,5,377,
"S01017731",106,140,60,25,3,336,
"S01017732",136,154,58,83,13,436,
"S01017733",156,109,135,17,10,428,
"S01017734",157,132,22,68,2,379,
"S01017735",88,120,54,52,1,318,
"S01017736",61,93,49,11,0,215,
"S01017737",120,97,3,12,1,233,
"S01017738",198,77,14,10,4,302,
"S01017739",203,123,1,12,5,341,
"S01017740",77,88,145,17,3,330,
"S01017741",62,71,55,19,1,211,
"S01017742",167,124,2,25,3,322,
"S01017743",75,95,68,121,11,367,
"S01017744",65,91,10,61,5,232,
"S01017745",117,118,18,35,0,290,
"S01017746",34,117,54,10,2,217,
"S01017747",225,158,5,45,4,437,
"S01017748",113,174,79,32,3,403,
"S01017749",63,193,29,36,2,323,
"S01017750",174,116,9,15,3,316,
"S01017751",169,91,12,17,3,292,
"S01017752",90,83,30,20,3,225,
"S01017753",53,86,90,33,2,261,
"S01017754",139,141,5,6,5,291,
"S01017755",40,165,40,29,1,275,
"S01017756",38,199,29,43,3,313,
"S01017757",98,65,11,89,2,264,
"S01017758",104,184,94,43,7,429,
"S01017759",141,218,32,57,2,454,
"S01017760",73,108,29,71,0,284,
"S01017761",67,142,32,59,1,300,
"S01017762",97,174,4,66,5,345,
"S01017763",71,206,7,26,1,311,
"S01017764",20,106,64,13,4,200,
"S01017765",60,165,70,65,1,362,
"S01017766",91,198,29,73,4,389,
"S01017767",41,236,73,20,1,374,
"S01017768",132,188,34,56,3,411,
"S01017769",236,99,32,46,3,418,
"S01017770",169,96,11,17,6,299,
"S01017771",97,97,5,43,2,248,
"S01017772",195,120,6,47,1,365,
"S01017773",102,73,3,10,3,195,
"S01017774",245,156,47,19,6,473,
"S01017775",137,125,86,32,5,383,
"S01017776",163,112,19,21,2,317,
"S01017777",65,57,162,36,3,322,
"S01017778",78,75,84,20,0,255,
