SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 4 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,"One family household: Couple family",,,"One family household: Lone parent",,,"Other household types",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013600",46,84,8,16,91,110,5,12,11,0,3,11,68,192,143,
"S01013601",34,86,6,17,104,93,4,11,6,0,6,1,57,206,106,
"S01013602",27,61,5,11,57,63,2,4,4,0,1,0,36,123,74,
"S01013603",21,88,13,10,61,85,4,15,5,0,2,2,35,166,101,
"S01013604",69,76,4,21,85,53,41,41,8,5,1,6,133,201,71,
"S01013605",64,49,3,35,78,63,22,12,11,4,7,6,126,148,83,
"S01013606",183,124,6,38,93,65,6,17,5,3,6,2,232,240,76,
"S01013607",50,54,4,22,49,44,9,18,1,3,1,4,88,124,56,
"S01013608",97,53,1,22,49,14,17,19,1,2,7,1,139,125,19,
"S01013609",189,102,2,41,54,21,18,9,4,9,5,0,257,170,27,
"S01013610",257,110,3,44,52,14,16,6,4,16,6,4,335,174,21,
"S01013611",81,36,2,30,64,30,48,24,8,6,7,8,165,131,52,
"S01013612",148,90,5,36,73,49,28,33,2,1,8,5,211,204,59,
"S01013613",149,54,0,21,50,29,31,16,5,6,9,1,206,131,35,
"S01013614",82,36,1,15,38,32,17,27,7,6,8,5,124,109,47,
"S01013615",73,28,1,22,43,10,37,11,2,6,6,2,141,91,17,
"S01013616",80,43,0,17,76,34,20,14,4,4,2,5,120,134,44,
