SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013624",39,63,16,0,0,23,8,0,1,0,140,67,11,2,0,
"S01013625",40,132,30,3,0,44,41,9,0,0,163,131,40,1,3,
"S01013626",25,35,5,0,0,159,50,11,0,0,52,22,0,0,0,
"S01013627",31,38,7,0,0,42,12,0,0,0,95,92,5,0,0,
"S01013628",21,56,7,0,0,99,44,6,2,0,60,32,7,0,0,
"S01013629",70,91,21,1,1,125,33,2,0,0,219,76,11,1,0,
"S01013630",31,69,14,0,0,144,62,9,0,0,159,81,15,2,0,
"S01013631",35,65,17,3,0,42,21,1,0,0,121,72,16,2,1,
"S01013632",29,31,5,0,0,111,24,2,0,0,109,37,3,0,0,
"S01013633",24,39,12,4,0,38,13,4,0,0,111,61,21,0,0,
"S01013634",28,97,33,4,1,19,4,0,0,0,45,66,18,1,2,
"S01013635",41,89,15,3,0,110,70,8,1,0,55,62,12,0,0,
"S01013636",59,202,77,5,0,29,22,0,1,0,53,60,16,0,0,
"S01013637",51,85,17,1,0,70,36,9,0,0,113,87,20,1,0,
"S01013638",20,43,6,1,0,47,35,1,1,0,46,43,9,1,1,
"S01013639",22,42,8,3,0,73,51,8,1,0,75,51,8,1,0,
"S01013640",21,42,12,1,1,81,40,8,1,0,114,71,7,1,0,
"S01013641",50,85,8,3,0,8,2,1,0,0,100,56,15,2,0,
"S01013642",23,20,7,1,0,31,30,5,1,1,73,25,7,0,0,
"S01013643",31,80,22,1,0,0,1,0,0,0,53,29,12,1,0,
"S01013644",20,31,8,0,1,69,43,10,3,1,68,16,0,0,0,
"S01013645",29,51,9,0,0,11,6,2,3,0,69,51,9,0,2,
"S01013646",15,38,10,3,0,16,11,4,0,0,81,40,8,3,0,
"S01013647",29,44,18,3,0,41,14,0,0,0,136,51,15,8,0,
"S01013648",30,84,28,1,2,213,109,18,2,0,48,48,18,2,0,
"S01013649",21,19,7,2,0,188,112,9,2,0,46,24,3,1,0,
"S01013650",23,67,20,4,0,63,15,5,0,0,111,73,16,3,1,
"S01013651",42,43,11,1,0,222,106,6,2,1,88,57,13,1,0,
"S01013652",41,77,10,0,0,71,26,7,0,0,78,62,14,0,0,
"S01013653",25,51,16,2,1,19,24,3,0,0,26,33,16,0,0,
"S01013654",12,38,13,3,0,108,48,15,1,0,70,28,6,0,0,
"S01013655",25,66,15,4,2,153,98,10,2,0,61,41,8,0,0,
"S01013656",33,24,7,1,0,127,72,10,1,0,19,9,1,0,0,
"S01013657",4,15,11,1,0,159,89,37,3,0,13,6,1,0,0,
"S01013658",17,25,11,0,2,141,62,23,4,0,15,18,4,0,0,
"S01013659",29,59,13,3,0,181,123,25,3,0,62,34,5,0,0,
"S01013660",21,57,22,6,0,131,75,26,2,3,19,13,6,0,0,
"S01013661",29,63,28,0,2,85,67,22,2,2,16,26,7,0,1,
"S01013662",40,135,58,4,1,24,12,2,0,0,11,15,7,0,0,
"S01013663",15,38,20,2,1,187,113,37,5,0,13,6,2,0,0,
"S01013664",24,126,52,3,1,133,45,6,0,0,12,48,8,0,0,
"S01013665",17,45,7,4,0,140,111,20,3,0,22,8,0,0,0,
"S01013666",22,58,21,4,0,107,78,15,2,0,34,15,3,1,2,
"S01013667",22,47,18,3,0,134,79,10,2,1,36,27,8,1,0,
"S01013668",34,70,13,0,0,95,54,14,1,0,18,27,10,1,0,
"S01013669",39,71,25,1,0,45,32,7,0,0,18,13,7,0,0,
"S01013670",62,104,36,3,0,65,53,7,0,0,33,25,13,2,0,
"S01013671",53,153,69,9,2,115,45,3,0,0,17,18,5,3,0,
"S01013672",30,196,94,12,5,8,6,0,0,0,57,97,30,3,2,
"S01013673",36,100,25,5,4,24,17,4,0,0,36,30,18,0,0,
"S01013674",43,112,42,2,4,14,19,2,0,0,41,47,13,2,0,
"S01013675",47,131,51,8,3,16,15,3,0,0,16,33,3,5,3,
"S01013676",65,149,61,4,5,66,54,7,0,0,57,68,7,5,1,
"S01013677",29,60,19,4,1,228,121,25,1,0,18,19,2,3,0,
"S01013678",41,100,55,10,1,43,32,10,1,0,12,14,1,0,0,
"S01013679",36,96,27,7,1,95,51,10,2,1,16,19,3,4,0,
"S01013680",43,84,39,6,3,101,64,3,0,0,17,34,4,1,0,
"S01013681",36,44,14,1,0,155,69,6,1,0,30,31,2,3,0,
"S01013682",25,64,32,4,0,10,7,2,0,0,23,17,4,0,1,
"S01013683",45,107,41,5,0,74,51,4,0,0,24,29,11,0,0,
"S01013684",21,63,36,6,1,86,60,16,0,0,8,7,4,2,0,
"S01013685",44,108,65,10,1,40,33,11,0,0,4,7,3,0,0,
"S01013686",26,69,31,3,0,67,47,10,2,1,7,9,5,0,0,
"S01013687",31,60,25,4,0,79,51,11,0,1,2,10,1,0,0,
"S01013688",44,107,58,6,0,93,58,14,1,0,15,6,0,1,0,
"S01013689",20,91,44,7,1,50,32,9,2,1,8,4,1,0,0,
"S01013690",16,53,36,0,0,42,43,8,0,0,8,8,4,1,0,
"S01013691",41,87,58,6,5,81,61,12,3,0,10,5,3,0,0,
"S01013692",32,109,49,6,0,98,81,20,4,3,12,16,3,1,0,
"S01013693",22,134,70,10,1,86,61,6,1,0,8,11,3,1,0,
"S01013694",37,112,65,6,1,116,72,7,0,0,9,17,8,0,0,
"S01013695",25,84,46,2,2,39,20,11,3,0,9,7,3,0,0,
"S01013696",38,105,52,9,2,105,82,14,3,0,13,8,10,0,0,
"S01013697",29,107,38,7,0,76,33,8,0,0,0,5,2,0,1,
"S01013698",20,35,27,1,0,38,52,17,4,2,2,5,1,0,0,
"S01013699",18,65,33,3,1,47,28,16,1,2,7,4,1,0,0,
"S01013700",37,125,59,14,4,94,61,17,4,1,6,5,2,0,0,
"S01013701",18,70,34,5,0,36,42,15,7,0,10,11,1,0,0,
"S01013702",38,98,67,17,6,59,55,22,3,0,7,4,5,0,0,
"S01013703",26,68,51,4,2,43,45,10,3,0,1,7,2,0,0,
