SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01017166",54,106,33,2,0,47,28,5,0,0,60,26,6,2,0,
"S01017167",53,109,20,5,0,9,7,0,0,0,118,83,14,0,0,
"S01017168",28,35,10,1,0,151,59,8,1,0,49,27,3,0,0,
"S01017169",26,33,8,2,1,117,141,9,1,0,66,52,5,0,0,
"S01017170",56,65,13,2,1,160,61,7,1,1,31,20,0,1,0,
"S01017171",37,73,9,3,1,108,102,10,1,2,42,21,4,0,0,
"S01017172",57,107,15,2,1,26,27,0,3,0,115,76,20,2,0,
"S01017173",16,39,9,0,1,23,13,1,0,0,204,93,21,1,1,
"S01017174",35,36,11,4,1,181,67,16,0,0,29,11,2,0,0,
"S01017175",68,88,10,3,0,205,58,6,2,0,91,33,2,1,0,
"S01017176",62,80,18,1,0,52,31,1,0,0,146,54,12,0,0,
"S01017177",49,83,10,1,0,58,35,4,0,0,74,33,7,0,0,
"S01017178",90,100,26,2,1,143,47,4,0,0,196,104,10,1,0,
"S01017179",63,98,17,1,0,106,31,5,2,0,100,73,14,0,0,
"S01017180",74,84,17,0,0,151,55,8,0,0,133,66,6,0,0,
"S01017181",63,100,18,3,0,161,49,9,0,3,120,82,12,0,0,
"S01017182",18,21,8,0,0,124,58,18,0,0,14,10,0,0,0,
"S01017183",37,37,7,0,0,134,88,10,2,3,23,11,3,0,0,
"S01017184",45,93,34,7,0,42,35,5,2,1,14,14,1,0,0,
"S01017185",29,31,11,0,1,245,81,18,0,1,26,9,2,0,0,
"S01017186",22,33,9,0,0,184,75,15,0,0,17,9,0,0,0,
"S01017187",25,63,20,2,0,111,72,22,5,0,6,9,0,0,0,
"S01017188",16,96,49,5,0,31,36,9,3,0,21,5,0,0,0,
"S01017189",20,17,1,3,0,247,87,24,0,0,39,20,4,0,0,
"S01017190",28,40,5,1,0,271,103,8,2,2,27,8,5,0,0,
"S01017191",21,25,2,2,0,259,105,14,2,0,36,17,1,0,0,
"S01017192",59,125,27,1,0,167,63,6,3,0,73,40,8,1,1,
"S01017193",7,38,16,1,0,99,92,24,2,0,3,3,0,0,0,
"S01017194",26,32,15,3,0,105,50,10,0,1,38,28,5,0,0,
"S01017195",11,20,6,4,0,181,76,15,3,0,4,7,5,1,0,
"S01017196",73,64,24,2,1,191,74,8,0,0,57,25,0,0,0,
"S01017197",3,4,0,0,0,139,58,11,3,1,11,4,0,0,0,
"S01017198",9,13,1,0,0,131,80,15,2,1,17,8,0,0,0,
"S01017199",21,31,13,0,1,78,56,9,3,0,34,20,5,0,0,
"S01017200",31,34,16,4,0,105,58,17,0,0,19,8,3,0,0,
"S01017201",68,79,12,2,1,79,24,10,0,0,77,53,12,0,0,
"S01017202",36,59,21,6,0,210,75,17,2,0,37,17,4,0,0,
"S01017203",26,85,35,6,0,22,13,1,4,0,26,15,7,0,0,
"S01017204",37,78,26,4,0,109,91,16,2,2,25,17,7,4,0,
"S01017205",22,36,9,1,0,219,107,18,0,0,56,25,2,2,0,
"S01017206",35,50,27,1,1,45,35,9,0,0,15,12,4,0,0,
"S01017207",43,53,40,4,1,132,52,7,2,0,23,16,2,2,0,
"S01017208",35,40,20,3,2,125,67,15,0,0,15,9,5,0,2,
"S01017209",10,14,10,1,0,162,61,13,0,0,20,7,5,0,0,
"S01017210",17,104,59,7,1,40,27,12,0,0,28,31,15,0,0,
"S01017211",24,78,42,5,2,121,57,5,0,0,39,50,5,0,0,
"S01017212",42,139,79,22,7,12,7,2,0,0,5,11,6,0,0,
"S01017213",19,105,63,22,5,0,3,1,0,0,9,1,2,0,0,
"S01017214",35,107,72,13,4,53,28,3,0,0,11,15,6,0,0,
"S01017215",44,134,64,10,2,48,16,2,0,0,15,15,2,0,0,
"S01017216",65,126,84,21,1,14,5,1,0,0,11,2,2,0,0,
"S01017217",42,132,68,20,8,7,4,2,0,0,5,11,5,0,0,
"S01017218",53,104,37,6,1,33,29,5,0,0,12,6,4,1,0,
"S01017219",40,87,40,9,3,30,34,5,2,0,5,7,0,1,0,
"S01017220",43,61,32,9,0,70,37,9,3,2,8,6,2,2,0,
"S01017221",20,83,67,29,7,5,4,3,0,0,1,5,2,0,0,
"S01017222",30,140,102,28,10,14,8,3,1,0,5,10,3,0,0,
"S01017223",35,139,87,13,3,2,1,0,0,0,0,9,2,0,0,
"S01017224",38,122,67,29,7,5,0,1,0,0,7,6,4,1,0,
"S01017225",39,169,87,19,7,2,7,3,0,0,15,41,8,0,1,
"S01017226",46,81,44,3,2,48,33,4,4,0,12,12,4,0,0,
"S01017227",81,119,38,13,1,65,46,6,1,0,19,14,2,0,0,
"S01017228",41,141,70,15,4,6,2,0,0,0,5,4,4,0,0,
"S01017229",62,99,35,6,1,85,49,12,4,0,18,8,4,0,0,
"S01017230",40,108,67,10,3,1,0,0,1,0,4,5,2,0,0,
"S01017231",9,133,150,20,8,7,0,1,0,0,2,4,3,2,0,
"S01017232",31,87,22,12,1,38,27,3,2,0,40,32,3,0,0,
"S01017233",59,142,78,26,6,17,9,3,1,0,18,14,4,1,0,
"S01017234",54,115,41,10,2,80,47,4,0,0,13,14,2,0,0,
"S01017235",47,131,67,23,3,27,10,0,0,0,21,23,2,0,0,
"S01017236",7,113,171,17,4,1,1,1,0,0,1,1,1,0,0,
"S01017237",5,77,127,23,7,2,7,0,0,0,3,6,1,0,0,
"S01017238",3,47,108,25,7,3,0,2,0,0,4,7,2,0,0,
"S01017239",5,59,86,16,7,1,2,0,0,0,10,6,1,1,0,
"S01017240",14,93,129,22,9,30,45,4,3,3,8,6,3,3,0,
"S01017241",29,120,69,9,4,23,12,1,0,0,6,7,2,0,0,
"S01017242",35,123,74,17,2,2,0,0,0,0,3,5,0,1,0,
"S01017243",36,127,77,21,0,2,4,1,0,0,5,7,1,0,0,
"S01017244",46,116,77,21,2,5,4,0,0,0,11,8,6,1,0,
"S01017245",33,120,81,25,5,2,0,1,0,0,0,2,0,0,0,
"S01017246",34,115,87,25,3,1,1,1,0,0,1,4,4,0,0,
"S01017247",47,155,93,17,5,13,4,0,1,0,6,8,2,0,0,
"S01017248",50,135,64,17,6,8,6,3,0,0,8,12,0,0,0,
"S01017249",11,107,86,25,3,1,4,3,0,0,3,5,3,0,0,
"S01017250",27,193,147,31,4,4,3,2,0,0,9,8,4,0,0,
"S01017251",27,147,103,34,9,8,2,0,0,0,8,11,6,1,1,
"S01017252",31,43,21,8,0,33,13,6,2,0,41,20,3,0,0,
"S01017253",53,67,17,3,1,91,46,10,1,0,75,36,0,0,0,
"S01017254",73,123,53,10,2,101,32,1,1,0,25,13,3,1,0,
"S01017255",7,14,5,0,0,78,55,16,2,0,5,2,1,0,0,
"S01017256",6,86,130,14,5,3,4,0,0,0,0,14,8,0,0,
"S01017257",29,40,7,2,0,210,85,20,6,0,25,11,2,0,0,
"S01017258",7,20,5,1,0,184,101,14,3,1,14,4,0,0,0,
"S01017259",20,19,8,2,1,275,134,34,1,1,5,5,0,0,0,
"S01017260",15,33,11,1,3,133,61,18,0,0,20,6,3,1,0,
"S01017261",14,21,6,1,2,215,66,14,9,0,15,2,0,0,0,
"S01017262",13,67,36,13,8,3,1,0,0,0,3,7,2,0,0,
"S01017263",28,152,90,17,0,9,4,1,0,0,8,11,4,1,0,
"S01017264",20,77,61,6,2,19,10,5,0,0,14,17,5,0,0,
"S01017265",15,82,75,21,2,85,36,7,4,0,17,6,5,1,0,
"S01017266",8,17,5,1,1,152,84,17,2,2,12,0,3,0,0,
"S01017267",5,15,11,1,1,94,53,19,2,4,3,2,2,0,0,
"S01017268",3,26,8,2,0,127,60,15,2,0,9,4,0,0,0,
"S01017269",8,4,6,3,0,96,85,17,1,2,2,0,4,0,0,
"S01017270",3,11,3,0,0,130,81,10,4,1,9,2,0,0,0,
"S01017271",9,11,1,0,0,120,54,15,2,0,5,7,0,0,0,
"S01017272",16,22,14,4,0,131,90,17,4,2,12,18,6,1,0,
"S01017273",43,88,38,7,0,30,25,0,0,1,32,24,1,1,2,
"S01017274",13,33,28,5,3,51,32,5,1,0,9,6,0,0,0,
"S01017275",33,86,67,13,4,63,33,6,0,0,5,10,1,0,0,
"S01017276",27,58,22,7,1,101,50,10,0,0,5,6,0,0,0,
"S01017277",3,7,1,1,0,135,55,5,6,0,8,3,0,0,0,
"S01017278",13,17,9,2,0,188,95,9,1,0,29,9,1,0,0,
"S01017279",24,101,71,8,4,96,44,10,6,0,9,4,5,0,0,
"S01017280",49,125,88,26,9,2,5,0,0,0,8,8,0,2,0,
"S01017281",57,80,23,3,0,143,89,16,2,0,33,13,1,0,0,
"S01017282",48,57,16,4,0,145,59,8,0,0,24,15,2,1,0,
"S01017283",99,107,32,4,1,146,77,6,1,0,52,40,5,0,0,
"S01017284",56,84,23,7,2,75,61,11,2,0,17,11,1,0,1,
"S01017285",71,100,56,13,8,50,18,9,2,0,25,21,4,0,0,
"S01017286",77,117,30,2,0,113,50,7,0,0,58,30,7,2,0,
"S01017287",36,65,24,5,1,348,77,9,0,0,26,11,3,0,0,
"S01017288",59,96,50,10,1,166,46,6,3,1,37,26,7,0,0,
"S01017289",62,102,35,12,0,26,9,4,0,0,100,49,8,0,0,
"S01017290",24,21,9,2,0,259,107,17,0,0,40,15,1,0,0,
"S01017291",35,59,23,1,3,128,69,19,0,4,30,6,0,2,0,
"S01017292",67,107,25,10,0,70,58,6,3,0,14,17,4,0,2,
"S01017293",48,57,19,4,0,113,49,7,6,0,72,31,5,1,0,
"S01017294",51,99,30,3,1,90,39,0,2,0,44,30,5,0,0,
"S01017295",27,50,10,0,0,149,75,12,1,0,30,15,0,0,0,
"S01017296",16,27,13,3,1,234,103,23,3,0,39,16,3,0,1,
"S01017297",21,48,40,3,0,75,42,5,0,0,17,9,1,0,0,
"S01017298",28,85,76,9,0,146,51,7,1,0,32,15,2,0,0,
"S01017299",24,142,73,11,2,62,61,18,0,0,8,32,4,0,0,
"S01017300",33,66,20,3,0,133,106,18,3,0,34,18,5,1,0,
"S01017301",44,68,18,2,0,122,83,16,0,0,6,10,1,0,0,
"S01017302",83,115,34,8,1,55,15,6,0,0,25,28,8,0,0,
"S01017303",67,114,31,7,2,133,55,13,2,0,22,30,0,1,0,
"S01017304",71,110,32,1,1,127,57,10,0,1,24,17,2,0,2,
"S01017305",66,108,40,7,1,113,49,4,0,0,23,11,3,0,0,
"S01017306",32,53,14,7,0,84,38,3,0,0,10,7,2,0,0,
"S01017307",24,27,9,1,0,98,69,18,2,0,10,5,3,0,0,
"S01017308",88,105,32,4,0,85,41,6,2,0,30,23,5,0,0,
"S01017309",52,91,28,6,2,73,47,11,3,0,7,10,4,0,0,
"S01017310",2,5,5,0,0,145,82,15,3,0,10,5,0,0,0,
"S01017311",11,52,35,14,4,84,46,10,1,1,5,3,3,0,0,
"S01017312",17,13,7,0,0,174,92,14,1,0,8,8,1,0,0,
"S01017313",19,53,23,5,0,101,76,18,1,0,22,7,4,0,1,
"S01017314",32,61,42,15,4,70,43,13,2,1,2,5,0,2,1,
"S01017315",22,30,11,4,2,133,98,14,2,0,9,4,2,0,0,
"S01017316",55,147,82,17,0,101,36,12,1,0,16,7,2,0,0,
"S01017317",47,91,14,4,2,150,77,7,0,0,21,19,1,0,0,
"S01017318",17,45,25,7,2,61,30,6,0,0,14,6,6,0,0,
"S01017319",26,50,34,6,0,105,58,7,0,0,15,12,3,1,0,
"S01017320",17,48,10,3,1,91,36,12,3,0,8,8,2,0,0,
"S01017321",19,67,47,1,0,232,80,24,2,0,9,8,1,4,0,
"S01017322",76,96,25,4,0,155,59,2,1,0,38,33,4,0,0,
"S01017323",43,98,55,13,2,35,33,3,4,0,13,12,0,0,0,
"S01017324",25,81,44,8,0,52,5,3,0,0,10,7,7,0,0,
"S01017325",45,59,20,4,3,48,31,1,0,0,18,15,0,1,0,
"S01017326",68,100,33,8,3,65,37,6,2,0,23,9,9,2,0,
"S01017327",15,37,20,2,0,140,56,15,3,1,7,7,1,0,0,
"S01017328",12,15,10,1,1,164,114,29,1,1,9,5,0,0,0,
"S01017329",30,53,24,2,2,164,60,13,2,0,21,9,3,0,0,
"S01017330",9,74,73,8,1,28,14,5,1,0,11,14,6,0,0,
"S01017331",35,43,22,6,0,117,53,5,2,0,3,8,3,0,0,
"S01017332",46,131,65,9,1,10,6,1,0,0,10,15,4,0,0,
"S01017333",43,43,13,0,4,62,37,8,1,1,6,7,0,1,0,
"S01017334",32,58,16,4,0,96,46,9,0,0,12,15,4,0,0,
"S01017335",38,47,22,4,2,118,74,17,0,0,7,6,3,0,0,
"S01017336",5,84,101,11,2,3,0,2,0,0,2,1,2,0,0,
"S01017337",0,49,77,20,8,4,0,1,0,0,0,3,1,2,0,
"S01017338",15,135,130,29,9,2,1,2,0,0,1,8,4,1,0,
"S01017339",8,64,116,46,19,1,0,0,0,0,2,12,4,1,0,
"S01017340",15,118,89,12,6,1,2,0,0,0,1,9,6,2,1,
"S01017341",20,110,72,14,1,4,0,0,0,0,7,11,1,0,1,
"S01017342",36,139,70,8,3,1,0,0,0,0,13,13,3,0,0,
"S01017343",35,160,96,18,6,3,1,0,0,0,10,17,3,0,0,
"S01017344",13,94,130,22,4,0,2,0,0,0,2,13,9,0,0,
"S01017345",22,137,106,16,2,3,0,0,0,0,2,15,4,0,0,
"S01017346",45,90,39,6,3,39,23,8,1,0,6,2,2,0,0,
"S01017347",39,83,47,8,5,27,24,13,1,0,9,12,2,0,0,
"S01017348",35,54,21,3,2,87,54,7,0,0,9,4,0,1,0,
"S01017349",36,46,21,2,0,68,54,13,3,0,12,7,1,0,0,
"S01017350",45,79,41,4,2,56,43,13,1,0,14,13,2,1,0,
"S01017351",41,97,26,8,0,185,68,12,3,0,36,28,4,0,0,
"S01017352",24,35,13,7,0,96,61,12,5,0,4,0,0,0,0,
"S01017353",51,72,41,3,2,75,21,11,2,0,7,5,3,0,0,
"S01017354",50,82,61,12,2,23,8,4,1,0,1,1,0,0,0,
"S01017355",9,5,5,0,1,232,103,16,0,0,12,1,0,0,0,
"S01017356",40,89,69,17,7,15,12,0,0,0,20,13,3,0,0,
"S01017357",43,51,9,6,0,200,88,25,1,0,27,7,2,0,0,
"S01017358",30,47,19,4,2,108,28,4,0,0,26,20,0,0,0,
"S01017359",83,100,7,4,1,141,37,4,0,0,98,61,7,0,0,
"S01017360",39,65,17,4,0,98,35,5,0,0,39,18,2,0,0,
"S01017361",74,136,58,7,0,73,24,2,0,0,20,12,2,0,0,
"S01017362",48,61,14,3,2,235,58,15,0,0,29,7,2,0,0,
"S01017363",56,54,16,5,0,237,115,25,2,0,61,20,3,1,0,
"S01017364",63,112,35,6,0,121,57,1,0,0,39,17,4,0,0,
"S01017365",65,167,73,18,6,16,2,3,0,0,14,14,5,2,0,
"S01017366",19,30,7,1,0,287,110,13,2,2,28,7,2,0,0,
"S01017367",13,23,2,0,0,173,62,5,0,0,33,14,1,0,0,
"S01017368",20,24,3,0,0,108,49,6,0,0,41,15,0,0,1,
"S01017369",47,92,15,12,0,205,58,9,0,0,77,30,9,1,0,
"S01017370",29,87,18,3,1,17,7,1,0,0,51,47,12,1,0,
"S01017371",32,30,3,1,0,178,88,14,0,0,20,12,0,0,0,
"S01017372",40,34,12,0,0,201,71,13,0,3,43,31,11,0,0,
"S01017373",26,56,10,3,0,114,40,6,0,0,34,21,2,0,0,
"S01017374",15,14,3,1,4,263,128,26,1,0,20,8,1,0,0,
"S01017375",49,86,26,5,2,211,110,21,3,0,27,11,6,2,0,
"S01017376",23,61,37,10,0,58,37,2,0,0,9,10,1,0,0,
"S01017377",14,23,10,0,0,161,92,15,4,0,10,6,3,0,0,
"S01017378",13,9,2,0,0,257,112,16,0,2,19,8,2,0,0,
"S01017379",24,14,0,0,0,228,110,9,0,0,18,10,1,0,0,
"S01017380",3,6,3,1,0,233,116,25,0,0,8,7,0,0,0,
"S01017381",21,30,16,4,1,118,72,9,1,1,28,22,0,1,0,
"S01017382",24,16,5,0,0,177,104,17,1,0,11,6,3,0,1,
"S01017383",105,130,36,2,2,62,20,4,0,0,107,81,20,2,0,
"S01017384",40,95,25,2,1,4,1,0,0,0,82,109,37,1,0,
"S01017385",69,112,26,7,1,12,10,1,0,0,62,65,14,1,0,
"S01017386",67,97,29,0,1,23,12,4,1,0,67,38,7,2,0,
"S01017387",57,114,16,2,0,35,16,2,1,0,85,51,11,4,0,
"S01017388",53,59,14,1,1,116,65,9,2,0,61,38,2,0,0,
"S01017389",64,77,22,4,0,82,40,5,0,0,65,40,4,1,0,
"S01017390",100,135,23,0,1,123,34,2,1,0,126,68,6,0,0,
"S01017391",39,36,2,0,0,121,63,10,0,0,74,42,7,0,0,
"S01017392",53,32,4,0,0,178,78,14,0,0,177,49,2,0,0,
"S01017393",37,37,3,0,0,143,46,8,0,2,44,23,6,0,0,
"S01017394",15,22,2,1,0,192,94,18,0,0,45,26,5,0,0,
"S01017395",60,113,47,3,1,103,40,7,0,0,13,18,1,1,0,
"S01017396",110,142,32,1,0,9,3,1,0,0,80,64,11,1,0,
"S01017397",89,101,14,2,0,26,10,1,0,0,88,60,6,3,0,
"S01017398",68,118,28,5,0,4,2,0,0,0,82,60,14,5,0,
"S01017399",33,78,21,2,0,6,2,1,0,0,78,71,14,3,0,
"S01017400",46,91,27,2,0,20,8,2,0,0,56,37,4,2,0,
"S01017401",32,41,12,5,0,127,63,4,2,0,53,21,0,0,0,
"S01017402",65,60,20,0,1,205,70,10,3,0,58,25,11,1,0,
"S01017403",17,20,12,0,0,185,105,17,0,0,43,25,3,0,0,
"S01017404",32,24,8,1,0,323,102,9,0,0,45,31,3,2,0,
"S01017405",15,22,2,0,0,91,30,4,0,1,76,44,2,0,0,
"S01017406",23,29,4,0,0,11,1,0,0,0,138,31,2,0,0,
"S01017407",66,69,10,0,0,20,2,0,0,0,162,67,12,0,0,
"S01017408",36,28,0,2,1,215,77,6,0,2,59,28,1,0,0,
"S01017409",29,11,0,0,0,109,37,1,0,0,51,8,2,0,0,
"S01017410",102,71,13,0,0,64,15,2,0,0,193,43,2,0,0,
"S01017411",49,32,5,1,1,162,65,3,0,0,145,33,7,0,2,
"S01017412",63,32,8,0,0,242,62,2,1,0,105,33,7,2,2,
"S01017413",55,54,5,2,0,34,7,2,0,0,207,60,5,0,0,
"S01017414",88,55,4,0,0,116,36,4,0,1,228,48,3,0,0,
"S01017415",106,66,4,1,1,19,6,3,0,0,247,49,4,3,0,
"S01017416",46,60,10,3,0,18,14,0,0,0,101,23,8,2,0,
"S01017417",27,23,0,0,0,8,5,0,0,0,204,21,3,0,0,
"S01017418",70,73,9,2,0,61,15,3,0,0,125,62,10,1,0,
"S01017419",47,29,4,0,1,47,12,1,0,0,109,38,2,1,1,
"S01017420",48,51,5,0,1,122,38,2,0,0,115,45,10,0,0,
"S01017421",46,16,4,0,0,343,68,0,0,0,50,13,0,0,0,
"S01017422",45,44,8,1,1,37,19,0,0,0,149,38,15,2,2,
"S01017423",25,19,1,0,0,235,64,2,0,0,65,32,1,0,0,
"S01017424",5,6,1,0,0,113,62,7,1,0,19,4,2,0,0,
"S01017425",53,55,8,0,0,26,8,1,0,0,217,65,5,4,0,
"S01017426",58,83,16,0,0,9,6,0,0,0,131,62,6,6,1,
"S01017427",90,55,2,0,0,6,8,2,0,0,287,41,6,1,0,
"S01017428",46,204,32,4,0,23,14,3,0,0,123,128,12,0,0,
"S01017429",14,22,8,0,0,103,83,13,2,0,17,8,3,0,0,
"S01017430",26,7,6,1,0,147,97,8,2,0,53,15,2,0,0,
"S01017431",30,29,12,2,0,85,53,5,0,0,62,20,9,3,0,
"S01017432",40,93,23,0,0,55,28,0,0,0,164,66,14,1,0,
"S01017433",46,78,10,0,0,46,19,1,0,0,200,71,4,2,1,
"S01017434",42,117,21,2,1,90,63,4,0,0,108,54,16,6,0,
"S01017435",31,92,20,1,0,88,40,3,0,0,108,44,12,0,0,
"S01017436",29,77,11,0,1,19,8,1,0,0,103,51,9,2,4,
"S01017437",53,116,48,7,0,35,9,3,0,0,81,68,15,3,0,
"S01017438",62,70,16,0,0,177,55,4,0,0,142,63,10,0,0,
"S01017439",47,85,8,4,0,27,13,3,0,0,110,63,12,1,0,
"S01017440",44,84,14,1,0,59,22,1,0,0,124,65,10,2,0,
"S01017441",36,74,30,2,0,28,15,1,1,0,125,64,18,0,0,
"S01017442",51,167,60,14,1,10,6,0,0,1,55,75,24,2,2,
"S01017443",41,96,32,2,0,52,28,1,0,0,85,53,25,2,0,
"S01017444",43,99,27,3,0,13,7,3,0,0,138,73,23,2,0,
"S01017445",18,53,8,1,0,56,24,11,2,0,38,22,12,2,0,
"S01017446",50,90,19,2,0,67,28,7,1,0,163,69,15,2,2,
"S01017447",58,108,25,1,2,9,0,1,0,0,96,72,21,2,0,
"S01017448",34,60,13,0,1,50,20,3,1,0,113,49,10,2,0,
"S01017449",26,73,19,4,0,8,9,0,0,0,76,41,10,0,0,
"S01017450",56,63,5,0,1,118,54,6,0,0,105,36,7,1,0,
"S01017451",37,68,13,3,0,190,39,5,0,2,101,32,10,0,0,
"S01017452",19,33,4,4,0,115,55,14,5,0,47,19,2,1,0,
"S01017453",45,65,6,1,0,164,36,4,0,0,105,53,19,0,0,
"S01017454",31,33,8,0,0,24,11,2,0,0,73,40,4,0,0,
"S01017455",35,29,6,0,2,195,94,9,0,0,37,15,0,0,0,
"S01017456",8,13,4,0,0,108,73,27,0,0,21,8,3,0,0,
"S01017457",35,40,11,2,0,192,52,7,0,0,55,20,3,0,0,
"S01017458",80,93,20,1,0,175,69,14,2,0,81,45,7,2,0,
"S01017459",54,81,17,0,0,48,18,3,2,0,104,51,5,0,0,
"S01017460",56,143,38,4,0,15,5,2,0,0,71,52,7,1,0,
"S01017461",76,136,34,10,2,41,18,2,0,0,107,68,23,0,1,
"S01017462",28,47,15,3,1,99,33,3,0,0,30,11,2,0,0,
"S01017463",16,28,17,2,2,132,53,0,0,0,45,15,9,0,0,
"S01017464",29,34,14,1,0,115,54,6,0,0,47,18,3,0,0,
"S01017465",4,9,1,1,0,256,120,6,2,1,15,8,5,0,0,
"S01017466",7,12,5,1,1,183,59,10,4,0,13,14,0,0,0,
"S01017467",25,37,7,1,0,103,55,12,4,1,24,12,11,1,0,
"S01017468",21,16,6,2,0,124,43,9,1,1,25,12,2,0,0,
"S01017469",63,153,31,2,0,64,25,5,0,1,118,82,20,2,1,
"S01017470",50,105,26,0,0,47,17,3,0,0,85,64,10,0,0,
"S01017471",59,100,17,0,1,146,45,4,0,0,92,41,8,0,0,
"S01017472",59,195,51,3,0,12,8,0,0,0,73,63,11,6,2,
"S01017473",39,86,42,10,1,78,33,12,0,0,42,39,9,0,1,
"S01017474",16,24,10,2,0,148,106,16,5,0,29,22,5,0,0,
"S01017475",36,49,10,2,0,177,78,13,2,1,87,30,8,0,0,
"S01017476",59,71,14,1,0,96,50,3,0,0,107,41,12,1,0,
"S01017477",5,2,3,0,0,223,56,4,1,0,8,3,2,0,0,
"S01017478",42,69,19,4,0,131,79,10,0,0,17,9,4,0,0,
"S01017479",72,116,29,4,0,154,73,10,0,2,27,13,2,0,0,
"S01017480",15,45,21,4,0,126,55,7,4,1,11,2,2,0,0,
"S01017481",13,36,9,1,0,119,38,10,2,1,31,14,4,0,0,
"S01017482",18,87,46,5,0,84,69,11,2,0,17,21,4,0,0,
"S01017483",67,143,73,10,1,140,34,5,2,0,36,16,2,0,1,
"S01017484",58,63,17,6,1,73,49,4,0,0,25,30,5,0,2,
"S01017485",23,43,8,0,2,90,62,14,3,0,11,10,0,0,0,
"S01017486",79,75,33,7,1,165,67,7,4,3,33,24,4,0,0,
"S01017487",25,59,30,9,3,90,62,15,0,0,14,8,0,0,0,
"S01017488",66,103,34,9,0,161,86,10,1,3,37,17,4,2,0,
"S01017489",68,118,52,9,1,90,68,12,5,1,33,28,6,1,0,
"S01017490",53,61,33,9,0,114,50,9,1,0,25,11,5,0,0,
"S01017491",13,18,5,3,1,172,79,15,0,0,14,5,1,0,0,
"S01017492",49,50,21,10,2,101,70,12,2,0,11,17,0,0,0,
"S01017493",28,41,13,2,2,94,44,6,0,0,12,8,2,0,0,
"S01017494",44,70,34,7,0,36,20,3,2,0,14,4,7,0,0,
"S01017495",27,55,10,1,2,125,75,19,5,1,21,8,2,0,0,
"S01017496",40,90,46,15,3,26,19,4,0,0,12,5,1,1,1,
"S01017497",59,111,47,13,3,4,4,0,1,0,19,12,5,0,0,
"S01017498",56,152,87,24,15,2,2,1,0,0,9,7,2,0,0,
"S01017499",17,38,14,0,2,217,75,10,2,0,16,9,0,0,0,
"S01017500",10,82,111,34,13,4,5,0,0,0,2,9,7,0,0,
"S01017501",63,174,73,19,7,41,13,1,0,0,27,10,6,0,0,
"S01017502",53,104,31,3,1,178,48,8,0,0,22,20,17,0,1,
"S01017503",72,117,41,6,4,83,37,3,0,0,35,18,5,0,0,
"S01017504",64,65,48,7,0,116,44,7,0,0,22,21,0,0,0,
"S01017505",55,75,18,2,2,174,91,12,3,2,29,14,3,0,1,
"S01017506",37,114,46,11,1,69,52,9,0,0,19,27,6,0,0,
"S01017507",47,57,17,0,0,81,42,2,0,0,21,10,3,0,0,
"S01017508",13,21,7,2,0,336,96,17,0,0,36,19,3,3,2,
"S01017509",33,68,35,2,0,118,59,6,1,1,17,21,7,0,0,
"S01017510",40,58,23,4,0,144,93,7,1,0,30,17,5,2,0,
"S01017511",44,104,41,9,0,78,31,7,2,0,30,38,10,1,0,
"S01017512",15,30,12,4,0,121,43,5,0,0,17,14,1,1,0,
"S01017513",62,54,12,1,1,244,77,6,1,3,44,23,3,0,0,
"S01017514",25,38,6,0,0,284,96,8,0,1,36,14,2,0,0,
"S01017515",32,54,19,0,0,131,68,17,1,0,16,24,1,0,0,
"S01017516",18,14,3,0,0,286,70,12,0,0,17,10,0,0,0,
"S01017517",38,44,7,2,0,243,68,5,0,1,52,28,0,0,0,
"S01017518",67,145,57,10,1,25,9,0,0,0,38,51,4,1,0,
"S01017519",31,192,103,19,5,5,0,0,0,0,6,8,2,0,0,
"S01017520",44,207,88,19,4,2,1,0,0,0,34,37,12,1,0,
"S01017521",55,224,83,13,4,7,5,1,0,0,43,71,13,0,0,
"S01017522",29,139,66,14,2,3,2,1,0,0,19,21,6,0,1,
"S01017523",25,82,45,10,3,7,4,1,0,0,24,29,4,1,1,
"S01017524",42,173,55,15,3,8,5,1,0,0,35,44,12,3,0,
"S01017525",47,109,22,0,0,56,31,1,0,0,56,42,13,0,0,
"S01017526",32,155,40,9,2,3,3,1,0,0,39,46,6,0,1,
"S01017527",59,180,65,8,0,5,4,0,0,0,68,67,20,1,2,
"S01017528",41,143,38,2,0,10,4,0,0,0,60,30,10,0,0,
"S01017529",58,146,45,7,2,27,9,0,0,0,74,47,14,2,0,
"S01017530",50,162,51,9,3,13,2,1,0,0,83,55,14,0,1,
