SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013724",4,24,1,10,67,66,25,48,10,56,168,45,0,1,1,
"S01013725",9,45,14,9,73,25,34,36,5,34,45,9,2,4,0,
"S01013726",3,21,6,5,115,120,21,22,5,12,21,3,0,1,0,
"S01013727",11,43,13,17,135,81,15,15,5,20,69,19,0,4,0,
"S01013728",23,66,23,5,65,46,36,33,16,2,13,4,1,2,1,
"S01013729",40,74,17,8,48,25,51,46,7,2,11,2,5,3,0,
"S01013730",22,37,11,6,33,31,43,25,6,2,4,2,3,2,0,
"S01013731",22,69,26,12,101,91,27,26,5,12,34,9,1,5,1,
"S01013732",21,54,22,10,64,31,15,28,7,13,20,5,5,2,0,
"S01013733",39,66,24,6,45,35,85,71,17,22,35,10,4,0,0,
"S01013734",29,53,34,4,47,67,59,49,15,12,13,3,1,1,1,
"S01013735",28,97,31,3,36,50,0,3,1,7,1,2,0,0,2,
"S01013736",6,37,12,4,52,80,9,7,2,2,3,3,1,1,0,
"S01013737",22,54,30,13,47,40,87,81,17,9,18,5,6,1,0,
"S01013738",7,52,44,2,71,75,23,24,7,7,32,13,0,2,1,
