SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01017663",184,0,0,0,0,0,92,0,0,0,0,0,26,0,0,184,92,26,0,0,
"S01017664",44,0,0,0,0,0,151,0,0,0,0,0,87,20,4,44,151,87,20,4,
"S01017665",21,0,0,0,0,0,111,0,0,0,0,0,79,32,13,21,111,79,32,13,
"S01017666",62,0,0,0,0,0,201,0,0,0,0,0,140,33,15,62,201,140,33,15,
"S01017667",71,0,0,0,0,0,150,0,0,0,0,0,95,20,0,71,150,95,20,0,
"S01017668",56,0,0,0,0,0,241,0,0,0,0,0,168,29,13,56,241,168,29,13,
"S01017669",34,0,0,0,0,0,176,0,0,0,0,0,154,62,12,34,176,154,62,12,
"S01017670",95,0,0,0,0,0,226,0,0,0,0,0,115,25,8,95,226,115,25,8,
"S01017671",94,0,0,0,0,0,175,0,0,0,0,0,64,32,3,94,175,64,32,3,
"S01017672",63,0,0,0,0,0,127,0,0,0,0,0,71,17,6,63,127,71,17,6,
"S01017673",26,0,0,0,0,0,127,0,0,0,0,0,124,27,11,26,127,124,27,11,
"S01017674",63,0,0,0,0,0,131,0,0,0,0,0,59,21,6,63,131,59,21,6,
"S01017675",105,0,0,0,0,0,165,0,0,0,0,0,65,14,4,105,165,65,14,4,
"S01017676",78,0,0,0,0,0,144,0,0,0,0,0,71,19,11,78,144,71,19,11,
"S01017677",102,0,0,0,0,0,165,0,0,0,0,0,86,18,3,102,165,86,18,3,
"S01017678",54,0,0,0,0,0,127,0,0,0,0,0,70,18,4,54,127,70,18,4,
"S01017679",70,0,0,0,0,0,144,0,0,0,0,0,87,12,5,70,144,87,12,5,
"S01017680",96,0,0,0,0,0,196,0,0,0,0,0,93,21,9,96,196,93,21,9,
"S01017681",129,0,0,0,0,0,174,0,0,0,0,0,79,17,4,129,174,79,17,4,
"S01017682",114,0,0,0,0,0,142,0,0,0,0,0,42,7,5,114,142,42,7,5,
"S01017683",129,0,0,0,0,0,159,0,0,0,0,0,41,3,2,129,159,41,3,2,
"S01017684",15,0,0,0,0,0,91,0,0,0,0,0,92,26,12,15,91,92,26,12,
"S01017685",17,0,0,0,0,0,121,0,0,0,0,0,99,31,17,17,121,99,31,17,
"S01017686",63,0,0,0,0,0,158,0,0,0,0,0,110,18,8,63,158,110,18,8,
"S01017687",113,0,0,0,0,0,248,0,0,0,0,0,110,21,5,113,248,110,21,5,
"S01017688",36,0,0,0,0,0,131,0,0,0,0,0,108,39,11,36,131,108,39,11,
"S01017689",20,0,0,0,0,0,169,0,0,0,0,0,115,27,10,20,169,115,27,10,
"S01017690",21,0,0,0,0,0,132,0,0,0,0,0,103,28,11,21,132,103,28,11,
"S01017691",72,0,0,0,0,0,267,0,0,0,0,0,146,41,2,72,267,146,41,2,
"S01017692",20,0,0,0,0,0,79,0,0,0,0,0,73,21,7,20,79,73,21,7,
"S01017693",58,0,0,0,0,0,128,0,0,0,0,0,70,20,2,58,128,70,20,2,
"S01017694",50,0,0,0,0,0,174,0,0,0,0,0,112,23,16,50,174,112,23,16,
"S01017695",14,0,0,0,0,0,132,0,0,0,0,0,109,28,12,14,132,109,28,12,
"S01017696",109,0,0,0,0,0,166,0,0,0,0,0,89,12,0,109,166,89,12,0,
"S01017697",58,0,0,0,0,0,183,0,0,0,0,0,77,15,8,58,183,77,15,8,
"S01017698",48,0,0,0,0,0,183,0,0,0,0,0,129,27,9,48,183,129,27,9,
"S01017699",69,0,0,0,0,0,211,0,0,0,0,0,137,28,12,69,211,137,28,12,
"S01017700",21,0,0,0,0,0,119,0,0,0,0,0,100,25,4,21,119,100,25,4,
"S01017701",43,0,0,0,0,0,182,0,0,0,0,0,156,36,15,43,182,156,36,15,
"S01017702",30,0,0,0,0,0,165,0,0,0,0,0,138,45,15,30,165,138,45,15,
"S01017703",11,0,0,0,0,0,95,0,0,0,0,0,85,33,10,11,95,85,33,10,
"S01017704",50,0,0,0,0,0,162,0,0,0,0,0,122,22,16,50,162,122,22,16,
"S01017705",54,0,0,0,0,0,194,0,0,0,0,0,95,19,10,54,194,95,19,10,
"S01017706",64,0,0,0,0,0,180,0,0,0,0,0,77,26,5,64,180,77,26,5,
"S01017707",18,0,0,0,0,0,123,0,0,0,0,0,139,44,25,18,123,139,44,25,
"S01017708",24,0,0,0,0,0,146,0,0,0,0,0,122,31,9,24,146,122,31,9,
"S01017709",19,0,0,0,0,0,159,0,0,0,0,0,144,34,6,19,159,144,34,6,
"S01017710",28,0,0,0,0,0,180,0,0,0,0,0,135,25,10,28,180,135,25,10,
"S01017711",25,0,0,0,0,0,107,0,0,0,0,0,81,15,7,25,107,81,15,7,
"S01017712",14,0,0,0,0,0,138,0,0,0,0,0,126,32,17,14,138,126,32,17,
"S01017713",18,0,0,0,0,0,135,0,0,0,0,0,117,41,17,18,135,117,41,17,
"S01017714",7,0,0,0,0,0,106,0,0,0,0,0,103,44,17,7,106,103,44,17,
"S01017715",103,0,0,0,0,0,182,0,0,0,0,0,58,12,4,103,182,58,12,4,
"S01017716",142,0,0,0,0,0,195,0,0,0,0,0,65,13,6,142,195,65,13,6,
"S01017717",134,0,0,0,0,0,168,0,0,0,0,0,74,15,5,134,168,74,15,5,
"S01017718",74,0,0,0,0,0,117,0,0,0,0,0,59,17,5,74,117,59,17,5,
"S01017719",90,0,0,0,0,0,198,0,0,0,0,0,96,26,4,90,198,96,26,4,
"S01017720",80,0,0,0,0,0,169,0,0,0,0,0,92,20,7,80,169,92,20,7,
"S01017721",35,0,0,0,0,0,145,0,0,0,0,0,75,16,7,35,145,75,16,7,
"S01017722",33,0,0,0,0,0,126,0,0,0,0,0,102,27,6,33,126,102,27,6,
"S01017723",47,0,0,0,0,0,166,0,0,0,0,0,75,21,9,47,166,75,21,9,
"S01017724",54,0,0,0,0,0,100,0,0,0,0,0,39,9,4,54,100,39,9,4,
"S01017725",88,0,0,0,0,0,106,0,0,0,0,0,49,8,3,88,106,49,8,3,
"S01017726",63,0,0,0,0,0,133,0,0,0,0,0,71,15,4,63,133,71,15,4,
"S01017727",10,0,0,0,0,0,92,0,0,0,0,0,85,38,6,10,92,85,38,6,
"S01017728",14,0,0,0,0,0,97,0,0,0,0,0,98,47,15,14,97,98,47,15,
"S01017729",9,0,0,0,0,0,127,0,0,0,0,0,158,52,32,9,127,158,52,32,
"S01017730",6,0,0,0,0,0,168,0,0,0,0,0,143,43,13,6,168,143,43,13,
"S01017731",30,0,0,0,0,0,137,0,0,0,0,0,138,24,7,30,137,138,24,7,
"S01017732",29,0,0,0,0,0,157,0,0,0,0,0,185,45,20,29,157,185,45,20,
"S01017733",86,0,0,0,0,0,184,0,0,0,0,0,116,30,9,86,184,116,30,9,
"S01017734",61,0,0,0,0,0,194,0,0,0,0,0,98,20,3,61,194,98,20,3,
"S01017735",71,0,0,0,0,0,182,0,0,0,0,0,63,4,2,71,182,63,4,2,
"S01017736",55,0,0,0,0,0,101,0,0,0,0,0,49,7,3,55,101,49,7,3,
"S01017737",22,0,0,0,0,0,111,0,0,0,0,0,85,14,1,22,111,85,14,1,
"S01017738",30,0,0,0,0,0,138,0,0,0,0,0,101,24,6,30,138,101,24,6,
"S01017739",18,0,0,0,0,0,137,0,0,0,0,0,142,28,12,18,137,142,28,12,
"S01017740",102,0,0,0,0,0,142,0,0,0,0,0,65,18,3,102,142,65,18,3,
"S01017741",34,0,0,0,0,0,109,0,0,0,0,0,51,14,3,34,109,51,14,3,
"S01017742",48,0,0,0,0,0,164,0,0,0,0,0,82,23,6,48,164,82,23,6,
"S01017743",93,0,0,0,0,0,199,0,0,0,0,0,55,15,3,93,199,55,15,3,
"S01017744",30,0,0,0,0,0,130,0,0,0,0,0,46,9,10,30,130,46,9,10,
"S01017745",33,0,0,0,0,0,130,0,0,0,0,0,100,23,1,33,130,100,23,1,
"S01017746",21,0,0,0,0,0,123,0,0,0,0,0,66,6,1,21,123,66,6,1,
"S01017747",45,0,0,0,0,0,232,0,0,0,0,0,125,25,10,45,232,125,25,10,
"S01017748",31,0,0,0,0,0,201,0,0,0,0,0,141,20,10,31,201,141,20,10,
"S01017749",19,0,0,0,0,0,125,0,0,0,0,0,142,29,4,19,125,142,29,4,
"S01017750",21,0,0,0,0,0,122,0,0,0,0,0,133,28,12,21,122,133,28,12,
"S01017751",34,0,0,0,0,0,139,0,0,0,0,0,93,19,6,34,139,93,19,6,
"S01017752",28,0,0,0,0,0,106,0,0,0,0,0,75,8,6,28,106,75,8,6,
"S01017753",65,0,0,0,0,0,138,0,0,0,0,0,47,10,1,65,138,47,10,1,
"S01017754",7,0,0,0,0,0,86,0,0,0,0,0,151,38,17,7,86,151,38,17,
"S01017755",20,0,0,0,0,0,126,0,0,0,0,0,106,17,6,20,126,106,17,6,
"S01017756",18,0,0,0,0,0,158,0,0,0,0,0,117,15,5,18,158,117,15,5,
"S01017757",52,0,0,0,0,0,143,0,0,0,0,0,64,7,0,52,143,64,7,0,
"S01017758",37,0,0,0,0,0,209,0,0,0,0,0,150,21,11,37,209,150,21,11,
"S01017759",47,0,0,0,0,0,233,0,0,0,0,0,151,16,4,47,233,151,16,4,
"S01017760",33,0,0,0,0,0,137,0,0,0,0,0,95,16,3,33,137,95,16,3,
"S01017761",31,0,0,0,0,0,149,0,0,0,0,0,91,25,8,31,149,91,25,8,
"S01017762",13,0,0,0,0,0,144,0,0,0,0,0,132,41,16,13,144,132,41,16,
"S01017763",7,0,0,0,0,0,137,0,0,0,0,0,138,16,9,7,137,138,16,9,
"S01017764",30,0,0,0,0,0,85,0,0,0,0,0,71,15,0,30,85,71,15,0,
"S01017765",49,0,0,0,0,0,170,0,0,0,0,0,120,19,4,49,170,120,19,4,
"S01017766",32,0,0,0,0,0,181,0,0,0,0,0,151,20,2,32,181,151,20,2,
"S01017767",39,0,0,0,0,0,171,0,0,0,0,0,143,15,5,39,171,143,15,5,
"S01017768",42,0,0,0,0,0,194,0,0,0,0,0,142,28,8,42,194,142,28,8,
"S01017769",60,0,0,0,0,0,204,0,0,0,0,0,113,30,9,60,204,113,30,9,
"S01017770",50,0,0,0,0,0,147,0,0,0,0,0,83,16,3,50,147,83,16,3,
"S01017771",29,0,0,0,0,0,136,0,0,0,0,0,60,21,2,29,136,60,21,2,
"S01017772",37,0,0,0,0,0,184,0,0,0,0,0,115,16,8,37,184,115,16,8,
"S01017773",14,0,0,0,0,0,92,0,0,0,0,0,61,20,4,14,92,61,20,4,
"S01017774",65,0,0,0,0,0,243,0,0,0,0,0,126,34,5,65,243,126,34,5,
"S01017775",98,0,0,0,0,0,183,0,0,0,0,0,76,18,1,98,183,76,18,1,
"S01017776",39,0,0,0,0,0,132,0,0,0,0,0,116,22,10,39,132,116,22,10,
"S01017777",150,0,0,0,0,0,121,0,0,0,0,0,40,8,3,150,121,40,8,3,
"S01017778",70,0,0,0,0,0,136,0,0,0,0,0,43,8,1,70,136,43,8,1,
"S01017779",53,0,0,0,0,0,151,0,0,0,0,0,105,18,9,53,151,105,18,9,
"S01017780",173,0,0,0,0,0,240,0,0,0,0,0,69,4,7,173,240,69,4,7,
"S01017781",56,0,0,0,0,0,170,0,0,0,0,0,59,16,3,56,170,59,16,3,
"S01017782",101,0,0,0,0,0,154,0,0,0,0,0,61,14,3,101,154,61,14,3,
"S01017783",131,0,0,0,0,0,128,0,0,0,0,0,46,6,0,131,128,46,6,0,
"S01017784",87,0,0,0,0,0,195,0,0,0,0,0,85,13,5,87,195,85,13,5,
"S01017785",44,0,0,0,0,0,173,0,0,0,0,0,95,21,15,44,173,95,21,15,
"S01017786",40,0,0,0,0,0,190,0,0,0,0,0,112,17,2,40,190,112,17,2,
"S01017787",28,0,0,0,0,0,162,0,0,0,0,0,98,18,4,28,162,98,18,4,
"S01017788",173,0,0,0,0,0,149,0,0,0,0,0,32,1,0,173,149,32,1,0,
"S01017789",278,0,0,0,0,0,147,0,0,0,0,0,21,2,1,278,147,21,2,1,
"S01017790",111,0,0,0,0,0,216,0,0,0,0,0,89,16,5,111,216,89,16,5,
"S01017791",156,0,0,0,0,0,138,0,0,0,0,0,33,5,2,156,138,33,5,2,
"S01017792",37,0,0,0,0,0,153,0,0,0,0,0,81,10,3,37,153,81,10,3,
"S01017793",133,0,0,0,0,0,173,0,0,0,0,0,52,3,1,133,173,52,3,1,
"S01017794",41,0,0,0,0,0,150,0,0,0,0,0,100,15,10,41,150,100,15,10,
"S01017795",70,0,0,0,0,0,197,0,0,0,0,0,116,23,14,70,197,116,23,14,
"S01017796",140,0,0,0,0,0,192,0,0,0,0,0,53,6,1,140,192,53,6,1,
"S01017797",142,0,0,0,0,0,239,0,0,0,0,0,66,9,4,142,239,66,9,4,
"S01017798",151,0,0,0,0,0,216,0,0,0,0,0,95,8,10,151,216,95,8,10,
"S01017799",85,0,0,0,0,0,116,0,0,0,0,0,44,8,3,85,116,44,8,3,
"S01017800",138,0,0,0,0,0,138,0,0,0,0,0,40,6,0,138,138,40,6,0,
"S01017801",162,0,0,0,0,0,207,0,0,0,0,0,85,17,2,162,207,85,17,2,
"S01017802",215,0,0,0,0,0,224,0,0,0,0,0,69,14,2,215,224,69,14,2,
"S01017803",85,0,0,0,0,0,91,0,0,0,0,0,46,9,1,85,91,46,9,1,
"S01017804",129,0,0,0,0,0,138,0,0,0,0,0,53,12,4,129,138,53,12,4,
"S01017805",81,0,0,0,0,0,187,0,0,0,0,0,84,14,9,81,187,84,14,9,
"S01017806",193,0,0,0,0,0,141,0,0,0,0,0,25,6,2,193,141,25,6,2,
"S01017807",176,0,0,0,0,0,191,0,0,0,0,0,65,4,6,176,191,65,4,6,
"S01017808",309,0,0,0,0,0,285,0,0,0,0,0,67,11,5,309,285,67,11,5,
"S01017809",145,0,0,0,0,0,167,0,0,0,0,0,44,8,2,145,167,44,8,2,
"S01017810",305,0,0,0,0,0,170,0,0,0,0,0,39,3,0,305,170,39,3,0,
"S01017811",161,0,0,0,0,0,119,0,0,0,0,0,35,4,0,161,119,35,4,0,
"S01017812",176,0,0,0,0,0,106,0,0,0,0,0,23,5,0,176,106,23,5,0,
"S01017813",139,0,0,0,0,0,119,0,0,0,0,0,39,8,1,139,119,39,8,1,
"S01017814",238,0,0,0,0,0,124,0,0,0,0,0,27,7,2,238,124,27,7,2,
"S01017815",62,0,0,0,0,0,166,0,0,0,0,0,63,17,4,62,166,63,17,4,
"S01017816",36,0,0,0,0,0,150,0,0,0,0,0,107,22,5,36,150,107,22,5,
"S01017817",45,0,0,0,0,0,172,0,0,0,0,0,70,11,2,45,172,70,11,2,
"S01017818",65,0,0,0,0,0,154,0,0,0,0,0,74,13,4,65,154,74,13,4,
"S01017819",69,0,0,0,0,0,151,0,0,0,0,0,49,15,3,69,151,49,15,3,
"S01017820",78,0,0,0,0,0,167,0,0,0,0,0,83,21,3,78,167,83,21,3,
"S01017821",46,0,0,0,0,0,164,0,0,0,0,0,112,15,4,46,164,112,15,4,
"S01017822",56,0,0,0,0,0,132,0,0,0,0,0,59,7,4,56,132,59,7,4,
"S01017823",62,0,0,0,0,0,174,0,0,0,0,0,105,28,3,62,174,105,28,3,
"S01017824",36,0,0,0,0,0,104,0,0,0,0,0,48,14,2,36,104,48,14,2,
"S01017825",89,0,0,0,0,0,167,0,0,0,0,0,75,11,3,89,167,75,11,3,
"S01017826",19,0,0,0,0,0,123,0,0,0,0,0,125,37,25,19,123,125,37,25,
"S01017827",15,0,0,0,0,0,118,0,0,0,0,0,126,36,9,15,118,126,36,9,
"S01017828",59,0,0,0,0,0,149,0,0,0,0,0,81,9,5,59,149,81,9,5,
"S01017829",100,0,0,0,0,0,169,0,0,0,0,0,69,14,5,100,169,69,14,5,
"S01017830",27,0,0,0,0,0,166,0,0,0,0,0,138,29,18,27,166,138,29,18,
"S01017831",18,0,0,0,0,0,180,0,0,0,0,0,160,52,23,18,180,160,52,23,
"S01017832",38,0,0,0,0,0,137,0,0,0,0,0,94,26,7,38,137,94,26,7,
"S01017833",11,0,0,0,0,0,100,0,0,0,0,0,103,49,14,11,100,103,49,14,
"S01017834",21,0,0,0,0,0,149,0,0,0,0,0,148,50,24,21,149,148,50,24,
"S01017835",12,0,0,0,0,0,113,0,0,0,0,0,145,31,19,12,113,145,31,19,
"S01017836",29,0,0,0,0,0,210,0,0,0,0,0,168,54,27,29,210,168,54,27,
"S01017837",80,0,0,0,0,0,228,0,0,0,0,0,147,40,18,80,228,147,40,18,
"S01017838",28,0,0,0,0,0,120,0,0,0,0,0,103,34,8,28,120,103,34,8,
"S01017839",59,0,0,0,0,0,144,0,0,0,0,0,58,11,4,59,144,58,11,4,
"S01017840",20,0,0,0,0,0,132,0,0,0,0,0,96,22,5,20,132,96,22,5,
"S01017841",26,0,0,0,0,0,120,0,0,0,0,0,99,22,18,26,120,99,22,18,
"S01017842",25,0,0,0,0,0,199,0,0,0,0,0,135,35,4,25,199,135,35,4,
"S01017843",32,0,0,0,0,0,170,0,0,0,0,0,107,16,12,32,170,107,16,12,
"S01017844",83,0,0,0,0,0,191,0,0,0,0,0,55,14,3,83,191,55,14,3,
"S01017845",73,0,0,0,0,0,239,0,0,0,0,0,114,42,15,73,239,114,42,15,
"S01017846",42,0,0,0,0,0,106,0,0,0,0,0,46,14,4,42,106,46,14,4,
"S01017847",46,0,0,0,0,0,121,0,0,0,0,0,114,15,4,46,121,114,15,4,
"S01017848",37,0,0,0,0,0,158,0,0,0,0,0,126,24,12,37,158,126,24,12,
"S01017849",30,0,0,0,0,0,233,0,0,0,0,0,159,33,8,30,233,159,33,8,
"S01017850",29,0,0,0,0,0,135,0,0,0,0,0,87,17,5,29,135,87,17,5,
"S01017851",51,0,0,0,0,0,113,0,0,0,0,0,116,31,16,51,113,116,31,16,
"S01017852",92,0,0,0,0,0,134,0,0,0,0,0,56,12,3,92,134,56,12,3,
"S01017853",106,0,0,0,0,0,186,0,0,0,0,0,74,12,5,106,186,74,12,5,
"S01017854",130,0,0,0,0,0,228,0,0,0,0,0,104,28,5,130,228,104,28,5,
"S01017855",27,0,0,0,0,0,193,0,0,0,0,0,176,45,19,27,193,176,45,19,
"S01017856",46,0,0,0,0,0,203,0,0,0,0,0,147,51,18,46,203,147,51,18,
"S01017857",28,0,0,0,0,0,201,0,0,0,0,0,128,41,13,28,201,128,41,13,
"S01017858",32,0,0,0,0,0,173,0,0,0,0,0,95,26,4,32,173,95,26,4,
"S01017859",39,0,0,0,0,0,154,0,0,0,0,0,94,29,15,39,154,94,29,15,
"S01017860",53,0,0,0,0,0,209,0,0,0,0,0,134,25,12,53,209,134,25,12,
"S01017861",27,0,0,0,0,0,204,0,0,0,0,0,124,28,5,27,204,124,28,5,
"S01017862",48,0,0,0,0,0,207,0,0,0,0,0,116,23,10,48,207,116,23,10,
"S01017863",64,0,0,0,0,0,158,0,0,0,0,0,65,10,5,64,158,65,10,5,
"S01017864",32,0,0,0,0,0,160,0,0,0,0,0,122,37,11,32,160,122,37,11,
"S01017865",77,0,0,0,0,0,160,0,0,0,0,0,101,22,4,77,160,101,22,4,
"S01017866",22,0,0,0,0,0,114,0,0,0,0,0,70,21,11,22,114,70,21,11,
"S01017867",29,0,0,0,0,0,146,0,0,0,0,0,101,17,7,29,146,101,17,7,
"S01017868",19,0,0,0,0,0,102,0,0,0,0,0,126,45,11,19,102,126,45,11,
"S01017869",47,0,0,0,0,0,184,0,0,0,0,0,128,43,24,47,184,128,43,24,
"S01017870",29,0,0,0,0,0,201,0,0,0,0,0,159,56,24,29,201,159,56,24,
"S01017871",30,0,0,0,0,0,157,0,0,0,0,0,107,36,18,30,157,107,36,18,
"S01017872",15,0,0,0,0,0,83,0,0,0,0,0,104,32,11,15,83,104,32,11,
"S01017873",21,0,0,0,0,0,96,0,0,0,0,0,87,34,8,21,96,87,34,8,
"S01017874",43,0,0,0,0,0,194,0,0,0,0,0,161,35,15,43,194,161,35,15,
"S01017875",24,0,0,0,0,0,163,0,0,0,0,0,157,54,17,24,163,157,54,17,
"S01017876",13,0,0,0,0,0,123,0,0,0,0,0,145,59,23,13,123,145,59,23,
"S01017877",52,0,0,0,0,0,144,0,0,0,0,0,77,14,5,52,144,77,14,5,
"S01017878",56,0,0,0,0,0,149,0,0,0,0,0,108,14,8,56,149,108,14,8,
"S01017879",19,0,0,0,0,0,135,0,0,0,0,0,106,31,6,19,135,106,31,6,
"S01017880",54,0,0,0,0,0,159,0,0,0,0,0,111,22,5,54,159,111,22,5,
"S01017881",32,0,0,0,0,0,133,0,0,0,0,0,116,17,11,32,133,116,17,11,
"S01017882",12,0,0,0,0,0,62,0,0,0,0,0,90,34,14,12,62,90,34,14,
"S01017883",32,0,0,0,0,0,131,0,0,0,0,0,75,15,9,32,131,75,15,9,
"S01017884",40,0,0,0,0,0,125,0,0,0,0,0,102,26,11,40,125,102,26,11,
"S01017885",53,0,0,0,0,0,174,0,0,0,0,0,67,18,8,53,174,67,18,8,
"S01017886",44,0,0,0,0,0,138,0,0,0,0,0,117,35,15,44,138,117,35,15,
"S01017887",63,0,0,0,0,0,129,0,0,0,0,0,71,22,8,63,129,71,22,8,
"S01017888",42,0,0,0,0,0,107,0,0,0,0,0,59,16,6,42,107,59,16,6,
"S01017889",130,0,0,0,0,0,146,0,0,0,0,0,42,7,5,130,146,42,7,5,
"S01017890",96,0,0,0,0,0,173,0,0,0,0,0,73,26,6,96,173,73,26,6,
"S01017891",132,0,0,0,0,0,245,0,0,0,0,0,84,20,9,132,245,84,20,9,
"S01017892",45,0,0,0,0,0,174,0,0,0,0,0,109,13,12,45,174,109,13,12,
"S01017893",76,0,0,0,0,0,214,0,0,0,0,0,125,41,21,76,214,125,41,21,
"S01017894",35,0,0,0,0,0,176,0,0,0,0,0,139,45,11,35,176,139,45,11,
"S01017895",23,0,0,0,0,0,211,0,0,0,0,0,200,41,17,23,211,200,41,17,
"S01017896",69,0,0,0,0,0,187,0,0,0,0,0,133,35,13,69,187,133,35,13,
"S01017897",42,0,0,0,0,0,128,0,0,0,0,0,106,9,7,42,128,106,9,7,
"S01017898",68,0,0,0,0,0,218,0,0,0,0,0,151,30,11,68,218,151,30,11,
"S01017899",44,0,0,0,0,0,143,0,0,0,0,0,94,15,10,44,143,94,15,10,
"S01017900",63,0,0,0,0,0,197,0,0,0,0,0,103,22,4,63,197,103,22,4,
"S01017901",20,0,0,0,0,0,122,0,0,0,0,0,164,49,31,20,122,164,49,31,
"S01017902",9,0,0,0,0,0,94,0,0,0,0,0,121,35,23,9,94,121,35,23,
"S01017903",7,0,0,0,0,0,81,0,0,0,0,0,94,33,6,7,81,94,33,6,
"S01017904",17,0,0,0,0,0,91,0,0,0,0,0,122,33,24,17,91,122,33,24,
"S01017905",20,0,0,0,0,0,154,0,0,0,0,0,176,44,30,20,154,176,44,30,
"S01017906",77,0,0,0,0,0,182,0,0,0,0,0,111,39,9,77,182,111,39,9,
"S01017907",81,0,0,0,0,0,167,0,0,0,0,0,67,14,3,81,167,67,14,3,
"S01017908",58,0,0,0,0,0,126,0,0,0,0,0,49,11,1,58,126,49,11,1,
"S01017909",114,0,0,0,0,0,156,0,0,0,0,0,73,18,8,114,156,73,18,8,
"S01017910",97,0,0,0,0,0,118,0,0,0,0,0,61,12,3,97,118,61,12,3,
"S01017911",22,0,0,0,0,0,105,0,0,0,0,0,77,26,1,22,105,77,26,1,
"S01017912",93,0,0,0,0,0,166,0,0,0,0,0,61,15,2,93,166,61,15,2,
"S01017913",93,0,0,0,0,0,125,0,0,0,0,0,86,12,8,93,125,86,12,8,
"S01017914",59,0,0,0,0,0,123,0,0,0,0,0,56,10,2,59,123,56,10,2,
"S01017915",105,0,0,0,0,0,186,0,0,0,0,0,93,21,5,105,186,93,21,5,
"S01017916",108,0,0,0,0,0,114,0,0,0,0,0,24,4,5,108,114,24,4,5,
"S01017917",36,0,0,0,0,0,160,0,0,0,0,0,147,36,11,36,160,147,36,11,
"S01017918",85,0,0,0,0,0,166,0,0,0,0,0,69,17,10,85,166,69,17,10,
"S01017919",77,0,0,0,0,0,122,0,0,0,0,0,60,7,2,77,122,60,7,2,
"S01017920",61,0,0,0,0,0,227,0,0,0,0,0,120,36,9,61,227,120,36,9,
"S01017921",126,0,0,0,0,0,145,0,0,0,0,0,49,14,5,126,145,49,14,5,
"S01017922",35,0,0,0,0,0,202,0,0,0,0,0,154,49,21,35,202,154,49,21,
"S01017923",72,0,0,0,0,0,168,0,0,0,0,0,91,31,11,72,168,91,31,11,
"S01017924",30,0,0,0,0,0,125,0,0,0,0,0,112,24,7,30,125,112,24,7,
"S01017925",24,0,0,0,0,0,107,0,0,0,0,0,107,20,19,24,107,107,20,19,
"S01017926",23,0,0,0,0,0,132,0,0,0,0,0,96,23,8,23,132,96,23,8,
"S01017927",101,0,0,0,0,0,170,0,0,0,0,0,76,15,6,101,170,76,15,6,
"S01017928",88,0,0,0,0,0,162,0,0,0,0,0,94,7,7,88,162,94,7,7,
"S01017929",118,0,0,0,0,0,229,0,0,0,0,0,123,29,12,118,229,123,29,12,
"S01017930",104,0,0,0,0,0,140,0,0,0,0,0,56,11,3,104,140,56,11,3,
"S01017931",53,0,0,0,0,0,128,0,0,0,0,0,60,11,3,53,128,60,11,3,
"S01017932",36,0,0,0,0,0,152,0,0,0,0,0,78,27,7,36,152,78,27,7,
"S01017933",31,0,0,0,0,0,160,0,0,0,0,0,130,33,6,31,160,130,33,6,
"S01017934",26,0,0,0,0,0,156,0,0,0,0,0,121,37,14,26,156,121,37,14,
"S01017935",65,0,0,0,0,0,148,0,0,0,0,0,65,15,8,65,148,65,15,8,
"S01017936",57,0,0,0,0,0,188,0,0,0,0,0,91,9,9,57,188,91,9,9,
"S01017937",15,0,0,0,0,0,81,0,0,0,0,0,89,27,5,15,81,89,27,5,
"S01017938",23,0,0,0,0,0,105,0,0,0,0,0,93,35,13,23,105,93,35,13,
"S01017939",37,0,0,0,0,0,156,0,0,0,0,0,93,31,13,37,156,93,31,13,
"S01017940",17,0,0,0,0,0,135,0,0,0,0,0,100,32,18,17,135,100,32,18,
"S01017941",46,0,0,0,0,0,257,0,0,0,0,0,147,44,16,46,257,147,44,16,
"S01017942",77,0,0,0,0,0,177,0,0,0,0,0,98,24,15,77,177,98,24,15,
"S01017943",85,0,0,0,0,0,172,0,0,0,0,0,81,14,4,85,172,81,14,4,
"S01017944",83,0,0,0,0,0,130,0,0,0,0,0,41,18,9,83,130,41,18,9,
"S01017945",18,0,0,0,0,0,108,0,0,0,0,0,94,21,12,18,108,94,21,12,
"S01017946",72,0,0,0,0,0,182,0,0,0,0,0,81,23,9,72,182,81,23,9,
"S01017947",82,0,0,0,0,0,210,0,0,0,0,0,110,25,17,82,210,110,25,17,
