SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013665",179,0,0,0,0,0,164,0,0,0,0,0,29,6,0,179,164,29,6,0,
"S01013666",163,0,0,0,0,0,152,0,0,0,0,0,43,5,2,163,152,43,5,2,
"S01013667",196,0,0,0,0,0,152,0,0,0,0,0,36,5,1,196,152,36,5,1,
"S01013668",147,0,0,0,0,0,151,0,0,0,0,0,37,5,0,147,151,37,5,0,
"S01013669",102,0,0,0,0,0,120,0,0,0,0,0,37,2,0,102,120,37,2,0,
"S01013670",160,0,0,0,0,0,181,0,0,0,0,0,56,4,0,160,181,56,4,0,
"S01013671",185,0,0,0,0,0,220,0,0,0,0,0,79,12,2,185,220,79,12,2,
"S01013672",95,0,0,0,0,0,299,0,0,0,0,0,120,15,6,95,299,120,15,6,
"S01013673",93,0,0,0,0,0,150,0,0,0,0,0,47,8,4,93,150,47,8,4,
"S01013674",98,0,0,0,0,0,178,0,0,0,0,0,55,3,4,98,178,55,3,4,
"S01013675",83,0,0,0,0,0,181,0,0,0,0,0,57,13,5,83,181,57,13,5,
"S01013676",188,0,0,0,0,0,271,0,0,0,0,0,75,9,6,188,271,75,9,6,
"S01013677",272,0,0,0,0,0,198,0,0,0,0,0,49,8,1,272,198,49,8,1,
"S01013678",95,0,0,0,0,0,146,0,0,0,0,0,67,11,1,95,146,67,11,1,
"S01013679",147,0,0,0,0,0,164,0,0,0,0,0,39,12,4,147,164,39,12,4,
"S01013680",161,0,0,0,0,0,182,0,0,0,0,0,46,6,3,161,182,46,6,3,
"S01013681",223,0,0,0,0,0,145,0,0,0,0,0,27,4,0,223,145,27,4,0,
"S01013682",58,0,0,0,0,0,93,0,0,0,0,0,36,4,1,58,93,36,4,1,
"S01013683",145,0,0,0,0,0,187,0,0,0,0,0,56,5,0,145,187,56,5,0,
"S01013684",113,0,0,0,0,0,132,0,0,0,0,0,56,9,1,113,132,56,9,1,
"S01013685",88,0,0,0,0,0,149,0,0,0,0,0,78,15,1,88,149,78,15,1,
"S01013686",100,0,0,0,0,0,125,0,0,0,0,0,46,8,1,100,125,46,8,1,
"S01013687",112,0,0,0,0,0,121,0,0,0,0,0,33,4,1,112,121,33,4,1,
"S01013688",152,0,0,0,0,0,170,0,0,0,0,0,74,8,0,152,170,74,8,0,
"S01013689",81,0,0,0,0,0,130,0,0,0,0,0,53,10,4,81,130,53,10,4,
"S01013690",66,0,0,0,0,0,104,0,0,0,0,0,47,3,0,66,104,47,3,0,
"S01013691",134,0,0,0,0,0,153,0,0,0,0,0,71,9,5,134,153,71,9,5,
"S01013692",142,0,0,0,0,0,206,0,0,0,0,0,72,11,4,142,206,72,11,4,
"S01013693",117,0,0,0,0,0,204,0,0,0,0,0,79,12,1,117,204,79,12,1,
"S01013694",158,0,0,0,0,0,199,0,0,0,0,0,80,7,1,158,199,80,7,1,
"S01013695",74,0,0,0,0,0,111,0,0,0,0,0,60,5,2,74,111,60,5,2,
"S01013696",159,0,0,0,0,0,192,0,0,0,0,0,79,12,2,159,192,79,12,2,
"S01013697",105,0,0,0,0,0,147,0,0,0,0,0,48,7,4,105,147,48,7,4,
"S01013698",63,0,0,0,0,0,94,0,0,0,0,0,45,8,2,63,94,45,8,2,
"S01013699",75,0,0,0,0,0,101,0,0,0,0,0,49,5,4,75,101,49,5,4,
"S01013700",133,0,0,0,0,0,192,0,0,0,0,0,78,19,5,133,192,78,19,5,
"S01013701",61,0,0,0,0,0,121,0,0,0,0,0,51,12,0,61,121,51,12,0,
"S01013702",98,0,0,0,0,0,154,0,0,0,0,0,94,20,6,98,154,94,20,6,
"S01013703",65,0,0,0,0,0,120,0,0,0,0,0,61,7,2,65,120,61,7,2,
"S01013704",86,0,0,0,0,0,146,0,0,0,0,0,96,9,0,86,146,96,9,0,
"S01013705",80,0,0,0,0,0,126,0,0,0,0,0,73,12,2,80,126,73,12,2,
"S01013706",67,0,0,0,0,0,136,0,0,0,0,0,63,8,2,67,136,63,8,2,
"S01013707",127,0,0,0,0,0,110,0,0,0,0,0,64,8,5,127,110,64,8,5,
"S01013708",70,0,0,0,0,0,131,0,0,0,0,0,50,17,3,70,131,50,17,3,
"S01013709",121,0,0,0,0,0,100,0,0,0,0,0,35,8,1,121,100,35,8,1,
"S01013710",240,0,0,0,0,0,172,0,0,0,0,0,51,9,1,240,172,51,9,1,
"S01013711",109,0,0,0,0,0,154,0,0,0,0,0,63,6,3,109,154,63,6,3,
"S01013712",192,0,0,0,0,0,179,0,0,0,0,0,52,11,2,192,179,52,11,2,
"S01013713",64,0,0,0,0,0,135,0,0,0,0,0,61,8,1,64,135,61,8,1,
"S01013714",101,0,0,0,0,0,117,0,0,0,0,0,40,6,1,101,117,40,6,1,
"S01013715",11,0,0,0,0,0,99,0,0,0,0,0,155,45,13,11,99,155,45,13,
"S01013716",24,0,0,0,0,0,113,0,0,0,0,0,81,16,7,24,113,81,16,7,
"S01013717",16,0,0,0,0,0,159,0,0,0,0,0,177,41,4,16,159,177,41,4,
"S01013718",28,0,0,0,0,0,142,0,0,0,0,0,131,23,5,28,142,131,23,5,
"S01013719",8,0,0,0,0,0,51,0,0,0,0,0,83,23,8,8,51,83,23,8,
"S01013720",40,0,0,0,0,0,174,0,0,0,0,0,135,11,2,40,174,135,11,2,
"S01013721",11,0,0,0,0,0,95,0,0,0,0,0,63,21,8,11,95,63,21,8,
"S01013722",15,0,0,0,0,0,144,0,0,0,0,0,147,31,14,15,144,147,31,14,
"S01013723",30,0,0,0,0,0,158,0,0,0,0,0,110,12,5,30,158,110,12,5,
"S01013724",94,0,0,0,0,0,304,0,0,0,0,0,118,5,1,94,304,118,5,1,
"S01013725",88,0,0,0,0,0,203,0,0,0,0,0,45,5,3,88,203,45,5,3,
"S01013726",43,0,0,0,0,0,180,0,0,0,0,0,125,11,1,43,180,125,11,1,
"S01013727",65,0,0,0,0,0,266,0,0,0,0,0,108,9,4,65,266,108,9,4,
"S01013728",69,0,0,0,0,0,179,0,0,0,0,0,69,15,0,69,179,69,15,0,
"S01013729",102,0,0,0,0,0,178,0,0,0,0,0,47,3,2,102,178,47,3,2,
"S01013730",76,0,0,0,0,0,101,0,0,0,0,0,42,8,0,76,101,42,8,0,
"S01013731",74,0,0,0,0,0,236,0,0,0,0,0,120,15,3,74,236,120,15,3,
"S01013732",62,0,0,0,0,0,164,0,0,0,0,0,59,5,1,62,164,59,5,1,
"S01013733",158,0,0,0,0,0,219,0,0,0,0,0,72,11,3,158,219,72,11,3,
"S01013734",104,0,0,0,0,0,163,0,0,0,0,0,100,15,5,104,163,100,15,5,
"S01013735",35,0,0,0,0,0,139,0,0,0,0,0,62,20,3,35,139,62,20,3,
"S01013736",22,0,0,0,0,0,105,0,0,0,0,0,86,12,2,22,105,86,12,2,
"S01013737",132,0,0,0,0,0,197,0,0,0,0,0,73,17,2,132,197,73,17,2,
"S01013738",41,0,0,0,0,0,181,0,0,0,0,0,127,14,3,41,181,127,14,3,
"S01013739",83,0,0,0,0,0,220,0,0,0,0,0,91,13,4,83,220,91,13,4,
"S01013740",55,0,0,0,0,0,140,0,0,0,0,0,71,10,6,55,140,71,10,6,
"S01013741",39,0,0,0,0,0,95,0,0,0,0,0,42,16,4,39,95,42,16,4,
"S01013742",87,0,0,0,0,0,163,0,0,0,0,0,69,9,0,87,163,69,9,0,
