SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01017136",207,181,30,7,0,425,
"S01017137",52,134,61,3,1,251,
"S01017138",173,152,25,3,0,362,
"S01017139",202,181,33,2,2,419,
"S01017140",107,211,86,9,3,417,
"S01017141",171,237,38,3,0,449,
"S01017142",235,181,17,2,1,433,
"S01017143",84,240,121,14,6,466,
"S01017144",305,168,31,3,0,505,
"S01017145",75,182,81,17,7,356,
"S01017146",206,223,56,4,3,485,
"S01017147",215,229,68,5,0,519,
"S01017148",134,184,52,3,2,378,
"S01017149",133,137,61,17,1,349,
"S01017150",172,98,20,1,0,291,
"S01017151",202,122,13,4,1,342,
"S01017152",100,144,60,4,1,312,
"S01017153",162,124,46,10,2,341,
"S01017154",306,137,36,1,0,481,
"S01017155",36,111,50,4,2,202,
"S01017156",214,148,41,8,1,417,
"S01017157",80,222,70,11,1,382,
"S01017158",77,270,69,4,0,421,
"S01017159",251,82,12,0,0,345,
"S01017160",242,168,40,7,0,455,
"S01017161",192,103,11,1,1,308,
"S01017162",265,195,36,7,0,504,
"S01017163",236,193,37,4,0,474,
"S01017164",217,137,12,2,1,370,
"S01017165",220,98,18,5,0,343,
"S01017166",161,159,42,5,0,368,
"S01017167",180,195,36,5,0,416,
"S01017168",231,120,19,4,0,373,
"S01017169",209,227,21,2,1,461,
"S01017170",247,146,20,7,2,422,
"S01017171",185,194,24,5,2,411,
"S01017172",198,210,35,6,3,451,
"S01017173",241,145,31,1,0,423,
"S01017174",245,114,29,4,1,393,
"S01017175",366,179,19,5,0,574,
"S01017176",260,164,31,1,0,459,
"S01017177",181,151,21,2,0,355,
"S01017178",429,251,39,3,1,723,
"S01017179",269,202,33,2,0,502,
"S01017180",358,207,31,0,0,596,
"S01017181",349,231,39,3,3,623,
"S01017182",152,89,26,0,0,271,
"S01017183",197,136,20,3,3,355,
"S01017184",101,142,36,9,2,294,
"S01017185",302,117,31,0,2,453,
"S01017186",226,120,24,2,0,369,
"S01017187",142,144,39,5,0,330,
"S01017188",65,141,58,9,0,272,
"S01017189",302,124,31,2,0,460,
"S01017190",324,151,16,3,2,495,
"S01017191",313,149,19,4,0,486,
"S01017192",299,229,42,6,1,576,
"S01017193",109,133,40,3,0,285,
"S01017194",169,107,34,4,1,313,
"S01017195",198,101,28,6,0,330,
"S01017196",324,162,33,3,2,524,
"S01017197",153,69,11,3,1,233,
"S01017198",158,101,19,4,1,282,
"S01017199",136,110,27,3,1,277,
"S01017200",154,99,36,3,0,296,
"S01017201",223,156,37,2,1,414,
"S01017202",280,151,38,8,0,480,
"S01017203",78,114,43,7,0,241,
"S01017204",167,186,49,8,2,412,
"S01017205",297,163,28,5,2,495,
"S01017206",98,96,38,1,0,235,
"S01017207",192,121,51,6,1,372,
"S01017208",175,118,44,3,3,343,
"S01017209",192,82,28,1,0,303,
"S01017210",85,162,83,7,1,338,
"S01017211",184,182,54,5,2,430,
"S01017212",62,162,83,22,7,340,
"S01017213",27,109,65,22,5,232,
"S01017214",99,146,80,15,4,351,
"S01017215",107,165,68,10,2,353,
"S01017216",94,137,90,21,1,340,
"S01017217",50,147,75,20,8,300,
"S01017218",98,140,46,4,1,291,
"S01017219",74,127,45,12,3,265,
"S01017220",121,104,42,13,2,281,
"S01017221",26,91,69,29,7,225,
"S01017222",49,158,109,30,10,356,
"S01017223",35,149,89,13,3,292,
"S01017224",50,127,73,30,7,287,
"S01017225",56,211,101,19,5,389,
"S01017226",106,128,52,7,2,295,
"S01017227",165,181,45,18,1,407,
"S01017228",51,150,77,16,4,295,
"S01017229",165,155,51,9,1,387,
"S01017230",45,113,69,11,3,241,
"S01017231",18,143,154,19,8,336,
"S01017232",109,145,29,14,1,300,
"S01017233",94,162,85,25,6,375,
"S01017234",147,180,47,10,2,388,
"S01017235",91,164,69,23,3,349,
"S01017236",9,115,173,17,4,322,
"S01017237",10,89,131,23,7,260,
"S01017238",12,54,108,25,7,210,
"S01017239",14,67,87,17,7,194,
"S01017240",52,146,136,31,12,377,
"S01017241",58,139,67,9,4,276,
"S01017242",40,128,76,18,2,265,
"S01017243",43,136,76,21,0,278,
"S01017244",60,128,84,22,2,296,
"S01017245",35,122,82,25,5,273,
"S01017246",36,120,92,25,3,276,
"S01017247",67,166,95,18,5,352,
"S01017248",65,152,68,17,6,308,
"S01017249",15,126,92,25,3,258,
"S01017250",37,204,153,31,4,429,
"S01017251",43,160,109,35,10,357,
"S01017252",102,77,29,10,0,220,
"S01017253",219,149,27,4,1,400,
"S01017254",199,171,57,12,2,441,
"S01017255",90,71,22,2,0,185,
"S01017256",9,102,136,20,5,268,
"S01017257",264,137,33,10,0,438,
"S01017258",211,125,22,4,1,363,
"S01017259",293,157,42,2,2,496,
"S01017260",168,100,32,2,3,304,
"S01017261",248,89,22,7,2,365,
"S01017262",22,76,38,13,8,155,
"S01017263",45,167,93,22,0,323,
"S01017264",53,104,74,7,2,240,
"S01017265",117,124,87,26,2,353,
"S01017266",172,103,25,3,3,304,
"S01017267",98,73,29,3,5,208,
"S01017268",142,90,21,3,0,255,
"S01017269",109,94,22,6,2,236,
"S01017270",138,94,13,4,1,254,
"S01017271",134,72,16,2,0,224,
"S01017272",157,133,36,7,2,335,
"S01017273",101,131,40,5,0,282,
"S01017274",73,72,29,5,3,180,
"S01017275",101,129,71,13,4,318,
"S01017276",133,107,33,7,1,285,
"S01017277",147,67,6,8,0,225,
"S01017278",230,124,21,4,0,378,
"S01017279",129,149,86,12,4,378,
"S01017280",58,138,91,28,9,320,
"S01017281",233,182,40,4,0,461,
"S01017282",216,127,27,3,0,373,
"S01017283",300,224,43,8,1,571,
"S01017284",148,156,35,9,1,350,
"S01017285",142,139,66,15,8,374,
"S01017286",248,205,44,4,0,501,
"S01017287",410,157,33,5,1,610,
"S01017288",262,171,61,13,1,506,
"S01017289",187,164,50,12,0,413,
"S01017290",323,143,29,2,0,498,
"S01017291",194,137,40,2,5,375,
"S01017292",149,182,35,13,2,380,
"S01017293",233,137,29,9,0,408,
"S01017294",185,168,33,4,1,391,
"S01017295",206,137,22,1,0,370,
"S01017296",293,145,41,5,3,488,
"S01017297",113,99,46,3,0,261,
"S01017298",213,151,82,10,0,454,
"S01017299",97,232,95,11,2,437,
"S01017300",196,186,43,7,0,442,
"S01017301",172,161,34,3,0,370,
"S01017302",161,158,48,8,1,378,
"S01017303",222,205,46,9,2,484,
"S01017304",226,186,44,1,4,456,
"S01017305",205,168,47,7,1,428,
"S01017306",122,98,18,7,0,252,
"S01017307",133,101,33,4,0,270,
"S01017308",203,170,43,5,0,421,
"S01017309",140,150,45,8,2,343,
"S01017310",157,92,16,4,0,269,
"S01017311",99,105,50,15,5,268,
"S01017312",199,113,21,1,0,331,
"S01017313",138,136,41,6,1,327,
"S01017314",107,109,55,14,5,291,
"S01017315",167,134,25,7,2,333,
"S01017316",172,190,96,18,0,476,
"S01017317",218,184,22,4,2,424,
"S01017318",95,81,39,7,2,224,
"S01017319",147,120,47,7,0,319,
"S01017320",117,98,21,6,1,238,
"S01017321",262,156,66,5,0,489,
"S01017322",269,187,33,5,0,494,
"S01017323",93,143,59,16,2,313,
"S01017324",87,93,54,8,0,242,
"S01017325",110,105,21,5,3,244,
"S01017326",156,146,43,13,3,363,
"S01017327",166,99,35,5,1,302,
"S01017328",187,132,41,4,2,369,
"S01017329",215,122,38,3,2,381,
"S01017330",46,102,88,8,1,246,
"S01017331",156,106,30,5,0,297,
"S01017332",70,156,66,9,1,298,
"S01017333",111,90,21,2,5,226,
"S01017334",135,117,29,4,0,287,
"S01017335",162,130,42,4,2,337,
"S01017336",10,84,104,11,2,214,
"S01017337",3,52,83,19,8,161,
"S01017338",18,147,136,30,9,340,
"S01017339",12,74,120,48,19,273,
"S01017340",19,129,91,13,8,264,
"S01017341",25,121,78,14,2,241,
"S01017342",50,151,74,8,3,286,
"S01017343",49,178,102,19,6,356,
"S01017344",13,110,139,22,4,291,
"S01017345",26,148,110,16,2,303,
"S01017346",90,115,50,7,3,264,
"S01017347",75,118,62,9,5,270,
"S01017348",128,112,31,3,2,275,
"S01017349",116,107,35,6,0,265,
"S01017350",119,135,56,6,2,314,
"S01017351",262,193,47,10,0,512,
"S01017352",127,98,25,11,0,258,
"S01017353",136,94,53,8,2,295,
"S01017354",74,95,62,13,2,246,
"S01017355",253,109,21,0,1,384,
"S01017356",76,116,71,17,7,283,
"S01017357",271,145,36,6,0,458,
"S01017358",163,95,24,4,2,286,
"S01017359",319,192,18,5,1,542,
"S01017360",176,119,24,4,0,322,
"S01017361",167,172,63,7,0,409,
"S01017362",309,122,27,3,2,462,
"S01017363",355,189,39,8,0,587,
"S01017364",223,190,38,6,0,453,
"S01017365",99,185,81,20,6,393,
"S01017366",334,147,22,3,2,508,
"S01017367",217,99,12,0,0,324,
"S01017368",167,89,9,0,0,267,
"S01017369",329,180,33,11,0,553,
"S01017370",94,141,31,4,1,270,
"S01017371",229,126,19,1,0,375,
"S01017372",281,136,36,0,3,456,
"S01017373",177,117,18,3,0,315,
"S01017374",298,148,30,3,4,481,
"S01017375",287,210,53,10,2,562,
"S01017376",90,107,46,10,0,252,
"S01017377",184,121,27,4,0,336,
"S01017378",290,129,15,0,2,440,
"S01017379",270,131,13,0,0,417,
"S01017380",244,127,28,0,0,401,
"S01017381",165,120,26,6,2,323,
"S01017382",213,122,25,1,1,361,
"S01017383",273,227,60,5,0,570,
"S01017384",126,207,58,2,1,399,
"S01017385",143,187,40,8,1,380,
"S01017386",153,147,41,3,1,345,
"S01017387",181,184,29,7,0,401,
"S01017388",228,158,26,4,1,419,
"S01017389",211,159,31,3,0,400,
"S01017390",349,237,29,1,1,621,
"S01017391",234,141,22,0,0,394,
"S01017392",405,159,15,0,0,583,
"S01017393",224,102,17,0,2,344,
"S01017394",255,142,25,1,0,423,
"S01017395",179,167,56,7,1,409,
"S01017396",199,209,44,3,0,455,
"S01017397",203,171,21,6,0,401,
"S01017398",158,175,44,10,0,389,
"S01017399",120,149,36,5,0,316,
"S01017400",118,135,33,3,0,289,
"S01017401",212,125,18,4,0,359,
"S01017402",328,155,41,3,1,528,
"S01017403",245,148,32,0,0,425,
"S01017404",400,153,24,0,0,581,
"S01017405",182,99,8,0,1,287,
"S01017406",169,62,7,0,0,237,
"S01017407",245,140,22,0,0,410,
"S01017408",309,131,12,2,2,453,
"S01017409",193,56,4,0,0,253,
"S01017410",359,130,19,0,0,509,
"S01017411",356,132,15,1,3,507,
"S01017412",412,124,19,3,2,561,
"S01017413",296,121,15,4,0,433,
"S01017414",432,142,10,0,1,585,
"S01017415",368,121,11,4,1,505,
"S01017416",167,94,19,1,0,286,
"S01017417",236,47,3,0,0,287,
"S01017418",258,146,23,3,0,431,
"S01017419",201,76,10,1,1,290,
"S01017420",285,130,16,0,1,432,
"S01017421",439,100,8,0,0,544,
"S01017422",231,101,24,3,3,362,
"S01017423",328,112,4,0,0,444,
"S01017424",137,70,10,1,0,220,
"S01017425",295,128,9,4,0,438,
"S01017426",200,151,23,6,1,380,
"S01017427",389,105,9,1,0,502,
"S01017428",192,346,48,4,0,587,
"S01017429",131,115,24,2,0,275,
"S01017430",226,119,16,3,0,364,
"S01017431",178,98,26,7,0,311,
"S01017432",259,191,37,1,0,485,
"S01017433",295,167,15,2,1,476,
"S01017434",240,237,43,6,3,525,
"S01017435",226,176,35,1,0,439,
"S01017436",152,136,25,2,3,319,
"S01017437",169,193,66,10,0,438,
"S01017438",381,186,30,0,0,597,
"S01017439",184,161,22,6,0,372,
"S01017440",229,171,26,3,0,428,
"S01017441",187,153,49,3,0,392,
"S01017442",117,248,84,16,4,467,
"S01017443",178,177,58,3,0,415,
"S01017444",194,182,52,5,0,433,
"S01017445",112,103,31,4,0,250,
"S01017446",280,187,44,8,2,514,
"S01017447",164,183,47,3,2,395,
"S01017448",197,126,22,3,1,353,
"S01017449",110,123,28,4,0,266,
"S01017450",279,153,17,1,1,451,
"S01017451",328,143,26,3,2,505,
"S01017452",181,111,22,10,0,324,
"S01017453",314,154,25,1,0,494,
"S01017454",128,84,14,0,0,226,
"S01017455",267,138,15,0,2,421,
"S01017456",137,94,34,0,0,265,
"S01017457",282,112,25,2,0,421,
"S01017458",336,204,41,4,0,588,
"S01017459",209,150,25,4,0,388,
"S01017460",142,204,43,5,0,394,
"S01017461",223,220,60,10,3,516,
"S01017462",154,94,17,3,1,269,
"S01017463",196,96,27,2,2,324,
"S01017464",190,113,21,1,0,321,
"S01017465",274,137,15,3,1,430,
"S01017466",204,83,15,3,1,307,
"S01017467",155,107,30,7,1,300,
"S01017468",173,71,15,3,1,263,
"S01017469",249,258,59,4,2,574,
"S01017470",178,186,39,0,0,407,
"S01017471",297,185,32,0,1,513,
"S01017472",144,265,63,9,2,477,
"S01017473",156,159,63,11,2,387,
"S01017474",199,152,31,8,0,391,
"S01017475",300,157,29,5,0,493,
"S01017476",262,162,26,2,0,455,
"S01017477",242,64,11,1,0,318,
"S01017478",193,158,33,4,0,389,
"S01017479",246,202,41,6,2,500,
"S01017480",152,104,30,6,1,294,
"S01017481",167,88,25,4,1,283,
"S01017482",117,180,61,7,0,364,
"S01017483",243,196,80,12,4,533,
"S01017484",156,142,26,6,3,332,
"S01017485",124,118,22,3,2,269,
"S01017486",277,165,44,9,4,498,
"S01017487",129,125,47,9,3,313,
"S01017488",264,206,48,12,3,533,
"S01017489",193,217,74,15,2,497,
"S01017490",189,122,48,10,0,371,
"S01017491",199,102,16,3,1,320,
"S01017492",159,137,32,12,2,346,
"S01017493",133,93,23,2,2,245,
"S01017494",94,96,43,8,0,241,
"S01017495",177,142,31,6,2,359,
"S01017496",78,116,48,18,4,264,
"S01017497",82,131,50,14,3,280,
"S01017498",67,160,90,24,15,353,
"S01017499",250,122,23,2,2,398,
"S01017500",15,96,119,34,13,277,
"S01017501",127,197,81,19,7,431,
"S01017502",252,173,56,3,2,489,
"S01017503",187,172,49,4,4,416,
"S01017504",202,134,55,7,0,397,
"S01017505",254,180,35,7,4,479,
"S01017506",121,193,59,11,1,387,
"S01017507",152,109,23,0,0,285,
"S01017508",385,136,27,4,2,553,
"S01017509",172,144,43,4,1,365,
"S01017510",214,168,35,7,0,425,
"S01017511",152,173,58,14,0,395,
"S01017512",153,85,17,2,0,265,
"S01017513",347,154,19,2,4,526,
"S01017514",345,148,16,0,1,510,
"S01017515",179,146,33,1,0,359,
"S01017516",322,91,19,0,0,428,
"S01017517",333,142,12,2,1,490,
"S01017518",130,205,64,10,1,411,
"S01017519",42,200,106,19,5,368,
"S01017520",78,242,100,20,4,444,
"S01017521",105,302,97,13,4,516,
"S01017522",51,161,69,14,3,301,
"S01017523",56,115,51,11,3,236,
"S01017524",82,222,69,18,3,393,
"S01017525",159,179,39,0,0,379,
"S01017526",74,204,47,9,1,337,
"S01017527",132,254,86,11,3,481,
"S01017528",111,177,48,2,0,338,
"S01017529",156,202,59,10,2,431,
"S01017530",146,219,68,9,1,446,
"S01017531",101,120,29,5,0,255,
"S01017532",204,123,25,2,1,359,
"S01017533",187,157,34,4,0,384,
"S01017534",124,137,28,7,1,297,
"S01017535",238,196,48,9,3,497,
"S01017536",257,225,48,5,2,537,
"S01017537",211,106,13,5,0,333,
"S01017538",225,212,28,1,0,466,
"S01017539",263,106,15,4,0,382,
"S01017540",57,131,45,6,0,239,
"S01017541",151,91,15,0,0,257,
"S01017542",312,167,33,2,2,514,
"S01017543",327,171,27,1,0,530,
"S01017544",115,131,28,3,1,274,
"S01017545",201,116,18,4,1,344,
"S01017546",334,196,34,4,1,570,
"S01017547",105,159,50,4,3,321,
"S01017548",158,178,39,5,0,378,
"S01017549",441,282,46,3,0,770,
"S01017550",280,207,29,4,0,520,
"S01017551",122,224,71,7,1,425,
"S01017552",322,274,51,4,0,651,
"S01017553",332,180,25,4,4,546,
"S01017554",330,253,39,9,0,631,
"S01017555",322,226,45,2,0,596,
"S01017556",138,183,50,3,2,376,
"S01017557",192,308,71,9,0,576,
"S01017558",199,353,89,5,1,641,
"S01017559",147,272,81,11,0,513,
"S01017560",186,161,60,16,2,424,
"S01017561",149,266,81,12,3,514,
"S01017562",117,313,90,13,2,533,
"S01017563",140,247,93,22,1,501,
"S01017564",126,245,107,11,6,495,
"S01017565",164,219,65,16,4,468,
"S01017566",209,182,48,7,4,449,
"S01017567",106,110,56,8,1,284,
"S01017568",22,75,78,14,6,195,
"S01017569",39,173,92,13,5,321,
"S01017570",31,188,144,21,7,392,
"S01017571",69,228,78,13,3,390,
"S01017572",73,276,92,19,7,470,
"S01017573",120,228,107,15,3,473,
"S01017574",283,260,64,12,3,621,
"S01017575",65,193,57,3,3,317,
"S01017576",58,143,71,9,0,281,
"S01017577",155,299,88,12,2,556,
"S01017578",120,277,92,9,3,501,
"S01017579",72,145,69,9,6,302,
"S01017580",49,150,118,22,3,343,
"S01017581",140,209,102,19,8,478,
"S01017582",310,218,29,3,0,561,
"S01017583",205,159,34,5,0,404,
"S01017584",207,177,47,4,1,436,
"S01017585",79,141,79,11,3,313,
"S01017586",65,213,118,16,6,414,
"S01017587",233,197,42,3,0,472,
"S01017588",23,121,92,11,3,252,
"S01017589",328,183,30,3,2,541,
"S01017590",229,180,34,2,1,447,
"S01017591",253,165,30,3,2,452,
"S01017592",129,77,23,0,0,231,
"S01017593",182,124,24,2,3,332,
"S01017594",278,161,30,2,0,468,
"S01017595",119,104,36,8,2,266,
"S01017596",157,147,46,12,0,361,
"S01017597",262,188,33,7,0,486,
"S01017598",177,132,44,5,7,366,
"S01017599",200,272,65,12,2,551,
"S01017600",209,151,17,2,2,381,
"S01017601",66,112,47,14,2,242,
"S01017602",84,111,43,5,4,248,
"S01017603",107,136,73,12,1,328,
"S01017604",79,133,83,21,7,327,
"S01017605",262,171,58,15,0,503,
"S01017606",82,142,65,20,8,317,
"S01017607",118,183,50,14,2,363,
"S01017608",111,130,38,9,1,288,
"S01017609",155,179,54,9,3,399,
"S01017610",221,152,55,11,6,445,
"S01017611",149,176,57,8,1,392,
"S01017612",156,110,26,4,2,297,
"S01017613",129,174,64,8,6,381,
"S01017614",353,129,23,3,4,512,
"S01017615",113,127,53,5,3,297,
"S01017616",57,100,41,10,3,211,
"S01017617",184,172,55,8,1,416,
"S01017618",80,121,27,5,4,237,
"S01017619",59,184,74,21,8,343,
"S01017620",151,144,52,7,0,351,
"S01017621",223,113,28,0,1,367,
"S01017622",103,170,75,16,5,368,
"S01017623",75,114,47,6,1,242,
"S01017624",72,268,83,16,2,442,
"S01017625",147,208,84,11,2,452,
"S01017626",124,214,53,5,2,393,
"S01017627",130,207,72,15,6,431,
"S01017628",246,144,19,5,2,412,
"S01017629",124,157,63,5,5,357,
"S01017630",111,163,45,6,2,331,
"S01017631",111,176,41,10,2,342,
"S01017632",191,222,47,6,2,465,
"S01017633",159,165,38,4,1,370,
"S01017634",116,292,76,8,0,492,
"S01017635",72,177,56,12,3,321,
"S01017636",127,138,27,5,4,301,
"S01017637",113,185,58,6,3,368,
"S01017638",281,182,40,5,0,508,
"S01017639",186,261,71,7,2,524,
"S01017640",83,124,63,8,3,281,
"S01017641",120,107,26,10,1,265,
"S01017642",114,148,64,14,5,345,
"S01017643",207,257,73,10,2,548,
"S01017644",92,100,41,10,0,239,
"S01017645",86,163,116,15,5,388,
"S01017646",45,185,115,25,11,386,
"S01017647",110,191,118,7,9,431,
"S01017648",186,94,31,6,4,321,
"S01017649",194,190,62,6,2,454,
"S01017650",146,97,21,8,2,272,
"S01017651",231,143,16,4,0,394,
"S01017652",131,81,36,5,0,253,
"S01017653",166,97,28,3,0,290,
"S01017654",100,81,35,11,0,225,
"S01017655",251,127,29,6,0,416,
"S01017656",238,168,36,6,0,450,
"S01017657",98,93,33,4,3,231,
"S01017658",212,163,48,5,1,430,
"S01017659",260,131,24,4,1,421,
"S01017660",170,120,61,22,3,372,
"S01017661",190,206,75,17,5,493,
"S01017662",93,135,74,18,3,321,
"S01017663",184,92,26,0,0,302,
"S01017664",44,151,87,20,4,303,
"S01017665",21,111,79,32,13,258,
"S01017666",62,201,140,33,15,451,
"S01017667",71,150,95,20,0,338,
"S01017668",56,241,168,29,13,503,
"S01017669",34,176,154,62,12,438,
"S01017670",95,226,115,25,8,471,
"S01017671",94,175,64,32,3,364,
"S01017672",63,127,71,17,6,280,
"S01017673",26,127,124,27,11,318,
"S01017674",63,131,59,21,6,280,
"S01017675",105,165,65,14,4,352,
"S01017676",78,144,71,19,11,323,
"S01017677",102,165,86,18,3,375,
"S01017678",54,127,70,18,4,276,
"S01017679",70,144,87,12,5,314,
"S01017680",96,196,93,21,9,407,
"S01017681",129,174,79,17,4,409,
"S01017682",114,142,42,7,5,313,
"S01017683",129,159,41,3,2,337,
"S01017684",15,91,92,26,12,240,
"S01017685",17,121,99,31,17,288,
"S01017686",63,158,110,18,8,364,
"S01017687",113,248,110,21,5,497,
"S01017688",36,131,108,39,11,325,
"S01017689",20,169,115,27,10,344,
"S01017690",21,132,103,28,11,291,
"S01017691",72,267,146,41,2,530,
"S01017692",20,79,73,21,7,198,
"S01017693",58,128,70,20,2,277,
"S01017694",50,174,112,23,16,379,
"S01017695",14,132,109,28,12,301,
"S01017696",109,166,89,12,0,376,
"S01017697",58,183,77,15,8,341,
"S01017698",48,183,129,27,9,395,
"S01017699",69,211,137,28,12,457,
"S01017700",21,119,100,25,4,267,
"S01017701",43,182,156,36,15,432,
"S01017702",30,165,138,45,15,393,
"S01017703",11,95,85,33,10,234,
"S01017704",50,162,122,22,16,372,
"S01017705",54,194,95,19,10,369,
"S01017706",64,180,77,26,5,355,
"S01017707",18,123,139,44,25,344,
"S01017708",24,146,122,31,9,334,
"S01017709",19,159,144,34,6,362,
"S01017710",28,180,135,25,10,378,
"S01017711",25,107,81,15,7,235,
"S01017712",14,138,126,32,17,332,
"S01017713",18,135,117,41,17,326,
"S01017714",7,106,103,44,17,276,
"S01017715",103,182,58,12,4,353,
"S01017716",142,195,65,13,6,425,
"S01017717",134,168,74,15,5,393,
"S01017718",74,117,59,17,5,272,
"S01017719",90,198,96,26,4,409,
"S01017720",80,169,92,20,7,368,
"S01017721",35,145,75,16,7,278,
"S01017722",33,126,102,27,6,296,
"S01017723",47,166,75,21,9,315,
"S01017724",54,100,39,9,4,206,
"S01017725",88,106,49,8,3,251,
"S01017726",63,133,71,15,4,287,
"S01017727",10,92,85,38,6,228,
"S01017728",14,97,98,47,15,269,
"S01017729",9,127,158,52,32,374,
"S01017730",6,168,143,43,13,377,
"S01017731",30,137,138,24,7,336,
"S01017732",29,157,185,45,20,436,
"S01017733",86,184,116,30,9,428,
"S01017734",61,194,98,20,3,379,
"S01017735",71,182,63,4,2,318,
"S01017736",55,101,49,7,3,215,
"S01017737",22,111,85,14,1,233,
"S01017738",30,138,101,24,6,302,
"S01017739",18,137,142,28,12,341,
"S01017740",102,142,65,18,3,330,
"S01017741",34,109,51,14,3,211,
"S01017742",48,164,82,23,6,322,
"S01017743",93,199,55,15,3,367,
"S01017744",30,130,46,9,10,232,
"S01017745",33,130,100,23,1,290,
"S01017746",21,123,66,6,1,217,
"S01017747",45,232,125,25,10,437,
"S01017748",31,201,141,20,10,403,
"S01017749",19,125,142,29,4,323,
"S01017750",21,122,133,28,12,316,
"S01017751",34,139,93,19,6,292,
"S01017752",28,106,75,8,6,225,
"S01017753",65,138,47,10,1,261,
"S01017754",7,86,151,38,17,291,
"S01017755",20,126,106,17,6,275,
"S01017756",18,158,117,15,5,313,
"S01017757",52,143,64,7,0,264,
"S01017758",37,209,150,21,11,429,
"S01017759",47,233,151,16,4,454,
"S01017760",33,137,95,16,3,284,
"S01017761",31,149,91,25,8,300,
"S01017762",13,144,132,41,16,345,
"S01017763",7,137,138,16,9,311,
"S01017764",30,85,71,15,0,200,
"S01017765",49,170,120,19,4,362,
"S01017766",32,181,151,20,2,389,
"S01017767",39,171,143,15,5,374,
"S01017768",42,194,142,28,8,411,
"S01017769",60,204,113,30,9,418,
"S01017770",50,147,83,16,3,299,
"S01017771",29,136,60,21,2,248,
"S01017772",37,184,115,16,8,365,
"S01017773",14,92,61,20,4,195,
"S01017774",65,243,126,34,5,473,
"S01017775",98,183,76,18,1,383,
"S01017776",39,132,116,22,10,317,
"S01017777",150,121,40,8,3,322,
"S01017778",70,136,43,8,1,255,
"S01017779",53,151,105,18,9,336,
"S01017780",173,240,69,4,7,489,
"S01017781",56,170,59,16,3,304,
"S01017782",101,154,61,14,3,333,
"S01017783",131,128,46,6,0,311,
"S01017784",87,195,85,13,5,382,
"S01017785",44,173,95,21,15,349,
"S01017786",40,190,112,17,2,358,
"S01017787",28,162,98,18,4,311,
"S01017788",173,149,32,1,0,358,
"S01017789",278,147,21,2,1,453,
"S01017790",111,216,89,16,5,433,
"S01017791",156,138,33,5,2,332,
"S01017792",37,153,81,10,3,285,
"S01017793",133,173,52,3,1,363,
"S01017794",41,150,100,15,10,319,
"S01017795",70,197,116,23,14,422,
"S01017796",140,192,53,6,1,390,
"S01017797",142,239,66,9,4,460,
"S01017798",151,216,95,8,10,483,
"S01017799",85,116,44,8,3,256,
"S01017800",138,138,40,6,0,323,
"S01017801",162,207,85,17,2,473,
"S01017802",215,224,69,14,2,524,
"S01017803",85,91,46,9,1,232,
"S01017804",129,138,53,12,4,337,
"S01017805",81,187,84,14,9,371,
"S01017806",193,141,25,6,2,363,
"S01017807",176,191,65,4,6,441,
"S01017808",309,285,67,11,5,677,
"S01017809",145,167,44,8,2,366,
"S01017810",305,170,39,3,0,518,
"S01017811",161,119,35,4,0,319,
"S01017812",176,106,23,5,0,310,
"S01017813",139,119,39,8,1,308,
"S01017814",238,124,27,7,2,393,
"S01017815",62,166,63,17,4,311,
"S01017816",36,150,107,22,5,320,
"S01017817",45,172,70,11,2,297,
"S01017818",65,154,74,13,4,309,
"S01017819",69,151,49,15,3,285,
"S01017820",78,167,83,21,3,352,
"S01017821",46,164,112,15,4,341,
"S01017822",56,132,59,7,4,263,
"S01017823",62,174,105,28,3,372,
"S01017824",36,104,48,14,2,203,
"S01017825",89,167,75,11,3,343,
"S01017826",19,123,125,37,25,331,
"S01017827",15,118,126,36,9,309,
"S01017828",59,149,81,9,5,303,
"S01017829",100,169,69,14,5,357,
"S01017830",27,166,138,29,18,378,
"S01017831",18,180,160,52,23,429,
"S01017832",38,137,94,26,7,300,
"S01017833",11,100,103,49,14,274,
"S01017834",21,149,148,50,24,392,
"S01017835",12,113,145,31,19,322,
"S01017836",29,210,168,54,27,492,
"S01017837",80,228,147,40,18,517,
"S01017838",28,120,103,34,8,293,
"S01017839",59,144,58,11,4,276,
"S01017840",20,132,96,22,5,282,
"S01017841",26,120,99,22,18,282,
"S01017842",25,199,135,35,4,398,
"S01017843",32,170,107,16,12,339,
"S01017844",83,191,55,14,3,349,
"S01017845",73,239,114,42,15,480,
"S01017846",42,106,46,14,4,215,
"S01017847",46,121,114,15,4,302,
"S01017848",37,158,126,24,12,357,
"S01017849",30,233,159,33,8,467,
"S01017850",29,135,87,17,5,273,
"S01017851",51,113,116,31,16,323,
"S01017852",92,134,56,12,3,297,
"S01017853",106,186,74,12,5,382,
"S01017854",130,228,104,28,5,496,
"S01017855",27,193,176,45,19,456,
"S01017856",46,203,147,51,18,465,
"S01017857",28,201,128,41,13,412,
"S01017858",32,173,95,26,4,331,
"S01017859",39,154,94,29,15,331,
"S01017860",53,209,134,25,12,434,
"S01017861",27,204,124,28,5,391,
"S01017862",48,207,116,23,10,404,
