SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01016891",85,111,60,62,0,0,0,318,
"S01016892",81,114,47,12,3,0,0,258,
"S01016893",135,112,19,9,0,0,0,274,
"S01016894",35,130,50,35,0,0,0,253,
"S01016895",160,10,1,7,2,0,0,178,
"S01016896",144,6,2,5,0,0,0,153,
"S01016897",0,49,65,174,2,0,0,291,
"S01016898",82,77,36,60,1,0,0,256,
"S01016899",45,59,82,64,0,0,0,250,
"S01016900",27,153,17,37,0,1,0,237,
"S01016901",7,91,37,101,1,0,0,240,
"S01016902",22,74,26,186,0,0,0,308,
"S01016903",7,14,31,156,3,0,0,210,
"S01016904",7,100,191,104,0,0,0,404,
"S01016905",10,58,21,199,1,1,0,291,
"S01016906",22,198,44,36,0,0,0,300,
"S01016907",11,165,64,42,1,0,0,281,
"S01016908",17,188,123,89,2,0,0,418,
"S01016909",11,177,84,101,7,0,0,380,
"S01016910",9,44,71,306,4,1,0,436,
"S01016911",11,101,41,242,0,0,0,398,
"S01016912",6,98,97,189,0,0,1,395,
"S01016913",4,86,110,174,0,1,0,373,
"S01016914",4,47,117,80,0,0,0,254,
"S01016915",7,34,124,168,3,4,0,339,
"S01016916",180,59,45,38,7,0,0,327,
"S01016917",138,195,16,87,0,0,0,437,
"S01016918",199,6,7,6,4,0,0,220,
"S01016919",39,165,11,11,0,0,0,226,
"S01016920",180,80,19,5,4,0,0,285,
"S01016921",128,100,62,24,2,0,0,319,
"S01016922",132,99,37,61,3,0,0,332,
"S01016923",107,122,21,3,1,2,0,256,
"S01016924",10,102,77,189,8,1,0,383,
"S01016925",13,106,133,180,0,0,0,435,
"S01016926",4,107,124,120,0,0,1,356,
"S01016927",3,119,90,187,3,0,0,406,
"S01016928",12,120,72,302,13,0,0,519,
"S01016929",19,157,96,82,4,3,0,361,
"S01016930",13,11,19,362,7,0,0,412,
"S01016931",2,13,15,323,3,0,0,354,
"S01016932",8,37,15,205,4,0,0,266,
"S01016933",2,12,16,287,4,0,0,320,
"S01016934",8,41,46,244,2,2,0,343,
"S01016935",4,96,99,297,2,0,0,498,
"S01016936",7,57,56,236,0,0,0,362,
"S01016937",4,13,14,411,5,0,0,447,
"S01016938",48,55,79,90,4,0,0,275,
"S01016939",4,13,19,286,3,0,0,325,
"S01016940",9,32,59,203,0,0,0,303,
"S01016941",6,128,55,156,0,0,0,345,
"S01016942",45,250,72,85,7,0,0,457,
"S01016943",12,16,92,123,3,1,0,246,
"S01016944",13,85,84,249,7,2,0,439,
"S01016945",36,87,40,122,2,0,0,287,
"S01016946",34,36,96,30,0,0,0,195,
"S01016947",5,27,117,148,1,0,2,299,
"S01016948",41,46,120,157,0,0,0,365,
"S01016949",8,50,168,202,2,0,0,434,
"S01016950",4,24,70,131,0,0,0,231,
"S01016951",11,29,171,163,1,0,0,375,
"S01016952",9,22,55,228,0,0,0,311,
"S01016953",3,16,32,464,5,0,1,519,
"S01016954",6,41,32,238,2,0,0,316,
"S01016955",1,7,12,215,0,1,0,236,
"S01016956",12,72,21,397,1,0,0,503,
"S01016957",8,86,79,149,6,0,4,332,
"S01016958",6,133,53,199,1,1,0,389,
"S01016959",3,31,28,199,0,2,0,263,
"S01016960",33,73,130,90,2,0,2,330,
"S01016961",5,47,93,217,2,0,1,365,
"S01016962",8,29,59,397,0,0,0,495,
"S01016963",2,2,11,506,6,2,0,528,
"S01016964",15,99,116,210,10,0,4,448,
"S01016965",1,3,13,398,4,0,0,426,
"S01016966",2,12,48,264,4,0,1,329,
"S01016967",14,28,104,309,1,0,0,456,
"S01016968",4,13,10,458,3,3,6,500,
"S01016969",5,3,4,406,7,3,0,427,
"S01016970",22,90,125,365,2,0,1,606,
"S01016971",7,8,28,349,6,0,1,398,
"S01016972",14,145,118,147,5,0,1,430,
"S01016973",7,18,9,419,0,0,0,450,
"S01016974",6,73,26,367,0,0,0,475,
"S01016975",9,81,45,367,1,0,0,501,
"S01016976",5,145,39,65,0,0,0,248,
"S01016977",13,114,48,223,0,0,0,395,
"S01016978",26,110,96,114,0,0,0,342,
"S01016979",4,143,51,52,0,0,0,250,
"S01016980",5,46,66,187,0,1,0,301,
"S01016981",2,244,34,90,1,0,0,371,
"S01016982",0,140,76,122,0,0,0,336,
"S01016983",2,19,19,234,4,4,0,284,
"S01016984",4,16,56,290,0,0,0,366,
"S01016985",7,19,43,491,4,0,1,568,
"S01016986",7,26,35,435,7,0,0,513,
"S01016987",0,11,28,613,7,0,0,663,
"S01016988",9,2,14,491,0,0,1,517,
"S01016989",3,8,29,431,0,0,1,471,
"S01016990",4,0,35,402,3,4,0,448,
"S01016991",4,62,100,293,2,4,0,468,
"S01016992",1,9,31,283,0,0,0,323,
"S01016993",0,25,22,290,2,3,0,342,
"S01016994",2,8,39,250,3,0,1,301,
"S01016995",0,12,7,370,2,0,0,393,
"S01016996",2,1,5,254,4,0,0,267,
"S01016997",20,14,54,408,26,2,0,524,
"S01016998",1,3,5,396,0,1,0,408,
"S01016999",79,48,15,278,32,0,0,451,
"S01017000",81,104,37,235,25,0,0,483,
"S01017001",5,9,4,320,6,2,1,345,
"S01017002",14,21,10,154,45,0,0,244,
"S01017003",52,36,6,49,82,0,0,223,
"S01017004",4,4,7,238,16,0,0,272,
"S01017005",85,64,5,66,114,0,0,332,
"S01017006",38,99,4,89,28,0,0,258,
"S01017007",10,20,53,194,0,1,2,278,
"S01017008",2,6,9,325,1,0,0,341,
"S01017009",0,1,2,335,1,2,0,342,
"S01017010",2,5,3,257,4,0,0,271,
"S01017011",1,6,3,364,2,3,0,377,
"S01017012",5,4,4,225,2,0,0,241,
"S01017013",0,7,10,242,9,4,0,271,
"S01017014",3,2,9,412,4,0,1,431,
"S01017015",2,5,2,288,6,0,2,310,
"S01017016",5,13,8,332,5,2,2,366,
"S01017017",4,2,0,264,8,0,0,278,
"S01017018",0,1,1,416,2,1,0,423,
"S01017019",5,2,3,455,8,0,1,474,
"S01017020",1,3,4,450,2,3,1,461,
"S01017021",6,5,6,499,1,1,0,517,
"S01017022",6,20,56,306,0,0,0,384,
"S01017023",5,8,13,207,2,0,0,235,
"S01017024",4,28,53,149,1,0,0,237,
"S01017025",4,80,36,382,4,0,0,504,
"S01017026",9,19,12,223,0,0,0,265,
"S01017027",0,2,6,451,1,0,1,462,
"S01017028",0,1,3,407,0,0,0,411,
"S01017029",0,4,33,437,6,3,0,483,
"S01017030",12,31,47,395,17,2,0,506,
"S01017031",29,46,38,224,70,0,2,410,
"S01017032",0,4,12,380,14,3,0,415,
"S01017033",5,5,7,358,5,0,1,382,
"S01017034",2,1,3,248,1,4,0,260,
"S01017035",2,1,2,536,6,0,1,552,
"S01017036",3,9,75,346,85,1,0,523,
"S01017037",6,5,12,490,15,0,1,520,
"S01017038",2,3,1,228,0,0,0,231,
"S01017039",4,18,155,122,83,0,0,381,
"S01017040",41,41,14,200,59,0,0,355,
"S01017041",132,34,20,171,21,0,0,380,
"S01017042",93,84,45,174,31,0,0,429,
"S01017043",28,16,12,311,9,0,0,379,
"S01017044",173,54,47,28,4,0,0,305,
"S01017045",5,40,84,195,4,0,0,326,
"S01017046",10,120,92,59,5,0,0,290,
"S01017047",3,1,5,334,3,0,0,346,
"S01017048",2,4,3,279,3,0,0,289,
"S01017049",1,2,8,521,0,0,0,532,
"S01017050",2,6,21,423,0,0,0,450,
"S01017051",3,7,20,505,15,1,2,555,
"S01017052",2,3,24,526,15,0,0,564,
"S01017053",1,2,14,556,5,3,0,579,
"S01017054",0,0,20,420,1,1,1,444,
"S01017055",1,2,13,318,2,0,0,336,
"S01017056",7,14,56,220,6,2,0,303,
"S01017057",7,8,46,448,23,0,0,535,
"S01017058",8,16,41,172,27,0,0,268,
"S01017059",6,4,6,430,7,0,0,452,
"S01017060",1,3,11,393,7,1,0,417,
"S01017061",3,6,17,390,2,0,0,418,
"S01017062",4,6,8,515,0,0,0,533,
"S01017063",2,14,136,295,4,4,1,455,
"S01017064",5,20,53,560,2,0,1,641,
"S01017065",7,8,5,322,10,1,0,354,
"S01017066",4,4,38,281,0,0,0,329,
"S01017067",5,16,17,359,3,0,0,400,
"S01017068",5,6,12,273,5,2,0,301,
"S01017069",6,20,22,374,3,2,0,428,
"S01017070",118,115,64,22,1,0,0,315,
"S01017071",5,28,39,409,2,0,1,484,
"S01017072",4,30,28,379,0,0,0,437,
"S01017073",10,18,34,425,0,6,0,497,
"S01017074",12,56,87,186,3,0,0,344,
"S01017075",15,20,35,226,0,1,0,297,
"S01017076",12,66,61,115,4,0,0,256,
"S01017077",10,18,73,327,4,0,0,425,
"S01017078",2,30,59,288,1,4,0,384,
"S01017079",82,111,37,20,4,0,0,256,
"S01017080",24,181,27,11,11,0,0,254,
"S01017081",9,20,172,102,4,0,0,306,
"S01017082",33,49,197,81,1,0,0,357,
"S01017083",83,73,36,50,9,0,0,251,
"S01017084",6,40,73,180,0,0,0,299,
"S01017085",19,86,40,94,8,0,0,247,
"S01017086",16,34,17,249,7,0,0,323,
"S01017087",35,132,41,60,21,1,0,291,
"S01017088",8,45,231,55,25,0,0,364,
"S01017089",56,79,44,98,10,0,0,287,
"S01017090",54,58,125,107,2,0,0,345,
"S01017091",11,83,107,91,0,1,0,295,
"S01017092",5,54,90,452,3,3,0,601,
"S01017093",3,240,10,57,1,0,0,311,
"S01017094",19,110,114,163,17,2,0,422,
"S01017095",32,248,21,49,2,2,0,351,
"S01017096",5,217,33,10,0,0,1,267,
"S01017097",20,117,82,170,3,0,0,392,
"S01017098",3,120,80,20,0,4,1,228,
"S01017099",179,31,58,16,1,0,0,285,
"S01017100",102,38,24,96,5,5,0,268,
"S01017101",10,37,27,185,2,0,0,260,
"S01017102",79,88,78,99,0,0,0,344,
"S01017103",30,86,127,74,0,0,0,313,
"S01017104",2,15,36,235,0,0,0,289,
"S01017105",25,71,107,231,4,0,0,435,
"S01017106",2,14,12,208,0,0,1,239,
"S01017107",1,22,27,410,2,2,0,463,
"S01017108",18,110,99,241,3,0,3,474,
"S01017109",12,71,64,200,0,0,1,348,
"S01017110",10,71,76,205,1,0,1,367,
"S01017111",4,32,95,193,4,0,0,325,
"S01017112",59,84,54,219,2,1,3,423,
"S01017113",7,22,23,213,5,0,1,270,
"S01017114",10,74,81,133,4,0,0,301,
"S01017115",4,10,39,177,7,0,0,241,
"S01017116",3,12,16,410,2,0,0,439,
"S01017117",3,14,18,193,0,0,0,228,
"S01017118",2,48,57,381,4,1,0,495,
"S01017119",9,36,28,224,0,0,0,297,
"S01017120",6,65,45,253,3,0,0,374,
"S01017121",2,13,4,296,1,0,0,315,
"S01017122",3,20,10,265,2,0,0,302,
"S01017123",3,27,75,251,1,0,0,357,
"S01017124",26,20,6,266,10,0,0,329,
"S01017125",4,15,10,284,4,0,0,316,
"S01017126",3,12,6,211,6,0,0,236,
"S01017127",3,19,6,229,0,0,0,258,
"S01017128",4,20,4,239,2,0,0,269,
"S01017129",153,35,6,31,5,0,0,233,
"S01017130",4,132,47,86,1,0,2,268,
"S01017131",2,17,8,204,5,0,0,234,
"S01017132",4,69,37,192,1,0,0,309,
"S01017133",8,28,27,257,5,0,0,325,
"S01017134",6,101,63,102,0,0,0,273,
"S01017135",6,93,139,8,0,0,0,245,
"S01017136",2,1,0,417,0,0,0,425,
"S01017137",33,24,33,152,6,1,0,251,
"S01017138",0,2,3,351,1,0,2,362,
"S01017139",1,4,15,398,0,0,0,419,
"S01017140",6,52,157,195,8,0,0,417,
"S01017141",2,1,7,435,2,3,0,449,
"S01017142",5,1,4,410,4,4,0,433,
"S01017143",28,128,125,176,8,1,1,466,
"S01017144",1,1,12,473,10,7,2,505,
"S01017145",4,58,149,141,3,0,0,356,
"S01017146",4,56,28,391,6,4,0,485,
"S01017147",1,11,50,447,8,2,0,519,
"S01017148",1,2,33,331,11,0,0,378,
"S01017149",0,79,95,173,0,4,0,349,
"S01017150",1,7,10,274,2,0,0,291,
"S01017151",0,7,18,313,1,0,1,342,
"S01017152",5,49,93,164,1,0,0,312,
"S01017153",3,56,70,211,0,0,0,341,
"S01017154",4,53,61,360,2,0,1,481,
"S01017155",14,59,74,57,0,0,0,202,
"S01017156",4,8,51,346,2,0,0,417,
"S01017157",10,21,68,283,0,0,0,382,
"S01017158",7,21,47,340,3,1,0,421,
"S01017159",0,1,7,334,1,1,1,345,
"S01017160",0,10,32,407,1,5,1,455,
"S01017161",2,4,14,286,0,1,0,308,
"S01017162",2,3,28,468,0,0,3,504,
"S01017163",1,6,47,418,5,0,2,474,
"S01017164",0,5,10,347,6,2,0,370,
"S01017165",2,2,31,309,1,0,0,343,
"S01017166",6,4,43,314,1,0,0,368,
"S01017167",0,10,4,369,8,22,1,416,
"S01017168",3,2,4,362,5,0,0,373,
"S01017169",0,6,14,434,4,2,0,461,
"S01017170",1,10,53,350,8,3,0,422,
"S01017171",1,12,41,355,2,0,0,411,
"S01017172",4,5,20,400,15,7,0,451,
"S01017173",0,1,4,389,18,8,3,423,
"S01017174",17,25,103,243,1,0,0,393,
"S01017175",5,35,90,427,6,5,0,574,
"S01017176",5,5,26,412,7,2,2,459,
"S01017177",0,4,12,321,10,5,0,355,
"S01017178",8,6,27,658,11,13,0,723,
"S01017179",2,13,34,436,18,2,0,502,
"S01017180",2,13,45,527,2,3,0,596,
"S01017181",9,27,95,490,0,0,2,623,
"S01017182",2,12,34,212,6,1,0,271,
"S01017183",6,21,89,233,2,0,4,355,
"S01017184",4,8,52,175,2,0,50,294,
"S01017185",7,14,42,380,4,1,3,453,
"S01017186",4,21,38,304,2,0,4,369,
"S01017187",11,59,129,127,3,0,4,330,
"S01017188",12,54,141,58,1,0,5,272,
"S01017189",5,10,25,400,5,7,8,460,
"S01017190",0,9,12,464,2,2,1,495,
"S01017191",5,8,40,430,1,0,0,486,
"S01017192",4,8,39,516,4,2,2,576,
"S01017193",17,84,111,66,3,0,1,285,
"S01017194",5,26,85,195,0,0,1,313,
"S01017195",14,77,110,116,2,0,11,330,
"S01017196",12,29,93,372,10,5,3,524,
"S01017197",17,53,53,111,0,0,0,233,
"S01017198",17,36,21,193,3,0,9,282,
"S01017199",5,47,11,208,5,0,1,277,
"S01017200",12,86,93,100,2,0,1,296,
"S01017201",11,13,18,370,1,1,4,414,
"S01017202",11,42,44,372,4,2,5,480,
"S01017203",6,76,30,126,2,0,2,241,
"S01017204",10,91,31,275,4,0,0,412,
"S01017205",5,23,28,424,5,9,2,495,
"S01017206",4,45,42,143,0,0,1,235,
"S01017207",6,58,39,266,2,0,2,372,
"S01017208",7,89,64,179,3,0,1,343,
"S01017209",2,21,22,256,2,2,0,303,
"S01017210",35,86,77,139,1,0,0,338,
"S01017211",5,56,71,291,2,3,0,430,
"S01017212",37,176,50,77,2,0,0,340,
"S01017213",68,156,7,5,2,0,0,232,
"S01017214",24,157,45,119,2,1,0,351,
"S01017215",9,162,38,144,0,0,0,353,
"S01017216",1,244,18,77,2,0,0,340,
"S01017217",46,136,82,34,2,0,0,300,
"S01017218",1,68,214,9,1,0,0,291,
"S01017219",4,62,180,18,1,0,0,265,
"S01017220",8,52,84,136,1,0,0,281,
"S01017221",105,74,38,5,0,0,0,225,
"S01017222",210,83,21,34,8,0,0,356,
"S01017223",61,196,29,7,4,0,0,292,
"S01017224",102,133,24,21,6,1,0,287,
"S01017225",123,100,13,151,10,0,0,389,
"S01017226",6,47,178,62,2,0,0,295,
"S01017227",4,88,218,96,4,0,0,407,
"S01017228",22,217,52,3,1,0,0,295,
"S01017229",8,95,194,87,0,0,0,387,
"S01017230",19,211,3,4,1,0,0,241,
"S01017231",184,71,52,27,0,0,0,336,
"S01017232",30,49,17,193,3,6,1,300,
"S01017233",142,106,49,75,3,2,1,375,
"S01017234",24,64,123,174,1,0,0,388,
"S01017235",16,108,57,163,0,0,0,349,
"S01017236",188,76,46,7,1,0,0,322,
"S01017237",191,53,5,11,0,0,0,260,
"S01017238",190,8,4,9,0,0,0,210,
"S01017239",140,14,0,41,0,0,0,194,
"S01017240",186,74,33,82,2,0,0,377,
"S01017241",22,172,68,17,0,0,0,276,
"S01017242",23,177,59,3,2,0,0,265,
"S01017243",50,82,120,25,0,0,0,278,
"S01017244",40,223,16,16,1,0,0,296,
"S01017245",4,222,40,3,0,0,0,273,
"S01017246",41,208,18,7,0,0,1,276,
"S01017247",101,213,9,27,1,0,2,352,
"S01017248",106,127,44,34,0,0,0,308,
"S01017249",109,102,37,9,0,1,0,258,
"S01017250",99,209,99,22,2,1,0,429,
"S01017251",87,104,102,60,0,2,1,357,
"S01017252",23,10,34,154,3,0,0,220,
"S01017253",9,47,32,307,3,0,0,400,
"S01017254",8,132,199,103,1,0,0,441,
"S01017255",20,55,29,81,0,0,0,185,
"S01017256",125,74,31,29,9,0,0,268,
"S01017257",2,107,22,303,4,0,0,438,
"S01017258",11,99,46,206,1,0,0,363,
"S01017259",8,176,42,266,3,0,1,496,
"S01017260",12,33,46,210,1,1,1,304,
"S01017261",10,49,36,270,0,0,0,365,
"S01017262",4,123,18,12,0,0,0,155,
"S01017263",48,107,128,39,1,0,0,323,
"S01017264",23,113,36,67,0,0,0,240,
"S01017265",109,85,60,93,7,0,0,353,
"S01017266",17,63,62,162,4,0,0,304,
"S01017267",13,78,64,53,0,0,0,208,
"S01017268",6,49,14,185,0,0,1,255,
"S01017269",12,67,60,95,2,0,0,236,
"S01017270",8,33,45,166,2,0,0,254,
"S01017271",7,79,23,116,0,0,0,224,
"S01017272",6,60,49,219,1,0,0,335,
"S01017273",2,1,10,262,5,1,0,282,
"S01017274",3,52,25,98,2,0,0,180,
"S01017275",27,86,137,71,0,0,0,318,
"S01017276",6,86,112,81,0,0,0,285,
"S01017277",2,3,9,209,0,0,2,225,
"S01017278",3,25,19,325,1,3,0,378,
"S01017279",45,119,48,162,2,2,0,378,
"S01017280",99,157,21,35,0,0,12,320,
"S01017281",10,46,96,285,3,0,16,461,
"S01017282",3,43,115,204,0,0,5,373,
"S01017283",10,73,106,373,3,1,3,571,
"S01017284",6,103,95,143,2,0,0,350,
"S01017285",19,111,142,97,5,0,0,374,
"S01017286",2,14,23,454,4,2,1,501,
"S01017287",17,58,33,500,1,0,0,610,
"S01017288",7,71,29,395,4,0,0,506,
"S01017289",12,74,50,268,7,0,1,413,
"S01017290",2,12,21,463,0,2,0,498,
"S01017291",15,53,45,260,3,4,0,375,
"S01017292",4,49,143,182,1,0,0,380,
"S01017293",8,32,19,343,5,0,3,408,
"S01017294",20,61,58,246,4,1,1,391,
"S01017295",3,47,30,287,1,4,0,370,
"S01017296",8,15,15,424,2,2,18,488,
"S01017297",32,42,31,151,2,0,4,261,
"S01017298",88,30,39,284,0,0,13,454,
"S01017299",62,107,133,128,0,0,2,437,
"S01017300",9,100,45,246,3,0,39,442,
"S01017301",3,99,19,237,5,0,5,370,
"S01017302",5,111,3,257,1,0,0,378,
"S01017303",16,115,15,339,0,0,0,484,
"S01017304",7,102,38,308,0,0,0,456,
"S01017305",3,158,28,236,0,2,1,428,
"S01017306",7,69,18,149,4,2,0,252,
"S01017307",11,89,82,87,2,0,0,270,
"S01017308",6,113,42,256,4,0,0,421,
"S01017309",3,211,23,103,1,0,2,343,
"S01017310",4,11,3,250,0,1,0,269,
"S01017311",15,124,26,103,0,1,0,268,
"S01017312",1,16,18,298,0,1,0,331,
"S01017313",7,163,36,117,1,0,2,327,
"S01017314",2,202,10,76,0,0,0,291,
"S01017315",7,56,26,237,2,1,1,333,
"S01017316",56,96,254,73,0,0,0,476,
"S01017317",6,17,189,213,0,0,0,424,
"S01017318",15,53,25,130,1,0,0,224,
"S01017319",2,51,73,191,0,0,1,319,
"S01017320",3,12,116,106,2,0,0,238,
"S01017321",24,84,91,289,0,0,1,489,
"S01017322",2,12,11,465,4,0,0,494,
"S01017323",4,231,43,27,3,0,5,313,
"S01017324",24,86,42,82,7,0,2,242,
"S01017325",8,66,7,161,1,1,0,244,
"S01017326",1,101,12,246,1,0,0,363,
"S01017327",4,51,68,179,0,0,0,302,
"S01017328",20,53,122,171,0,0,2,369,
"S01017329",12,71,42,253,1,0,2,381,
"S01017330",53,137,18,33,0,0,0,246,
"S01017331",10,92,45,153,0,0,0,297,
"S01017332",53,121,25,99,0,0,0,298,
"S01017333",14,81,6,127,0,0,0,226,
"S01017334",15,118,21,135,0,0,0,287,
"S01017335",6,46,56,228,0,0,0,337,
"S01017336",160,26,19,7,0,0,0,214,
"S01017337",145,4,7,4,1,0,0,161,
"S01017338",178,148,3,6,0,0,0,340,
"S01017339",215,44,3,10,0,0,0,273,
"S01017340",114,137,1,6,0,0,0,264,
"S01017341",92,109,33,10,0,0,1,241,
"S01017342",33,148,14,91,0,0,0,286,
"S01017343",116,149,44,39,0,1,9,356,
"S01017344",163,83,35,10,0,0,0,291,
"S01017345",95,140,51,16,0,0,0,303,
"S01017346",4,98,125,36,1,0,0,264,
"S01017347",18,112,97,44,2,2,0,270,
"S01017348",7,49,70,149,0,0,0,275,
"S01017349",8,54,88,114,0,0,0,265,
"S01017350",3,35,39,236,1,0,0,314,
"S01017351",2,55,102,352,2,0,2,512,
"S01017352",13,101,101,45,2,0,0,258,
"S01017353",9,126,80,79,1,0,0,295,
"S01017354",20,157,32,39,1,0,2,246,
"S01017355",8,41,32,302,1,0,2,384,
"S01017356",23,147,49,61,5,0,0,283,
"S01017357",5,57,24,376,0,0,0,458,
"S01017358",1,15,54,214,0,0,1,286,
"S01017359",3,10,17,505,1,4,0,542,
"S01017360",1,20,36,262,2,1,0,322,
"S01017361",5,89,99,208,9,0,0,409,
"S01017362",1,24,19,415,3,2,0,462,
"S01017363",5,24,63,489,6,0,2,587,
"S01017364",1,74,20,361,0,1,0,453,
"S01017365",61,222,87,22,0,0,1,393,
"S01017366",11,27,34,433,0,0,0,508,
"S01017367",4,11,13,289,1,1,0,324,
"S01017368",5,14,45,199,1,0,1,267,
"S01017369",4,5,5,531,3,3,0,553,
"S01017370",1,1,3,254,10,4,0,270,
"S01017371",10,40,57,265,2,0,1,375,
"S01017372",11,17,31,393,2,2,1,456,
"S01017373",8,16,33,256,0,0,1,315,
"S01017374",22,84,54,314,4,4,2,481,
"S01017375",13,93,47,403,6,0,0,562,
"S01017376",9,87,24,129,0,0,0,252,
"S01017377",4,14,20,297,3,0,0,336,
"S01017378",7,15,31,382,3,0,2,440,
"S01017379",10,6,9,383,1,4,7,417,
"S01017380",8,35,26,325,4,0,0,401,
"S01017381",8,79,32,204,0,0,0,323,
"S01017382",8,58,25,270,2,2,0,361,
"S01017383",0,0,2,561,2,0,1,570,
"S01017384",2,3,2,389,0,0,0,399,
"S01017385",6,11,36,304,23,0,0,380,
"S01017386",0,1,2,342,0,0,0,345,
"S01017387",2,3,2,393,1,0,0,401,
"S01017388",0,4,10,399,3,3,0,419,
"S01017389",2,3,3,391,0,0,0,400,
"S01017390",4,5,16,586,10,0,0,621,
"S01017391",0,14,7,366,1,0,6,394,
"S01017392",0,4,5,570,2,0,2,583,
"S01017393",3,9,9,305,0,4,11,344,
"S01017394",6,52,21,343,0,0,1,423,
"S01017395",5,144,130,129,0,0,3,409,
"S01017396",0,0,1,453,0,0,0,455,
"S01017397",0,2,3,389,3,0,0,401,
"S01017398",0,3,1,375,2,4,0,389,
"S01017399",0,11,12,293,2,0,0,316,
"S01017400",6,6,34,223,19,2,0,289,
"S01017401",2,6,7,341,4,0,0,359,
"S01017402",1,8,34,482,4,1,0,528,
"S01017403",11,22,32,350,5,1,1,425,
"S01017404",2,0,6,570,0,0,0,581,
"S01017405",1,4,1,282,0,1,0,287,
"S01017406",1,2,0,221,1,10,0,237,
"S01017407",0,1,12,392,1,1,0,410,
"S01017408",4,1,4,441,1,2,0,453,
"S01017409",0,3,1,242,1,1,0,253,
"S01017410",0,3,2,461,9,35,0,509,
"S01017411",4,2,8,486,1,1,0,507,
"S01017412",3,5,5,537,6,4,0,561,
"S01017413",2,0,1,398,9,22,0,433,
"S01017414",1,0,4,562,0,16,0,585,
"S01017415",0,1,2,430,15,64,0,505,
"S01017416",4,2,3,271,4,2,0,286,
"S01017417",0,0,4,264,7,12,0,287,
"S01017418",6,4,4,390,25,1,0,431,
"S01017419",1,1,1,282,3,4,0,290,
"S01017420",3,3,0,417,3,4,0,432,
"S01017421",0,1,3,528,5,4,0,544,
"S01017422",6,2,4,321,8,18,1,362,
"S01017423",2,1,4,432,0,8,0,444,
"S01017424",4,5,8,203,4,0,0,220,
"S01017425",1,2,3,416,6,11,0,438,
"S01017426",2,4,5,354,8,11,0,380,
"S01017427",0,1,0,437,11,53,0,502,
"S01017428",0,3,3,569,7,4,0,587,
"S01017429",0,1,3,273,0,0,1,275,
"S01017430",0,0,12,351,1,0,0,364,
"S01017431",1,1,5,300,2,1,1,311,
"S01017432",4,2,11,426,29,11,0,485,
"S01017433",2,3,2,465,5,2,0,476,
"S01017434",3,3,2,516,1,0,0,525,
"S01017435",3,3,10,416,2,5,0,439,
"S01017436",2,0,2,308,7,0,0,319,
"S01017437",6,7,20,356,45,4,0,438,
"S01017438",0,0,2,585,6,1,1,597,
"S01017439",0,0,2,359,10,0,0,372,
"S01017440",0,2,12,402,7,5,0,428,
"S01017441",1,4,2,386,2,1,0,392,
"S01017442",5,19,41,275,126,1,0,467,
"S01017443",3,3,15,363,31,2,0,415,
"S01017444",1,2,4,414,10,1,1,433,
"S01017445",0,3,8,236,3,0,0,250,
"S01017446",3,2,3,499,4,4,0,514,
"S01017447",1,0,2,389,0,3,0,395,
"S01017448",3,3,3,343,1,0,0,353,
"S01017449",2,2,2,261,0,0,0,266,
"S01017450",7,4,13,416,10,0,1,451,
"S01017451",3,3,22,460,11,4,0,505,
"S01017452",5,4,9,301,7,0,0,324,
"S01017453",3,8,17,454,9,3,0,494,
"S01017454",2,0,1,222,1,0,0,226,
"S01017455",6,8,23,365,15,5,0,421,
"S01017456",4,5,2,246,4,3,0,265,
"S01017457",3,8,27,376,7,0,0,421,
"S01017458",6,5,67,502,5,0,0,588,
"S01017459",2,2,30,347,1,0,0,388,
"S01017460",0,4,10,344,36,0,0,394,
"S01017461",4,6,47,395,65,5,0,516,
"S01017462",4,17,13,231,1,0,3,269,
"S01017463",7,36,41,235,4,0,1,324,
"S01017464",15,22,35,248,0,3,0,321,
"S01017465",21,97,55,245,1,1,7,430,
"S01017466",3,5,18,281,0,0,2,307,
"S01017467",2,9,17,265,3,0,0,300,
"S01017468",2,10,34,212,3,0,0,263,
"S01017469",5,7,31,532,1,0,0,574,
"S01017470",1,12,47,340,0,2,0,407,
"S01017471",1,3,6,493,13,1,0,513,
"S01017472",6,2,12,447,15,0,0,477,
"S01017473",5,105,37,240,0,0,3,387,
"S01017474",6,37,37,309,3,0,0,391,
"S01017475",5,5,8,470,0,4,1,493,
"S01017476",1,8,7,435,1,2,0,455,
"S01017477",9,25,22,254,2,1,1,318,
"S01017478",14,117,74,178,1,1,0,389,
"S01017479",14,120,17,347,4,0,0,500,
"S01017480",12,72,58,151,0,0,1,294,
"S01017481",14,49,53,163,0,0,0,283,
"S01017482",14,153,85,103,5,1,0,364,
"S01017483",61,109,88,261,8,3,2,533,
"S01017484",12,47,19,261,1,0,0,332,
"S01017485",9,60,116,85,0,0,0,269,
"S01017486",20,42,42,391,5,0,0,498,
"S01017487",13,77,103,116,4,2,0,313,
"S01017488",10,70,66,377,7,2,0,533,
