SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01013725",36,23,12,235,18,1,16,341,
"S01013726",58,76,132,91,2,0,1,360,
"S01013727",39,55,120,222,9,0,6,452,
"S01013728",12,134,146,41,0,0,0,329,
"S01013729",12,62,243,17,1,0,0,336,
"S01013730",9,30,178,5,5,0,0,227,
"S01013731",85,150,74,127,6,1,0,440,
"S01013732",19,53,54,128,37,0,0,291,
"S01013733",34,77,80,260,15,1,0,463,
"S01013734",16,226,90,51,4,0,0,387,
"S01013735",11,198,41,4,2,2,0,258,
"S01013736",74,111,18,19,2,0,0,224,
"S01013737",71,45,66,236,5,5,2,425,
"S01013738",99,91,57,116,2,2,0,366,
"S01013739",40,122,122,125,2,0,0,411,
"S01013740",24,123,80,58,0,0,0,284,
"S01013741",25,83,39,40,2,0,0,195,
"S01013742",10,143,90,85,1,0,0,330,
"S01013743",126,169,47,96,8,1,0,446,
"S01013744",120,179,31,66,2,0,0,396,
"S01013745",123,98,20,58,0,0,1,300,
"S01013746",70,21,42,143,4,0,0,280,
"S01013747",68,184,33,51,0,0,0,342,
"S01013748",98,128,13,66,0,0,0,308,
"S01013749",113,107,6,16,1,0,2,247,
"S01013750",32,74,93,48,3,1,0,251,
"S01013751",100,147,27,56,4,0,0,333,
"S01013752",132,94,48,39,4,0,2,317,
"S01013753",99,219,73,39,0,0,0,428,
"S01013754",53,165,108,10,2,0,0,342,
"S01013755",38,185,78,40,3,0,0,347,
"S01013756",46,123,36,68,1,0,0,277,
"S01013757",152,47,25,9,0,0,0,237,
"S01013758",85,89,102,6,0,0,0,285,
"S01013759",187,23,0,0,0,0,0,213,
"S01013760",75,187,122,9,0,0,0,393,
"S01013761",65,201,4,1,0,0,0,269,
"S01013762",78,69,3,0,0,0,0,150,
"S01013763",61,217,9,54,5,0,0,344,
"S01013764",98,213,34,19,0,0,0,365,
"S01013765",100,115,6,0,0,0,0,221,
"S01013766",51,128,106,168,12,0,1,466,
"S01013767",3,108,34,145,3,0,0,296,
"S01013768",76,170,9,3,0,1,0,261,
"S01013769",35,172,45,29,0,0,1,287,
"S01013770",12,92,100,54,0,0,0,258,
"S01013771",33,71,79,37,8,0,0,226,
"S01013772",21,200,45,6,0,0,0,272,
"S01013773",118,125,41,103,5,0,0,392,
"S01013774",20,164,32,33,3,0,0,255,
"S01013775",40,136,21,80,5,1,0,283,
"S01013776",103,94,3,16,1,0,0,217,
"S01013777",126,138,21,45,0,0,0,330,
"S01013778",86,111,78,7,1,0,0,280,
"S01013779",91,100,50,59,10,0,0,310,
"S01013780",116,71,41,48,1,2,7,284,
"S01013781",47,93,95,44,1,0,0,280,
"S01013782",140,90,19,24,5,8,0,291,
"S01013783",186,166,56,29,11,3,1,456,
"S01013784",229,38,6,12,2,0,1,289,
"S01013785",239,53,15,3,0,0,1,312,
"S01013786",162,89,14,12,5,6,1,289,
"S01013787",133,108,37,4,0,0,0,283,
"S01013788",216,57,11,44,9,2,0,337,
"S01013789",214,63,1,4,1,0,0,283,
"S01013790",232,29,5,2,3,2,4,278,
"S01013791",221,25,4,3,2,1,2,260,
"S01013792",148,195,24,37,14,5,0,421,
"S01013793",289,36,6,0,3,0,5,342,
"S01013794",196,36,5,12,3,0,0,252,
"S01013795",106,68,37,25,0,0,0,238,
"S01013796",79,159,48,31,3,1,0,315,
"S01013797",172,47,8,8,0,0,0,233,
"S01013798",195,91,81,34,6,6,0,413,
"S01013799",190,89,29,20,0,0,1,330,
"S01013800",126,36,2,1,4,0,0,169,
"S01013801",303,108,51,2,4,1,0,472,
"S01013802",110,86,72,0,0,0,0,271,
"S01013803",112,144,63,3,2,0,2,318,
"S01013804",173,36,3,0,0,3,1,218,
"S01013805",186,118,60,33,1,3,0,399,
"S01013806",268,63,11,2,6,0,1,344,
