SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Data Zone (2022)",
"S01013572",90,115,0,0,0,0,0,13,0,0,0,0,0,139,7,
"S01013573",71,63,0,0,0,0,0,67,0,0,0,0,0,145,7,
"S01013574",107,156,0,0,0,0,0,25,0,0,0,0,0,218,18,
"S01013575",104,119,0,0,0,0,0,11,0,0,0,0,0,161,6,
"S01013576",68,94,0,0,0,0,0,21,0,0,0,0,0,194,4,
"S01013577",162,150,0,0,0,0,0,0,0,0,0,0,0,70,1,
"S01013578",119,105,0,0,0,0,0,127,0,0,0,0,0,152,15,
"S01013579",167,148,0,0,0,0,0,114,0,0,0,0,0,129,2,
"S01013580",152,136,0,0,0,0,0,80,0,0,0,0,0,133,6,
"S01013581",210,127,0,0,0,0,0,3,0,0,0,0,0,60,10,
"S01013582",102,75,0,0,0,0,0,112,0,0,0,0,0,22,6,
"S01013583",125,124,0,0,0,0,0,72,0,0,0,0,0,25,9,
"S01013584",56,73,0,0,0,0,0,149,0,0,0,0,0,18,1,
"S01013585",165,126,0,0,0,0,0,70,0,0,0,0,0,19,5,
"S01013586",132,113,0,0,0,0,0,92,0,0,0,0,0,29,4,
"S01013587",175,135,0,0,0,0,0,20,0,0,0,0,0,17,9,
"S01013588",32,233,0,0,0,0,0,25,0,0,0,0,0,51,0,
"S01013589",40,241,0,0,0,0,0,22,0,0,0,0,0,22,0,
"S01013590",151,128,0,0,0,0,0,131,0,0,0,0,0,24,7,
"S01013591",62,65,0,0,0,0,0,89,0,0,0,0,0,19,5,
"S01013592",118,155,0,0,0,0,0,132,0,0,0,0,0,24,4,
"S01013593",158,140,0,0,0,0,0,42,0,0,0,0,0,17,4,
"S01013594",93,115,0,0,0,0,0,2,0,0,0,0,0,24,0,
"S01013595",77,160,0,0,0,0,0,1,0,0,0,0,0,15,1,
"S01013596",95,157,0,0,0,0,0,0,0,0,0,0,0,14,2,
"S01013597",128,163,0,0,0,0,0,4,0,0,0,0,0,34,0,
"S01013598",137,106,0,0,0,0,0,26,0,0,0,0,0,20,2,
"S01013599",129,79,0,0,0,0,0,7,0,0,0,0,0,8,1,
"S01013600",158,189,0,0,0,0,0,30,0,0,0,0,0,20,6,
"S01013601",171,134,0,0,0,0,0,46,0,0,0,0,0,15,7,
