SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","Total",
"Data Zone (2022)",
"S01017367",193,80,16,21,17,324,
"S01017368",126,49,32,31,29,267,
"S01017369",324,111,71,33,17,553,
"S01017370",111,117,33,10,0,270,
"S01017371",207,106,37,16,7,375,
"S01017372",258,100,47,27,24,456,
"S01017373",196,77,27,12,3,315,
"S01017374",213,118,72,43,37,481,
"S01017375",311,137,50,29,35,562,
"S01017376",107,75,43,25,10,252,
"S01017377",135,87,59,28,27,336,
"S01017378",268,81,42,29,17,440,
"S01017379",223,89,47,36,20,417,
"S01017380",171,125,51,36,18,401,
"S01017381",105,93,56,35,32,323,
"S01017382",161,97,38,38,27,361,
"S01017383",266,229,52,17,5,570,
"S01017384",129,224,31,12,3,399,
"S01017385",158,156,38,12,14,380,
"S01017386",113,166,45,17,4,345,
"S01017387",170,161,48,11,15,401,
"S01017388",210,137,42,20,11,419,
"S01017389",211,138,36,14,4,400,
"S01017390",371,205,31,13,1,621,
"S01017391",246,106,30,11,6,394,
"S01017392",365,133,43,20,22,583,
"S01017393",192,99,30,16,4,344,
"S01017394",184,122,60,47,10,423,
"S01017395",212,121,46,29,7,409,
"S01017396",168,214,57,14,4,455,
"S01017397",197,169,29,4,4,401,
"S01017398",139,184,39,14,8,389,
"S01017399",116,153,21,17,3,316,
"S01017400",98,131,26,26,7,289,
"S01017401",191,95,46,18,9,359,
"S01017402",281,169,55,13,6,528,
"S01017403",215,82,48,33,47,425,
"S01017404",365,132,55,18,15,581,
"S01017405",154,109,12,8,0,287,
"S01017406",128,84,22,3,0,237,
"S01017407",183,198,11,13,2,410,
"S01017408",304,84,38,18,12,453,
"S01017409",159,63,20,9,2,253,
"S01017410",275,197,30,7,0,509,
"S01017411",266,136,59,31,15,507,
"S01017412",339,136,60,13,16,561,
"S01017413",234,166,25,5,3,433,
"S01017414",367,187,24,3,1,585,
"S01017415",276,198,24,5,1,505,
"S01017416",122,97,28,21,18,286,
"S01017417",108,107,45,13,13,287,
"S01017418",221,157,30,16,7,431,
"S01017419",148,106,20,9,3,290,
"S01017420",244,134,39,13,2,432,
"S01017421",434,55,32,16,1,544,
"S01017422",125,116,51,45,22,362,
"S01017423",350,79,12,1,3,444,
"S01017424",120,50,32,12,6,220,
"S01017425",184,147,63,39,11,438,
"S01017426",165,151,45,12,6,380,
"S01017427",255,184,44,13,3,502,
"S01017428",268,218,63,30,6,587,
"S01017429",120,79,44,20,12,275,
"S01017430",175,96,42,39,12,364,
"S01017431",113,97,52,32,17,311,
"S01017432",175,183,82,27,11,485,
"S01017433",232,166,51,25,6,476,
"S01017434",218,208,62,30,7,525,
"S01017435",194,157,49,27,19,439,
"S01017436",97,98,66,33,21,319,
"S01017437",140,164,73,33,26,438,
"S01017438",366,185,28,15,2,597,
"S01017439",202,129,24,18,5,372,
"S01017440",228,152,40,8,0,428,
"S01017441",106,167,73,35,7,392,
"S01017442",179,184,57,38,9,467,
"S01017443",159,174,49,24,12,415,
"S01017444",103,188,68,37,34,433,
"S01017445",78,80,47,26,19,250,
"S01017446",179,183,82,53,19,514,
"S01017447",112,164,76,41,2,395,
"S01017448",134,122,42,30,22,353,
"S01017449",43,91,75,38,23,266,
"S01017450",247,145,34,18,4,451,
"S01017451",306,120,31,28,13,505,
"S01017452",172,71,42,20,19,324,
"S01017453",234,187,46,20,6,494,
"S01017454",112,74,25,10,5,226,
"S01017455",234,99,37,31,19,421,
"S01017456",86,59,42,52,26,265,
"S01017457",237,114,35,18,17,421,
"S01017458",361,143,49,21,14,588,
"S01017459",227,115,38,7,5,388,
"S01017460",167,164,40,18,5,394,
"S01017461",210,215,52,27,14,516,
"S01017462",141,83,30,9,6,269,
"S01017463",153,82,41,30,20,324,
"S01017464",128,78,49,42,22,321,
"S01017465",192,123,69,24,20,430,
"S01017466",158,64,37,38,10,307,
"S01017467",144,97,32,22,8,300,
"S01017468",150,70,21,13,9,263,
"S01017469",271,230,49,19,8,574,
"S01017470",192,157,33,16,7,407,
"S01017471",300,163,30,11,8,513,
"S01017472",178,211,53,25,10,477,
"S01017473",127,137,75,43,15,387,
"S01017474",183,95,60,31,21,391,
"S01017475",269,137,46,29,10,493,
"S01017476",265,136,31,9,15,455,
"S01017477",204,65,29,9,11,318,
"S01017478",191,113,39,20,23,389,
"S01017479",244,157,54,37,8,500,
"S01017480",120,66,51,32,25,294,
"S01017481",152,51,37,23,20,283,
"S01017482",113,106,67,52,26,364,
"S01017483",240,134,81,54,24,533,
"S01017484",170,97,46,14,5,332,
"S01017485",104,71,47,30,18,269,
"S01017486",250,139,65,23,21,498,
"S01017487",79,83,55,53,39,313,
"S01017488",270,130,65,42,26,533,
"S01017489",180,154,92,51,20,497,
"S01017490",147,96,51,44,33,371,
"S01017491",173,55,43,38,11,320,
"S01017492",126,95,66,36,23,346,
"S01017493",111,55,33,28,12,245,
"S01017494",77,75,47,27,16,241,
"S01017495",152,94,45,47,23,359,
"S01017496",87,76,47,31,23,264,
"S01017497",123,84,41,23,2,280,
"S01017498",102,130,61,49,11,353,
"S01017499",233,74,55,28,16,398,
"S01017500",33,71,63,76,32,277,
"S01017501",160,155,59,39,16,431,
"S01017502",241,134,52,36,26,489,
"S01017503",194,123,61,32,10,416,
"S01017504",175,114,62,31,20,397,
"S01017505",199,130,74,53,26,479,
"S01017506",139,110,62,53,23,387,
"S01017507",146,73,42,15,12,285,
"S01017508",316,113,57,44,26,553,
"S01017509",177,88,58,29,14,365,
"S01017510",214,92,54,38,27,425,
"S01017511",161,122,62,31,15,395,
"S01017512",150,45,37,21,13,265,
"S01017513",318,118,48,28,13,526,
"S01017514",285,119,64,32,14,510,
"S01017515",138,104,56,47,21,359,
"S01017516",282,77,35,26,10,428,
"S01017517",381,57,27,19,13,490,
"S01017518",185,134,51,34,8,411,
"S01017519",55,152,72,64,24,368,
"S01017520",169,169,49,38,22,444,
"S01017521",218,183,52,43,20,516,
"S01017522",128,113,23,32,11,301,
"S01017523",76,83,31,31,12,236,
"S01017524",136,161,53,29,11,393,
"S01017525",178,138,36,19,5,379,
"S01017526",97,140,58,29,13,337,
"S01017527",177,180,68,41,18,481,
"S01017528",122,112,48,41,18,338,
"S01017529",183,174,42,21,11,431,
"S01017530",154,172,67,49,7,446,
"S01017531",71,91,45,27,19,255,
"S01017532",122,173,32,22,10,359,
"S01017533",128,101,63,65,27,384,
"S01017534",75,94,65,36,28,297,
"S01017535",162,170,83,53,26,497,
"S01017536",241,194,60,30,12,537,
"S01017537",172,125,30,7,2,333,
"S01017538",233,178,40,12,4,466,
"S01017539",207,121,27,17,10,382,
"S01017540",83,104,30,16,6,239,
"S01017541",133,98,22,3,1,257,
"S01017542",255,215,32,9,3,514,
"S01017543",299,159,49,13,6,530,
"S01017544",103,123,22,21,8,274,
"S01017545",168,140,31,4,0,344,
"S01017546",289,199,56,17,9,570,
"S01017547",146,141,22,10,2,321,
"S01017548",241,98,16,12,11,378,
"S01017549",501,213,37,12,8,770,
"S01017550",328,147,30,12,2,520,
"S01017551",177,182,32,24,10,425,
"S01017552",392,210,32,19,4,651,
"S01017553",312,133,64,25,13,546,
"S01017554",366,174,54,25,6,631,
"S01017555",279,220,59,28,12,596,
"S01017556",182,131,39,22,2,376,
"S01017557",270,217,50,33,6,576,
"S01017558",286,275,57,17,9,641,
"S01017559",180,191,76,49,15,513,
"S01017560",208,131,46,26,7,424,
"S01017561",205,192,52,53,12,514,
"S01017562",216,203,59,40,15,533,
"S01017563",237,163,51,35,15,501,
"S01017564",183,211,64,36,7,495,
"S01017565",189,169,55,44,11,468,
"S01017566",162,160,74,47,8,449,
"S01017567",126,67,45,36,13,284,
"S01017568",40,45,50,51,12,195,
"S01017569",103,107,42,46,26,321,
"S01017570",79,114,63,93,41,392,
"S01017571",165,144,45,27,4,390,
"S01017572",195,155,52,41,27,470,
"S01017573",190,151,53,52,27,473,
"S01017574",321,180,67,42,15,621,
"S01017575",121,111,41,41,4,317,
"S01017576",112,99,30,27,13,281,
"S01017577",245,207,55,38,8,556,
"S01017578",217,172,55,46,13,501,
"S01017579",103,84,47,47,21,302,
"S01017580",105,100,64,58,17,343,
"S01017581",179,145,75,64,19,478,
"S01017582",314,136,72,29,9,561,
"S01017583",253,95,33,20,3,404,
"S01017584",203,81,62,39,51,436,
"S01017585",115,101,43,45,9,313,
"S01017586",102,134,69,89,22,414,
"S01017587",223,115,55,50,26,472,
"S01017588",57,81,62,46,10,252,
"S01017589",322,144,36,21,18,541,
"S01017590",274,91,42,30,10,447,
"S01017591",259,106,41,34,15,452,
"S01017592",90,45,42,13,40,231,
"S01017593",151,97,29,29,27,332,
"S01017594",278,111,41,25,13,468,
"S01017595",111,76,41,19,14,266,
"S01017596",135,95,69,33,30,361,
"S01017597",265,121,57,30,17,486,
"S01017598",181,114,37,23,13,366,
"S01017599",305,143,63,33,7,551,
"S01017600",190,97,56,25,13,381,
"S01017601",76,71,51,33,14,242,
"S01017602",68,82,41,38,19,248,
"S01017603",109,97,61,32,34,328,
"S01017604",86,110,64,50,13,327,
"S01017605",256,120,63,47,17,503,
"S01017606",100,100,57,46,15,317,
"S01017607",149,115,56,34,9,363,
"S01017608",103,93,55,27,10,288,
"S01017609",189,109,56,32,13,399,
"S01017610",214,108,60,40,19,445,
"S01017611",171,117,65,29,7,392,
"S01017612",170,49,41,33,7,297,
"S01017613",159,128,56,30,8,381,
"S01017614",359,95,41,9,5,512,
"S01017615",153,92,31,20,5,297,
"S01017616",91,66,30,17,7,211,
"S01017617",191,133,44,38,10,416,
"S01017618",106,65,44,15,7,237,
"S01017619",147,115,35,35,11,343,
"S01017620",167,89,51,27,17,351,
"S01017621",168,61,24,33,78,367,
"S01017622",157,105,48,47,16,368,
"S01017623",89,81,36,29,7,242,
"S01017624",179,150,61,39,14,442,
"S01017625",230,146,45,22,6,452,
"S01017626",226,108,36,20,4,393,
"S01017627",160,148,63,47,13,431,
"S01017628",275,96,21,6,11,412,
"S01017629",154,109,43,38,13,357,
"S01017630",133,107,54,24,15,331,
"S01017631",159,104,37,25,17,342,
"S01017632",266,140,34,22,9,465,
"S01017633",170,134,35,17,10,370,
"S01017634",261,156,47,22,6,492,
"S01017635",139,94,45,30,10,321,
"S01017636",137,87,53,15,11,301,
"S01017637",165,105,50,34,14,368,
"S01017638",351,93,30,19,15,508,
"S01017639",219,156,77,53,13,524,
"S01017640",110,79,37,39,15,281,
"S01017641",105,71,36,26,27,265,
"S01017642",118,104,57,46,20,345,
"S01017643",214,185,82,54,16,548,
"S01017644",83,72,49,24,15,239,
"S01017645",103,128,71,54,27,388,
"S01017646",90,171,74,34,13,386,
"S01017647",115,123,88,82,26,431,
"S01017648",118,81,52,36,27,321,
"S01017649",199,117,63,56,23,454,
"S01017650",103,70,40,32,27,272,
"S01017651",187,104,62,28,17,394,
"S01017652",95,68,39,28,26,253,
"S01017653",91,68,62,40,29,290,
"S01017654",82,63,32,34,15,225,
"S01017655",203,101,59,38,16,416,
"S01017656",184,124,75,32,32,450,
"S01017657",84,58,44,22,22,231,
"S01017658",156,138,79,44,17,430,
"S01017659",207,68,62,45,39,421,
"S01017660",115,89,71,53,48,372,
"S01017661",182,129,86,70,27,493,
"S01017662",106,97,56,42,20,321,
"S01017663",125,74,63,23,19,302,
"S01017664",124,116,24,26,9,303,
"S01017665",99,90,32,18,17,258,
"S01017666",156,190,54,36,15,451,
"S01017667",127,115,54,33,10,338,
"S01017668",158,218,56,47,24,503,
"S01017669",130,182,73,38,17,438,
"S01017670",182,163,67,50,16,471,
"S01017671",126,107,58,45,27,364,
"S01017672",101,94,46,23,12,280,
"S01017673",81,128,49,45,14,318,
"S01017674",84,100,43,34,18,280,
"S01017675",136,126,49,36,9,352,
"S01017676",141,107,45,22,8,323,
"S01017677",152,124,50,33,12,375,
"S01017678",98,94,44,34,10,276,
"S01017679",81,128,44,50,11,314,
"S01017680",156,149,55,40,11,407,
"S01017681",204,103,56,33,13,409,
"S01017682",183,66,37,20,5,313,
"S01017683",158,96,42,29,12,337,
"S01017684",68,117,29,13,19,240,
"S01017685",89,127,33,20,16,288,
"S01017686",139,120,40,54,7,364,
"S01017687",253,153,57,27,9,497,
"S01017688",108,132,36,35,14,325,
"S01017689",102,143,43,45,10,344,
"S01017690",97,111,39,29,15,291,
"S01017691",189,216,59,41,22,530,
"S01017692",60,94,24,16,4,198,
"S01017693",117,108,25,16,11,277,
"S01017694",130,147,49,39,19,379,
"S01017695",85,139,36,27,13,301,
"S01017696",185,102,44,25,14,376,
"S01017697",142,119,48,19,13,341,
"S01017698",112,156,52,53,25,395,
"S01017699",176,196,39,34,12,457,
"S01017700",100,113,28,20,4,267,
"S01017701",139,177,53,52,11,432,
"S01017702",118,174,45,35,14,393,
"S01017703",65,103,33,25,8,234,
"S01017704",112,141,52,44,20,372,
"S01017705",149,135,44,27,17,369,
"S01017706",152,131,33,27,12,355,
"S01017707",99,152,47,30,20,344,
"S01017708",92,165,25,33,15,334,
"S01017709",81,133,65,59,26,362,
"S01017710",94,153,62,58,14,378,
"S01017711",79,91,36,27,8,235,
"S01017712",83,141,42,44,26,332,
"S01017713",105,140,35,29,17,326,
"S01017714",82,136,31,23,7,276,
"S01017715",186,113,36,15,5,353,
"S01017716",222,134,35,27,7,425,
"S01017717",171,115,53,30,24,393,
"S01017718",102,111,38,22,3,272,
"S01017719",156,162,56,30,3,409,
"S01017720",150,146,36,30,6,368,
"S01017721",92,117,34,23,12,278,
"S01017722",87,137,37,25,7,296,
"S01017723",107,111,48,44,8,315,
"S01017724",67,62,33,27,16,206,
"S01017725",137,62,29,9,8,251,
"S01017726",126,93,30,26,11,287,
"S01017727",60,90,27,38,17,228,
"S01017728",51,119,35,34,30,269,
"S01017729",85,156,57,48,28,374,
"S01017730",103,152,43,61,18,377,
"S01017731",87,115,64,44,22,336,
"S01017732",112,179,73,53,17,436,
"S01017733",139,150,69,54,16,428,
"S01017734",193,119,28,27,12,379,
"S01017735",135,91,39,37,14,318,
"S01017736",74,67,32,33,10,215,
"S01017737",63,97,34,30,10,233,
"S01017738",90,120,45,35,10,302,
"S01017739",85,141,43,52,18,341,
"S01017740",115,99,60,40,16,330,
"S01017741",53,79,37,32,10,211,
"S01017742",121,131,30,30,10,322,
"S01017743",196,109,41,14,7,367,
"S01017744",116,71,22,16,13,232,
"S01017745",83,117,47,36,9,290,
"S01017746",49,86,43,24,15,217,
"S01017747",166,166,67,33,8,437,
"S01017748",111,140,72,60,17,403,
"S01017749",55,115,73,56,24,323,
"S01017750",69,131,54,58,6,316,
"S01017751",94,124,38,27,10,292,
"S01017752",59,83,32,29,19,225,
"S01017753",135,79,32,8,7,261,
"S01017754",38,114,49,70,27,291,
"S01017755",79,74,43,58,21,275,
"S01017756",108,97,49,47,18,313,
"S01017757",142,90,21,12,2,264,
"S01017758",130,159,70,49,21,429,
"S01017759",152,176,51,59,16,454,
"S01017760",92,100,39,42,11,284,
"S01017761",65,96,68,62,10,300,
"S01017762",89,106,61,69,26,345,
"S01017763",83,110,42,59,20,311,
"S01017764",59,64,43,26,14,200,
"S01017765",114,130,61,45,12,362,
"S01017766",109,124,67,71,22,389,
"S01017767",71,129,81,77,18,374,
"S01017768",103,157,66,54,28,411,
"S01017769",157,176,45,31,12,418,
"S01017770",119,95,44,35,8,299,
"S01017771",114,76,30,24,8,248,
"S01017772",130,153,46,31,6,365,
"S01017773",52,74,36,19,10,195,
"S01017774",158,186,51,52,22,473,
"S01017775",146,123,59,33,18,383,
"S01017776",100,123,44,37,13,317,
"S01017777",137,104,54,16,11,322,
"S01017778",101,77,47,31,4,255,
"S01017779",119,142,39,28,8,336,
"S01017780",268,132,51,33,8,489,
"S01017781",93,102,59,35,15,304,
"S01017782",156,98,36,32,11,333,
"S01017783",152,75,39,34,10,311,
"S01017784",174,112,50,34,11,382,
"S01017785",108,138,58,35,9,349,
"S01017786",105,134,63,46,11,358,
"S01017787",101,117,53,27,13,311,
"S01017788",214,87,30,17,7,358,
"S01017789",335,91,20,10,0,453,
"S01017790",181,157,41,48,10,433,
"S01017791",186,74,35,22,12,332,
"S01017792",66,65,51,59,44,285,
"S01017793",172,121,36,25,9,363,
"S01017794",104,148,30,27,11,319,
"S01017795",153,158,49,49,13,422,
"S01017796",207,115,37,23,6,390,
"S01017797",249,114,48,41,5,460,
"S01017798",224,151,55,41,9,483,
"S01017799",112,81,31,23,6,256,
"S01017800",180,107,26,9,6,323,
"S01017801",223,147,70,21,10,473,
"S01017802",237,149,72,45,18,524,
"S01017803",88,57,42,26,19,232,
"S01017804",137,79,56,46,20,337,
"S01017805",137,151,40,36,11,371,
"S01017806",259,72,15,12,5,363,
"S01017807",224,161,31,26,2,441,
"S01017808",386,207,48,22,18,677,
"S01017809",198,118,31,13,4,366,
"S01017810",317,119,40,29,13,518,
"S01017811",158,95,33,25,8,319,
"S01017812",151,88,38,23,12,310,
"S01017813",90,103,59,27,20,308,
"S01017814",225,106,40,11,14,393,
"S01017815",168,94,24,23,5,311,
"S01017816",106,136,47,21,11,320,
"S01017817",143,109,28,11,1,297,
"S01017818",143,100,36,22,8,309,
"S01017819",135,93,26,23,7,285,
"S01017820",125,108,54,52,15,352,
"S01017821",96,127,63,39,17,341,
"S01017822",93,94,31,33,16,263,
"S01017823",102,138,69,53,16,372,
"S01017824",74,98,20,10,0,203,
"S01017825",130,112,58,32,14,343,
"S01017826",75,142,54,42,15,331,
"S01017827",79,142,51,26,12,309,
"S01017828",125,100,36,29,10,303,
"S01017829",176,114,40,21,6,357,
"S01017830",104,147,74,35,21,378,
"S01017831",127,187,49,45,21,429,
"S01017832",79,97,60,45,21,300,
"S01017833",51,128,47,33,15,274,
"S01017834",107,171,50,51,20,392,
"S01017835",83,163,33,31,16,322,
"S01017836",176,195,46,55,21,492,
"S01017837",184,203,65,44,21,517,
"S01017838",88,121,47,20,15,293,
"S01017839",111,98,31,28,8,276,
"S01017840",75,143,35,21,8,282,
"S01017841",106,115,27,19,15,282,
"S01017842",152,164,38,34,10,398,
"S01017843",120,133,39,31,15,339,
"S01017844",172,99,45,27,11,349,
"S01017845",224,160,40,41,13,480,
"S01017846",105,68,19,21,1,215,
"S01017847",117,122,29,21,13,302,
"S01017848",133,144,37,31,14,357,
"S01017849",158,199,50,41,19,467,
"S01017850",98,116,40,11,8,273,
"S01017851",129,110,37,35,13,323,
"S01017852",176,80,18,18,5,297,
"S01017853",188,112,36,29,16,382,
"S01017854",216,132,64,51,30,496,
"S01017855",126,182,63,55,30,456,
"S01017856",157,177,61,42,28,465,
"S01017857",140,189,49,23,15,412,
"S01017858",132,145,28,25,4,331,
"S01017859",130,140,24,23,15,331,
"S01017860",165,191,41,20,17,434,
"S01017861",168,147,37,32,6,391,
"S01017862",170,169,34,24,11,404,
"S01017863",142,82,34,28,11,298,
"S01017864",121,153,54,26,10,362,
"S01017865",143,121,50,32,14,360,
"S01017866",86,99,24,25,8,241,
"S01017867",109,134,30,19,8,300,
"S01017868",77,146,42,21,17,303,
"S01017869",119,167,65,51,25,426,
"S01017870",143,191,59,50,26,469,
"S01017871",112,152,37,28,23,348,
"S01017872",75,94,46,27,6,248,
"S01017873",67,102,29,37,8,246,
"S01017874",134,165,69,50,27,446,
"S01017875",109,204,47,37,17,415,
"S01017876",84,153,55,41,24,358,
"S01017877",121,106,44,15,9,291,
"S01017878",121,128,48,31,16,335,
"S01017879",73,123,39,46,10,292,
"S01017880",126,121,45,41,22,348,
"S01017881",87,107,59,47,13,313,
"S01017882",53,90,38,21,10,212,
"S01017883",95,103,31,23,9,264,
"S01017884",102,117,41,37,13,308,
"S01017885",111,119,36,33,21,318,
"S01017886",111,128,51,40,16,350,
"S01017887",81,100,54,35,24,291,
"S01017888",78,78,36,23,13,229,
"S01017889",205,83,28,12,2,330,
"S01017890",166,109,64,31,8,373,
"S01017891",264,132,40,32,17,486,
"S01017892",112,143,47,38,15,351,
"S01017893",158,162,64,62,28,477,
"S01017894",107,156,78,50,16,407,
"S01017895",124,213,70,67,12,490,
"S01017896",161,146,70,36,14,424,
"S01017897",98,118,39,25,15,292,
"S01017898",154,191,62,54,17,478,
"S01017899",113,115,43,28,7,302,
"S01017900",150,137,52,27,20,389,
"S01017901",82,157,75,49,23,386,
"S01017902",58,130,40,38,16,282,
"S01017903",54,91,38,32,15,226,
"S01017904",64,123,57,25,10,283,
"S01017905",117,180,58,41,21,425,
"S01017906",152,159,62,27,18,418,
"S01017907",116,118,51,28,22,332,
"S01017908",89,76,43,19,18,245,
"S01017909",134,102,68,43,21,369,
"S01017910",103,74,51,43,20,291,
"S01017911",59,101,37,29,8,234,
"S01017912",154,100,41,30,14,337,
"S01017913",135,113,34,31,11,327,
"S01017914",80,102,28,28,8,248,
"S01017915",181,130,53,32,13,411,
"S01017916",135,71,22,14,12,258,
"S01017917",72,153,64,77,18,387,
"S01017918",142,115,40,37,13,347,
"S01017919",71,103,39,32,24,270,
"S01017920",153,192,53,44,12,453,
"S01017921",211,75,28,17,7,338,
"S01017922",166,180,51,38,29,464,
"S01017923",123,144,54,25,30,373,
"S01017924",107,129,25,28,10,298,
"S01017925",74,126,42,21,14,277,
"S01017926",91,124,32,26,11,282,
"S01017927",150,127,47,30,17,368,
"S01017928",121,114,59,45,18,360,
"S01017929",199,159,72,52,29,500,
"S01017930",162,102,24,15,12,314,
"S01017931",104,93,37,16,11,258,
"S01017932",110,122,34,28,10,308,
"S01017933",141,166,29,22,4,360,
"S01017934",102,158,47,26,17,352,
"S01017935",138,99,42,15,11,300,
"S01017936",153,134,30,23,10,351,
"S01017937",61,101,23,20,13,219,
"S01017938",93,111,40,24,6,271,
"S01017939",121,123,44,33,9,330,
"S01017940",110,139,25,20,6,302,
"S01017941",191,207,58,32,19,507,
"S01017942",145,151,44,34,14,388,
"S01017943",160,130,31,24,15,357,
"S01017944",135,89,26,16,10,278,
"S01017945",87,114,28,21,6,253,
"S01017946",159,131,38,28,15,371,
"S01017947",202,161,32,31,18,444,
"S01017948",158,165,43,28,13,406,
"S01017949",96,172,47,33,10,360,
"S01017950",131,123,46,27,13,340,
"S01017951",99,132,54,55,15,355,
"S01017952",110,90,29,22,10,261,
"S01017953",144,62,23,15,8,251,
"S01017954",123,75,32,19,7,260,
"S01017955",177,90,38,27,16,352,
"S01017956",102,93,33,25,10,262,
"S01017957",148,104,58,31,10,351,
"S01017958",149,85,25,29,10,299,
"S01017959",135,80,30,18,6,264,
"S01017960",142,95,39,26,21,323,
"S01017961",97,115,35,37,10,294,
"S01017962",86,112,50,40,14,300,
"S01017963",129,159,46,38,22,395,
"S01017964",106,110,41,26,13,293,
"S01017965",107,112,32,32,15,301,
"S01017966",104,119,41,30,21,317,
"S01017967",147,176,47,36,16,417,
"S01017968",124,103,35,16,7,288,
"S01017969",77,123,35,27,17,275,
"S01017970",94,102,39,27,13,275,
"S01017971",190,181,57,42,9,480,
"S01017972",115,136,36,49,27,363,
"S01017973",89,132,49,49,15,334,
"S01017974",102,118,30,33,11,297,
"S01017975",267,116,22,12,3,420,
"S01017976",184,136,33,25,4,382,
"S01017977",151,113,46,24,8,341,
"S01017978",102,88,18,24,6,234,
"S01017979",157,141,61,35,20,414,
"S01017980",236,137,44,32,5,454,
"S01017981",133,66,45,18,15,277,
"S01017982",140,100,26,28,13,303,
"S01017983",79,73,37,32,15,239,
"S01017984",62,84,27,33,3,216,
"S01017985",98,117,36,41,11,302,
"S01017986",103,95,33,15,13,263,
"S01017987",175,162,47,24,13,426,
"S01017988",167,142,48,19,11,388,
"S01017989",117,77,21,12,6,235,
"S01017990",139,144,42,26,10,361,
"S01017991",139,98,34,27,16,314,
"S01017992",98,159,59,42,22,377,
"S01017993",194,171,59,55,10,489,
"S01017994",125,86,37,34,4,285,
"S01017995",52,97,29,31,10,219,
"S01017996",52,108,32,31,17,240,
"S01017997",82,134,36,21,8,281,
"S01017998",63,90,40,35,10,232,
"S01017999",27,85,67,56,11,241,
"S01018000",43,91,72,102,23,332,
"S01018001",88,139,39,34,10,310,
"S01018002",37,84,54,27,13,215,
"S01018003",40,84,33,41,10,205,
"S01018004",20,76,56,59,10,221,
"S01018005",180,206,52,25,9,467,
"S01018006",97,123,34,33,1,291,
"S01018007",20,59,52,54,12,200,
"S01018008",90,138,53,47,19,348,
"S01018009",172,230,49,37,8,498,
"S01018010",52,110,31,33,7,229,
"S01018011",143,147,49,43,9,393,
"S01018012",78,112,65,55,8,318,
"S01018013",111,91,56,48,17,317,
"S01018014",111,114,56,45,12,337,
"S01018015",169,87,15,10,4,285,
"S01018016",198,144,32,29,6,407,
"S01018017",359,127,26,15,2,534,
"S01018018",296,117,21,10,3,444,
"S01018019",85,110,41,39,6,281,
"S01018020",72,97,34,19,6,231,
"S01018021",87,94,59,35,3,281,
"S01018022",76,95,45,31,6,251,
"S01018023",75,85,47,39,6,248,
"S01018024",103,101,57,40,17,319,
"S01018025",99,150,70,54,24,400,
"S01018026",142,175,94,50,20,480,
"S01018027",82,85,63,50,29,305,
"S01018028",100,98,77,55,39,366,
"S01018029",97,111,59,27,24,315,
"S01018030",131,117,82,50,28,407,
"S01018031",63,78,35,32,11,216,
"S01018032",170,121,69,39,5,404,
"S01018033",78,122,73,41,15,329,
"S01018034",97,85,52,29,9,275,
"S01018035",127,123,90,56,34,429,
"S01018036",132,98,49,21,10,310,
"S01018037",151,90,51,24,4,320,
"S01018038",118,89,56,29,7,299,
"S01018039",107,94,30,49,18,290,
"S01018040",64,133,34,31,5,268,
"S01018041",153,198,45,22,9,429,
"S01018042",109,111,41,30,9,300,
"S01018043",112,98,40,34,8,292,
"S01018044",104,113,28,29,12,288,
"S01018045",61,97,57,55,10,279,
"S01018046",202,111,30,20,11,372,
"S01018047",164,113,56,37,15,383,
"S01018048",230,127,34,21,7,420,
"S01018049",253,56,22,8,0,339,
"S01018050",100,109,41,31,26,307,
"S01018051",130,93,33,19,2,277,
"S01018052",255,133,48,17,4,458,
"S01018053",147,124,48,32,13,364,
"S01018054",242,172,51,37,7,507,
"S01018055",120,133,52,24,11,342,
"S01018056",69,56,40,31,8,204,
"S01018057",96,97,47,19,1,266,
"S01018058",23,53,42,31,10,165,
"S01018059",34,83,62,75,19,273,
"S01018060",319,101,35,33,8,496,
"S01018061",311,99,37,26,13,486,
"S01018062",118,64,32,12,6,232,
"S01018063",253,111,42,33,8,443,
"S01018064",285,119,39,25,9,481,
"S01018065",158,63,27,6,1,254,
"S01018066",331,111,30,21,8,499,
"S01018067",229,60,18,2,3,312,
"S01018068",347,102,31,27,13,514,
"S01018069",206,42,25,24,11,305,
"S01018070",146,101,24,20,8,308,
"S01018071",90,38,19,19,18,183,
"S01018072",168,126,61,29,6,390,
"S01018073",149,113,55,38,7,367,
"S01018074",61,74,45,31,24,233,
"S01018075",44,69,54,30,10,207,
"S01018076",128,93,66,35,27,346,
"S01018077",77,80,51,24,13,252,
"S01018078",143,139,80,47,5,414,
"S01018079",234,123,56,34,11,455,
"S01018080",154,92,38,22,5,311,
"S01018081",164,143,36,15,10,372,
"S01018082",52,74,60,51,10,246,
"S01018083",113,124,94,60,21,412,
"S01018084",32,76,40,43,8,197,
"S01018085",121,93,41,32,20,307,
"S01018086",95,109,33,25,11,272,
"S01018087",126,48,34,14,18,240,
"S01018088",251,83,30,7,0,373,
"S01018089",198,94,43,14,10,359,
"S01018090",157,105,53,37,12,364,
"S01018091",58,75,51,23,11,228,
"S01018092",47,95,61,38,17,259,
"S01018093",188,131,52,28,7,407,
"S01018094",139,100,41,25,11,315,
"S01018095",100,108,55,37,14,317,
"S01018096",60,65,28,19,13,186,
