SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","Total",
"Data Zone (2022)",
"S01013919",43,101,38,33,11,225,
"S01013920",66,141,45,65,19,341,
"S01013921",65,114,56,63,21,313,
"S01013922",66,124,63,72,23,348,
"S01013923",27,66,72,132,25,324,
"S01013924",40,70,29,36,13,188,
"S01013925",61,89,25,15,6,200,
"S01013926",28,90,64,76,19,274,
"S01013927",45,137,23,32,19,251,
"S01013928",240,148,58,31,12,488,
"S01013929",75,158,46,52,15,346,
"S01013930",58,92,25,18,4,200,
"S01013931",36,83,52,79,18,261,
"S01013932",26,47,44,48,15,181,
"S01013933",17,31,61,59,20,188,
"S01013934",76,97,54,49,16,290,
"S01013935",51,44,15,22,25,159,
"S01013936",28,133,46,61,21,289,
"S01013937",77,176,49,49,8,361,
"S01013938",61,111,34,45,5,258,
"S01013939",24,74,53,94,31,274,
"S01013940",51,105,29,29,6,220,
"S01013941",97,90,60,86,20,350,
"S01013942",97,132,35,33,10,307,
"S01013943",99,101,32,34,7,273,
"S01013944",135,108,53,38,7,341,
"S01013945",109,83,23,17,8,232,
"S01013946",51,107,36,41,7,238,
"S01013947",128,152,48,50,14,392,
"S01013948",73,75,39,39,13,241,
"S01013949",90,140,65,62,18,375,
"S01013950",19,53,40,84,17,210,
"S01013951",66,85,48,71,13,283,
"S01013952",90,88,48,71,18,314,
"S01013953",63,82,27,18,10,201,
"S01013954",64,120,53,52,18,307,
"S01013955",73,115,92,83,20,380,
"S01013956",85,158,67,63,16,389,
"S01013957",76,164,65,57,32,394,
"S01013958",72,112,63,85,11,342,
"S01013959",107,108,38,33,5,290,
"S01013960",52,92,22,26,9,206,
"S01013961",55,94,64,65,25,300,
"S01013962",99,174,55,44,13,385,
"S01013963",30,58,31,27,20,162,
"S01013964",99,88,33,31,10,261,
"S01013965",66,159,81,69,23,394,
"S01013966",61,95,42,47,25,262,
"S01013967",142,134,37,29,3,345,
"S01013968",114,119,53,43,9,334,
"S01013969",186,103,30,27,12,363,
"S01013970",45,92,66,89,31,326,
"S01013971",49,89,70,86,31,324,
"S01013972",152,190,41,29,8,420,
"S01013973",81,110,49,38,7,285,
"S01013974",135,121,52,32,3,346,
"S01013975",81,83,25,19,8,216,
"S01013976",85,75,46,27,16,245,
"S01013977",62,111,40,36,13,262,
"S01013978",58,73,30,20,10,189,
"S01013979",166,152,51,20,12,402,
"S01013980",49,127,34,45,10,269,
"S01013981",109,91,31,29,3,264,
"S01013982",54,126,63,65,19,326,
"S01013983",63,142,59,55,16,336,
"S01013984",76,165,56,39,17,353,
"S01013985",96,190,68,58,24,436,
"S01013986",34,75,37,29,11,185,
"S01013987",66,124,44,53,20,307,
"S01013988",130,165,54,66,23,440,
"S01013989",146,177,58,63,16,460,
"S01013990",62,137,51,69,24,346,
"S01013991",74,134,51,55,14,329,
"S01013992",87,126,52,64,10,342,
"S01013993",54,100,39,37,8,239,
"S01013994",61,105,47,41,21,272,
"S01013995",84,110,48,44,11,300,
"S01013996",78,95,36,24,13,246,
"S01013997",55,73,55,54,6,245,
"S01013998",13,56,52,78,19,215,
"S01013999",106,129,42,29,6,313,
"S01014000",35,94,37,38,12,221,
"S01014001",56,117,41,58,22,294,
"S01014002",21,82,48,36,11,202,
"S01014003",99,71,23,23,5,221,
"S01014004",46,127,36,33,14,255,
"S01014005",30,97,39,26,24,210,
"S01014006",58,98,41,30,13,236,
"S01014007",86,131,63,57,27,357,
"S01014008",77,136,66,66,28,373,
"S01014009",154,117,45,61,23,402,
"S01014010",67,128,39,40,16,285,
"S01014011",78,160,58,43,19,358,
"S01014012",161,188,53,44,13,465,
"S01014013",58,116,48,61,23,304,
"S01014014",52,101,34,37,21,249,
"S01014015",44,87,29,42,9,214,
"S01014016",88,128,50,43,21,330,
"S01014017",76,208,56,64,28,438,
"S01014018",128,165,50,42,12,398,
"S01014019",86,164,53,35,14,352,
"S01014020",185,165,63,40,20,469,
"S01014021",219,187,47,41,19,517,
"S01014022",197,126,30,28,13,398,
"S01014023",282,114,40,24,9,469,
"S01014024",121,114,38,35,13,319,
"S01014025",39,87,30,30,19,205,
"S01014026",81,184,50,69,34,415,
"S01014027",59,108,39,28,24,258,
"S01014028",36,106,37,31,18,228,
"S01014029",234,169,66,32,13,513,
"S01014030",104,174,50,41,13,382,
"S01014031",129,101,28,23,6,287,
"S01014032",213,109,23,30,5,380,
"S01014033",134,136,46,53,12,381,
"S01014034",72,76,23,30,6,210,
"S01014035",55,103,26,16,10,216,
"S01014036",123,189,56,43,29,440,
"S01014037",180,124,44,43,22,417,
"S01014038",199,163,45,35,10,451,
"S01014039",194,193,54,38,25,512,
"S01014040",113,170,63,67,13,427,
"S01014041",75,120,48,54,15,313,
"S01014042",131,141,42,44,15,373,
"S01014043",82,66,17,16,12,197,
"S01014044",306,165,40,27,14,552,
"S01014045",108,98,53,30,15,308,
"S01014046",136,110,29,37,11,322,
"S01014047",164,147,44,43,11,410,
"S01014048",143,160,37,46,12,401,
"S01014049",177,152,49,45,12,435,
"S01014050",135,91,45,23,16,307,
"S01014051",149,143,73,60,24,446,
"S01014052",116,103,31,35,7,291,
"S01014053",133,107,47,40,13,339,
"S01014054",96,131,41,42,21,332,
"S01014055",98,160,48,49,28,389,
"S01014056",116,128,42,28,6,321,
"S01014057",66,161,56,27,24,336,
"S01014058",94,91,31,20,20,256,
"S01014059",51,96,27,13,8,198,
"S01014060",76,160,44,50,17,344,
"S01014061",186,156,69,62,25,495,
"S01014062",120,102,42,32,18,314,
"S01014063",137,126,48,49,25,385,
"S01014064",62,113,52,41,21,289,
"S01014065",36,74,18,35,9,169,
"S01014066",188,163,54,49,16,469,
"S01014067",47,98,33,41,15,237,
"S01014068",52,115,50,39,12,271,
"S01014069",100,125,45,31,7,309,
"S01014070",161,136,47,41,16,399,
"S01014071",177,169,66,51,20,482,
"S01014072",53,70,46,22,15,204,
"S01014073",77,130,72,61,27,367,
"S01014074",55,122,43,47,15,282,
"S01014075",96,129,62,68,20,372,
"S01014076",55,108,38,35,14,251,
"S01014077",88,155,59,56,27,385,
"S01014078",150,175,47,25,5,404,
"S01014079",107,139,67,38,10,361,
"S01014080",93,125,61,48,21,346,
"S01014081",102,87,26,23,9,244,
"S01014082",115,150,68,39,21,393,
"S01014083",54,89,38,26,8,214,
"S01014084",110,144,65,65,17,401,
"S01014085",94,95,48,27,10,271,
"S01014086",132,108,50,35,10,335,
"S01014087",83,116,40,32,19,292,
"S01014088",122,143,33,41,8,347,
"S01014089",140,129,46,34,11,360,
"S01014090",256,132,61,31,13,493,
"S01014091",167,131,39,28,22,383,
"S01014092",110,107,47,44,7,309,
"S01014093",133,78,47,25,9,291,
"S01014094",274,117,71,46,12,522,
"S01014095",115,102,22,24,9,270,
"S01014096",248,115,63,29,22,475,
"S01014097",327,140,75,35,24,604,
"S01014098",302,127,50,24,18,517,
"S01014099",123,83,33,18,12,272,
"S01014100",63,101,26,25,5,220,
"S01014101",115,82,29,15,0,243,
"S01014102",66,98,63,61,28,315,
"S01014103",149,100,35,14,7,304,
"S01014104",151,163,41,39,13,410,
"S01014105",89,137,56,62,16,360,
"S01014106",83,124,55,80,21,363,
"S01014107",35,67,49,81,18,251,
"S01014108",51,110,36,42,13,250,
"S01014109",86,81,53,54,22,296,
"S01014110",63,115,51,42,31,306,
"S01014111",30,65,50,55,22,221,
"S01014112",51,98,27,32,19,227,
"S01014113",94,134,46,67,19,360,
"S01014114",77,133,33,35,25,305,
"S01014115",120,118,43,45,16,342,
"S01014116",82,109,42,44,18,295,
"S01014117",56,97,36,32,17,238,
"S01014118",21,67,31,46,24,189,
"S01014119",140,119,54,33,29,375,
"S01014120",113,115,53,48,14,343,
"S01014121",71,94,28,26,7,225,
"S01014122",113,123,67,36,23,366,
"S01014123",68,109,32,33,16,253,
"S01014124",95,80,30,36,10,243,
"S01014125",119,105,45,25,15,307,
"S01014126",73,124,46,44,21,310,
"S01014127",63,94,34,26,10,227,
"S01014128",93,84,23,28,13,241,
"S01014129",120,146,58,53,9,385,
"S01014130",71,97,40,31,12,251,
"S01014131",43,111,72,74,23,321,
"S01014132",57,119,35,35,18,264,
"S01014133",86,106,53,30,9,284,
"S01014134",119,115,52,29,7,322,
"S01014135",203,169,70,43,15,500,
"S01014136",207,69,17,18,7,320,
"S01014137",150,83,28,19,13,295,
"S01014138",136,129,44,27,12,345,
"S01014139",119,140,89,28,11,385,
"S01014140",171,116,43,47,17,394,
"S01014141",186,108,76,50,21,437,
"S01014142",329,94,43,38,19,523,
"S01014143",199,120,54,19,10,405,
"S01014144",80,160,54,64,18,372,
"S01014145",109,104,41,23,7,279,
"S01014146",122,115,58,39,11,344,
"S01014147",83,132,38,39,6,299,
"S01014148",73,106,50,28,9,263,
"S01014149",97,115,36,24,25,293,
"S01014150",45,87,38,30,9,209,
"S01014151",26,87,40,37,27,217,
"S01014152",28,68,64,67,21,248,
"S01014153",66,92,34,38,18,249,
"S01014154",79,108,53,41,19,299,
