LSOA_code,LSOA_name,Subjective_wellbeing_Likert_score,Subjective_wellbeing_Caseness_score,Physical_Component_Summary,Mental_Component_Summary,Household_net_income_monthly
E01005973,Tameside 026A,10.98242531,1.55887522,49.92505272,48.97762742,3328.857407
E01005974,Tameside 021C,12.00434153,2.161360347,49.2148987,47.07616498,2985.225077
E01005975,Tameside 021D,11.94269572,2.05488297,48.39931396,47.1927845,3010.858023
E01005976,Tameside 026B,11.78708551,1.983420593,48.60818499,47.23158813,2946.355218
E01005977,Tameside 026C,11.30107527,1.735023041,48.42936252,48.40841782,3207.593421
E01005978,Tameside 026D,12.22844037,2.23853211,48.73162385,46.44677064,2983.262046
E01005979,Tameside 029A,11.62481858,1.944121916,47.41615385,47.80091437,2752.071444
E01005980,Tameside 029B,12.27077748,2.331546023,48.23676497,46.30247542,2938.187291
E01005981,Tameside 029C,12.1509901,2.254125413,46.53934818,46.70533828,2608.81772
E01005982,Tameside 029D,11.71399799,1.965760322,48.24104733,47.49935549,3060.000946
E01005983,Tameside 029E,11.15833333,1.639393939,49.35991667,48.82954545,3268.821199
E01005984,Tameside 029F,12.83691329,2.643595863,46.76989658,45.10867144,2485.234026
E01005985,Tameside 024A,10.9480315,1.581889764,48.62343307,49.56066142,3112.342422
E01005986,Tameside 025B,11.70820353,1.924195223,49.30333333,47.666054,3044.449188
E01005987,Tameside 024B,11.06381381,1.668168168,49.13274775,48.97801802,3160.696207
E01005988,Tameside 024C,11.15336463,1.661189358,50.37302817,48.64400626,3427.559607
E01005989,Tameside 025C,11.01863354,1.630434783,49.77307453,49.52540373,3405.704121
E01005990,Tameside 024D,11.25112918,1.716350497,48.95892502,48.47685637,3167.166946
E01005991,Tameside 024E,11.15426997,1.566574839,50.18512397,48.66880624,3249.434948
E01005992,Tameside 025D,11.62258687,1.942084942,48.88890927,47.35861004,2876.428154
E01005993,Tameside 010A,11.32142857,1.764285714,49.46676786,48.245375,3162.368643
E01005994,Tameside 011A,11.95836947,2.043365134,50.20262793,46.75532524,3207.195451
E01005995,Tameside 010B,10.77377655,1.442289935,51.02152355,49.38756233,3833.418565
E01005996,Tameside 010C,11.69346405,2.032679739,49.51284314,47.4490915,3026.683328
E01005997,Tameside 010D,11.35884774,1.790123457,49.22439506,48.18646091,3009.70534
E01005998,Tameside 012A,11.51851852,1.882962963,49.84202222,47.9733037,3116.450073
E01005999,Tameside 011B,12.18072976,2.269669327,49.10354048,46.34416762,3020.604076
E01006000,Tameside 010E,12.25615051,2.303907381,46.55698263,46.49106368,2557.618291
E01006001,Tameside 012B,11.58255715,1.883149873,48.7442591,47.64905165,3180.906869
E01006002,Tameside 011C,11.55391705,1.906912442,49.47381567,47.71945622,3167.351347
E01006003,Tameside 012C,11.44983278,1.859531773,49.92957358,47.74,3180.109983
E01006004,Tameside 011D,11.1055794,1.630901288,49.88029185,48.85387983,3228.403077
E01006005,Tameside 011E,12.23805061,2.297094658,47.22866917,46.93327085,2738.21645
E01006006,Tameside 012D,11.32992327,1.693094629,49.21955669,47.9558312,3254.500554
E01006007,Tameside 011F,11.4093178,1.852745424,49.59705491,47.70612313,3049.241585
E01006008,Tameside 017A,11.81642917,1.967309304,50.61440067,46.97416597,3245.080737
E01006009,Tameside 016A,11.41629364,1.842435094,49.63999105,48.20636526,3156.612237
E01006010,Tameside 017B,12.23083624,2.267421603,47.89254355,46.59993902,2765.65876
E01006011,Tameside 018A,12.20494973,2.256767208,47.51313225,46.45300077,3007.189888
E01006012,Tameside 017C,11.46034946,1.852150538,48.54116935,48.07476478,3066.354367
E01006013,Tameside 018B,11.09315068,1.648401826,48.98853881,48.93752511,3218.682356
E01006014,Tameside 018C,12.11975435,2.215967247,49.0942477,46.70352098,2964.017142
E01006015,Tameside 017D,11.31855204,1.756561086,50.76701357,48.37260633,3630.22553
E01006016,Tameside 017E,12.74968632,2.533877039,47.23679423,45.24521957,2565.642681
E01006017,Tameside 016B,11.03327496,1.54028021,50.0645972,49.1139317,3659.800343
E01006018,Tameside 016C,11.11445783,1.612736661,49.32613597,49.16554217,3468.358703
