England and Wales Code,England and Wales,National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Household size (5 categories) Code,Household size (5 categories),Car or van availability (5 categories) Code,Car or van availability (5 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Observation
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,51
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,7
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,5
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,12
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,34243
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,84314
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,188
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,5816
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,20264
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,68636
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,1907
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,7538
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,8789
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,33279
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,1644
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,5902
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,1109
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,4503
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,947
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,4133
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,83
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,6
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,3
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,19
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,39410
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,49449
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,86
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,2616
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,13816
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,22105
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,768
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,1978
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,4073
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,7868
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,559
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,1311
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,339
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,698
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,148
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,794
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,62
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,10
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,1
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3,3 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,8
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,414
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,1199
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,165
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,1112
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,597
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,2174
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,977
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,3385
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,904
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,3443
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,1037
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,5481
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,568
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,2652
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,2085
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,10497
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,3
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,1
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,4
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,6
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,6181
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,41876
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,451
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,7372
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,8342
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,63523
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,4232
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,14497
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,8300
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,51130
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,4061
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,14026
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,1556
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,9271
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,4131
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,11350
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,27
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,6
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,5
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,18
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,28614
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,187933
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,394
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,11681
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,16837
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,124520
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,3860
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,12255
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,7980
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,50477
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,3196
K04000001,England and Wales,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",4,4 or more people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,8019
